,open,high,low,close,volume
2015-05-15,49.97,50.89,49.85,50.44,2147372.0
2015-05-18,50.74,51.81,50.69,51.45,3636260.0
2015-05-19,51.54,52.12,51.17,51.65,1739148.0
2015-05-20,51.98,52.04,51.25,51.48,1558236.0
2015-05-21,51.68,52.41,51.17,52.27,2280168.0
2015-05-22,52.29,52.56,51.76,52.21,2251276.0
2015-05-25,52.43,52.98,51.85,52.27,1832872.0
2015-05-26,52.3,52.4,51.42,52.09,1477180.0
2015-05-27,51.92,53.93,51.82,53.73,2769792.0
2015-05-28,53.93,54.39,53.35,54.03,3909788.0
2015-05-29,54.24,56.13,53.04,53.37,12599660.0
2015-06-01,53.49,54.03,52.87,53.15,3710928.0
2015-06-02,53.19,53.36,52.06,52.3,2517888.0
2015-06-03,52.44,52.59,50.37,50.77,3180600.0
2015-06-04,50.94,52.74,50.94,52.51,5689076.0
2015-06-05,52.47,53.49,51.9,53.19,3823552.0
2015-06-08,53.1,53.14,52.29,52.57,1528900.0
2015-06-09,52.29,52.81,52.17,52.39,4108188.0
2015-06-10,52.29,53.04,51.76,51.91,2254248.0
2015-06-11,52.36,52.36,50.72,50.92,3434488.0
2015-06-12,51.24,52.72,51.19,52.56,4876092.0
2015-06-15,52.74,53.64,52.51,52.93,2485840.0
2015-06-16,52.96,54.21,52.47,53.46,3417072.0
2015-06-17,53.4,53.93,52.48,52.68,2081436.0
2015-06-18,53.1,56.39,52.97,56.11,9926268.0
2015-06-19,56.47,57.68,55.75,57.3,10881120.0
2015-06-22,57.32,57.64,56.98,57.37,3927352.0
2015-06-23,57.26,59.91,56.81,59.63,7754332.0
2015-06-24,59.64,60.21,57.99,58.41,4957568.0
2015-06-25,58.13,58.54,57.53,58.21,8024676.0
2015-06-26,58.27,58.42,57.07,57.61,3989208.0
2015-06-29,56.27,58.99,56.18,57.64,6893812.0
2015-06-30,57.76,58.4,57.46,57.74,4729584.0
2015-07-01,57.38,59.33,57.38,58.68,8094384.0
2015-07-02,58.88,62.18,58.88,61.79,13504552.0
2015-07-03,61.95,62.81,61.07,62.51,10231784.0
2015-07-06,62.89,64.12,62.64,63.88,10068364.0
2015-07-07,64.42,64.95,63.22,63.99,8094156.0
2015-07-08,63.96,65.68,63.67,64.33,9432772.0
2015-07-09,64.44,64.5,62.0,62.69,10098840.0
2015-07-10,62.2,63.75,61.82,62.97,8003636.0
2015-07-13,63.07,64.39,62.97,63.63,5697952.0
2015-07-14,63.58,66.04,63.31,65.75,9376808.0
2015-07-15,65.92,66.03,64.45,64.84,6422208.0
