,open,high,low,close,volume
2015-05-15,661.28,666.22,651.4,658.66,74613.0
2015-05-18,661.08,667.21,657.33,662.02,133494.0
2015-05-19,662.66,665.14,650.46,653.32,138420.0
2015-05-20,654.56,667.21,651.74,662.86,71043.0
2015-05-21,662.27,666.72,651.89,658.51,58867.0
2015-05-22,656.54,662.32,642.75,644.18,76428.0
2015-05-25,664.25,668.05,648.43,651.1,218760.0
2015-05-26,659.3,659.3,647.54,650.41,248547.0
2015-05-27,652.38,652.38,645.47,647.2,161046.0
2015-05-28,652.19,652.19,629.16,634.64,219568.0
2015-05-29,639.53,659.3,632.62,647.15,190429.0
2015-06-01,602.76,684.02,602.76,679.47,823677.0
2015-06-02,678.08,678.08,641.41,644.67,208637.0
2015-06-03,646.35,650.36,620.75,625.1,223596.0
2015-06-04,632.17,634.69,622.68,629.06,243420.0
2015-06-05,624.71,637.06,624.71,631.87,53346.0
2015-06-08,631.63,643.93,628.66,634.1,33556.0
2015-06-09,636.57,637.26,625.5,630.59,51517.0
2015-06-10,632.62,638.55,629.01,633.65,41167.0
2015-06-11,633.9,647.44,632.66,639.34,98167.0
2015-06-12,642.5,642.5,631.63,636.47,47631.0
2015-06-15,636.57,645.47,633.6,635.78,52807.0
2015-06-16,639.53,654.36,635.23,650.95,187345.0
2015-06-17,652.83,662.27,647.49,651.49,120961.0
2015-06-18,654.36,670.97,650.51,669.83,135915.0
2015-06-19,672.15,678.08,667.31,672.75,90375.0
2015-06-22,681.94,681.94,672.5,678.28,106497.0
2015-06-23,675.12,677.1,663.8,669.39,59079.0
2015-06-24,667.41,700.77,665.58,687.03,235121.0
2015-06-25,685.74,720.64,685.74,713.52,480580.0
2015-06-26,716.59,721.43,697.21,713.67,178315.0
2015-06-29,699.83,706.65,677.19,702.99,160208.0
2015-06-30,698.05,716.04,696.96,701.46,93877.0
2015-07-01,701.81,711.69,690.89,695.78,173275.0
2015-07-02,695.93,705.71,687.23,690.59,107934.0
2015-07-03,696.22,696.42,680.16,682.73,85920.0
2015-07-06,678.08,697.85,672.2,688.86,90241.0
2015-07-07,688.96,695.53,682.09,688.12,75219.0
2015-07-08,682.04,688.32,670.47,675.96,350113.0
2015-07-09,680.06,685.6,673.44,675.91,58702.0
2015-07-10,677.1,682.53,672.7,680.46,89231.0
2015-07-13,685.0,689.85,676.5,685.35,64851.0
2015-07-14,686.98,693.9,679.07,683.72,90995.0
2015-07-15,683.13,693.9,682.09,691.33,100734.0
2015-07-16,694.89,701.71,691.08,698.84,84311.0
2015-07-17,700.82,706.45,694.94,701.36,86793.0
2015-07-20,704.92,710.7,698.84,701.81,128251.0
2015-07-21,702.8,706.8,688.96,691.23,71770.0
2015-07-22,690.84,692.91,679.06,683.41,78979.0
2015-07-23,690.93,690.93,678.16,683.81,69027.0
2015-07-24,689.94,689.94,681.13,682.97,277045.0
2015-07-27,682.03,707.17,671.14,687.37,144320.0
2015-07-28,687.96,697.67,678.07,685.89,53988.0
2015-07-29,694.89,694.89,671.14,683.02,92211.0
2015-07-30,683.01,701.82,659.51,690.93,540135.0
2015-07-31,683.06,686.48,663.32,669.4,283543.0
2015-08-03,669.4,731.47,669.16,714.29,852051.0
2015-08-04,720.33,734.49,712.71,718.4,160304.0
2015-08-05,718.65,726.52,707.76,717.81,80648.0
2015-08-06,710.78,751.61,710.73,746.22,310857.0
2015-08-07,743.5,783.69,743.4,779.68,410205.0
2015-08-10,776.95,780.52,747.41,752.01,126153.0
2015-08-11,759.78,759.78,742.41,752.31,75990.0
2015-08-12,751.02,773.39,742.41,761.31,150448.0
2015-08-13,763.2,772.1,753.69,763.39,98396.0
2015-08-14,768.54,814.47,767.11,808.28,496373.0
2015-08-17,816.35,825.56,802.79,816.4,654292.0
2015-08-18,819.62,840.16,798.43,808.28,179320.0
2015-08-19,808.73,878.02,803.83,836.59,696882.0
2015-08-20,827.54,859.21,804.08,842.19,414777.0
2015-08-21,841.2,860.2,826.55,847.58,559840.0
2015-08-24,817.98,827.54,767.11,790.37,283174.0
2015-08-25,796.85,801.65,742.41,782.7,441506.0
2015-08-26,772.3,780.86,757.26,761.46,87789.0
2015-08-27,767.35,797.84,761.26,767.2,324453.0
2015-08-28,773.09,791.26,768.14,774.53,134545.0
2015-08-31,776.95,789.43,772.1,783.64,104243.0
2015-09-01,782.0,807.39,765.17,778.44,231215.0
2015-09-02,779.53,799.82,775.17,792.79,115942.0
2015-09-03,807.24,807.24,780.02,785.67,78882.0
2015-09-04,786.95,786.95,749.68,753.74,155798.0
2015-09-07,751.32,756.66,734.88,743.0,398645.0
2015-09-08,754.78,754.78,708.31,730.33,222187.0
2015-09-09,744.29,746.37,731.17,733.99,129891.0
2015-09-10,731.52,741.07,715.09,732.81,78280.0
2015-09-11,737.95,754.29,733.65,740.82,117002.0
2015-09-14,750.82,750.82,735.43,742.46,76298.0
2015-09-15,750.23,750.23,737.71,742.21,58305.0
2015-09-16,746.32,746.37,727.56,733.65,60291.0
2015-09-18,735.48,742.41,727.56,729.49,165350.0
2015-09-21,720.63,759.24,719.84,752.36,157303.0
2015-09-22,760.23,775.12,735.48,739.64,105496.0
2015-09-23,737.51,757.26,726.92,749.09,121266.0
2015-09-24,752.31,767.15,743.64,763.1,56042.0
2015-09-28,764.28,778.74,755.28,760.32,135169.0
2015-09-29,750.33,750.33,732.51,740.43,84421.0
2015-09-30,737.46,755.97,732.51,734.29,110922.0
2015-10-01,735.48,744.39,728.5,730.43,101462.0
2015-10-05,732.61,738.45,719.74,723.25,104656.0
2015-10-06,724.59,734.39,720.63,722.16,90844.0
2015-10-07,728.55,728.55,703.9,705.88,103003.0
2015-10-08,707.27,725.53,692.91,713.65,201166.0
2015-10-09,720.63,724.0,709.74,716.77,96191.0
2015-10-12,710.14,719.64,707.27,716.87,68580.0
2015-10-13,718.65,733.2,709.3,728.8,144848.0
2015-10-14,734.49,738.94,727.56,734.39,69334.0
2015-10-15,740.68,755.28,727.86,742.31,203677.0
2015-10-16,738.45,767.15,736.77,763.79,320678.0
2015-10-19,766.46,769.13,750.62,755.82,178091.0
2015-10-20,758.0,759.14,743.4,744.78,47468.0
2015-10-21,747.36,753.2,742.75,748.84,38500.0
2015-10-23,750.33,752.31,732.01,737.61,615779.0
2015-10-26,738.45,757.85,729.54,749.14,114001.0
2015-10-27,755.18,792.89,743.4,779.82,510304.0
2015-10-28,778.24,789.82,767.2,771.71,280010.0
2015-10-29,763.39,779.08,763.24,773.84,199582.0
2015-10-30,770.12,783.98,743.5,771.26,1065525.0
2015-11-02,762.21,770.82,741.62,762.45,173250.0
2015-11-03,757.26,764.53,741.62,745.13,208139.0
2015-11-04,747.36,751.07,737.71,739.09,86899.0
2015-11-05,732.01,742.26,708.26,725.98,167157.0
2015-11-06,713.7,730.53,688.06,696.63,234418.0
2015-11-09,683.01,718.65,674.21,714.89,212882.0
2015-11-10,717.66,722.61,705.88,708.6,52248.0
2015-11-11,717.66,722.61,705.88,708.6,52248.0
2015-11-13,717.66,717.76,707.86,711.87,80087.0
2015-11-16,711.72,726.57,700.83,718.45,81799.0
2015-11-17,724.59,744.93,712.71,736.17,149971.0
2015-11-18,739.44,759.53,737.85,749.58,210878.0
2015-11-19,752.31,776.46,752.31,767.5,181534.0
2015-11-20,770.37,770.37,753.4,758.69,85283.0
2015-11-23,758.25,782.0,758.25,771.96,156294.0
2015-11-24,768.14,768.19,755.28,760.37,93624.0
2015-11-26,757.5,769.13,745.08,754.58,77664.0
2015-11-27,746.52,762.21,745.48,757.7,56486.0
2015-11-30,757.26,799.82,751.81,782.7,675431.0
2015-12-01,776.06,785.76,763.79,777.75,120985.0
2015-12-02,768.29,790.86,762.21,763.69,77466.0
2015-12-03,759.53,767.2,748.35,760.03,91754.0
2015-12-04,753.1,799.23,750.48,764.98,368905.0
2015-12-07,774.88,774.88,745.58,749.83,190040.0
2015-12-08,749.34,754.29,736.57,743.2,128562.0
2015-12-09,746.22,753.2,723.6,750.72,227513.0
2015-12-10,760.23,760.23,729.34,751.17,822052.0
2015-12-11,746.37,760.13,737.61,741.17,131451.0
2015-12-14,737.46,751.32,732.51,746.96,124139.0
2015-12-15,747.85,752.21,737.46,744.34,107546.0
2015-12-16,746.61,755.28,737.56,739.59,103649.0
2015-12-17,749.24,749.68,732.51,734.69,175851.0
2015-12-18,737.41,742.11,730.58,734.88,72582.0
2015-12-21,735.73,741.42,723.7,732.21,67857.0
2015-12-22,737.46,745.18,730.53,738.5,57420.0
2015-12-23,735.48,756.76,735.48,744.39,114199.0
2015-12-24,746.37,755.28,738.45,741.17,47829.0
2015-12-28,752.31,752.31,734.49,737.56,43636.0
2015-12-29,740.38,743.2,737.46,740.97,31737.0
2015-12-30,740.43,753.3,734.49,741.32,65631.0
2015-12-31,744.68,744.68,732.81,734.39,62866.0
2016-01-01,733.5,740.13,732.51,734.79,37731.0
