,open,high,low,close,volume
2015-05-15,217.98,220.66,215.77,216.74,1026864.0
2015-05-18,217.43,218.54,214.25,216.56,671867.0
2015-05-19,215.77,223.15,214.39,221.12,1965533.0
2015-05-20,221.3,227.57,218.54,223.52,897012.0
2015-05-21,227.76,230.43,224.99,226.79,1636317.0
2015-05-22,227.76,228.54,223.19,224.39,773336.0
2015-05-25,222.96,226.84,220.47,221.49,914728.0
2015-05-26,221.3,225.82,220.57,223.38,1126104.0
2015-05-27,219.64,226.84,217.8,224.67,954854.0
2015-05-28,224.12,228.63,222.23,227.34,1399415.0
2015-05-29,228.27,230.16,223.84,227.62,1091959.0
2015-06-01,230.52,236.61,230.52,233.75,1714975.0
2015-06-02,234.67,235.78,226.88,229.14,1255172.0
2015-06-03,226.74,227.07,210.56,223.33,1751598.0
2015-06-04,224.91,226.73,218.17,224.77,964932.0
2015-06-05,223.33,224.45,216.64,217.52,1558849.0
2015-06-08,217.94,218.22,212.08,216.36,1022477.0
2015-06-09,213.85,221.66,212.87,217.43,1079007.0
2015-06-10,216.55,221.47,212.55,214.73,1167794.0
2015-06-11,218.4,218.4,202.83,204.36,1560943.0
2015-06-12,204.37,208.27,202.55,205.48,812081.0
2015-06-15,205.95,211.43,204.23,209.25,687550.0
2015-06-16,209.76,210.32,202.64,205.67,706500.0
2015-06-17,206.5,210.83,205.57,208.97,841189.0
2015-06-18,209.66,212.41,209.2,211.11,670596.0
2015-06-19,211.99,213.29,207.9,211.57,570260.0
2015-06-22,211.99,217.52,210.59,216.41,797811.0
2015-06-23,216.82,220.26,214.5,219.47,839420.0
2015-06-24,220.36,221.1,210.32,212.08,841671.0
2015-06-25,211.25,215.71,210.46,214.17,1300754.0
2015-06-26,212.45,218.4,209.76,215.71,1084199.0
2015-06-29,208.27,215.52,207.39,214.27,914201.0
2015-06-30,212.55,218.4,212.55,217.06,973877.0
2015-07-01,216.87,221.15,216.87,220.08,733555.0
2015-07-02,221.29,227.42,221.01,226.21,1690924.0
2015-07-03,227.24,227.52,218.54,219.57,1349072.0
2015-07-06,218.31,222.77,214.27,222.08,751603.0
2015-07-07,230.12,230.58,220.4,221.38,1821158.0
2015-07-08,218.4,220.82,212.87,215.1,1565621.0
2015-07-09,216.64,216.64,210.97,211.62,999243.0
2015-07-10,213.01,215.71,212.73,213.85,628401.0
2015-07-13,214.13,219.33,212.45,218.54,756404.0
2015-07-14,219.89,219.94,213.15,214.13,1084321.0
2015-07-15,215.34,222.91,214.41,221.47,1656466.0
2015-07-16,223.15,224.54,218.96,223.43,1025651.0
2015-07-17,222.82,224.82,220.96,221.84,783218.0
2015-07-20,222.31,222.59,217.43,221.71,952501.0
2015-07-21,220.45,229.24,218.64,220.03,1535998.0
2015-07-22,218.96,228.73,217.99,226.59,1206491.0
2015-07-23,222.68,237.93,222.68,231.38,2806693.0
2015-07-24,232.17,236.63,226.68,228.35,1322605.0
2015-07-27,226.91,227.7,219.47,219.94,1263156.0
2015-07-28,221.94,223.05,218.27,220.45,1312122.0
2015-07-29,221.24,227.89,218.68,226.73,1672715.0
2015-07-30,227.8,233.65,225.38,231.7,2634975.0
2015-07-31,233.75,234.16,227.61,228.49,1230171.0
2015-08-03,229.42,232.82,229.42,232.35,1131807.0
2015-08-04,234.3,234.3,225.66,230.77,960983.0
2015-08-05,232.44,249.09,229.05,243.51,3257357.0
2015-08-06,245.46,247.97,241.23,243.09,2191167.0
2015-08-07,241.04,244.53,237.42,239.51,1674818.0
2015-08-10,239.88,244.62,232.96,236.49,1440709.0
2015-08-11,237.09,240.44,233.05,234.72,1490024.0
2015-08-12,232.44,235.14,220.87,222.08,1290121.0
2015-08-13,223.8,226.4,214.22,219.01,1916779.0
2015-08-14,221.75,234.3,220.59,231.65,3741288.0
2015-08-17,233.23,238.07,228.12,236.21,3004758.0
2015-08-18,236.16,238.21,229.79,232.54,1375084.0
2015-08-19,232.26,243.18,230.17,241.7,2489500.0
2015-08-20,241.7,243.74,229.19,230.45,2712166.0
