,open,high,low,close,volume
2015-05-15,194.11,195.78,193.96,194.88,5449191.0
2015-05-18,195.42,199.36,194.79,198.82,6909570.0
2015-05-19,198.08,200.56,197.48,198.56,8570938.0
2015-05-20,198.53,199.54,197.33,198.2,5162050.0
2015-05-21,198.82,199.06,194.64,195.48,7181827.0
2015-05-22,196.44,198.97,194.32,196.52,12481645.0
2015-05-25,191.93,193.75,188.91,189.15,23429841.0
2015-05-26,189.57,189.57,186.73,187.48,11023632.0
2015-05-27,188.08,190.32,187.48,189.69,9133684.0
2015-05-28,189.93,192.53,188.97,191.93,19995216.0
2015-05-29,192.26,197.0,190.26,195.3,19800852.0
2015-06-01,194.35,199.27,194.35,198.26,10060566.0
2015-06-02,196.38,196.61,189.63,190.26,10848667.0
2015-06-03,193.04,193.07,184.92,187.26,20673919.0
2015-06-04,187.63,188.64,183.44,185.53,11005213.0
2015-06-05,185.44,189.41,181.47,187.2,16952341.0
2015-06-08,188.86,189.63,185.93,187.23,10292947.0
2015-06-09,185.72,186.4,184.37,184.92,9910851.0
2015-06-10,184.92,186.64,183.69,185.23,9495678.0
2015-06-11,185.78,185.78,181.6,182.74,11093535.0
2015-06-12,182.58,184.64,181.47,183.04,8332143.0
2015-06-15,182.7,186.24,180.86,183.63,8358516.0
2015-06-16,183.32,184.64,181.63,183.9,7925889.0
2015-06-17,183.63,186.46,182.86,185.23,10478310.0
2015-06-18,185.29,187.26,184.67,185.72,10877230.0
2015-06-19,186.27,187.9,186.03,187.63,8432328.0
2015-06-22,188.36,192.02,187.44,190.95,6930591.0
2015-06-23,190.95,193.78,189.23,193.5,7304830.0
2015-06-24,193.9,195.69,191.35,192.95,7095483.0
2015-06-25,191.07,194.05,190.55,192.15,10481764.0
2015-06-26,192.15,192.15,188.89,189.44,5303367.0
2015-06-29,187.75,191.29,186.86,190.67,9358834.0
2015-06-30,190.83,194.92,189.5,193.87,11208213.0
2015-07-01,193.93,194.64,192.24,192.92,8522590.0
2015-07-02,193.22,195.19,192.86,193.81,6318825.0
2015-07-03,193.35,194.95,192.15,194.15,4932244.0
2015-07-06,192.49,196.02,191.93,195.87,4255447.0
2015-07-07,196.02,196.42,194.45,195.22,7314093.0
2015-07-08,193.87,194.39,190.33,192.52,11181192.0
2015-07-09,192.42,193.72,190.61,191.07,6463005.0
2015-07-10,190.09,191.75,188.58,190.64,7216086.0
2015-07-13,192.55,194.64,190.06,193.53,6378112.0
2015-07-14,193.13,194.7,191.1,192.12,5262649.0
2015-07-15,191.53,193.9,191.53,193.16,5476899.0
2015-07-16,193.66,196.79,192.12,195.59,5621997.0
2015-07-17,195.96,199.25,195.41,198.27,5906158.0
2015-07-20,197.96,198.98,196.36,197.16,4762983.0
2015-07-21,197.16,198.36,192.24,192.79,6807573.0
2015-07-22,191.99,195.59,191.13,193.47,7761358.0
2015-07-23,193.84,195.28,191.93,193.84,5422179.0
2015-07-24,193.78,194.15,192.24,193.5,4043730.0
2015-07-27,191.63,192.76,190.58,191.72,5118397.0
2015-07-28,191.9,193.1,190.43,191.44,6543582.0
2015-07-29,191.32,191.93,184.92,187.01,9357954.0
2015-07-30,187.01,195.53,184.55,194.36,19974736.0
2015-07-31,195.59,201.41,193.96,200.54,16320411.0
2015-08-03,200.54,205.16,199.99,203.96,14353090.0
2015-08-04,203.9,203.96,199.65,202.94,9935278.0
2015-08-05,202.94,204.88,200.91,204.11,5709988.0
2015-08-06,203.34,203.62,199.31,200.7,8460196.0
2015-08-07,199.31,200.3,198.08,199.59,4471840.0
2015-08-10,199.62,201.31,196.45,197.44,5584849.0
2015-08-11,196.92,198.02,194.61,196.92,5315647.0
2015-08-12,196.85,196.85,194.39,194.85,11926686.0
2015-08-13,195.25,196.67,186.4,194.61,6644727.0
2015-08-14,195.32,197.01,193.53,195.72,7597824.0
2015-08-17,196.42,196.73,194.09,194.95,4328919.0
2015-08-18,194.7,195.99,192.3,193.69,9079849.0
2015-08-19,193.16,195.62,190.09,194.95,7373896.0
2015-08-20,195.69,203.22,194.61,202.61,18008401.0
2015-08-21,202.36,203.81,198.55,203.47,17768257.0
2015-08-24,197.5,202.7,194.15,196.98,16485139.0
2015-08-25,198.11,200.64,192.24,196.79,21275217.0
2015-08-26,195.38,197.38,192.92,195.41,16155688.0
2015-08-27,199.01,201.5,194.61,200.36,20038834.0
2015-08-28,202.61,202.61,199.75,201.16,9725322.0
2015-08-31,199.78,202.08,197.84,200.02,9634683.0
