,open,high,low,close,volume
2015-05-15,20.65,20.95,20.3,20.35,87042.0
2015-05-18,20.65,20.65,20.1,20.35,67722.0
2015-05-19,20.3,20.8,20.15,20.55,77935.0
2015-05-20,20.75,22.9,20.6,22.55,678141.0
2015-05-21,23.2,23.2,21.0,21.3,163199.0
2015-05-22,22.4,22.4,21.2,21.6,209486.0
2015-05-25,21.2,21.8,20.85,21.0,89102.0
2015-05-26,21.05,21.15,20.5,20.65,42147.0
2015-05-27,20.55,20.85,20.25,20.6,28452.0
2015-05-28,20.95,21.35,20.7,20.8,64688.0
2015-05-29,20.7,21.15,20.5,20.65,73340.0
2015-06-01,21.35,22.4,21.1,21.85,387110.0
2015-06-02,21.7,21.7,20.8,20.95,88351.0
2015-06-03,21.4,21.85,20.15,20.45,333644.0
2015-06-04,20.65,20.8,20.15,20.3,77820.0
2015-06-05,20.1,20.65,20.05,20.2,80294.0
2015-06-08,20.25,20.25,19.75,19.85,49144.0
2015-06-09,19.7,19.85,19.3,19.4,53402.0
2015-06-10,19.5,20.6,19.25,19.85,186108.0
2015-06-11,19.7,20.4,19.55,19.6,66759.0
2015-06-12,19.5,19.8,19.2,19.55,88722.0
2015-06-15,20.0,20.0,19.3,19.55,82638.0
2015-06-16,19.4,19.7,19.35,19.55,66765.0
2015-06-17,19.5,20.3,19.5,19.9,96404.0
2015-06-18,20.0,21.5,19.7,20.7,281942.0
2015-06-19,21.0,21.9,20.5,21.05,345523.0
2015-06-22,21.0,21.35,19.5,20.55,160989.0
2015-06-23,20.8,22.2,20.55,21.15,283014.0
2015-06-24,21.25,23.95,21.0,23.25,1266558.0
2015-06-25,23.2,25.1,23.15,24.4,2317112.0
2015-06-26,24.85,24.85,21.25,22.2,713355.0
2015-06-29,21.5,21.6,20.7,21.4,216039.0
2015-06-30,21.7,22.25,21.35,21.75,160779.0
2015-07-01,24.5,25.3,23.5,23.8,1464422.0
2015-07-02,23.7,24.25,23.1,23.75,391473.0
2015-07-03,23.9,25.5,23.35,23.95,775270.0
2015-07-06,22.6,23.75,22.6,23.55,213582.0
2015-07-07,23.65,23.95,23.2,23.45,122379.0
2015-07-08,23.1,23.7,22.5,22.75,159906.0
2015-07-09,22.95,23.4,22.4,22.55,109088.0
2015-07-10,22.85,23.2,22.35,22.45,85619.0
2015-07-13,22.1,26.8,22.1,26.25,1953682.0
2015-07-14,28.4,29.25,26.6,26.9,2118309.0
2015-07-15,28.0,28.35,26.65,27.0,691885.0
2015-07-16,26.7,27.3,26.05,26.15,275705.0
2015-07-17,26.35,26.5,25.3,25.4,210517.0
2015-07-20,25.1,30.45,24.7,28.7,1991770.0
2015-07-21,28.3,28.55,26.1,26.5,435549.0
2015-07-22,26.25,27.6,25.8,26.9,381853.0
2015-07-23,26.6,27.3,26.15,26.55,217849.0
2015-07-24,26.55,26.7,25.75,25.9,210962.0
2015-07-27,26.45,27.7,25.9,26.4,516935.0
2015-07-28,26.2,26.75,25.5,25.9,174580.0
2015-07-29,26.5,26.8,25.9,26.15,198902.0
2015-07-30,26.3,26.5,25.75,25.85,188055.0
2015-07-31,26.05,27.3,26.0,26.2,376329.0
2015-08-03,26.5,29.6,26.3,28.55,1046491.0
2015-08-04,28.15,29.3,28.1,28.85,525083.0
2015-08-05,29.8,29.95,28.5,29.05,653002.0
2015-08-06,29.05,29.25,28.1,28.3,224490.0
2015-08-07,28.3,29.8,27.2,28.0,452532.0
2015-08-10,28.6,29.45,28.0,28.7,347429.0
2015-08-11,29.0,33.25,28.1,31.25,4549899.0
2015-08-12,31.35,31.35,28.5,28.65,765638.0
2015-08-13,29.0,29.75,27.5,27.85,305300.0
2015-08-14,28.05,28.4,27.25,27.95,277075.0
2015-08-17,28.0,28.25,27.2,27.55,148947.0
2015-08-18,27.7,28.8,27.7,27.85,284310.0
2015-08-19,27.85,28.2,27.65,27.75,126774.0
2015-08-20,27.5,27.9,26.8,27.0,154037.0
2015-08-21,26.0,26.75,26.0,26.4,124518.0
2015-08-24,25.65,25.65,23.75,24.1,244062.0
2015-08-25,24.4,25.1,21.6,23.05,187294.0
2015-08-26,23.0,23.95,22.35,22.85,112986.0
2015-08-27,23.3,24.5,23.3,24.0,127948.0
2015-08-28,24.9,24.9,23.6,23.95,97415.0
2015-08-31,23.3,24.45,23.3,23.75,95640.0
2015-09-01,23.5,23.75,22.4,22.8,79557.0
2015-09-02,23.4,23.8,22.3,23.1,91253.0
2015-09-03,23.25,24.2,23.0,23.25,111487.0
2015-09-04,23.5,23.5,21.85,22.0,119638.0
2015-09-07,22.0,22.7,21.8,22.0,102326.0
