,open,high,low,close,volume
2015-05-15,154.14,154.14,154.14,154.14,0.0
2015-05-18,154.14,154.14,154.14,154.14,0.0
2015-05-19,154.14,154.14,154.14,154.14,0.0
2015-05-20,154.14,154.14,154.14,154.14,0.0
2015-05-21,154.14,154.14,154.14,154.14,0.0
2015-05-22,154.14,154.14,154.14,154.14,0.0
2015-05-25,154.14,154.14,154.14,154.14,0.0
2015-05-26,154.14,154.14,154.14,154.14,0.0
2015-05-27,154.14,154.14,154.14,154.14,0.0
2015-05-28,154.14,154.14,154.14,154.14,0.0
2015-05-29,154.14,154.14,154.14,154.14,0.0
2015-06-01,154.14,154.14,154.14,154.14,0.0
2015-06-02,154.14,154.14,154.14,154.14,0.0
2015-06-03,154.14,154.14,154.14,154.14,0.0
2015-06-04,154.14,154.14,154.14,154.14,0.0
2015-06-05,154.14,154.14,154.14,154.14,0.0
2015-06-08,154.14,154.14,154.14,154.14,0.0
2015-06-09,154.14,154.14,154.14,154.14,0.0
2015-06-10,154.14,154.14,154.14,154.14,0.0
2015-06-11,154.14,154.14,154.14,154.14,0.0
2015-06-12,154.14,154.14,154.14,154.14,0.0
2015-06-15,154.14,154.14,154.14,154.14,0.0
2015-06-16,154.14,154.14,154.14,154.14,0.0
2015-06-17,154.14,154.14,154.14,154.14,0.0
2015-06-18,154.14,154.14,154.14,154.14,0.0
2015-06-19,154.14,154.14,154.14,154.14,0.0
2015-06-22,154.14,154.14,154.14,154.14,0.0
2015-06-23,154.14,154.14,154.14,154.14,0.0
2015-06-24,154.14,154.14,154.14,154.14,0.0
2015-06-25,154.14,154.14,154.14,154.14,0.0
2015-06-26,154.14,154.14,154.14,154.14,0.0
2015-06-29,154.14,154.14,154.14,154.14,0.0
2015-06-30,154.14,154.14,154.14,154.14,0.0
2015-07-01,154.14,154.14,154.14,154.14,0.0
2015-07-02,154.14,154.14,154.14,154.14,0.0
2015-07-03,154.14,154.14,154.14,154.14,0.0
2015-07-06,154.14,154.14,154.14,154.14,0.0
2015-07-07,154.14,154.14,154.14,154.14,0.0
2015-07-08,154.14,154.14,154.14,154.14,0.0
2015-07-09,154.14,154.14,154.14,154.14,0.0
2015-07-10,154.14,154.14,154.14,154.14,0.0
2015-07-13,154.14,154.14,154.14,154.14,0.0
2015-07-14,154.14,154.14,154.14,154.14,0.0
2015-07-15,154.14,154.14,154.14,154.14,0.0
2015-07-16,154.14,154.14,154.14,154.14,0.0
2015-07-17,154.14,154.14,154.14,154.14,0.0
2015-07-20,154.14,154.14,154.14,154.14,0.0
2015-07-21,154.14,154.14,154.14,154.14,0.0
2015-07-22,154.14,154.14,154.14,154.14,0.0
2015-07-23,154.14,154.14,154.14,154.14,0.0
2015-07-24,154.14,154.14,154.14,154.14,0.0
2015-07-27,154.14,154.14,154.14,154.14,0.0
2015-07-28,154.14,154.14,154.14,154.14,0.0
2015-07-29,154.14,154.14,154.14,154.14,0.0
2015-07-30,154.14,154.14,154.14,154.14,0.0
2015-07-31,154.14,154.14,154.14,154.14,0.0
2015-08-03,154.14,154.14,154.14,154.14,0.0
2015-08-04,154.14,154.14,154.14,154.14,0.0
2015-08-05,154.14,154.14,154.14,154.14,0.0
2015-08-06,154.14,154.14,154.14,154.14,0.0
2015-08-07,154.14,154.14,154.14,154.14,0.0
2015-08-10,154.14,154.14,154.14,154.14,0.0
2015-08-11,154.14,154.14,154.14,154.14,0.0
2015-08-12,154.14,154.14,154.14,154.14,0.0
2015-08-13,156.21,156.21,156.21,156.21,0.0
2015-08-14,156.21,156.21,156.21,156.21,0.0
2015-08-17,156.21,156.21,156.21,156.21,0.0
2015-08-18,156.21,156.21,156.21,156.21,0.0
2015-08-19,156.21,156.21,156.21,156.21,0.0
2015-08-20,156.21,156.21,156.21,156.21,0.0
2015-08-21,156.21,156.21,156.21,156.21,0.0
2015-08-24,156.21,156.21,156.21,156.21,0.0
2015-08-25,156.21,156.21,156.21,156.21,0.0
2015-08-26,156.21,156.21,156.21,156.21,0.0
2015-08-27,156.21,156.21,156.21,156.21,0.0
2015-08-28,156.21,156.21,156.21,156.21,0.0
2015-08-31,156.21,156.21,156.21,156.21,0.0
2015-09-01,156.21,156.21,156.21,156.21,0.0
2015-09-02,156.21,156.21,156.21,156.21,0.0
2015-09-03,156.21,156.21,156.21,156.21,0.0
2015-09-04,156.21,156.21,156.21,156.21,0.0
2015-09-07,156.21,156.21,156.21,156.21,0.0
2015-09-08,156.21,156.21,156.21,156.21,0.0
2015-09-09,156.21,156.21,156.21,156.21,0.0
2015-09-10,156.21,156.21,156.21,156.21,0.0
2015-09-11,156.21,156.21,156.21,156.21,0.0
2015-09-14,156.21,156.21,156.21,156.21,0.0
2015-09-15,156.21,156.21,156.21,156.21,0.0
2015-09-16,156.21,156.21,156.21,156.21,0.0
2015-09-18,156.21,156.21,156.21,156.21,0.0
2015-09-21,156.21,156.21,156.21,156.21,0.0
2015-09-22,156.21,156.21,156.21,156.21,0.0
2015-09-23,156.21,156.21,156.21,156.21,0.0
2015-09-24,156.21,156.21,156.21,156.21,0.0
2015-09-28,156.21,156.21,156.21,156.21,0.0
2015-09-29,156.21,156.21,156.21,156.21,0.0
2015-09-30,156.21,156.21,156.21,156.21,0.0
2015-10-01,156.21,156.21,156.21,156.21,0.0
2015-10-05,156.21,156.21,156.21,156.21,0.0
2015-10-06,156.21,156.21,156.21,156.21,0.0
2015-10-07,156.21,156.21,156.21,156.21,0.0
2015-10-08,156.21,156.21,156.21,156.21,0.0
2015-10-09,156.21,156.21,156.21,156.21,0.0
2015-10-12,156.21,156.21,156.21,156.21,0.0
2015-10-13,156.21,156.21,156.21,156.21,0.0
2015-10-14,156.21,156.21,156.21,156.21,0.0
2015-10-15,156.21,156.21,156.21,156.21,0.0
2015-10-16,156.21,156.21,156.21,156.21,0.0
2015-10-19,156.21,156.21,156.21,156.21,0.0
2015-10-20,156.21,156.21,156.21,156.21,0.0
2015-10-21,156.21,156.21,156.21,156.21,0.0
2015-10-23,156.21,156.21,156.21,156.21,0.0
2015-10-26,156.21,156.21,156.21,156.21,0.0
2015-10-27,156.21,156.21,156.21,156.21,0.0
2015-10-28,156.21,156.21,156.21,156.21,0.0
2015-10-29,156.21,156.21,156.21,156.21,0.0
2015-10-30,156.21,156.21,156.21,156.21,0.0
2015-11-02,156.21,156.21,156.21,156.21,0.0
2015-11-03,156.21,156.21,156.21,156.21,0.0
2015-11-04,156.21,156.21,156.21,156.21,0.0
2015-11-05,156.21,156.21,156.21,156.21,0.0
2015-11-06,156.21,156.21,156.21,156.21,0.0
2015-11-09,156.21,156.21,156.21,156.21,0.0
2015-11-10,156.21,156.21,156.21,156.21,0.0
2015-11-11,156.21,156.21,156.21,156.21,0.0
2015-11-13,156.21,156.21,156.21,156.21,0.0
2015-11-16,156.21,156.21,156.21,156.21,0.0
2015-11-17,156.21,156.21,156.21,156.21,0.0
2015-11-18,156.21,156.21,156.21,156.21,0.0
2015-11-19,156.21,156.21,156.21,156.21,0.0
2015-11-20,156.21,156.21,156.21,156.21,0.0
2015-11-23,156.21,156.21,156.21,156.21,0.0
2015-11-24,156.21,156.21,156.21,156.21,0.0
2015-11-26,156.21,156.21,156.21,156.21,0.0
2015-11-27,156.21,156.21,156.21,156.21,0.0
2015-11-30,156.21,156.21,156.21,156.21,0.0
2015-12-01,156.21,156.21,156.21,156.21,0.0
2015-12-02,156.21,156.21,156.21,156.21,0.0
2015-12-03,156.21,156.21,156.21,156.21,0.0
2015-12-04,156.21,156.21,156.21,156.21,0.0
2015-12-07,156.21,156.21,156.21,156.21,0.0
2015-12-08,156.21,156.21,156.21,156.21,0.0
2015-12-09,156.21,156.21,156.21,156.21,0.0
2015-12-10,156.21,156.21,156.21,156.21,0.0
2015-12-11,156.21,156.21,156.21,156.21,0.0
2015-12-14,156.21,156.21,156.21,156.21,0.0
2015-12-15,156.21,156.21,156.21,156.21,0.0
2015-12-16,156.21,156.21,156.21,156.21,0.0
2015-12-17,156.21,156.21,156.21,156.21,0.0
2015-12-18,156.21,156.21,156.21,156.21,0.0
2015-12-21,156.21,156.21,156.21,156.21,0.0
2015-12-22,156.21,156.21,156.21,156.21,0.0
2015-12-23,156.21,156.21,156.21,156.21,0.0
2015-12-24,156.21,156.21,156.21,156.21,0.0
2015-12-28,156.21,156.21,156.21,156.21,0.0
2015-12-29,156.21,156.21,156.21,156.21,0.0
2015-12-30,156.21,156.21,156.21,156.21,0.0
2015-12-31,156.21,156.21,156.21,156.21,0.0
2016-01-01,156.21,156.21,156.21,156.21,0.0
2016-01-04,156.21,156.21,156.21,156.21,0.0
2016-01-05,156.21,156.21,156.21,156.21,0.0
2016-01-06,156.21,156.21,156.21,156.21,0.0
2016-01-07,156.21,156.21,156.21,156.21,0.0
2016-01-08,156.21,156.21,156.21,156.21,0.0
2016-01-11,156.21,156.21,156.21,156.21,0.0
2016-01-12,156.21,156.21,156.21,156.21,0.0
2016-01-13,156.21,156.21,156.21,156.21,0.0
2016-01-14,156.21,156.21,156.21,156.21,0.0
2016-01-15,156.21,156.21,156.21,156.21,0.0
2016-01-18,156.21,156.21,156.21,156.21,0.0
2016-01-19,156.21,156.21,156.21,156.21,0.0
2016-01-20,156.21,156.21,156.21,156.21,0.0
2016-01-21,156.21,156.21,156.21,156.21,0.0
2016-01-22,156.21,156.21,156.21,156.21,0.0
2016-01-25,156.21,156.21,156.21,156.21,0.0
2016-01-27,156.21,156.21,156.21,156.21,0.0
2016-01-28,156.21,156.21,156.21,156.21,0.0
2016-01-29,156.21,156.21,156.21,156.21,0.0
2016-02-01,156.21,156.21,156.21,156.21,0.0
2016-02-02,156.21,156.21,156.21,156.21,0.0
2016-02-03,156.21,156.21,156.21,156.21,0.0
2016-02-04,156.21,156.21,156.21,156.21,0.0
2016-02-05,156.21,156.21,156.21,156.21,0.0
2016-02-08,156.21,156.21,156.21,156.21,0.0
2016-02-09,156.21,156.21,156.21,156.21,0.0
2016-02-10,156.21,156.21,156.21,156.21,0.0
2016-02-11,156.21,156.21,156.21,156.21,0.0
2016-02-12,156.21,156.21,156.21,156.21,0.0
2016-02-15,156.21,156.21,156.21,156.21,0.0
2016-02-16,156.21,156.21,156.21,156.21,0.0
2016-02-17,156.21,156.21,156.21,156.21,0.0
2016-02-18,156.21,156.21,156.21,156.21,0.0
2016-02-19,156.21,156.21,156.21,156.21,0.0
2016-02-22,156.21,156.21,156.21,156.21,0.0
2016-02-23,156.21,156.21,156.21,156.21,0.0
2016-02-24,156.21,156.21,156.21,156.21,0.0
2016-02-25,156.21,156.21,156.21,156.21,0.0
2016-02-26,156.21,156.21,156.21,156.21,0.0
2016-02-29,156.21,156.21,156.21,156.21,0.0
2016-03-01,156.21,156.21,156.21,156.21,0.0
2016-03-02,156.21,156.21,156.21,156.21,0.0
2016-03-03,156.21,156.21,156.21,156.21,0.0
2016-03-04,156.21,156.21,156.21,156.21,0.0
2016-03-08,156.21,156.21,156.21,156.21,0.0
2016-03-09,156.21,156.21,156.21,156.21,0.0
2016-03-10,156.21,156.21,156.21,156.21,0.0
2016-03-11,156.21,156.21,156.21,156.21,0.0
2016-03-14,156.21,156.21,156.21,156.21,0.0
2016-03-15,156.21,156.21,156.21,156.21,0.0
2016-03-16,156.21,156.21,156.21,156.21,0.0
2016-03-17,156.21,156.21,156.21,156.21,0.0
2016-03-18,156.21,156.21,156.21,156.21,0.0
2016-03-21,156.21,156.21,156.21,156.21,0.0
2016-03-22,156.21,156.21,156.21,156.21,0.0
2016-03-23,156.21,156.21,156.21,156.21,0.0
2016-03-28,156.21,156.21,156.21,156.21,0.0
2016-03-29,156.21,156.21,156.21,156.21,0.0
2016-03-30,156.21,156.21,156.21,156.21,0.0
2016-03-31,156.21,156.21,156.21,156.21,0.0
2016-04-01,156.21,156.21,156.21,156.21,0.0
2016-04-04,156.21,156.21,156.21,156.21,0.0
2016-04-05,156.21,156.21,156.21,156.21,0.0
2016-04-06,156.21,156.21,156.21,156.21,0.0
2016-04-07,156.21,156.21,156.21,156.21,0.0
2016-04-08,156.21,156.21,156.21,156.21,0.0
2016-04-11,156.21,156.21,156.21,156.21,0.0
2016-04-12,156.21,156.21,156.21,156.21,0.0
2016-04-13,156.21,156.21,156.21,156.21,0.0
2016-04-18,156.21,156.21,156.21,156.21,0.0
2016-04-20,156.21,156.21,156.21,156.21,0.0
2016-04-21,156.21,156.21,156.21,156.21,0.0
2016-04-22,156.21,156.21,156.21,156.21,0.0
2016-04-25,156.21,156.21,156.21,156.21,0.0
2016-04-26,156.21,156.21,156.21,156.21,0.0
2016-04-27,156.21,156.21,156.21,156.21,0.0
2016-04-28,156.21,156.21,156.21,156.21,0.0
2016-04-29,156.21,156.21,156.21,156.21,0.0
