,open,high,low,close,volume
2015-05-15,100.3,105.63,99.73,103.77,88463.0
2015-05-18,103.94,108.2,103.94,107.63,54763.0
2015-05-19,106.96,108.29,105.32,107.94,30378.0
2015-05-20,108.12,109.89,108.12,109.27,30223.0
2015-05-21,108.74,109.76,106.87,107.49,18679.0
2015-05-22,105.63,108.29,105.19,105.59,11707.0
2015-05-25,106.16,106.34,102.57,103.5,11036.0
2015-05-26,103.86,105.45,102.26,102.97,1100806.0
2015-05-27,102.52,104.65,101.72,102.48,34642.0
2015-05-28,103.32,103.32,100.97,101.99,11829.0
2015-05-29,102.52,104.3,100.39,103.5,61884.0
2015-06-01,106.47,111.62,103.94,105.05,194144.0
2015-06-02,106.47,108.29,104.52,105.23,15702.0
2015-06-03,103.06,105.54,101.46,103.15,83859.0
2015-06-04,103.5,110.69,103.06,109.23,81334.0
2015-06-05,109.63,109.63,106.56,107.23,18031.0
2015-06-08,107.41,110.25,103.94,108.2,70899.0
2015-06-09,107.72,107.72,104.12,104.57,21645.0
2015-06-10,106.52,108.03,102.44,103.46,43093.0
2015-06-11,103.81,105.05,100.66,100.79,101095.0
2015-06-12,101.28,102.79,100.75,101.5,23926.0
2015-06-15,101.99,103.01,99.95,101.5,9427.0
2015-06-16,101.06,108.12,100.7,103.23,422886.0
2015-06-17,103.19,104.57,102.39,103.9,318264.0
2015-06-18,103.81,105.54,103.81,104.21,23775.0
2015-06-19,105.05,105.9,103.86,104.12,264051.0
2015-06-22,103.01,105.36,103.01,104.43,135457.0
2015-06-23,104.3,109.31,104.3,106.78,77701.0
2015-06-24,108.25,111.05,108.25,109.45,78103.0
2015-06-25,108.78,111.13,104.34,106.3,42053.0
2015-06-26,106.92,109.8,106.52,108.96,38275.0
2015-06-29,108.12,108.12,103.86,105.01,28277.0
2015-06-30,105.59,106.43,104.79,105.1,9093.0
2015-07-01,104.79,107.23,104.79,105.5,32393.0
2015-07-02,105.99,106.07,104.88,105.63,322036.0
2015-07-03,105.19,108.29,105.19,105.68,576048.0
2015-07-06,104.74,107.14,104.52,105.68,47059.0
2015-07-07,105.94,107.41,105.85,106.47,19940.0
2015-07-08,105.63,106.43,103.94,105.05,30937.0
2015-07-09,105.19,109.89,104.83,107.41,39148.0
2015-07-10,107.63,111.18,104.96,105.28,238570.0
2015-07-13,106.25,108.6,104.88,108.12,26360.0
2015-07-14,106.61,112.55,106.61,111.58,250235.0
2015-07-15,112.73,119.66,112.73,118.01,278486.0
2015-07-16,118.46,121.08,115.66,118.46,87175.0
2015-07-17,121.61,122.5,116.37,117.17,48274.0
2015-07-20,117.35,119.83,115.88,118.9,42361.0
2015-07-21,118.37,119.79,116.73,118.99,50131.0
2015-07-22,118.06,118.63,116.5,117.57,18349.0
2015-07-23,117.13,119.39,116.99,118.77,468745.0
2015-07-24,122.05,122.41,118.95,119.3,108486.0
2015-07-27,119.83,120.72,118.1,119.21,41121.0
2015-07-28,128.71,132.26,116.77,118.63,1208979.0
2015-07-29,119.7,123.38,119.52,120.32,638284.0
2015-07-30,121.96,123.29,119.12,119.83,260204.0
2015-07-31,120.1,121.43,117.48,118.1,89068.0
2015-08-03,119.34,120.63,117.84,119.83,99007.0
2015-08-04,120.63,125.34,118.5,122.19,926713.0
2015-08-05,123.03,128.53,122.45,124.85,329005.0
2015-08-06,125.51,125.51,121.65,123.07,98713.0
2015-08-07,125.16,131.2,122.81,125.91,220426.0
2015-08-10,126.31,128.4,122.98,125.34,102776.0
2015-08-11,125.16,127.38,124.76,126.05,47871.0
2015-08-12,126.62,126.93,121.65,122.45,72615.0
2015-08-13,123.74,125.69,120.72,122.14,38202.0
2015-08-14,121.61,126.31,120.81,122.5,117652.0
2015-08-17,124.18,126.0,123.25,124.27,42496.0
2015-08-18,123.87,126.4,123.38,125.91,58449.0
2015-08-19,127.24,127.82,124.32,126.8,98681.0
2015-08-20,126.22,126.93,122.94,123.83,31004.0
2015-08-21,119.83,122.5,119.83,121.92,115504.0
2015-08-24,119.74,119.83,111.89,115.39,1119755.0
2015-08-25,117.66,127.38,112.78,117.84,56946.0
2015-08-26,116.02,121.92,116.02,117.26,41586.0
2015-08-27,124.01,124.01,117.75,119.03,442832.0
2015-08-28,121.39,124.27,118.41,119.03,255653.0
2015-08-31,118.95,123.29,118.06,121.08,74355.0
2015-09-01,122.5,122.5,118.15,118.81,35937.0
2015-09-02,119.12,121.56,118.46,119.39,1199552.0
2015-09-03,121.52,122.23,119.43,120.28,102643.0
2015-09-04,120.94,121.34,118.99,120.45,44902.0
2015-09-07,120.72,120.72,115.97,117.26,18825.0
2015-09-08,116.46,117.88,114.68,115.57,42007.0
2015-09-09,115.66,117.75,115.66,116.68,20942.0
2015-09-10,115.84,117.39,115.22,116.59,12716.0
2015-09-11,118.95,121.39,116.59,118.72,65213.0
2015-09-14,119.48,121.16,117.61,118.59,10714.0
2015-09-15,118.06,120.19,115.62,117.61,66512.0
2015-09-16,120.81,121.26,114.92,119.76,91316.0
2015-09-18,120.81,129.38,119.89,126.78,131705.0
2015-09-21,127.14,127.19,123.86,125.36,150691.0
2015-09-22,126.23,126.32,123.08,124.59,33844.0
2015-09-23,124.18,127.46,122.58,126.14,77597.0
2015-09-24,125.14,128.28,125.14,126.73,53720.0
2015-09-28,127.64,131.61,126.69,130.61,48788.0
2015-09-29,130.97,131.29,126.78,128.78,35437.0
2015-09-30,128.92,130.83,128.37,129.6,15011.0
2015-10-01,130.1,130.7,128.1,129.79,12233.0
2015-10-05,130.74,132.2,128.55,131.06,36290.0
2015-10-06,131.93,134.03,129.74,132.93,60680.0
2015-10-07,134.94,136.76,130.97,131.84,59390.0
2015-10-08,133.48,133.48,128.83,130.38,23486.0
2015-10-09,130.65,141.05,130.06,131.93,561418.0
2015-10-12,134.8,134.8,128.78,130.15,95873.0
2015-10-13,130.15,130.38,127.1,128.14,265431.0
2015-10-14,128.33,129.1,125.73,128.14,49262.0
2015-10-15,127.87,133.3,127.73,132.43,171375.0
2015-10-16,133.61,133.84,129.92,131.34,36598.0
2015-10-19,131.93,131.93,128.1,130.01,107995.0
2015-10-20,130.01,132.38,128.78,131.61,87236.0
2015-10-21,130.88,131.93,130.1,131.2,30310.0
2015-10-23,132.52,132.52,129.69,130.51,45967.0
2015-10-26,130.06,131.7,129.97,130.93,17428.0
2015-10-27,130.1,130.74,129.01,130.1,6830.0
2015-10-28,130.79,131.29,130.38,131.06,17523.0
2015-10-29,130.1,131.75,129.92,130.24,45889.0
2015-10-30,130.24,133.57,125.04,127.19,103170.0
2015-11-02,126.78,129.38,126.78,128.83,47656.0
2015-11-03,130.1,131.75,128.1,129.79,65086.0
2015-11-04,130.74,138.49,129.42,132.89,1012127.0
2015-11-05,133.34,136.76,129.47,130.56,78923.0
2015-11-06,130.56,132.66,129.79,130.42,12574.0
2015-11-09,128.46,132.25,125.82,131.2,23177.0
2015-11-10,131.93,136.67,131.93,135.62,157555.0
2015-11-11,131.93,136.67,131.93,135.62,157555.0
2015-11-13,139.04,139.31,134.94,136.94,55544.0
2015-11-16,137.67,141.23,135.07,136.49,24192.0
2015-11-17,137.72,139.04,134.21,134.66,80956.0
2015-11-18,135.26,135.85,132.66,133.57,58066.0
2015-11-19,133.61,136.08,132.7,133.2,32991.0
2015-11-20,132.61,134.94,130.2,130.47,56055.0
2015-11-23,133.11,134.75,129.83,130.7,671060.0
2015-11-24,130.06,132.52,128.1,129.69,49947.0
2015-11-26,130.01,132.2,128.92,129.83,43073.0
2015-11-27,129.97,134.34,129.56,131.88,40445.0
2015-11-30,131.88,138.54,131.84,136.76,108111.0
2015-12-01,138.54,140.86,136.76,139.86,61254.0
2015-12-02,140.36,142.69,136.85,141.23,143914.0
2015-12-03,141.09,143.6,136.44,137.63,37030.0
2015-12-04,136.76,137.54,132.66,134.8,91861.0
2015-12-07,136.08,136.76,132.2,133.3,58549.0
