,open,high,low,close,volume
2015-05-15,53.67,54.64,52.61,53.53,302875.0
2015-05-18,53.77,54.64,53.67,54.11,253290.0
2015-05-19,54.16,56.09,53.77,55.22,503932.0
2015-05-20,55.85,58.56,54.98,58.13,833639.0
2015-05-21,59.29,59.73,58.32,58.61,1360320.0
2015-05-22,58.27,58.71,56.34,56.53,390930.0
2015-05-25,56.24,56.72,54.74,55.03,267954.0
2015-05-26,55.27,55.27,53.87,54.06,217273.0
2015-05-27,53.43,55.12,52.9,54.83,259671.0
2015-05-28,55.27,55.27,53.87,54.4,157909.0
2015-05-29,54.54,55.32,54.06,54.74,219210.0
2015-06-01,55.12,55.32,54.06,54.54,278393.0
2015-06-02,54.54,54.83,52.65,53.04,231725.0
2015-06-03,52.8,53.09,46.5,49.99,456006.0
2015-06-04,50.38,50.38,48.39,49.65,229875.0
2015-06-05,49.41,52.51,48.97,50.91,452540.0
2015-06-08,50.91,51.35,48.92,49.36,328455.0
2015-06-09,49.36,49.36,48.2,48.68,233344.0
2015-06-10,49.12,50.14,48.59,49.26,299648.0
2015-06-11,49.7,50.18,47.71,48.05,232969.0
2015-06-12,47.47,49.07,46.84,48.0,377036.0
2015-06-15,47.71,48.83,47.71,47.96,214746.0
2015-06-16,48.34,48.34,47.28,47.81,167768.0
2015-06-17,47.96,54.06,47.96,51.59,1541332.0
2015-06-18,51.78,53.91,50.96,52.61,860970.0
2015-06-19,53.91,54.35,52.56,53.19,733219.0
2015-06-22,52.75,54.45,52.65,53.62,584777.0
2015-06-23,54.06,56.19,53.57,55.22,914839.0
2015-06-24,54.74,55.8,51.93,53.24,439451.0
2015-06-25,52.85,53.67,52.41,53.33,347349.0
2015-06-26,53.14,55.66,52.31,54.35,890363.0
2015-06-29,53.62,53.67,51.83,52.27,509361.0
2015-06-30,52.22,53.53,52.02,52.9,412749.0
2015-07-01,52.85,54.45,52.61,53.77,520370.0
2015-07-02,54.06,55.12,53.38,54.01,570606.0
2015-07-03,53.91,54.83,53.38,53.67,355352.0
2015-07-06,52.02,56.58,51.35,56.0,885102.0
2015-07-07,57.84,63.12,57.55,60.07,4039546.0
2015-07-08,58.66,59.73,56.87,57.4,967922.0
