,open,high,low,close,volume
2015-05-15,202.41,217.39,202.41,214.0,332086.0
2015-05-18,215.16,235.94,215.16,232.92,589951.0
2015-05-19,233.9,236.87,223.56,225.27,290029.0
2015-05-20,225.27,227.22,219.8,222.26,170701.0
2015-05-21,229.96,234.5,221.7,227.68,652753.0
2015-05-22,228.57,228.75,220.82,221.84,169739.0
2015-05-25,222.35,224.39,216.14,217.16,80943.0
2015-05-26,217.48,220.64,213.45,217.16,79096.0
2015-05-27,216.18,224.35,213.31,222.03,145948.0
2015-05-28,222.58,227.68,218.97,222.31,110513.0
2015-05-29,223.37,225.37,221.15,222.12,76362.0
2015-06-01,222.12,224.16,220.17,221.98,49137.0
2015-06-02,221.98,223.19,218.87,219.71,59099.0
2015-06-03,218.92,219.75,207.74,211.04,108199.0
2015-06-04,210.57,216.93,210.57,214.38,55988.0
2015-06-05,215.86,217.95,212.85,214.47,72449.0
2015-06-08,214.24,215.81,209.6,210.06,40886.0
2015-06-09,209.65,212.34,205.98,207.56,53600.0
2015-06-10,208.72,221.1,208.72,218.55,136460.0
2015-06-11,219.57,222.95,208.35,210.3,112422.0
2015-06-12,209.6,211.78,205.94,208.58,57065.0
2015-06-15,208.67,213.68,208.21,208.9,44349.0
2015-06-16,208.67,210.57,207.42,208.07,69068.0
2015-06-17,208.44,214.42,206.86,208.63,99371.0
2015-06-18,208.67,212.71,208.67,209.32,68283.0
2015-06-19,211.41,212.29,209.6,210.76,63762.0
2015-06-22,211.18,214.65,209.79,210.9,63415.0
2015-06-23,211.18,213.03,209.6,209.83,71362.0
2015-06-24,210.3,237.56,209.79,222.68,702539.0
2015-06-25,226.71,230.0,220.91,223.97,189213.0
2015-06-26,223.56,230.33,220.68,225.23,158515.0
2015-06-29,213.63,223.51,213.63,217.81,94492.0
2015-06-30,216.97,224.16,216.14,220.03,95419.0
2015-07-01,220.68,225.27,220.59,222.07,117008.0
2015-07-02,223.46,225.64,221.1,222.12,92353.0
2015-07-03,222.44,224.62,219.48,220.27,74267.0
2015-07-06,219.85,229.91,216.46,226.57,283095.0
2015-07-07,227.17,234.96,226.29,228.1,419583.0
2015-07-08,226.29,227.17,222.12,224.25,142335.0
2015-07-09,224.39,225.74,222.12,222.82,86074.0
2015-07-10,225.27,234.08,223.56,229.86,364635.0
2015-07-13,230.7,240.11,227.78,239.23,464144.0
2015-07-14,240.2,242.99,237.65,240.07,250022.0
2015-07-15,241.13,244.38,239.28,241.78,168579.0
2015-07-16,243.82,248.09,241.23,245.44,196777.0
2015-07-17,245.77,255.41,245.77,249.99,626552.0
2015-07-20,251.29,253.56,248.04,251.33,201682.0
2015-07-21,252.96,257.22,245.35,246.98,374070.0
2015-07-22,245.77,250.78,244.84,249.53,125968.0
2015-07-23,250.17,256.16,249.43,250.73,207554.0
2015-07-24,251.1,253.1,245.31,246.93,119585.0
2015-07-27,246.23,252.22,244.38,245.4,104294.0
2015-07-28,246.0,249.29,244.84,245.54,98085.0
2015-07-29,246.33,262.37,244.89,259.5,562632.0
2015-07-30,261.03,265.85,259.68,263.62,368776.0
2015-07-31,264.32,274.52,261.26,262.32,403074.0
2015-08-03,263.81,271.74,260.79,269.88,598091.0
2015-08-04,271.37,274.84,267.47,271.41,310127.0
2015-08-05,273.59,275.82,266.17,267.7,257625.0
2015-08-06,258.58,259.24,246.03,248.14,336341.0
2015-08-07,248.24,251.1,237.28,238.22,207098.0
2015-08-10,237.09,245.09,237.04,242.92,228645.0
2015-08-11,245.93,245.93,236.1,237.09,130720.0
2015-08-12,235.63,244.33,235.49,242.55,179935.0
2015-08-13,244.94,250.92,241.37,244.76,194218.0
2015-08-14,246.31,252.04,245.51,248.05,110794.0
2015-08-17,248.0,252.94,243.2,250.77,131835.0
2015-08-18,251.1,259.9,250.49,258.16,200705.0
2015-08-19,259.85,262.11,255.81,257.17,251547.0
2015-08-20,256.75,256.75,247.81,250.54,140827.0
2015-08-21,241.7,261.07,240.52,260.23,195855.0
2015-08-24,245.13,252.98,224.77,227.59,240609.0
2015-08-25,227.12,253.36,224.96,248.52,321849.0
2015-08-26,247.34,254.82,242.36,251.39,117911.0
2015-08-27,259.57,260.51,252.37,255.52,116019.0
2015-08-28,257.64,257.64,246.92,249.74,100433.0
2015-08-31,248.0,259.99,248.0,254.11,110479.0
2015-09-01,253.36,256.7,247.91,249.13,83539.0
2015-09-02,249.41,256.04,244.52,245.37,107347.0
2015-09-03,246.35,273.96,246.35,268.97,810636.0
2015-09-04,270.76,274.52,255.43,259.0,372596.0
2015-09-07,257.88,260.98,245.46,246.68,153501.0
2015-09-08,246.64,249.18,231.73,244.43,209551.0
2015-09-09,249.22,255.1,246.64,249.32,132651.0
2015-09-10,247.81,256.32,240.76,254.21,130386.0
2015-09-11,256.93,260.98,252.14,254.68,128174.0
2015-09-14,253.93,257.12,250.3,252.42,66137.0
2015-09-15,252.51,257.12,249.22,250.12,94846.0
2015-09-16,252.0,254.4,246.4,249.32,70276.0
2015-09-18,252.8,255.43,248.56,249.98,57245.0
2015-09-21,249.22,253.74,247.01,248.8,59361.0
2015-09-22,250.92,257.59,244.52,246.97,124531.0
2015-09-23,245.56,255.62,244.61,250.45,120640.0
2015-09-24,249.98,256.51,248.47,251.15,127099.0
2015-09-28,252.51,253.36,247.58,248.19,51962.0
2015-09-29,247.2,253.46,246.12,251.01,59989.0
2015-09-30,251.81,262.01,251.2,260.93,342235.0
2015-10-01,262.39,268.88,261.12,263.38,241269.0
2015-10-05,263.57,274.8,263.33,269.4,367350.0
2015-10-06,272.26,278.24,269.91,271.18,217609.0
2015-10-07,272.45,279.13,270.01,270.76,192379.0
2015-10-08,272.88,275.56,269.25,272.03,198788.0
2015-10-09,273.3,277.25,270.67,271.65,323582.0
2015-10-12,274.15,274.15,264.36,266.2,56597.0
2015-10-13,267.8,272.73,260.79,269.35,137229.0
2015-10-14,268.5,273.68,265.45,267.42,110422.0
2015-10-15,268.08,290.51,268.08,283.74,933417.0
2015-10-16,290.32,292.77,280.73,283.41,509971.0
2015-10-19,283.08,286.0,278.61,279.79,112080.0
2015-10-20,280.26,299.4,276.4,288.86,559392.0
2015-10-21,291.26,293.57,280.73,282.52,215579.0
2015-10-23,286.65,288.49,278.57,279.84,120369.0
2015-10-26,281.67,287.36,276.5,279.79,116917.0
