,open,high,low,close,volume
2015-05-15,139.1,142.1,135.0,136.4,3475423.0
2015-05-18,136.9,138.25,135.25,137.3,2078927.0
2015-05-19,137.0,140.35,136.6,138.15,2183005.0
2015-05-20,138.2,139.3,135.05,137.05,1643528.0
2015-05-21,137.7,137.7,134.2,136.3,1971412.0
2015-05-22,136.6,142.35,135.45,137.75,3708166.0
2015-05-25,137.5,138.6,134.15,135.2,3269182.0
2015-05-26,136.9,137.0,133.65,134.5,2492089.0
2015-05-27,132.15,133.75,126.75,129.6,7822638.0
2015-05-28,124.0,128.7,117.7,118.15,15034783.0
2015-05-29,119.25,120.95,109.4,119.65,20206406.0
2015-06-01,117.5,122.15,116.05,116.7,5959654.0
2015-06-02,117.35,118.3,113.3,114.5,5579188.0
2015-06-03,114.35,114.35,97.35,106.7,13432874.0
2015-06-04,107.3,107.8,103.25,106.2,5046536.0
2015-06-05,105.95,109.4,103.2,107.1,5014958.0
2015-06-08,108.0,108.8,102.05,104.2,5478834.0
2015-06-09,104.2,104.65,100.85,101.85,3568454.0
2015-06-10,101.25,105.2,101.25,103.6,3519697.0
2015-06-11,104.1,104.4,93.25,96.0,11086659.0
2015-06-12,96.0,96.0,92.0,94.7,6683776.0
2015-06-15,95.9,98.8,93.6,96.25,5004994.0
2015-06-16,96.25,97.8,93.45,95.3,6159961.0
2015-06-17,96.1,98.9,94.55,95.95,6149914.0
2015-06-18,96.0,97.2,93.55,94.0,4414258.0
2015-06-19,94.4,95.2,90.45,91.3,6898722.0
2015-06-22,91.55,93.45,89.1,91.6,6049467.0
2015-06-23,92.5,97.0,91.85,93.8,8992437.0
2015-06-24,94.45,96.5,90.0,90.45,8295159.0
2015-06-25,90.5,92.0,88.75,90.25,11459683.0
2015-06-26,90.5,92.0,89.3,90.5,5709087.0
2015-06-29,89.0,89.0,85.6,86.3,5054008.0
2015-06-30,86.0,87.65,84.65,85.7,4422022.0
2015-07-01,85.9,89.45,85.5,87.9,5707998.0
2015-07-02,89.5,93.45,88.5,88.9,9876222.0
2015-07-03,90.7,90.7,83.2,84.55,10088879.0
2015-07-06,83.4,84.5,81.4,83.75,6570468.0
2015-07-07,84.8,84.95,81.75,82.2,5378934.0
2015-07-08,81.9,82.9,78.0,81.25,11531892.0
2015-07-09,81.2,85.4,80.8,81.7,10146330.0
2015-07-10,82.5,86.4,79.3,84.7,18275366.0
2015-07-13,86.0,86.9,83.3,83.85,9842462.0
2015-07-14,83.85,84.7,82.5,82.8,3792366.0
2015-07-15,81.95,83.7,80.7,81.05,7850707.0
2015-07-16,81.95,82.0,80.15,80.45,4814829.0
2015-07-17,80.55,82.1,80.0,80.9,5661492.0
2015-07-20,81.0,81.9,78.45,78.8,5915725.0
2015-07-21,78.8,80.15,77.1,77.55,7607563.0
2015-07-22,77.8,77.9,76.25,77.3,5288307.0
2015-07-23,77.5,79.45,76.5,78.85,7623897.0
2015-07-24,79.0,79.8,75.25,75.7,5033047.0
2015-07-27,75.5,75.5,73.6,74.65,5557791.0
2015-07-28,75.1,76.35,71.9,75.05,6913461.0
2015-07-29,75.1,77.75,74.95,75.15,5475963.0
2015-07-30,75.6,78.3,75.1,77.05,4265011.0
2015-07-31,78.15,82.35,76.8,79.0,8953470.0
2015-08-03,79.35,79.35,75.7,76.0,4186031.0
2015-08-04,76.7,78.45,74.5,77.7,8273018.0
2015-08-05,78.95,80.75,77.95,78.6,8483307.0
2015-08-06,79.8,79.8,77.6,78.6,4634275.0
2015-08-07,78.0,80.0,77.75,78.55,4464505.0
2015-08-10,78.5,84.3,78.4,82.1,10806535.0
2015-08-11,82.9,87.45,80.85,81.55,16333905.0
2015-08-12,81.0,81.0,76.55,77.15,10861171.0
2015-08-13,76.85,78.5,67.6,68.4,16107009.0
2015-08-14,64.85,73.65,62.1,70.95,27660852.0
2015-08-17,70.5,72.75,67.0,70.8,10013420.0
2015-08-18,70.95,73.75,69.25,71.0,7121041.0
2015-08-19,70.05,76.4,69.1,74.05,11849799.0
2015-08-20,72.75,73.8,67.4,67.9,10960205.0
2015-08-21,66.0,71.8,65.0,70.85,11994305.0
2015-08-24,68.0,71.6,65.1,67.8,13688457.0
2015-08-25,69.0,70.55,60.0,68.9,10463924.0
2015-08-26,69.0,69.65,66.05,67.3,7358404.0
2015-08-27,69.35,71.05,68.1,70.15,9939097.0
2015-08-28,72.85,73.8,66.55,67.6,13137677.0
2015-08-31,67.45,69.6,65.2,67.55,39144130.0
2015-09-01,67.55,69.5,64.1,64.7,9998233.0
2015-09-02,65.5,66.8,64.05,64.3,6729618.0
2015-09-03,65.2,66.45,64.5,65.2,5672675.0
2015-09-04,64.9,65.3,57.55,62.15,13315884.0
2015-09-07,62.8,63.0,59.2,59.9,5749544.0
2015-09-08,60.4,61.85,58.55,60.5,7866461.0
2015-09-09,62.0,63.3,60.3,62.35,8035099.0
2015-09-10,61.0,61.95,59.3,60.85,5066633.0
2015-09-11,61.1,63.35,60.35,61.85,6459604.0
2015-09-14,62.0,64.5,60.7,64.15,8675694.0
2015-09-15,64.5,65.1,62.0,62.15,7756834.0
2015-09-16,63.0,64.25,62.45,63.95,5621786.0
2015-09-18,64.2,65.6,63.2,64.0,10522359.0
2015-09-21,62.35,66.95,62.15,65.2,8588769.0
2015-09-22,65.0,65.65,61.4,61.8,7611383.0
2015-09-23,60.6,62.3,59.95,60.75,7352052.0
2015-09-24,60.6,61.4,58.8,59.85,11173479.0
2015-09-28,60.1,61.1,58.0,58.3,4753295.0
2015-09-29,57.75,59.8,56.0,58.5,9313125.0
2015-09-30,59.8,61.15,59.3,60.65,5594946.0
2015-10-01,61.2,62.0,59.95,60.15,4485490.0
2015-10-05,60.8,70.45,60.5,69.3,21086472.0
2015-10-06,70.5,76.2,67.55,73.9,24691748.0
2015-10-07,72.7,73.15,69.6,70.1,13682544.0
2015-10-08,69.7,72.5,69.55,70.25,11320847.0
2015-10-09,70.9,72.8,69.0,69.4,10127734.0
2015-10-12,70.05,74.85,69.5,72.7,15035104.0
2015-10-13,72.5,75.25,72.0,74.6,10198994.0
2015-10-14,74.1,77.25,73.5,74.05,9288772.0
2015-10-15,74.9,75.95,73.6,75.35,5368729.0
2015-10-16,75.75,75.9,73.65,75.1,3478759.0
2015-10-19,75.7,76.55,74.35,75.05,3002561.0
2015-10-20,75.65,77.9,74.3,75.35,7037940.0
2015-10-21,75.2,76.8,74.55,76.05,5520679.0
2015-10-23,77.6,78.85,75.6,76.45,8457031.0
2015-10-26,77.45,77.45,74.65,75.25,5412230.0
2015-10-27,74.85,75.8,72.85,75.25,7162876.0
2015-10-28,74.5,77.75,74.4,76.8,6747468.0
2015-10-29,77.0,77.85,74.5,77.05,6717459.0
2015-10-30,77.35,87.35,76.15,80.15,20273410.0
2015-11-02,79.7,81.8,77.4,78.6,7887742.0
2015-11-03,79.5,79.8,75.1,76.05,5779544.0
2015-11-04,77.25,78.0,75.75,76.3,5203484.0
2015-11-05,76.25,76.5,73.25,73.7,4015746.0
2015-11-06,73.9,74.4,71.5,72.0,4011547.0
2015-11-09,69.0,73.1,69.0,72.25,4299307.0
2015-11-10,72.2,73.05,70.9,71.55,5822786.0
2015-11-11,72.2,73.05,70.9,71.55,5822786.0
2015-11-13,71.5,82.55,70.2,79.35,21210031.0
2015-11-16,76.0,82.3,73.05,81.1,15339117.0
2015-11-17,81.6,83.65,80.7,82.0,7986940.0
2015-11-18,81.8,83.15,79.75,80.8,6066296.0
2015-11-19,81.3,82.6,80.2,81.6,4303243.0
2015-11-20,89.75,94.5,85.9,87.8,32348002.0
2015-11-23,87.2,88.25,82.4,83.15,8284435.0
2015-11-24,82.7,87.2,82.15,86.35,10765461.0
2015-11-26,86.7,92.0,85.05,90.4,16157364.0
2015-11-27,90.0,92.85,88.6,90.35,9182225.0
2015-11-30,90.85,91.7,89.6,90.9,4792887.0
2015-12-01,91.3,96.2,91.1,95.3,12688299.0
2015-12-02,95.4,96.45,94.1,94.95,5999973.0
2015-12-03,94.7,94.9,91.6,91.9,4906352.0
2015-12-04,90.7,95.55,90.25,93.4,10544253.0
2015-12-07,95.0,95.2,92.0,93.6,5591777.0
2015-12-08,92.8,93.75,87.45,88.95,4939727.0
2015-12-09,88.95,90.2,83.6,85.0,7912473.0
2015-12-10,85.3,88.5,84.5,87.35,4311210.0
2015-12-11,88.55,91.5,85.2,86.75,9686372.0
2015-12-14,87.0,91.8,86.6,90.9,7656820.0
2015-12-15,91.0,91.4,89.05,90.55,3915165.0
2015-12-16,91.4,92.3,89.6,89.85,4320204.0
2015-12-17,90.1,92.85,89.3,92.1,9100268.0
2015-12-18,91.8,91.85,89.2,91.0,4628271.0
2015-12-21,91.75,93.0,90.45,91.7,4002969.0
2015-12-22,91.95,93.0,89.55,90.55,4157745.0
2015-12-23,91.55,92.9,91.5,92.35,3619338.0
2015-12-24,93.25,93.7,91.2,92.4,2990873.0
2015-12-28,92.4,92.8,89.8,90.65,3151248.0
2015-12-29,91.5,91.7,90.2,90.75,2341273.0
2015-12-30,91.0,95.4,90.45,94.85,12085937.0
2015-12-31,95.1,98.15,94.3,96.25,20223568.0
2016-01-01,96.5,96.5,93.8,94.2,3403514.0
2016-01-04,92.8,94.9,91.5,92.65,6682526.0
2016-01-05,93.05,97.3,91.5,95.9,8447206.0
2016-01-06,96.5,97.0,93.05,93.45,4813339.0
2016-01-07,91.0,92.0,83.15,83.95,9245392.0
2016-01-08,84.9,86.8,80.5,84.6,12862101.0
2016-01-11,82.2,84.9,80.95,83.95,9583608.0
2016-01-12,83.7,85.45,79.2,80.0,10828818.0
2016-01-13,82.2,82.8,74.6,77.8,12945160.0
2016-01-14,76.7,76.75,71.5,72.2,11858071.0
2016-01-15,72.7,73.2,62.0,64.0,15515217.0
2016-01-18,62.35,64.9,59.0,60.0,15693048.0
2016-01-19,60.0,65.6,57.0,64.35,20381831.0
2016-01-20,61.8,62.7,59.8,61.05,12411540.0
2016-01-21,62.1,64.4,61.2,62.65,10154963.0
2016-01-22,64.25,66.7,63.5,66.05,7780882.0
2016-01-25,67.2,67.75,64.1,65.3,5484108.0
2016-01-27,66.45,66.9,64.95,65.9,5996551.0
2016-01-28,65.95,65.95,63.7,64.05,13364567.0
2016-01-29,64.75,65.9,61.0,64.2,8850284.0
2016-02-01,64.8,65.5,62.5,63.9,5358963.0
2016-02-02,64.35,64.45,59.7,60.05,7898455.0
2016-02-03,59.35,60.05,54.8,55.4,13119934.0
2016-02-04,56.2,58.6,54.6,57.4,9214195.0
2016-02-05,58.4,64.35,57.85,63.5,20592231.0
2016-02-08,65.5,66.3,61.0,61.3,11315353.0
2016-02-09,59.8,62.1,58.95,61.2,9940390.0
2016-02-10,60.75,61.25,58.25,59.65,6818455.0
2016-02-11,60.0,60.0,52.9,54.9,10630243.0
2016-02-12,56.95,56.95,48.1,55.45,17832380.0
2016-02-15,56.3,65.45,56.1,63.15,17147005.0
2016-02-16,64.4,64.4,58.3,59.15,10900191.0
2016-02-17,59.5,59.5,55.0,57.05,13304527.0
2016-02-18,58.75,61.0,56.0,57.05,11935714.0
2016-02-19,56.35,59.25,55.0,57.3,7841503.0
2016-02-22,57.6,58.25,55.6,56.75,6208463.0
2016-02-23,57.0,58.25,55.2,56.5,8478023.0
2016-02-24,55.6,60.7,55.0,58.25,15065790.0
2016-02-25,58.05,58.95,53.75,54.15,16928903.0
2016-02-26,55.25,55.6,52.55,53.4,9522345.0
2016-02-29,54.0,55.0,52.0,53.4,8912582.0
2016-03-01,53.8,56.4,53.55,55.85,7826286.0
2016-03-02,57.7,59.9,56.3,57.3,16618509.0
2016-03-03,58.45,64.0,57.3,63.35,24050982.0
2016-03-04,65.3,65.6,61.85,63.15,17267856.0
2016-03-08,64.0,67.4,63.5,66.4,18857907.0
2016-03-09,63.0,65.5,61.35,65.05,15705459.0
2016-03-10,65.05,67.9,63.0,65.85,23453536.0
2016-03-11,65.4,67.5,62.5,62.8,18800771.0
