,open,high,low,close,volume
2015-05-15,53.24,53.75,51.76,52.41,2917936.0
2015-05-18,57.21,62.1,55.55,61.04,24830782.0
2015-05-19,60.48,63.57,59.74,62.28,11591423.0
2015-05-20,62.1,63.44,60.44,60.9,3434813.0
2015-05-21,61.08,61.08,59.65,60.62,2302440.0
2015-05-22,60.62,61.73,59.88,60.16,2150791.0
2015-05-25,60.16,61.64,59.88,60.21,2037976.0
2015-05-26,60.3,60.99,59.14,59.7,2280045.0
2015-05-27,59.05,59.98,58.73,59.47,1191361.0
2015-05-28,59.56,61.91,59.1,61.64,3421039.0
2015-05-29,62.0,63.2,61.17,61.87,3444190.0
2015-06-01,62.05,62.88,60.99,61.41,1835604.0
2015-06-02,61.36,61.73,57.58,57.85,3528436.0
2015-06-03,57.85,58.68,54.62,56.79,3224375.0
2015-06-04,57.16,57.71,55.27,57.07,2284158.0
2015-06-05,56.75,58.31,56.15,57.62,2012662.0
2015-06-08,57.62,58.18,55.96,56.65,1615818.0
2015-06-09,56.75,56.79,55.36,55.96,1622806.0
2015-06-10,56.01,58.59,55.92,58.22,2734874.0
2015-06-11,58.87,59.61,56.33,56.93,3124389.0
2015-06-12,56.75,57.9,56.51,57.53,1887598.0
2015-06-15,57.62,59.93,57.11,58.96,2392611.0
2015-06-16,58.87,60.11,57.67,59.74,2686438.0
2015-06-17,60.3,60.53,59.24,59.79,2644439.0
2015-06-18,59.51,62.05,59.51,61.41,3310600.0
2015-06-19,61.91,62.84,61.22,62.0,2812191.0
2015-06-22,62.47,63.85,62.1,63.53,3136999.0
2015-06-23,63.48,64.96,63.07,63.99,3260049.0
2015-06-24,64.59,65.1,62.6,63.07,6747295.0
2015-06-25,63.02,64.08,62.65,63.16,4583839.0
2015-06-26,61.96,63.39,60.9,62.24,3598133.0
2015-06-29,60.3,60.44,58.41,59.19,3113959.0
2015-06-30,59.14,61.96,59.14,61.68,4383569.0
2015-07-01,63.02,66.8,62.65,64.17,16030004.0
2015-07-02,64.68,67.26,63.76,65.7,12765440.0
2015-07-03,65.97,67.08,65.19,65.51,5870038.0
2015-07-06,63.8,66.71,63.11,66.43,3270686.0
2015-07-07,66.43,67.31,65.05,65.51,3909490.0
2015-07-08,64.59,68.88,63.25,67.86,9977616.0
2015-07-09,68.56,68.65,66.43,66.76,6686350.0
2015-07-10,67.22,67.91,66.3,66.8,4200841.0
2015-07-13,67.22,68.19,66.48,67.4,3147332.0
2015-07-14,67.82,70.08,67.82,68.74,6910608.0
2015-07-15,69.02,69.34,67.13,67.45,3833784.0
2015-07-16,67.91,68.14,66.9,67.08,3055451.0
2015-07-17,67.17,68.83,67.08,68.23,2818279.0
2015-07-20,68.56,71.05,67.63,70.68,5511650.0
2015-07-21,72.39,72.62,69.29,69.71,8781247.0
2015-07-22,69.66,71.42,69.29,71.19,2648448.0
2015-07-23,70.68,72.85,70.59,71.32,3721767.0
2015-07-24,71.23,71.51,69.57,69.99,2688669.0
2015-07-27,69.48,69.8,66.94,67.08,3316578.0
2015-07-28,67.08,67.96,65.23,66.76,5326688.0
2015-07-29,66.85,67.36,65.74,66.62,3016494.0
2015-07-30,67.03,68.97,66.34,68.6,5779915.0
2015-07-31,68.83,70.03,67.91,68.65,4473134.0
2015-08-03,68.74,70.59,68.46,69.8,3206172.0
2015-08-04,69.99,70.68,68.74,70.31,3106564.0
2015-08-05,70.59,70.96,69.48,69.85,2479635.0
2015-08-06,69.76,70.22,68.09,69.06,2588552.0
2015-08-07,69.16,70.77,68.74,69.76,2051584.0
2015-08-10,69.66,71.88,68.93,70.22,4519478.0
2015-08-11,70.96,70.96,63.9,64.27,7776489.0
2015-08-12,63.67,64.5,60.16,60.67,6606109.0
2015-08-13,61.17,62.1,58.22,58.5,4229736.0
2015-08-14,59.05,60.53,58.18,59.61,3927101.0
2015-08-17,59.93,60.3,58.59,58.96,2768581.0
2015-08-18,59.88,61.59,59.42,60.76,4158163.0
2015-08-19,60.81,61.68,60.07,60.57,2570712.0
2015-08-20,60.34,60.9,58.13,58.36,3265304.0
2015-08-21,56.65,58.87,55.73,58.41,2934750.0
2015-08-24,55.82,56.61,47.56,48.86,6226777.0
2015-08-25,50.66,51.62,46.6,51.07,6911951.0
2015-08-26,50.66,53.15,48.9,52.13,4438750.0
2015-08-27,53.42,54.39,52.5,53.75,9423943.0
2015-08-28,54.3,55.22,52.92,53.7,2990827.0
2015-08-31,53.52,54.35,52.82,53.93,3097202.0
2015-09-01,53.42,53.42,49.87,50.98,2850943.0
2015-09-02,51.39,52.04,50.29,51.39,2056031.0
2015-09-03,51.95,53.52,51.58,53.15,2705740.0
2015-09-04,53.24,53.29,49.27,50.84,2576796.0
2015-09-07,51.49,51.95,49.0,50.19,2811527.0
2015-09-08,50.06,52.78,49.73,51.86,2112683.0
2015-09-09,52.82,53.42,51.99,52.5,1899625.0
2015-09-10,52.13,54.22,50.64,53.66,2896178.0
2015-09-11,53.53,56.41,53.53,55.48,3279300.0
2015-09-14,55.9,57.2,55.67,56.78,2526300.0
2015-09-15,56.78,57.16,54.04,54.5,2706075.0
2015-09-16,55.15,55.71,53.99,54.74,1967316.0
2015-09-18,55.39,56.6,54.97,56.09,2996226.0
2015-09-21,54.97,57.2,54.97,56.46,1545492.0
2015-09-22,56.88,57.67,54.46,54.83,2363657.0
2015-09-23,53.99,55.76,53.15,55.43,2791189.0
2015-09-24,55.43,56.22,54.74,55.06,2060372.0
2015-09-28,55.62,56.78,54.64,55.67,2120127.0
2015-09-29,54.74,56.92,53.29,56.64,2500086.0
2015-09-30,57.16,60.23,56.92,59.72,3923209.0
2015-10-01,59.95,60.46,58.13,58.92,2003739.0
2015-10-05,59.58,61.76,59.2,61.25,3665442.0
2015-10-06,61.44,61.81,59.95,60.6,3447618.0
2015-10-07,61.07,61.86,60.04,60.51,3383399.0
2015-10-08,60.51,60.93,58.69,59.11,2514575.0
2015-10-09,59.62,61.3,59.44,60.88,3055451.0
2015-10-12,61.39,63.39,60.83,61.58,3466118.0
2015-10-13,61.76,63.02,61.39,62.69,2618104.0
2015-10-14,62.55,63.3,61.67,62.14,1788743.0
2015-10-15,62.28,63.21,62.04,62.46,1881733.0
2015-10-16,62.74,62.97,61.62,61.81,2541421.0
2015-10-19,61.67,62.23,60.55,61.53,2048672.0
2015-10-20,61.9,64.04,61.44,63.25,6499506.0
2015-10-21,63.3,63.3,60.09,61.2,3296206.0
2015-10-23,61.86,62.88,61.44,61.72,3258482.0
2015-10-26,61.81,62.04,60.04,60.27,2511879.0
2015-10-27,60.51,61.76,59.86,60.93,3418944.0
2015-10-28,60.79,61.67,60.13,60.6,2893369.0
2015-10-29,60.6,60.79,59.44,59.72,3972131.0
2015-10-30,59.76,60.23,56.78,57.53,3069052.0
2015-11-02,57.53,59.11,56.69,58.37,4832369.0
2015-11-03,58.69,60.41,58.23,59.02,5356305.0
2015-11-04,60.04,63.39,60.04,63.07,12508850.0
2015-11-05,62.42,64.46,62.09,63.49,7683946.0
2015-11-06,63.81,64.6,59.72,61.02,7364434.0
2015-11-09,59.86,62.83,59.11,62.0,4075254.0
2015-11-10,61.53,62.37,59.99,60.97,2904894.0
2015-11-11,61.53,62.37,59.99,60.97,2904894.0
2015-11-13,61.3,63.76,60.97,62.14,2415805.0
2015-11-16,62.09,63.95,61.53,63.16,2319585.0
2015-11-17,63.63,63.86,61.9,62.6,1829242.0
2015-11-18,62.6,62.97,60.88,61.11,1415037.0
2015-11-19,61.25,62.28,61.25,62.0,1039637.0
2015-11-20,62.0,62.83,61.76,62.09,1197885.0
2015-11-23,62.14,62.46,61.62,61.86,1122228.0
2015-11-24,62.04,62.69,61.58,62.14,1994342.0
2015-11-26,62.51,63.39,62.14,62.55,5074188.0
2015-11-27,62.37,63.49,62.0,62.46,1697332.0
2015-11-30,62.55,62.83,62.04,62.37,1145699.0
2015-12-01,62.6,62.69,61.25,61.81,1308848.0
2015-12-02,62.09,62.32,60.83,61.44,1266540.0
2015-12-03,61.34,65.49,61.07,64.46,4882565.0
2015-12-04,64.97,65.11,63.3,63.63,3775197.0
2015-12-07,63.76,64.23,62.6,63.39,1330174.0
2015-12-08,63.49,64.14,60.46,61.02,2017724.0
2015-12-09,60.93,61.07,57.3,58.32,3706613.0
2015-12-10,59.53,59.53,58.32,58.97,1499880.0
2015-12-11,59.44,59.44,55.95,56.97,2227689.0
2015-12-14,56.6,57.85,55.85,56.83,2874824.0
2015-12-15,57.25,59.02,56.36,58.37,3757558.0
2015-12-16,58.69,58.69,57.53,57.99,1985349.0
2015-12-17,58.32,59.67,57.71,59.39,2242149.0
2015-12-18,59.3,60.65,58.6,59.62,2506961.0
2015-12-21,60.23,61.86,59.16,61.2,1979760.0
2015-12-22,61.44,61.58,59.11,59.62,2400856.0
2015-12-23,60.27,61.16,59.86,60.41,1473708.0
2015-12-24,60.79,61.9,60.41,61.2,1725561.0
2015-12-28,61.39,62.37,60.97,62.14,1593429.0
2015-12-29,62.55,63.11,61.53,62.23,1833270.0
2015-12-30,62.74,62.83,61.86,62.51,1783507.0
2015-12-31,62.65,64.7,62.46,64.32,5464433.0
2016-01-01,64.51,67.4,63.81,66.09,2568252.0
2016-01-04,67.02,72.7,67.02,69.26,16707834.0
2016-01-05,69.35,71.58,67.44,70.0,7153245.0
2016-01-06,69.82,71.82,68.28,69.58,4267233.0
2016-01-07,68.14,68.51,65.72,66.19,4162276.0
2016-01-08,66.84,68.65,66.84,67.67,2890248.0
2016-01-11,66.14,68.23,66.09,67.3,2726497.0
2016-01-12,67.67,68.51,65.16,66.32,3521542.0
2016-01-13,66.79,67.4,60.37,64.23,6248072.0
2016-01-14,63.3,63.3,60.27,60.93,3470430.0
2016-01-15,61.44,62.04,56.36,57.25,4301203.0
2016-01-18,57.02,57.57,52.73,54.92,4247712.0
2016-01-19,54.87,56.46,53.66,54.74,3435153.0
2016-01-20,53.94,53.94,49.94,52.45,6408217.0
2016-01-21,53.62,54.87,51.99,54.04,4053955.0
2016-01-22,55.67,57.2,55.01,56.69,3815033.0
2016-01-25,57.25,58.46,56.13,57.25,2469937.0
2016-01-27,57.95,58.04,56.97,57.81,2310482.0
2016-01-28,57.71,59.3,57.3,58.23,4597056.0
2016-01-29,59.11,60.27,57.81,59.48,4497153.0
2016-02-01,60.27,61.76,59.3,60.83,3053594.0
2016-02-02,60.6,61.16,58.09,58.27,2332228.0
2016-02-03,57.81,58.09,55.01,55.71,2599568.0
2016-02-04,56.41,58.27,55.06,55.9,3918297.0
2016-02-05,56.46,57.85,56.22,57.57,1755984.0
2016-02-08,57.81,59.39,57.11,57.53,2970320.0
2016-02-09,56.83,57.25,54.36,55.15,4198457.0
2016-02-10,54.87,55.43,53.53,54.46,2976893.0
2016-02-11,53.99,54.69,49.15,50.64,6452897.0
2016-02-12,51.2,51.57,46.87,49.1,5570378.0
2016-02-15,50.27,51.43,49.38,49.71,5304324.0
