,open,high,low,close,volume
2015-05-15,582.89,582.89,554.07,559.41,19555.0
2015-05-18,553.14,563.36,534.54,537.52,24564.0
2015-05-19,537.33,549.42,533.61,539.89,14178.0
2015-05-20,543.79,550.35,543.79,548.95,27374.0
2015-05-21,551.14,551.14,540.12,546.49,7061.0
2015-05-22,547.56,572.8,542.73,558.3,23085.0
2015-05-25,557.79,574.52,555.28,560.67,9012.0
2015-05-26,562.43,569.68,554.07,560.62,11354.0
2015-05-27,557.79,585.26,553.7,582.33,18251.0
2015-05-28,585.77,591.95,568.01,574.01,11606.0
2015-05-29,575.4,606.13,569.73,593.9,29850.0
2015-06-01,604.27,604.27,573.36,578.98,12145.0
2015-06-02,581.07,582.98,562.99,567.64,26302.0
2015-06-03,569.08,569.96,555.0,562.29,5795.0
2015-06-04,590.32,590.32,544.12,553.23,7322.0
2015-06-05,550.81,566.11,548.44,554.25,49312.0
2015-06-08,555.0,561.5,543.89,545.37,5381.0
2015-06-09,544.12,548.49,516.42,530.08,10351.0
2015-06-10,537.38,554.07,532.73,548.77,18036.0
2015-06-11,557.74,592.18,541.33,548.07,9238.0
2015-06-12,547.56,551.28,534.78,546.26,2717.0
2015-06-15,540.17,552.63,535.47,546.12,22531.0
2015-06-16,540.54,545.65,532.92,538.17,34371.0
2015-06-17,534.45,544.77,531.76,541.42,6999.0
2015-06-18,539.19,552.9,539.19,548.35,5466.0
2015-06-19,547.51,557.51,543.84,552.44,7004.0
2015-06-22,553.14,567.04,547.14,558.34,6413.0
2015-06-23,553.18,576.29,553.14,566.48,9686.0
2015-06-24,571.4,583.44,565.41,569.31,13305.0
2015-06-25,571.73,632.16,555.04,586.6,38371.0
2015-06-26,593.86,626.58,566.2,606.41,50143.0
2015-06-29,585.86,617.75,576.38,605.76,10506.0
2015-06-30,603.2,631.6,595.06,626.95,31859.0
2015-07-01,626.95,635.78,609.38,617.98,16860.0
2015-07-02,616.35,620.54,608.92,613.33,15446.0
2015-07-03,614.08,616.26,593.58,596.64,7026.0
2015-07-06,596.83,599.62,586.14,591.11,18839.0
2015-07-07,586.74,599.62,586.74,597.11,9862.0
2015-07-08,610.78,611.52,569.17,582.37,19626.0
2015-07-09,590.32,590.32,577.31,579.68,12523.0
2015-07-10,584.42,586.05,571.73,575.54,4958.0
2015-07-13,579.68,592.14,576.42,585.77,12871.0
2015-07-14,594.92,594.97,571.73,574.98,8314.0
2015-07-15,585.63,585.63,565.22,569.68,10403.0
2015-07-16,565.22,578.24,563.83,566.11,13350.0
2015-07-17,569.73,574.01,564.39,566.01,23681.0
2015-07-20,575.56,579.21,564.75,567.04,14959.0
2015-07-21,565.31,570.69,561.61,564.0,5983.0
2015-07-22,564.52,567.04,563.35,564.75,6414.0
2015-07-23,568.96,579.77,567.09,575.23,14425.0
2015-07-24,570.6,608.26,563.67,586.6,37916.0
2015-07-27,585.06,585.06,569.29,575.32,17740.0
2015-07-28,576.68,589.5,571.77,579.49,11148.0
2015-07-29,579.39,587.68,577.52,581.78,5555.0
2015-07-30,584.87,584.87,581.17,583.47,5637.0
2015-07-31,588.71,652.25,583.51,638.72,69079.0
2015-08-03,608.26,623.19,588.24,619.35,90231.0
2015-08-04,620.48,637.27,619.12,628.99,56760.0
2015-08-05,636.52,641.02,628.2,637.27,52200.0
2015-08-06,637.27,640.97,620.52,628.15,9449.0
2015-08-07,629.83,636.34,621.36,628.66,48542.0
2015-08-10,622.3,636.24,621.36,625.95,8717.0
2015-08-11,609.29,631.66,594.41,599.94,10084.0
2015-08-12,594.23,599.0,571.44,579.63,15679.0
2015-08-13,605.46,605.46,578.27,582.01,9023.0
2015-08-14,575.51,594.13,573.69,588.52,10207.0
2015-08-17,574.58,635.31,574.58,601.85,21062.0
2015-08-18,608.22,610.14,598.91,602.98,10071.0
2015-08-19,607.14,617.57,597.97,612.19,16699.0
2015-08-20,608.78,631.66,608.78,616.69,18083.0
2015-08-21,608.31,635.4,584.96,613.13,152725.0
