,open,high,low,close,volume
2015-05-15,338.63,343.08,329.3,334.92,98203.0
2015-05-18,308.82,340.0,298.66,333.5,675640.0
2015-05-19,330.23,341.02,325.44,336.19,176684.0
2015-05-20,334.48,340.05,329.54,333.89,183949.0
2015-05-21,333.25,337.21,331.94,333.06,72016.0
2015-05-22,335.01,335.8,327.54,329.44,31537.0
2015-05-25,330.27,337.9,327.88,331.06,82949.0
2015-05-26,332.38,334.18,323.53,325.09,38549.0
2015-05-27,324.36,327.0,317.76,323.38,58266.0
2015-05-28,324.41,327.68,319.13,324.31,62766.0
2015-05-29,324.95,335.99,323.38,333.35,75267.0
2015-06-01,336.24,338.14,331.3,337.51,93909.0
2015-06-02,341.81,341.81,334.82,339.75,101717.0
2015-06-03,334.43,337.6,310.83,320.11,162978.0
2015-06-04,322.46,323.34,308.53,311.85,66041.0
2015-06-05,311.61,316.64,307.89,315.66,106803.0
2015-06-08,315.66,323.38,298.71,305.21,45400.0
2015-06-09,304.82,308.53,297.1,300.27,87010.0
2015-06-10,296.22,313.66,296.22,310.14,84351.0
2015-06-11,312.73,315.66,304.91,309.41,103520.0
2015-06-12,298.07,312.34,294.8,309.07,77734.0
2015-06-15,310.78,311.51,302.96,304.18,40672.0
2015-06-16,296.61,306.87,296.61,304.57,145090.0
2015-06-17,305.84,310.68,302.08,304.91,112076.0
2015-06-18,304.52,313.71,304.52,309.12,224053.0
2015-06-19,309.8,322.9,307.45,310.29,77923.0
2015-06-22,310.29,322.46,310.29,319.62,138266.0
2015-06-23,319.57,332.23,314.3,329.69,471989.0
2015-06-24,332.28,337.16,328.81,334.67,123845.0
2015-06-25,338.24,343.81,332.67,335.84,205604.0
2015-06-26,336.63,343.81,332.08,340.54,113466.0
2015-06-29,336.19,344.79,324.51,341.32,145065.0
2015-06-30,334.28,342.54,334.28,339.51,46439.0
2015-07-01,341.81,344.79,335.75,337.8,63163.0
2015-07-02,338.68,345.76,338.68,343.27,96649.0
2015-07-03,341.07,343.03,327.05,329.39,131876.0
2015-07-06,327.44,344.49,326.41,342.98,103547.0
2015-07-07,343.03,347.72,335.31,338.83,125294.0
2015-07-08,337.12,338.24,324.46,326.27,105487.0
2015-07-09,328.17,330.08,325.78,328.71,45091.0
2015-07-10,329.83,330.32,319.08,321.82,79196.0
2015-07-13,323.24,326.22,315.91,323.58,114681.0
2015-07-14,326.12,329.15,323.58,325.14,46096.0
2015-07-15,327.83,331.45,326.41,330.57,77505.0
2015-07-16,332.03,332.38,328.37,329.35,58147.0
2015-07-17,328.42,333.06,327.0,329.35,37008.0
2015-07-20,330.76,334.72,329.3,333.65,59114.0
2015-07-21,333.21,333.21,323.53,324.75,29395.0
2015-07-22,325.44,328.37,320.65,323.92,25002.0
2015-07-23,323.48,323.53,316.74,322.46,81646.0
2015-07-24,321.58,322.02,314.1,315.66,55683.0
2015-07-27,316.64,323.48,311.66,313.46,73414.0
2015-07-28,316.59,323.48,312.73,321.38,104742.0
2015-07-29,321.38,321.48,316.74,320.5,34185.0
2015-07-30,323.09,325.44,321.58,323.82,35248.0
2015-07-31,323.87,332.08,319.62,329.74,60395.0
2015-08-03,327.49,344.98,326.02,342.29,208405.0
2015-08-04,344.74,354.07,344.0,352.85,142848.0
2015-08-05,350.85,358.18,350.85,357.39,96043.0
2015-08-06,358.42,366.29,352.95,363.75,165800.0
2015-08-07,366.29,366.29,361.6,365.07,64494.0
2015-08-10,365.46,366.29,349.87,356.51,260852.0
2015-08-11,359.45,359.45,341.12,347.13,53715.0
2015-08-12,326.17,342.83,319.77,340.29,278768.0
2015-08-13,342.05,342.15,332.23,336.72,80579.0
2015-08-14,336.43,347.33,334.28,345.23,42596.0
2015-08-17,345.03,351.82,344.0,349.58,51361.0
2015-08-18,348.89,359.54,348.89,355.83,40655.0
2015-08-19,356.71,363.55,352.46,360.28,34963.0
2015-08-20,360.57,365.51,344.15,348.55,170053.0
2015-08-21,342.05,357.69,334.82,351.73,76022.0
2015-08-24,307.85,346.94,307.85,322.99,302319.0
2015-08-25,335.99,335.99,312.73,321.14,67710.0
2015-08-26,321.53,329.35,317.03,325.49,28776.0
2015-08-27,341.07,344.0,327.39,338.58,33573.0
2015-08-28,341.27,358.47,339.66,348.16,236066.0
2015-08-31,339.27,346.89,339.27,344.44,45597.0
2015-09-01,342.05,344.49,336.19,338.58,232444.0
2015-09-02,337.16,351.63,337.16,339.27,31391.0
2015-09-03,342.1,351.73,340.93,347.38,101961.0
2015-09-04,345.96,351.73,343.42,347.91,99152.0
2015-09-07,348.89,358.42,346.35,350.46,314888.0
2015-09-08,350.85,352.75,343.52,351.92,46237.0
2015-09-09,353.83,362.52,353.78,357.44,76799.0
2015-09-10,351.87,360.52,346.94,358.27,201663.0
2015-09-11,359.64,364.53,358.66,362.43,84335.0
2015-09-14,359.64,371.37,359.64,362.82,59642.0
2015-09-15,362.87,367.26,361.11,362.57,51988.0
2015-09-16,366.06,367.63,357.66,362.77,203272.0
2015-09-18,364.0,368.27,363.16,363.85,89854.0
2015-09-21,366.5,366.5,362.38,364.39,571210.0
2015-09-22,363.56,368.27,359.92,363.61,75486.0
2015-09-23,359.67,363.56,354.96,359.63,174815.0
2015-09-24,357.71,364.54,356.09,360.66,119337.0
2015-09-28,358.15,366.26,357.17,363.7,147654.0
2015-09-29,358.69,366.45,358.64,363.26,204257.0
2015-09-30,361.1,367.98,361.1,366.41,91114.0
2015-10-01,366.95,373.14,364.39,371.51,139683.0
2015-10-05,371.42,374.17,367.83,371.91,85404.0
2015-10-06,373.38,374.17,370.83,373.38,115651.0
2015-10-07,373.33,376.13,370.93,374.9,92433.0
2015-10-08,374.9,379.08,374.36,376.72,46477.0
2015-10-09,377.8,380.26,374.27,378.15,169480.0
2015-10-12,371.56,379.77,371.56,377.21,155308.0
2015-10-13,377.12,381.05,372.4,378.2,33852.0
2015-10-14,375.15,378.29,370.43,371.22,778681.0
2015-10-15,371.56,372.6,366.65,369.8,67323.0
2015-10-16,365.52,368.27,360.66,364.93,98553.0
2015-10-19,363.85,369.5,363.85,367.78,38705.0
2015-10-20,366.5,377.71,364.64,374.02,31111.0
2015-10-21,374.41,377.95,366.01,374.56,28116.0
2015-10-23,375.35,376.38,367.49,368.91,11646.0
2015-10-26,367.58,375.45,365.42,367.44,13212.0
2015-10-27,366.41,374.36,365.42,372.1,22022.0
2015-10-28,368.47,373.14,364.49,367.63,44639.0
2015-10-29,367.44,372.79,359.67,363.06,187129.0
2015-10-30,364.29,377.9,353.83,367.98,78032.0
2015-11-02,373.28,373.28,361.59,365.42,21763.0
2015-11-03,357.66,375.2,357.66,369.89,40006.0
2015-11-04,370.38,371.81,358.74,360.95,29581.0
2015-11-05,348.82,357.66,348.18,354.22,85969.0
2015-11-06,351.76,359.63,343.95,346.95,34154.0
2015-11-09,343.81,348.82,336.09,345.18,74819.0
2015-11-10,344.89,355.7,341.94,351.47,125233.0
2015-11-11,344.89,355.7,341.94,351.47,125233.0
2015-11-13,346.07,351.76,343.61,347.88,25062.0
2015-11-16,346.85,349.8,339.92,342.04,181627.0
2015-11-17,349.31,349.31,327.2,338.6,18144.0
2015-11-18,341.64,344.94,338.06,338.45,19477.0
2015-11-19,339.09,344.89,338.45,339.83,157659.0
2015-11-20,340.37,342.92,337.12,338.35,7408.0
2015-11-23,343.81,344.3,334.23,340.17,24511.0
2015-11-24,339.97,345.87,338.01,344.49,12130.0
2015-11-26,344.0,350.78,340.91,346.61,18923.0
2015-11-27,348.72,358.45,346.85,353.09,27501.0
2015-11-30,356.68,356.68,346.85,355.7,28139.0
2015-12-01,349.8,357.66,340.96,350.59,27017.0
2015-12-02,350.78,353.63,343.9,344.25,22355.0
2015-12-03,345.87,346.31,340.07,340.96,28173.0
2015-12-04,340.27,340.27,317.13,319.93,319223.0
2015-12-07,318.55,327.3,318.26,325.38,65292.0
2015-12-08,324.74,327.64,322.78,324.65,20953.0
2015-12-09,322.43,324.2,319.29,319.63,53428.0
2015-12-10,317.42,319.83,316.39,318.5,43914.0
2015-12-11,320.81,328.13,318.36,322.29,40697.0
2015-12-14,322.29,328.13,318.55,326.66,67734.0
2015-12-15,329.12,332.11,324.35,330.39,17664.0
2015-12-16,332.85,332.85,324.5,326.32,111506.0
2015-12-17,332.9,333.44,325.43,332.46,12038.0
2015-12-18,335.06,335.06,320.91,324.74,19988.0
2015-12-21,324.74,329.71,321.01,322.93,44005.0
2015-12-22,321.89,324.99,318.6,319.54,188519.0
2015-12-23,319.39,328.67,319.39,322.43,545625.0
2015-12-24,323.71,326.51,319.63,322.93,24936.0
2015-12-28,324.25,331.08,323.37,325.04,31312.0
2015-12-29,325.24,328.18,320.47,321.11,23071.0
2015-12-30,323.52,326.41,319.49,324.65,42916.0
2015-12-31,322.43,326.41,320.52,321.26,16867.0
2016-01-01,323.76,330.98,319.49,327.99,25391.0
2016-01-04,329.8,329.8,323.27,329.07,20742.0
2016-01-05,325.24,332.6,324.45,328.48,11129.0
2016-01-06,328.48,329.56,324.25,324.65,14248.0
2016-01-07,322.29,324.15,316.05,319.73,29825.0
2016-01-08,323.07,323.07,315.8,316.98,12556.0
2016-01-11,315.41,315.41,302.64,311.92,16645.0
2016-01-12,314.43,317.77,303.72,305.04,12199.0
2016-01-13,309.07,309.27,299.98,306.71,37251.0
2016-01-14,299.69,303.27,296.79,300.28,22899.0
2016-01-15,297.72,301.6,278.07,281.22,86883.0
2016-01-18,280.04,280.04,264.41,270.36,57743.0
2016-01-19,265.3,279.05,258.08,275.71,31668.0
2016-01-20,274.09,284.95,262.35,275.47,123992.0
2016-01-21,275.47,283.33,270.21,281.12,27195.0
2016-01-22,284.95,296.2,279.2,294.04,24357.0
2016-01-25,294.78,301.36,292.07,294.58,24174.0
2016-01-27,295.86,300.52,292.81,294.23,56722.0
2016-01-28,293.79,300.57,286.96,295.56,77257.0
2016-01-29,291.83,300.08,290.8,296.4,74284.0
2016-02-01,299.64,306.96,293.3,296.1,44976.0
2016-02-02,293.3,294.73,276.11,279.99,57133.0
