,open,high,low,close,volume
2015-05-15,30.38,31.46,30.38,31.19,92687.0
2015-05-18,31.95,33.3,31.55,31.77,558294.0
2015-05-19,31.95,32.49,31.32,31.77,145449.0
2015-05-20,31.23,31.91,31.05,31.1,64659.0
2015-05-21,31.1,31.28,30.56,30.69,59348.0
2015-05-22,30.6,30.92,30.38,30.51,21477.0
2015-05-25,30.38,31.05,30.38,30.74,51480.0
2015-05-26,30.65,30.92,30.42,30.51,27639.0
2015-05-27,30.42,30.96,30.38,30.47,39008.0
2015-05-28,30.78,30.78,30.2,30.51,7595.0
2015-05-29,31.05,31.95,30.24,30.42,54765.0
2015-06-01,30.96,31.01,30.15,30.15,63045.0
2015-06-02,29.88,30.51,29.52,29.75,78221.0
2015-06-03,30.33,30.38,27.45,28.31,85241.0
2015-06-04,28.89,28.89,27.86,28.04,41758.0
2015-06-05,27.9,28.58,27.86,28.04,67999.0
2015-06-08,28.08,28.31,27.45,27.63,27716.0
2015-06-09,27.68,28.26,27.5,27.81,29061.0
2015-06-10,28.17,30.96,27.9,30.42,255238.0
2015-06-11,30.15,30.69,29.84,30.24,111805.0
2015-06-12,30.42,30.42,27.68,28.53,478543.0
2015-06-15,28.49,28.62,28.17,28.35,38535.0
2015-06-16,29.21,29.21,28.17,28.71,660079.0
2015-06-17,28.94,28.98,28.58,28.71,40577.0
2015-06-18,28.98,29.21,28.31,28.4,64371.0
2015-06-19,28.67,28.8,28.4,28.62,30034.0
2015-06-22,28.67,28.98,28.58,28.76,24696.0
2015-06-23,28.67,29.21,28.67,28.76,26726.0
2015-06-24,28.98,29.75,28.85,29.12,91880.0
2015-06-25,29.12,29.21,28.8,28.89,19392.0
2015-06-26,29.48,29.48,28.58,28.85,37620.0
2015-06-29,28.62,28.67,28.13,28.4,36923.0
2015-06-30,28.17,28.8,28.04,28.76,17736.0
2015-07-01,28.71,29.57,28.71,29.25,30175.0
2015-07-02,29.07,29.66,29.03,29.39,25186.0
2015-07-03,29.43,29.7,29.3,29.39,27009.0
2015-07-06,28.71,29.84,28.71,29.57,65000.0
2015-07-07,29.93,30.74,29.79,30.2,98416.0
2015-07-08,30.06,30.15,29.48,29.7,50374.0
2015-07-09,29.7,31.91,29.66,30.92,153848.0
2015-07-10,30.87,32.81,30.87,32.09,311488.0
2015-07-13,32.22,33.89,32.04,32.94,359232.0
2015-07-14,33.75,33.75,32.22,32.54,172969.0
2015-07-15,32.45,33.75,32.45,33.21,247981.0
2015-07-16,33.62,33.98,32.9,33.21,195885.0
2015-07-17,33.57,33.84,32.85,33.21,102347.0
2015-07-20,33.21,33.71,32.99,33.12,65223.0
2015-07-21,33.48,33.53,32.18,32.67,160105.0
2015-07-22,32.49,33.71,32.49,33.17,140266.0
2015-07-23,33.17,33.57,33.08,33.21,101201.0
2015-07-24,33.39,36.41,33.35,35.6,900743.0
2015-07-27,35.91,37.13,35.55,36.45,492668.0
2015-07-28,36.5,37.67,36.5,37.0,321934.0
2015-07-29,37.27,38.62,37.0,37.94,403803.0
2015-07-30,38.08,39.52,37.85,39.11,892691.0
2015-07-31,39.38,39.83,38.26,38.39,339830.0
2015-08-03,39.47,39.47,37.94,38.26,294421.0
2015-08-04,40.37,42.13,40.06,40.33,2775038.0
2015-08-05,40.37,41.09,39.7,39.92,863035.0
2015-08-06,39.92,40.06,38.3,38.57,348075.0
2015-08-07,38.39,38.48,36.59,36.86,351706.0
2015-08-10,36.86,38.21,36.68,37.54,239567.0
2015-08-11,37.31,38.62,36.64,38.17,395397.0
2015-08-12,38.08,38.48,36.05,36.32,752369.0
2015-08-13,36.59,36.77,34.25,34.56,195397.0
2015-08-14,35.01,36.05,34.25,35.24,165986.0
2015-08-17,35.51,36.23,34.7,36.09,173205.0
2015-08-18,36.41,36.5,35.64,35.87,117049.0
2015-08-19,35.82,37.18,35.33,36.68,164233.0
2015-08-20,36.5,37.36,36.0,36.18,184689.0
2015-08-21,35.69,35.91,35.28,35.82,116244.0
2015-08-24,34.88,34.88,30.78,31.19,240322.0
2015-08-25,30.83,32.4,30.83,32.04,215530.0
2015-08-26,32.22,35.37,32.09,34.92,339153.0
2015-08-27,34.74,36.05,34.74,35.6,199459.0
2015-08-28,35.64,35.69,34.88,35.33,119840.0
2015-08-31,35.1,35.78,34.38,34.88,71833.0
2015-09-01,33.8,35.01,33.66,33.84,57884.0
2015-09-02,34.07,35.28,33.48,34.29,111336.0
2015-09-03,34.88,34.92,34.2,34.38,47730.0
2015-09-04,34.11,34.11,31.95,32.63,111892.0
2015-09-07,32.4,33.17,32.22,32.45,43219.0
2015-09-08,32.31,32.99,31.5,32.63,42488.0
2015-09-09,32.99,33.98,32.58,33.12,154303.0
2015-09-10,33.03,33.39,32.18,32.9,56844.0
2015-09-11,32.58,33.98,32.58,33.03,195015.0
2015-09-14,32.94,33.84,32.94,33.62,67500.0
2015-09-15,33.71,34.2,33.3,33.57,91040.0
2015-09-16,33.66,33.93,33.35,33.62,61969.0
2015-09-18,34.92,35.46,34.02,34.7,290585.0
2015-09-21,34.7,34.97,34.25,34.88,47830.0
2015-09-22,35.1,35.87,33.75,34.79,229854.0
2015-09-23,34.38,35.1,34.07,34.74,57076.0
2015-09-24,35.91,35.91,34.65,34.65,46464.0
2015-09-28,34.65,35.01,33.98,34.38,62588.0
2015-09-29,34.11,38.03,33.66,37.18,633261.0
2015-09-30,40.87,41.18,37.36,37.67,2282614.0
2015-10-01,37.4,38.12,36.09,36.59,259141.0
2015-10-05,37.0,38.03,36.32,37.22,264702.0
2015-10-06,37.49,38.93,37.22,38.75,658584.0
2015-10-07,38.75,38.75,37.4,38.21,892258.0
2015-10-08,37.54,38.53,37.54,37.85,124437.0
2015-10-09,38.26,38.44,37.36,37.45,92016.0
2015-10-12,37.04,37.58,37.04,37.27,67732.0
2015-10-13,37.36,38.98,37.36,38.03,248458.0
2015-10-14,38.03,38.44,37.54,37.94,101442.0
2015-10-15,38.21,38.39,37.4,37.54,81429.0
2015-10-16,38.03,38.39,37.81,37.94,66307.0
2015-10-19,37.94,38.57,37.81,37.85,146880.0
2015-10-20,37.9,38.17,37.54,37.63,57057.0
2015-10-21,38.26,38.35,37.54,37.94,72119.0
2015-10-23,38.26,38.26,37.81,37.85,121972.0
2015-10-26,38.03,38.48,37.81,38.21,112681.0
2015-10-27,38.39,40.28,37.85,39.29,552198.0
2015-10-28,39.56,39.61,38.89,39.07,114545.0
2015-10-29,39.11,39.61,38.75,38.93,193516.0
2015-10-30,39.25,39.25,38.26,38.53,206894.0
2015-11-02,37.81,39.25,37.81,39.16,118334.0
2015-11-03,39.2,40.01,39.07,39.61,133769.0
2015-11-04,40.46,40.46,38.75,39.29,232997.0
2015-11-05,39.97,40.19,38.8,39.11,188802.0
2015-11-06,39.92,40.15,37.85,38.3,548238.0
2015-11-09,36.45,38.3,36.45,37.99,239345.0
2015-11-10,38.26,39.16,38.17,38.39,172201.0
2015-11-11,38.26,39.16,38.17,38.39,172201.0
2015-11-13,40.06,40.06,37.85,38.12,86064.0
2015-11-16,38.26,38.39,37.81,37.99,91334.0
2015-11-17,38.12,40.51,37.94,40.24,301433.0
2015-11-18,39.79,40.46,38.17,38.53,273035.0
2015-11-19,39.02,39.34,38.21,38.66,131411.0
2015-11-20,38.48,41.41,38.3,40.33,762737.0
2015-11-23,40.64,42.31,39.2,41.99,683789.0
2015-11-24,41.72,43.12,41.63,41.81,308306.0
2015-11-26,42.13,42.13,41.5,41.68,78642.0
2015-11-27,41.59,43.21,41.59,41.99,248046.0
2015-11-30,41.86,42.22,41.0,41.18,132842.0
2015-12-01,41.41,44.02,41.14,43.52,568278.0
2015-12-02,43.93,44.42,42.17,43.97,900095.0
2015-12-03,44.29,44.56,43.21,43.39,396006.0
2015-12-04,43.21,43.43,42.35,42.58,185515.0
2015-12-07,42.58,43.07,41.9,42.08,140523.0
2015-12-08,41.81,42.31,41.05,41.32,142091.0
2015-12-09,41.23,41.68,39.97,40.06,141502.0
2015-12-10,40.15,40.46,39.7,40.15,92227.0
2015-12-11,40.15,40.51,39.43,39.52,63605.0
2015-12-14,38.84,39.79,37.94,39.38,76154.0
2015-12-15,39.16,40.19,39.16,40.06,87212.0
2015-12-16,40.15,40.51,39.88,40.1,60684.0
2015-12-17,39.92,40.87,39.88,40.73,127198.0
2015-12-18,40.69,41.14,39.65,40.1,134566.0
2015-12-21,40.1,40.91,40.1,40.51,192413.0
2015-12-22,40.6,40.6,39.74,40.28,149678.0
2015-12-23,40.1,40.51,39.88,40.33,193526.0
2015-12-24,40.46,40.55,39.79,40.01,208739.0
2015-12-28,40.37,40.91,40.1,40.19,196680.0
2015-12-29,40.24,40.42,39.7,40.19,136962.0
2015-12-30,40.28,40.33,39.74,39.83,139606.0
2015-12-31,40.06,41.81,39.92,41.5,553499.0
2016-01-01,41.81,43.57,41.77,43.3,795415.0
2016-01-04,42.8,44.51,42.67,43.21,465233.0
2016-01-05,43.61,44.02,42.8,43.66,462769.0
2016-01-06,43.39,45.01,42.98,43.21,427983.0
2016-01-07,42.94,43.16,41.54,42.17,441131.0
2016-01-08,42.35,43.97,42.08,43.21,222936.0
2016-01-11,42.89,43.43,41.27,43.12,110145.0
2016-01-12,42.98,43.66,42.49,43.16,135918.0
2016-01-13,43.7,44.02,40.51,43.16,744741.0
2016-01-14,41.95,42.8,40.6,42.53,181916.0
2016-01-15,42.35,42.98,41.18,41.63,178698.0
2016-01-18,41.18,41.5,38.3,38.75,212708.0
2016-01-19,38.75,40.55,38.71,40.24,301702.0
2016-01-20,38.98,40.15,38.44,39.52,840597.0
2016-01-21,39.56,40.24,39.16,40.06,309245.0
2016-01-22,40.37,41.59,39.65,40.51,1065484.0
2016-01-25,40.87,41.5,40.69,41.41,380467.0
2016-01-27,41.09,42.26,40.6,42.08,79144.0
2016-01-28,42.35,42.98,42.08,42.31,326756.0
2016-01-29,42.49,42.49,42.04,42.31,75491.0
2016-02-01,42.71,43.21,42.35,43.03,80433.0
2016-02-02,43.61,43.61,41.86,42.04,149475.0
2016-02-03,42.13,42.13,40.1,40.64,106198.0
2016-02-04,40.91,41.77,40.42,40.82,107046.0
2016-02-05,41.23,42.04,39.74,41.41,128930.0
2016-02-08,41.86,42.17,41.18,42.08,118458.0
2016-02-09,42.13,42.13,41.45,41.81,62587.0
2016-02-10,42.17,42.17,40.78,41.09,57204.0
2016-02-11,41.27,41.63,37.85,38.57,197980.0
2016-02-12,40.42,40.42,36.14,38.57,113265.0
2016-02-15,38.57,39.61,38.26,38.75,118868.0
2016-02-16,40.96,40.96,36.95,37.4,47729.0
2016-02-17,37.63,37.72,36.73,37.45,45940.0
2016-02-18,37.67,38.62,37.4,38.21,76353.0
2016-02-19,38.3,38.66,37.67,38.39,122449.0
2016-02-22,39.38,39.56,37.85,38.53,66082.0
2016-02-23,38.53,38.53,37.13,37.27,38446.0
2016-02-24,37.4,37.49,36.54,36.86,19078.0
2016-02-25,36.91,37.81,36.54,36.95,114613.0
2016-02-26,37.4,37.63,36.64,36.77,27495.0
2016-02-29,36.14,37.54,36.14,36.77,45304.0
2016-03-01,37.31,38.26,36.55,38.08,45846.0
2016-03-02,39.61,39.61,37.94,38.26,82835.0
2016-03-03,38.48,38.71,38.03,38.35,31546.0
2016-03-04,38.39,38.89,38.12,38.62,25182.0
2016-03-08,38.66,40.28,38.62,39.74,95292.0
2016-03-09,40.01,40.28,38.48,38.71,134222.0
2016-03-10,38.8,38.93,38.08,38.57,28569.0
2016-03-11,38.53,39.43,38.53,38.62,6126.0
2016-03-14,38.44,38.62,38.26,38.35,31496.0
2016-03-15,38.44,38.84,37.85,38.66,30801.0
2016-03-16,38.62,38.93,38.35,38.66,12347.0
2016-03-17,38.89,38.93,38.35,38.35,232152.0
2016-03-18,37.9,38.66,37.9,38.26,64563.0
2016-03-21,38.26,38.62,37.63,37.85,197851.0
2016-03-22,37.81,39.97,37.81,38.48,308713.0
2016-03-23,37.94,38.57,37.94,38.26,68477.0
2016-03-28,38.48,38.53,37.63,37.81,76459.0
2016-03-29,37.54,37.81,36.95,37.22,76810.0
2016-03-30,36.95,38.39,36.95,38.26,73747.0
2016-03-31,38.44,39.11,37.99,38.26,72209.0
2016-04-01,38.03,40.01,38.03,38.71,303045.0
2016-04-04,38.71,40.64,38.71,40.33,262046.0
2016-04-05,40.33,40.37,39.56,39.74,74135.0
2016-04-06,39.79,40.91,39.65,40.64,64232.0
2016-04-07,40.78,41.32,39.83,40.24,63681.0
2016-04-08,39.88,42.76,39.88,41.95,515353.0
2016-04-11,42.31,42.76,41.63,42.4,182379.0
2016-04-12,41.41,42.76,41.41,42.71,179643.0
2016-04-13,42.71,43.61,42.4,43.21,254804.0
2016-04-18,42.8,43.57,42.35,43.3,108906.0
2016-04-20,42.94,45.41,42.35,43.84,698805.0
2016-04-21,43.97,44.51,43.12,43.48,98037.0
2016-04-22,43.25,44.2,42.8,43.21,157423.0
2016-04-25,42.4,44.11,42.4,43.84,165501.0
2016-04-26,43.66,47.21,43.61,46.09,736820.0
2016-04-27,45.95,46.58,44.6,44.96,351740.0
2016-04-28,44.78,46.31,44.56,44.78,242596.0
2016-04-29,45.01,45.64,44.6,45.1,671836.0
2016-05-02,45.46,45.46,44.6,45.1,135083.0
2016-05-03,45.77,46.67,45.19,45.82,255598.0
2016-05-04,45.91,46.36,44.29,44.51,193594.0
2016-05-05,44.69,46.49,44.33,46.36,739534.0
2016-05-06,46.58,46.67,45.5,46.36,283751.0
2016-05-09,48.29,48.97,47.26,47.44,1545300.0
2016-05-10,47.53,48.07,46.4,46.49,240514.0
2016-05-11,46.18,47.71,45.14,46.49,203277.0
2016-05-12,46.99,47.17,46.31,46.45,127758.0
2016-05-13,46.72,46.9,45.68,45.82,193848.0
2016-05-16,45.82,47.93,45.82,46.85,401058.0
2016-05-17,47.62,47.62,46.31,46.67,237323.0
2016-05-18,47.21,47.21,46.18,46.49,120936.0
2016-05-19,46.45,47.21,46.18,46.4,247114.0
2016-05-20,46.22,46.54,46.04,46.36,86128.0
2016-05-23,46.36,46.76,46.18,46.4,99056.0
2016-05-24,46.58,46.58,45.82,46.31,78649.0
