,open,high,low,close,volume
2015-05-15,113.62,117.1,107.75,109.13,2174436.0
2015-05-18,109.03,113.98,106.47,111.05,2347718.0
2015-05-19,110.87,112.2,108.58,108.85,1314391.0
2015-05-20,109.17,109.72,105.55,106.01,1153036.0
2015-05-21,106.15,106.15,103.54,104.09,836936.0
2015-05-22,104.59,105.37,101.7,101.98,1003666.0
2015-05-25,101.98,104.09,101.89,102.62,663409.0
2015-05-26,102.53,102.53,99.41,99.87,650108.0
2015-05-27,98.96,101.61,97.86,100.38,605406.0
2015-05-28,100.79,101.06,97.58,98.54,734169.0
2015-05-29,98.31,100.7,97.12,97.76,903729.0
2015-06-01,97.76,101.61,97.67,99.37,1035916.0
2015-06-02,99.87,99.92,95.98,96.25,630341.0
2015-06-03,96.02,96.57,87.96,90.89,1393325.0
2015-06-04,91.17,93.92,89.56,90.48,735936.0
2015-06-05,90.43,92.45,88.46,90.98,647621.0
2015-06-08,91.99,92.36,87.59,88.19,718377.0
2015-06-09,87.41,88.33,83.7,84.66,1086981.0
2015-06-10,84.25,86.54,82.83,83.33,1482619.0
2015-06-11,84.57,85.44,82.46,82.69,1011359.0
2015-06-12,83.06,83.06,79.49,79.9,1028250.0
2015-06-15,80.63,81.27,79.07,79.53,843730.0
2015-06-16,80.49,85.62,79.26,82.83,3817699.0
2015-06-17,83.15,84.48,81.32,81.59,1856595.0
2015-06-18,82.74,83.38,80.45,80.63,1366236.0
2015-06-19,81.13,82.1,79.03,79.21,1354251.0
2015-06-22,79.71,81.78,79.71,80.63,1218047.0
2015-06-23,80.86,84.3,80.72,82.46,1912872.0
2015-06-24,82.92,83.24,80.31,80.72,1459091.0
2015-06-25,80.54,80.54,79.07,79.49,1059807.0
2015-06-26,79.16,79.71,76.69,77.06,1914606.0
2015-06-29,75.87,75.87,72.38,73.44,1477643.0
2015-06-30,73.39,76.51,71.65,74.72,3677911.0
2015-07-01,74.54,79.49,74.4,78.66,4801404.0
2015-07-02,79.58,81.04,78.43,78.84,3408605.0
2015-07-03,78.98,80.13,77.01,77.33,1441657.0
