,open,high,low,close,volume
2015-05-15,103.57,103.85,99.61,102.83,1493792.0
2015-05-18,101.36,104.54,100.85,103.85,888518.0
2015-05-19,102.74,103.99,100.62,101.82,1075391.0
2015-05-20,102.19,104.4,102.19,103.89,788188.0
2015-05-21,103.8,105.04,102.6,104.26,937704.0
2015-05-22,104.03,104.72,99.56,100.25,1619259.0
2015-05-25,99.93,101.87,98.55,101.22,1203035.0
2015-05-26,100.85,102.05,99.61,100.21,589872.0
2015-05-27,99.66,101.54,98.6,100.95,1558366.0
2015-05-28,101.73,105.0,101.18,102.97,6311965.0
2015-05-29,103.34,104.81,102.42,103.29,738720.0
2015-06-01,103.52,105.27,102.6,104.35,1018773.0
2015-06-02,104.26,104.45,96.99,98.0,1441410.0
2015-06-03,97.54,97.86,88.47,94.87,1511659.0
2015-06-04,95.14,95.51,91.37,93.53,843909.0
2015-06-05,91.23,98.14,91.23,95.93,1059615.0
2015-06-08,96.71,98.0,94.59,96.25,1730113.0
2015-06-09,94.91,96.99,94.31,95.83,1010057.0
2015-06-10,96.71,98.04,95.93,96.62,912105.0
2015-06-11,96.71,96.94,90.49,91.78,1120618.0
2015-06-12,90.63,91.55,87.08,90.12,1691834.0
2015-06-15,90.17,94.41,88.79,92.47,1266488.0
2015-06-16,91.83,92.93,88.97,91.27,1461701.0
2015-06-17,91.32,93.49,89.76,91.87,1375006.0
2015-06-18,92.89,92.89,89.89,90.58,1045444.0
2015-06-19,91.14,92.24,89.43,90.95,1128635.0
2015-06-22,91.55,95.19,91.18,94.68,914882.0
2015-06-23,94.77,98.92,93.99,98.0,1337614.0
2015-06-24,98.83,101.13,97.63,98.5,1831906.0
2015-06-25,96.75,100.12,96.43,99.01,1448869.0
2015-06-26,98.6,99.38,95.24,97.22,1484595.0
2015-06-29,93.07,95.56,92.66,93.58,821945.0
2015-06-30,93.49,94.87,90.12,90.54,1472480.0
2015-07-01,90.81,92.93,90.45,91.04,1688227.0
2015-07-02,91.64,92.56,89.8,90.08,1126559.0
2015-07-03,89.48,90.22,87.64,88.01,1271481.0
2015-07-06,87.41,90.45,84.37,89.57,1557144.0
2015-07-07,90.68,91.69,89.43,91.14,2059037.0
2015-07-08,90.45,92.1,87.91,90.54,1917144.0
2015-07-09,90.54,92.47,90.4,91.46,1007662.0
2015-07-10,94.94,94.94,90.61,91.46,3170216.0
2015-07-13,91.18,93.76,90.8,93.24,1152991.0
2015-07-14,93.29,97.62,92.63,96.96,1546094.0
2015-07-15,97.76,99.87,96.63,98.6,1751533.0
2015-07-16,98.7,99.17,95.22,95.83,1295068.0
2015-07-17,95.83,98.27,95.83,97.33,1163481.0
2015-07-20,97.47,97.66,94.61,95.22,1587379.0
2015-07-21,95.27,96.25,90.42,91.27,2499254.0
2015-07-22,90.94,94.18,88.45,92.96,4272480.0
2015-07-23,91.51,92.12,87.14,87.7,3856452.0
2015-07-24,87.42,88.59,86.85,87.56,1642641.0
2015-07-27,87.42,89.02,86.2,86.99,1679896.0
2015-07-28,87.32,87.46,80.27,81.17,1822732.0
2015-07-29,81.03,83.23,79.19,82.29,2338804.0
2015-07-30,83.38,84.83,81.5,81.97,1908480.0
2015-07-31,82.25,82.72,78.77,79.24,1882454.0
2015-08-03,79.24,80.09,76.84,77.17,1859721.0
2015-08-04,77.27,78.77,74.87,75.29,2645107.0
2015-08-05,76.14,77.45,74.02,74.59,2012839.0
2015-08-06,74.87,75.57,72.99,73.98,2500410.0
2015-08-07,72.42,74.45,72.24,72.52,1610659.0
2015-08-10,72.42,74.16,71.44,72.05,1584040.0
2015-08-11,72.38,72.75,71.34,71.77,1067808.0
2015-08-12,71.58,73.22,68.05,68.52,1520649.0
2015-08-13,69.09,69.93,64.72,65.33,2566764.0
2015-08-14,64.9,70.22,64.9,69.79,2183270.0
2015-08-17,70.31,74.26,68.57,72.71,2049370.0
2015-08-18,73.32,73.79,69.93,71.25,1595635.0
2015-08-19,70.78,72.38,69.7,70.69,1343554.0
2015-08-20,70.5,71.25,68.81,69.18,1691343.0
2015-08-21,67.82,70.4,67.02,69.37,1124679.0
2015-08-24,66.64,67.3,55.83,58.04,2617054.0
2015-08-25,58.23,66.64,56.54,61.8,3196652.0
2015-08-26,60.67,68.34,59.69,64.67,3976511.0
2015-08-27,66.17,70.59,66.17,69.37,3197823.0
2015-08-28,70.97,72.19,68.52,70.12,2071115.0
2015-08-31,69.6,74.02,68.43,71.48,4319084.0
2015-09-01,70.97,70.97,64.48,66.17,4124953.0
2015-09-02,67.58,67.96,63.96,64.95,2256710.0
2015-09-03,65.7,70.31,65.42,69.46,2728305.0
2015-09-04,68.19,69.56,65.66,66.83,2446710.0
2015-09-07,68.15,69.28,62.23,63.64,2406390.0
2015-09-08,64.86,71.25,64.11,69.7,6754672.0
2015-09-09,73.04,74.16,71.01,73.32,3851904.0
2015-09-10,70.5,77.83,69.79,77.03,4893696.0
2015-09-11,78.02,78.91,76.09,76.89,3257636.0
2015-09-14,77.55,80.23,70.78,78.82,2922207.0
2015-09-15,79.38,79.52,76.37,77.27,2661978.0
2015-09-16,78.02,80.09,76.8,79.0,3005263.0
2015-09-18,78.68,80.84,77.27,77.88,3502358.0
2015-09-21,77.08,82.67,77.03,81.12,2202315.0
2015-09-22,83.7,83.94,78.77,79.33,3008652.0
2015-09-23,77.08,82.53,76.0,81.54,1889149.0
2015-09-24,81.31,83.33,79.24,82.11,2288365.0
2015-09-28,82.11,83.85,80.74,81.5,2170764.0
2015-09-29,79.71,83.89,78.63,82.67,2526100.0
2015-09-30,83.66,88.92,83.38,88.55,4488155.0
2015-10-01,89.3,94.0,82.34,83.99,5649537.0
2015-10-05,85.07,88.36,84.03,87.84,3592728.0
2015-10-06,88.36,88.59,86.15,86.95,1961053.0
2015-10-07,86.95,87.28,84.41,85.73,2239482.0
2015-10-08,86.01,86.52,83.0,83.7,3397286.0
2015-10-09,84.13,84.97,79.9,80.93,3225904.0
2015-10-12,81.54,84.6,79.15,82.29,3083884.0
2015-10-13,83.09,85.91,80.37,85.3,3317810.0
2015-10-14,84.03,85.02,81.68,82.11,2496531.0
2015-10-15,82.58,83.66,81.12,82.67,2335293.0
2015-10-16,83.38,84.17,81.03,81.92,2565561.0
2015-10-19,82.48,85.58,81.12,83.7,2510302.0
2015-10-20,84.32,88.83,83.28,86.99,4360279.0
2015-10-21,87.32,87.51,85.07,86.24,2158911.0
2015-10-23,86.76,88.92,86.52,87.56,2109762.0
2015-10-26,88.26,88.26,82.34,82.76,2900664.0
2015-10-27,82.58,86.2,82.25,85.73,2978786.0
2015-10-28,86.57,88.22,81.31,82.58,6680669.0
2015-10-29,83.42,85.58,82.91,84.69,3187287.0
2015-10-30,84.83,88.17,84.83,87.7,2990237.0
2015-11-02,88.45,90.33,86.24,88.12,2486732.0
2015-11-03,88.45,90.14,87.14,87.98,2009081.0
2015-11-04,89.2,89.2,87.42,88.12,903031.0
2015-11-05,88.69,89.39,83.66,84.36,1481237.0
2015-11-06,85.35,86.95,79.52,80.65,2035499.0
2015-11-09,77.45,82.34,76.23,81.78,2286843.0
2015-11-10,82.67,82.86,79.05,79.47,1369496.0
2015-11-11,82.67,82.86,79.05,79.47,1369496.0
2015-11-13,79.9,80.6,77.08,77.78,2087499.0
2015-11-16,77.59,79.62,76.51,78.3,1378448.0
2015-11-17,78.68,80.27,77.69,79.15,1714622.0
2015-11-18,78.96,81.31,78.72,79.62,2363928.0
2015-11-19,79.94,81.21,79.29,80.6,751597.0
2015-11-20,81.03,83.47,79.99,82.06,1627559.0
2015-11-23,82.06,84.13,81.78,82.39,1464420.0
2015-11-24,82.15,82.53,79.29,80.32,1766945.0
2015-11-26,79.9,82.48,79.15,81.73,1596669.0
2015-11-27,81.82,83.19,80.84,82.06,1709614.0
2015-11-30,82.06,82.86,80.27,80.51,1518259.0
2015-12-01,80.93,82.15,80.46,81.17,851056.0
2015-12-02,81.5,82.2,79.71,81.21,1286470.0
2015-12-03,81.21,81.97,79.71,80.13,1239757.0
2015-12-04,79.85,80.65,78.86,79.94,1439353.0
2015-12-07,80.65,80.7,78.58,78.77,684176.0
2015-12-08,78.44,78.91,73.46,74.21,1853483.0
2015-12-09,72.85,74.45,72.24,73.79,2169142.0
2015-12-10,74.16,75.67,73.46,74.63,2796746.0
2015-12-11,74.82,75.01,69.65,70.36,4483459.0
2015-12-14,69.13,72.94,68.99,72.57,2790249.0
2015-12-15,72.38,72.75,70.12,71.58,2011768.0
2015-12-16,72.1,75.9,71.72,73.98,2919324.0
2015-12-17,74.26,76.47,73.74,76.14,2275206.0
2015-12-18,76.51,78.44,75.1,77.03,1952464.0
2015-12-21,77.88,79.29,76.7,78.25,1380528.0
2015-12-22,78.35,79.9,76.65,77.27,1332396.0
2015-12-23,78.58,79.33,77.31,78.39,1036927.0
2015-12-24,77.92,80.18,77.92,78.63,1798722.0
2015-12-28,78.77,79.33,77.55,78.06,1086654.0
2015-12-29,77.83,79.24,77.83,78.44,959867.0
2015-12-30,78.68,80.65,78.49,79.71,1507886.0
2015-12-31,79.99,81.21,79.52,79.94,1239864.0
2016-01-01,79.9,81.78,78.77,81.45,995432.0
2016-01-04,81.59,82.86,78.96,79.99,1847644.0
2016-01-05,79.0,80.7,75.76,79.9,6809533.0
2016-01-06,80.56,81.87,78.02,79.0,2711033.0
2016-01-07,77.97,78.02,74.26,74.82,2436655.0
2016-01-08,76.14,78.39,75.24,77.92,1967291.0
2016-01-11,77.92,79.33,70.4,77.97,2521759.0
