,open,high,low,close,volume
2015-05-15,69.93,70.01,67.67,68.16,9518340.0
2015-05-18,67.52,71.16,67.14,70.93,11468510.0
2015-05-19,70.94,72.22,70.33,71.77,5676590.0
2015-05-20,72.06,72.52,70.86,71.71,7037340.0
2015-05-21,71.73,72.39,70.09,71.86,4802760.0
2015-05-22,71.92,72.21,71.17,71.73,3927750.0
2015-05-25,72.27,72.27,70.0,70.57,5750540.0
2015-05-26,70.78,71.65,70.16,71.35,7177390.0
2015-05-27,70.66,71.86,70.4,71.56,4805630.0
2015-05-28,71.49,71.87,70.48,71.26,11219240.0
2015-05-29,70.96,72.65,70.48,71.28,10605550.0
2015-06-01,71.18,71.49,70.42,70.73,4258610.0
2015-06-02,71.02,71.02,67.73,68.32,5754810.0
2015-06-03,68.35,68.96,67.17,68.42,8761200.0
2015-06-04,68.06,69.0,67.32,68.17,7729490.0
2015-06-05,67.67,68.97,67.31,68.18,8229870.0
2015-06-08,68.76,68.97,67.32,67.66,5166440.0
2015-06-09,67.67,68.51,66.93,68.21,4727310.0
2015-06-10,68.1,70.01,67.76,69.44,5654990.0
2015-06-11,69.7,70.63,67.39,67.92,4452290.0
2015-06-12,67.81,68.14,65.14,65.59,4580260.0
2015-06-15,65.2,66.8,64.97,65.52,4378810.0
2015-06-16,65.31,65.71,64.68,65.34,4280320.0
2015-06-17,65.77,68.92,65.06,67.48,10907940.0
2015-06-18,67.0,69.23,66.2,68.78,7617470.0
2015-06-19,69.68,70.92,68.74,70.45,7238090.0
2015-06-22,70.75,71.17,70.16,70.4,3951510.0
2015-06-23,70.34,71.06,70.17,70.63,3884370.0
2015-06-24,70.94,71.25,69.23,69.47,5687440.0
2015-06-25,68.7,71.02,68.52,70.6,8601380.0
2015-06-26,69.96,70.47,68.62,69.42,3960230.0
2015-06-29,68.3,68.45,66.9,67.79,5583010.0
2015-06-30,67.67,68.37,67.17,67.85,7938510.0
2015-07-01,68.06,69.54,67.99,69.35,3296610.0
2015-07-02,70.16,70.25,68.69,68.93,3106730.0
2015-07-03,68.92,69.62,67.45,67.59,3720950.0
2015-07-06,76.48,78.79,75.18,78.48,4158290.0
2015-07-07,78.55,79.14,77.48,78.06,5258970.0
2015-07-08,77.43,77.75,75.11,75.59,5448450.0
2015-07-09,75.79,76.55,74.33,74.72,4946930.0
2015-07-10,75.69,75.69,72.85,73.91,8017040.0
2015-07-13,74.37,74.86,73.03,74.35,6870270.0
2015-07-14,74.82,75.25,73.66,74.01,8426850.0
2015-07-15,74.35,74.94,73.16,73.44,8968070.0
2015-07-16,73.92,77.71,73.51,77.34,8516860.0
2015-07-17,77.2,77.2,76.01,76.44,6176700.0
2015-07-20,76.32,77.08,75.7,75.89,3209170.0
2015-07-21,76.06,76.14,73.94,74.46,3706860.0
2015-07-22,74.27,76.77,73.92,76.51,3978610.0
2015-07-23,76.77,77.26,75.93,76.55,3992610.0
2015-07-24,76.5,77.37,74.86,75.3,3543340.0
2015-07-27,74.99,75.34,72.23,72.49,3971970.0
2015-07-28,72.67,73.47,71.25,72.12,5514530.0
2015-07-29,72.1,72.92,71.25,72.41,6404220.0
2015-07-30,72.13,76.15,71.46,75.71,17834280.0
2015-07-31,75.7,76.04,73.51,74.05,5538730.0
2015-08-03,74.01,75.03,72.94,74.28,4551710.0
2015-08-04,74.72,79.59,73.52,78.35,10741830.0
2015-08-05,79.26,81.36,78.73,78.93,7235960.0
2015-08-06,79.09,81.22,77.59,80.36,7855920.0
2015-08-07,80.42,82.9,80.02,82.15,6474440.0
2015-08-10,82.11,83.27,80.87,81.59,5391170.0
2015-08-11,81.23,82.04,79.23,79.82,7367360.0
2015-08-12,79.25,81.26,77.71,78.16,11933060.0
2015-08-13,78.82,79.98,75.81,76.35,11228220.0
2015-08-14,77.04,80.47,76.16,80.21,9206130.0
2015-08-17,80.15,86.99,80.15,86.1,14490780.0
2015-08-18,86.61,90.22,84.98,87.91,20205650.0
2015-08-19,87.72,88.62,85.19,86.82,8608640.0
2015-08-20,85.64,87.28,84.88,85.64,16718320.0
2015-08-21,83.89,84.87,82.92,84.35,11999950.0
2015-08-24,81.05,81.47,76.15,77.2,9891320.0
2015-08-25,78.29,80.15,73.8,79.1,7624140.0
2015-08-26,78.91,81.09,76.59,79.38,7803800.0
2015-08-27,80.07,83.5,79.85,83.01,12623000.0
2015-08-28,84.61,84.68,81.28,82.46,5894790.0
2015-08-31,82.74,83.18,81.23,81.94,4991240.0
2015-09-01,80.43,81.7,79.53,80.34,5320170.0
2015-09-02,80.42,82.38,78.85,79.36,7482190.0
2015-09-03,79.89,83.72,79.66,82.83,8770500.0
2015-09-04,82.38,82.6,79.45,80.46,5668230.0
2015-09-07,80.69,81.8,78.87,79.34,6717090.0
2015-09-08,79.71,84.61,79.35,83.95,9845560.0
2015-09-09,86.28,88.97,85.03,87.42,11875490.0
2015-09-10,86.08,87.86,84.83,86.89,8878750.0
2015-09-11,87.64,87.97,85.23,85.82,6720540.0
2015-09-14,87.3,89.02,85.82,88.46,8455250.0
2015-09-15,88.93,89.58,83.99,84.45,9069490.0
2015-09-16,85.23,85.98,83.81,84.65,6624530.0
2015-09-18,85.59,87.01,82.49,84.1,14930770.0
2015-09-21,83.28,84.4,82.23,82.48,8287470.0
2015-09-22,82.65,83.16,80.43,81.2,7904700.0
2015-09-23,80.15,80.15,77.09,77.87,10533450.0
2015-09-24,77.48,79.75,76.96,78.4,9277560.0
2015-09-28,78.46,79.04,76.42,77.03,5006510.0
2015-09-29,74.83,76.59,73.93,74.82,6367450.0
2015-09-30,76.41,79.69,75.9,79.2,9580920.0
2015-10-01,79.09,79.22,77.66,78.05,5778190.0
2015-10-05,78.64,81.31,78.3,80.88,8785890.0
2015-10-06,81.38,81.57,79.94,80.19,7584600.0
2015-10-07,80.59,82.27,79.94,81.49,9421310.0
2015-10-08,81.4,82.64,80.33,81.36,7572770.0
2015-10-09,82.29,82.92,80.65,80.99,7588200.0
2015-10-12,81.39,82.37,79.53,80.39,10185530.0
2015-10-13,80.51,81.98,79.38,81.72,9713860.0
2015-10-14,81.31,83.81,80.21,80.63,10874710.0
2015-10-15,81.05,82.11,80.16,81.29,8789130.0
2015-10-16,81.4,81.94,79.73,79.88,6739690.0
2015-10-19,79.91,80.77,78.59,79.32,8540960.0
2015-10-20,79.17,80.51,78.77,79.58,11650600.0
2015-10-21,79.4,81.38,79.0,80.7,11028970.0
2015-10-23,81.85,82.02,80.32,81.54,11081350.0
2015-10-26,81.85,82.38,80.7,80.94,6851330.0
2015-10-27,80.63,81.49,79.87,81.15,6490770.0
2015-10-28,80.93,81.66,80.6,81.2,5870970.0
2015-10-29,80.97,82.38,80.66,82.07,13032360.0
2015-10-30,82.02,83.7,80.79,81.08,8594130.0
2015-11-02,81.13,81.56,79.05,79.79,5215560.0
2015-11-03,80.08,80.65,79.09,79.58,4467130.0
2015-11-04,79.89,80.58,79.27,79.46,3418680.0
2015-11-05,79.31,79.62,77.32,77.64,6709440.0
2015-11-06,77.13,78.46,76.24,77.79,4956020.0
2015-11-09,76.49,83.24,76.29,78.92,4956590.0
2015-11-10,78.38,78.56,77.3,77.72,3870870.0
2015-11-11,78.38,78.56,77.3,77.72,3870870.0
2015-11-13,77.85,81.67,77.53,81.09,5458020.0
2015-11-16,80.59,81.94,79.5,80.72,6734140.0
2015-11-17,80.88,81.76,79.35,79.67,5019240.0
2015-11-18,79.69,80.35,78.28,78.88,5359600.0
2015-11-19,79.14,80.86,79.14,80.6,4458160.0
2015-11-20,80.78,81.36,79.5,79.72,6360600.0
2015-11-23,79.82,80.33,78.58,79.25,3245890.0
2015-11-24,78.81,80.02,78.49,78.97,5396450.0
2015-11-26,79.35,80.07,78.47,79.51,7810390.0
2015-11-27,79.52,80.46,77.49,77.67,8163250.0
2015-11-30,77.57,81.03,77.54,80.64,12445090.0
2015-12-01,79.44,84.49,79.37,84.05,16148990.0
2015-12-02,84.27,87.69,83.63,87.39,19082900.0
2015-12-03,87.1,88.53,86.12,86.99,12941730.0
2015-12-04,86.74,87.1,85.75,86.45,10064690.0
2015-12-07,86.66,87.44,85.73,86.66,11031530.0
2015-12-08,86.5,86.87,85.28,85.56,5796190.0
2015-12-09,85.43,85.5,83.65,83.88,6127490.0
2015-12-10,83.98,86.04,83.32,85.55,8144990.0
2015-12-11,86.03,87.61,85.23,86.2,9911290.0
2015-12-14,86.3,91.29,86.13,90.89,19498000.0
2015-12-15,91.1,91.46,89.43,90.24,7208880.0
2015-12-16,90.57,91.64,88.91,89.85,7149120.0
2015-12-17,89.95,93.93,89.95,93.32,14684980.0
2015-12-18,92.91,93.2,91.04,91.47,8950620.0
2015-12-21,92.09,93.95,91.69,93.19,6490730.0
2015-12-22,92.91,94.09,92.19,92.43,6015270.0
2015-12-23,93.07,94.01,92.81,93.65,5577540.0
2015-12-24,94.58,95.47,93.31,94.88,4649690.0
2015-12-28,95.03,95.19,91.16,91.66,6017430.0
2015-12-29,91.91,93.31,91.6,92.23,6974600.0
2015-12-30,92.67,93.51,90.62,91.51,6161680.0
2015-12-31,91.55,92.53,90.84,91.93,6390350.0
2016-01-01,91.63,92.34,90.89,91.47,4507190.0
2016-01-04,91.11,94.49,90.69,93.04,12127750.0
2016-01-05,94.06,97.2,93.71,96.46,14205180.0
2016-01-06,96.45,97.7,93.69,94.24,8015450.0
2016-01-07,92.2,93.16,91.07,91.41,5304630.0
2016-01-08,92.17,93.3,91.38,92.73,7315670.0
2016-01-11,91.65,91.97,89.8,90.81,5261390.0
2016-01-12,91.28,91.75,89.28,90.2,5909770.0
2016-01-13,90.8,91.28,87.31,89.39,10572110.0
2016-01-14,87.9,90.66,86.77,89.37,7062470.0
2016-01-15,90.04,90.21,86.17,86.61,5723680.0
2016-01-18,86.7,90.66,84.87,88.25,9450200.0
2016-01-19,88.79,89.95,87.54,88.93,6397290.0
2016-01-20,87.51,93.06,86.94,91.18,7868100.0
2016-01-21,92.23,93.01,88.79,91.32,9454590.0
2016-01-22,92.27,95.6,91.66,95.12,8586730.0
2016-01-25,95.29,99.28,94.41,98.61,14860730.0
2016-01-27,98.41,100.37,98.35,99.86,15625610.0
