,open,high,low,close,volume
2015-05-15,164.72,165.44,158.98,160.03,239135.0
2015-05-18,161.13,167.12,161.13,163.53,364824.0
2015-05-19,162.71,164.58,160.03,161.56,234091.0
2015-05-20,161.85,168.84,161.8,167.02,629789.0
2015-05-21,167.6,167.69,163.77,163.96,166408.0
2015-05-22,164.44,165.68,162.81,163.96,187184.0
2015-05-25,163.72,174.16,163.19,165.63,492276.0
2015-05-26,165.2,167.21,162.52,163.77,177990.0
2015-05-27,161.37,165.68,161.32,163.81,133790.0
2015-05-28,163.77,165.01,163.0,163.81,98812.0
2015-05-29,163.81,168.98,162.76,166.88,183951.0
2015-06-01,166.88,166.88,163.14,163.57,92059.0
2015-06-02,163.14,166.64,162.23,163.53,161280.0
2015-06-03,162.81,165.44,155.19,158.07,251716.0
2015-06-04,158.98,160.27,157.01,158.16,95846.0
2015-06-05,157.06,169.51,157.06,165.39,387709.0
2015-06-08,166.69,168.55,159.46,161.18,125797.0
2015-06-09,160.84,163.81,158.16,159.5,122282.0
2015-06-10,160.22,166.35,160.17,161.61,194877.0
2015-06-11,163.24,163.67,158.79,159.98,109252.0
2015-06-12,161.42,168.55,159.22,163.67,664377.0
2015-06-15,165.2,166.4,160.89,162.52,124054.0
2015-06-16,162.62,163.67,159.26,160.99,112393.0
2015-06-17,167.6,174.97,163.14,164.15,1557649.0
2015-06-18,164.77,167.12,161.61,162.66,176179.0
2015-06-19,164.34,164.34,160.13,161.18,123150.0
2015-06-22,161.18,166.16,159.93,163.29,350553.0
2015-06-23,165.68,172.38,164.72,169.27,1284499.0
2015-06-24,169.99,171.24,164.24,165.39,546393.0
2015-06-25,165.2,166.3,163.86,164.72,181410.0
2015-06-26,164.53,165.2,162.9,163.29,131039.0
2015-06-29,160.41,160.41,156.58,159.12,188146.0
2015-06-30,159.17,162.09,158.69,159.93,176274.0
2015-07-01,159.79,163.77,159.41,161.13,665911.0
2015-07-02,160.99,163.09,159.93,161.71,126785.0
2015-07-03,163.24,165.2,162.42,163.86,205391.0
2015-07-06,162.09,165.68,159.55,163.86,202540.0
2015-07-07,164.2,166.93,163.96,164.82,204931.0
2015-07-08,162.81,168.55,160.13,167.26,353156.0
2015-07-09,170.71,190.96,168.17,183.25,3074347.0
2015-07-10,185.27,196.23,179.47,193.74,2907460.0
2015-07-13,193.17,199.77,186.03,194.32,1268855.0
2015-07-14,192.83,194.27,187.32,188.71,474120.0
2015-07-15,188.67,197.19,187.23,190.96,822159.0
2015-07-16,190.58,198.15,190.15,196.04,925436.0
2015-07-17,197.76,210.02,197.76,207.05,2321053.0
2015-07-20,207.96,212.22,201.12,202.36,787455.0
2015-07-21,201.21,203.99,186.8,189.43,550121.0
2015-07-22,188.67,206.29,186.75,204.28,1442268.0
2015-07-23,205.76,221.71,205.09,219.02,1863037.0
2015-07-24,221.23,233.15,215.82,220.08,1499177.0
2015-07-27,221.99,224.48,212.46,217.3,639242.0
2015-07-28,219.6,247.47,218.78,241.96,2767555.0
2015-07-29,244.12,258.58,232.81,251.54,2616754.0
2015-07-30,252.54,260.49,247.47,251.78,1321780.0
2015-07-31,253.5,258.0,247.56,252.78,1114098.0
2015-08-03,253.6,266.14,248.62,264.13,1140612.0
2015-08-04,265.18,266.43,251.39,256.13,702035.0
2015-08-05,258.58,263.27,256.95,261.07,613325.0
2015-08-06,261.45,274.86,255.75,273.13,1499216.0
2015-08-07,274.67,281.27,270.07,275.0,1120953.0
2015-08-10,274.62,280.6,268.15,270.93,701997.0
2015-08-11,271.98,310.29,259.82,300.09,4315421.0
2015-08-12,319.01,339.5,294.97,298.42,6173098.0
2015-08-13,300.04,317.95,299.76,308.19,2004602.0
2015-08-14,312.59,332.22,309.33,330.02,2578391.0
2015-08-17,331.65,342.47,320.3,325.81,2174873.0
2015-08-18,327.53,348.03,326.19,345.06,2851155.0
2015-08-19,343.81,349.17,332.8,338.02,1367503.0
