,open,high,low,close,volume
2015-05-15,1092.31,1102.28,1062.38,1067.82,847093.0
2015-05-18,1073.36,1087.22,1066.87,1074.5,275629.0
2015-05-19,1077.35,1168.62,1077.35,1135.5,1477006.0
2015-05-20,1146.48,1162.99,1129.22,1136.95,523378.0
2015-05-21,1142.19,1165.13,1111.36,1143.78,595345.0
2015-05-22,1146.48,1178.1,1131.76,1152.21,568016.0
2015-05-25,1148.37,1185.08,1141.24,1147.47,553506.0
2015-05-26,1155.05,1164.78,1127.62,1133.76,240865.0
2015-05-27,1128.57,1147.17,1114.75,1135.4,333458.0
2015-05-28,1141.19,1145.88,1115.45,1121.94,926615.0
2015-05-29,1126.72,1157.15,1122.34,1135.3,367482.0
2015-06-01,1199.05,1212.51,1125.73,1132.76,572278.0
2015-06-02,1140.99,1148.27,1082.68,1089.22,443109.0
2015-06-03,1092.31,1101.74,1050.16,1090.51,647654.0
2015-06-04,1100.09,1120.39,1090.31,1106.92,553342.0
2015-06-05,1197.15,1207.03,1100.84,1109.27,1756322.0
2015-06-08,1111.26,1114.21,1055.9,1082.23,624681.0
2015-06-09,1082.23,1095.35,1057.5,1067.52,344074.0
2015-06-10,1069.37,1102.93,1068.37,1096.35,556691.0
2015-06-11,1103.28,1112.26,1080.59,1099.84,406782.0
2015-06-12,1103.18,1112.26,1090.11,1107.82,253149.0
2015-06-15,1107.37,1118.25,1099.29,1106.67,181393.0
2015-06-16,1106.77,1120.09,1095.85,1113.36,193604.0
2015-06-17,1123.23,1163.13,1117.25,1154.56,462016.0
2015-06-18,1154.16,1172.26,1151.61,1167.72,296633.0
2015-06-19,1172.11,1195.06,1169.47,1174.71,387769.0
2015-06-22,1172.11,1192.06,1167.22,1177.0,261677.0
2015-06-23,1180.94,1229.97,1170.22,1226.23,676406.0
2015-06-24,1231.62,1263.89,1229.47,1242.29,754342.0
2015-06-25,1223.99,1258.9,1223.99,1248.87,390579.0
2015-06-26,1231.97,1244.43,1215.01,1229.22,334564.0
2015-06-29,1196.55,1266.78,1148.17,1250.17,495419.0
2015-06-30,1254.71,1271.77,1250.22,1265.78,329877.0
2015-07-01,1267.88,1281.34,1254.36,1265.38,217976.0
2015-07-02,1263.14,1286.83,1263.14,1278.6,197769.0
2015-07-03,1279.85,1279.85,1239.45,1247.73,210542.0
2015-07-06,1214.01,1259.4,1208.02,1247.48,266985.0
2015-07-07,1252.32,1268.48,1237.05,1241.54,191269.0
2015-07-08,1222.04,1250.72,1182.64,1193.36,245093.0
2015-07-09,1206.43,1206.83,1127.32,1176.7,357836.0
2015-07-10,1192.16,1203.19,1172.41,1177.95,219682.0
2015-07-13,1179.99,1189.07,1161.04,1168.92,234365.0
2015-07-14,1167.13,1173.11,1143.78,1149.02,232748.0
2015-07-15,1154.56,1154.56,1122.24,1124.03,372954.0
2015-07-16,1116.25,1136.2,1105.33,1109.87,397219.0
2015-07-17,1111.26,1116.2,1088.32,1092.81,302906.0
2015-07-20,1096.3,1117.25,1087.32,1096.6,1226334.0
2015-07-21,1096.3,1112.26,1087.32,1088.82,473876.0
2015-07-22,1082.33,1112.16,1081.34,1104.03,695065.0
2015-07-23,1104.28,1126.72,1092.56,1097.05,857487.0
2015-07-24,1096.3,1112.26,1077.35,1084.78,253433.0
2015-07-27,1090.01,1107.27,1065.38,1081.19,406328.0
2015-07-28,1091.71,1104.28,1047.42,1052.26,663795.0
2015-07-29,1054.4,1062.38,1018.49,1027.52,457026.0
2015-07-30,1035.45,1038.29,1004.92,1025.67,692772.0
2015-07-31,1029.46,1089.72,1017.49,1077.15,815543.0
2015-08-03,1083.33,1104.08,1073.85,1082.73,568302.0
2015-08-04,1091.11,1091.11,1058.39,1069.91,400194.0
2015-08-05,1072.26,1092.11,1063.38,1082.93,628285.0
2015-08-06,1087.02,1099.29,1077.35,1082.28,506884.0
2015-08-07,1082.28,1082.28,1043.88,1046.27,679342.0
2015-08-10,1048.42,1064.18,1032.56,1040.94,316181.0
2015-08-11,1042.33,1050.91,1013.5,1024.03,263541.0
2015-08-12,1025.17,1034.3,1002.53,1004.78,352872.0
2015-08-13,1016.3,1024.48,1005.62,1014.7,313144.0
2015-08-14,1014.7,1027.47,1002.53,1016.4,302759.0
2015-08-17,1030.46,1030.46,1003.48,1013.25,227880.0
2015-08-18,1013.25,1024.83,1004.03,1011.51,252015.0
2015-08-19,1011.51,1015.15,992.65,1002.78,616448.0
2015-08-20,1004.53,1020.39,949.91,961.68,477393.0
2015-08-21,946.67,946.67,839.13,914.8,1483030.0
2015-08-24,847.91,897.79,819.13,830.7,612468.0
2015-08-25,838.04,864.87,745.76,783.27,970542.0
2015-08-26,798.03,812.0,762.12,767.71,879672.0
2015-08-27,798.03,823.97,771.85,816.19,1262868.0
2015-08-28,834.94,867.86,813.0,822.52,759183.0
2015-08-31,824.97,852.9,813.05,842.47,665186.0
2015-09-01,827.96,856.89,819.48,848.01,521575.0
2015-09-02,856.59,864.67,843.52,854.35,286874.0
2015-09-03,859.93,872.65,838.98,848.01,488897.0
2015-09-04,837.94,842.33,794.04,818.83,670352.0
2015-09-07,812.0,821.98,791.4,800.68,610248.0
2015-09-08,800.68,832.95,784.07,824.02,457128.0
2015-09-09,835.94,847.61,801.97,811.95,569878.0
2015-09-10,797.65,808.5,792.5,802.05,510532.0
2015-09-11,810.5,823.7,783.0,816.65,1031139.0
2015-09-14,830.25,937.5,830.0,926.9,3153966.0
2015-09-15,935.0,945.0,910.0,913.9,1313312.0
2015-09-16,929.5,931.35,877.9,901.75,1033803.0
2015-09-18,910.55,950.0,899.05,938.05,833054.0
2015-09-21,930.0,965.0,920.45,959.95,774435.0
2015-09-22,968.0,1000.8,957.0,968.05,938180.0
2015-09-23,961.0,990.0,954.0,977.15,479709.0
2015-09-24,981.9,990.0,972.75,989.55,481152.0
2015-09-28,993.0,1000.0,977.7,986.85,346661.0
2015-09-29,974.9,974.9,941.0,962.45,507142.0
2015-09-30,962.55,991.0,955.5,983.55,426030.0
