,open,high,low,close,volume
2015-05-15,366.49,373.91,365.99,368.74,96370.0
2015-05-18,376.11,376.11,366.95,374.63,94412.0
2015-05-19,377.95,377.95,369.41,375.15,28682.0
2015-05-20,375.54,403.79,375.08,389.96,419636.0
2015-05-21,391.3,394.7,387.98,391.28,77894.0
2015-05-22,392.35,400.92,385.27,395.56,216090.0
2015-05-25,396.13,399.39,391.35,392.38,122162.0
2015-05-26,392.38,399.48,392.38,397.78,238420.0
2015-05-27,397.09,398.48,392.69,396.4,76922.0
2015-05-28,397.31,399.41,393.36,397.54,91326.0
2015-05-29,397.52,409.05,397.5,404.79,264006.0
2015-06-01,408.84,409.05,405.22,406.56,37106.0
2015-06-02,409.05,412.88,400.15,403.43,399812.0
2015-06-03,399.48,401.73,389.67,393.45,92556.0
2015-06-04,394.17,394.17,386.42,391.61,61250.0
2015-06-05,385.13,393.74,385.13,390.08,47470.0
2015-06-08,394.7,397.07,383.24,385.18,61338.0
2015-06-09,387.76,392.31,382.76,387.52,60776.0
2015-06-10,389.91,396.61,385.61,387.04,54694.0
2015-06-11,392.16,394.7,352.55,364.68,234284.0
2015-06-12,365.99,369.72,358.82,362.98,66582.0
2015-06-15,371.69,371.69,360.25,362.52,17344.0
2015-06-16,366.93,366.93,358.86,359.92,33120.0
2015-06-17,363.6,368.1,360.28,363.86,118846.0
2015-06-18,364.08,372.36,362.48,368.98,162102.0
2015-06-19,368.86,370.78,361.45,362.5,72418.0
2015-06-22,370.3,370.3,362.4,363.58,133700.0
2015-06-23,364.2,368.15,363.58,364.08,358330.0
2015-06-24,365.83,367.04,362.91,364.89,38490.0
2015-06-25,366.95,370.3,356.47,359.82,135546.0
2015-06-26,358.82,363.12,356.18,358.79,92628.0
2015-06-29,354.03,357.38,346.95,349.13,170782.0
2015-06-30,346.86,356.9,346.86,348.89,363542.0
2015-07-01,349.3,357.84,349.3,353.67,285066.0
2015-07-02,356.9,356.9,345.9,346.93,126454.0
2015-07-03,352.6,352.6,344.51,346.11,237546.0
2015-07-06,342.07,348.89,341.59,346.81,126400.0
2015-07-07,350.68,352.6,346.86,348.46,71504.0
2015-07-08,349.73,361.69,345.42,359.75,380584.0
2015-07-09,360.3,362.17,357.14,358.41,118912.0
2015-07-10,361.21,362.17,354.99,359.1,67752.0
2015-07-13,361.93,361.93,357.86,360.54,62696.0
2015-07-14,361.83,362.17,353.05,359.49,210066.0
2015-07-15,356.71,369.34,356.71,368.12,311352.0
2015-07-16,368.38,377.0,368.38,375.75,131564.0
2015-07-17,379.36,379.77,370.78,376.37,162060.0
2015-07-20,379.39,382.26,364.8,372.0,566320.0
2015-07-21,373.17,377.0,370.39,373.67,216308.0
2015-07-22,368.38,373.65,368.38,369.25,65086.0
2015-07-23,372.69,374.13,344.49,366.73,1297444.0
2015-07-24,367.43,367.45,356.95,365.18,1013620.0
2015-07-27,365.99,370.78,356.42,358.39,50324.0
2015-07-28,358.82,365.97,357.38,360.61,89388.0
2015-07-29,360.01,365.01,359.99,363.5,57336.0
2015-07-30,363.6,366.49,355.47,356.97,58478.0
2015-07-31,357.17,362.62,355.04,356.88,34000.0
2015-08-03,360.73,361.69,355.99,357.76,274904.0
2015-08-04,359.73,363.12,357.86,359.99,387650.0
2015-08-05,362.28,372.07,360.54,369.13,489048.0
2015-08-06,374.96,375.51,368.38,371.66,183726.0
2015-08-07,375.47,375.49,362.21,363.91,37104.0
2015-08-10,365.99,373.12,362.55,366.26,598312.0
2015-08-11,367.69,368.03,361.21,363.29,32508.0
2015-08-12,363.19,370.73,359.29,360.51,55610.0
2015-08-13,360.51,365.25,356.9,359.51,27310.0
2015-08-14,356.47,365.04,356.47,357.19,58654.0
2015-08-17,351.16,363.07,351.16,353.46,121732.0
2015-08-18,358.0,358.24,351.64,355.44,81968.0
2015-08-19,355.42,357.09,353.55,354.25,42100.0
2015-08-20,354.53,354.53,346.86,348.31,101888.0
2015-08-21,346.86,346.86,338.24,339.87,73000.0
2015-08-24,337.29,337.29,299.28,310.4,397278.0
2015-08-25,310.98,321.98,294.1,317.38,459358.0
2015-08-26,312.43,322.12,303.23,319.17,215282.0
2015-08-27,324.52,330.57,321.11,328.35,697988.0
2015-08-28,333.65,338.35,327.55,331.28,189292.0
2015-08-31,331.28,338.95,326.97,332.68,101346.0
2015-09-01,331.81,334.18,328.42,329.73,60916.0
2015-09-02,329.15,334.86,326.97,330.36,144900.0
2015-09-03,333.55,341.45,330.62,337.57,127084.0
2015-09-04,337.62,339.56,331.81,332.66,117958.0
2015-09-07,333.05,336.36,326.97,327.84,201796.0
2015-09-08,329.7,341.5,326.97,333.82,129744.0
2015-09-09,334.21,350.17,334.21,341.09,215302.0
2015-09-10,341.06,348.18,334.28,341.38,228478.0
2015-09-11,341.79,345.28,338.42,339.34,60306.0
2015-09-14,339.75,344.48,337.62,338.76,53180.0
2015-09-15,339.17,343.92,338.16,339.25,56572.0
2015-09-16,340.82,351.14,340.82,349.42,169510.0
2015-09-18,349.73,376.86,349.01,372.72,271480.0
2015-09-21,372.98,379.77,372.98,374.17,144320.0
2015-09-22,373.93,381.22,364.97,369.76,219416.0
2015-09-23,369.76,376.11,365.04,374.39,258480.0
2015-09-24,374.39,387.47,370.56,382.45,1149946.0
2015-09-28,384.75,386.55,374.92,376.69,85226.0
2015-09-29,372.98,381.56,370.08,374.53,112304.0
2015-09-30,374.36,389.45,372.98,386.35,207446.0
2015-10-01,389.94,394.3,386.26,388.51,506646.0
2015-10-05,392.26,393.28,380.49,390.47,358816.0
2015-10-06,393.26,396.09,389.31,391.25,204408.0
2015-10-07,387.76,394.71,384.12,386.09,274780.0
2015-10-08,391.15,392.36,383.93,388.36,65150.0
2015-10-09,394.73,394.78,385.14,387.18,122078.0
2015-10-12,387.03,394.95,387.03,391.0,110360.0
2015-10-13,394.54,397.2,391.49,393.52,186546.0
2015-10-14,394.68,410.77,394.66,409.17,645802.0
2015-10-15,414.64,429.56,414.64,422.63,471746.0
2015-10-16,422.63,428.64,416.65,428.11,130352.0
2015-10-19,431.74,434.02,428.69,432.66,355974.0
2015-10-20,435.3,446.61,431.11,444.72,1087856.0
2015-10-21,446.03,446.13,423.85,428.06,87576.0
2015-10-23,434.87,434.87,423.85,426.15,56306.0
2015-10-26,429.1,433.78,424.67,431.06,80406.0
2015-10-27,424.09,434.99,424.09,431.96,371140.0
2015-10-28,432.08,439.1,426.27,434.62,583952.0
2015-10-29,428.93,442.74,428.93,437.17,192962.0
2015-10-30,439.35,445.55,420.33,439.39,56806.0
2015-11-02,439.39,439.39,426.41,431.86,175476.0
2015-11-03,432.08,437.19,424.09,433.9,32922.0
2015-11-04,434.45,439.78,419.0,422.8,66864.0
2015-11-05,421.54,427.45,411.98,413.84,36004.0
2015-11-06,414.23,435.47,414.23,426.53,90502.0
2015-11-09,419.9,433.29,417.06,429.1,158338.0
2015-11-10,425.3,432.15,414.45,418.52,65790.0
2015-11-11,425.3,432.15,414.45,418.52,65790.0
2015-11-13,426.27,426.27,411.74,413.5,49284.0
2015-11-16,407.91,426.27,407.91,415.88,41404.0
2015-11-17,415.22,424.77,415.22,418.49,65988.0
2015-11-18,419.0,421.98,409.31,412.44,58472.0
2015-11-19,411.01,427.24,411.01,426.1,98712.0
2015-11-20,427.57,466.16,427.11,443.49,530068.0
2015-11-23,443.22,457.75,440.97,448.36,110466.0
2015-11-24,451.94,459.54,448.06,453.88,53376.0
2015-11-26,460.13,460.13,441.67,444.6,48230.0
2015-11-27,448.02,457.75,443.25,445.74,78174.0
2015-11-30,449.52,458.72,443.17,458.67,241396.0
2015-12-01,460.17,461.58,456.83,459.71,203402.0
2015-12-02,460.17,465.99,459.69,461.14,249802.0
2015-12-03,462.6,462.6,454.75,455.28,41218.0
