,open,high,low,close,volume
2015-05-15,216.36,218.37,213.59,217.13,56392.0
2015-05-18,219.85,219.85,216.22,217.94,67510.0
2015-05-19,218.08,219.09,215.36,217.51,276440.0
2015-05-20,215.36,219.47,212.78,213.68,164293.0
2015-05-21,217.03,217.03,211.53,214.16,23426.0
2015-05-22,215.12,218.61,214.4,218.08,78356.0
2015-05-25,220.0,220.0,214.4,218.13,142060.0
2015-05-26,220.05,220.05,215.55,217.85,68767.0
2015-05-27,216.27,218.13,214.69,217.37,23857.0
2015-05-28,217.61,218.13,208.95,210.72,38856.0
2015-05-29,210.96,224.83,210.96,217.61,540718.0
2015-06-01,215.41,215.41,210.96,211.58,62627.0
2015-06-02,210.96,215.26,208.37,214.45,123474.0
2015-06-03,213.35,213.4,205.03,206.7,40774.0
2015-06-04,210.19,213.35,207.61,209.24,47461.0
2015-06-05,212.68,214.31,206.65,213.01,65101.0
2015-06-08,209.14,218.08,209.14,210.57,52779.0
2015-06-09,212.63,213.92,207.61,209.14,31353.0
2015-06-10,213.3,222.44,211.91,219.85,88973.0
2015-06-11,223.16,225.79,215.02,217.51,139312.0
2015-06-12,216.7,231.86,216.46,222.39,491507.0
2015-06-15,224.83,230.04,221.58,227.17,135216.0
2015-06-16,228.85,228.85,221.39,227.17,149151.0
2015-06-17,227.56,229.23,221.0,221.82,140324.0
2015-06-18,222.87,241.38,221.48,238.22,890738.0
2015-06-19,240.62,254.97,239.18,243.01,434022.0
2015-06-22,245.88,253.44,245.83,251.91,283695.0
2015-06-23,253.34,253.91,247.89,251.47,174363.0
2015-06-24,251.43,251.43,239.8,242.67,62170.0
2015-06-25,243.01,248.99,237.65,246.83,411897.0
2015-06-26,246.55,250.18,245.11,247.65,206294.0
2015-06-29,237.27,245.69,235.98,242.24,49452.0
2015-06-30,242.82,252.34,240.14,249.47,285616.0
2015-07-01,250.61,252.57,243.73,246.26,411312.0
2015-07-02,246.5,251.52,243.96,244.39,247291.0
2015-07-03,244.92,253.72,244.39,246.83,155979.0
2015-07-06,244.78,253.77,242.0,250.33,133529.0
2015-07-07,252.0,259.99,250.71,256.93,319750.0
2015-07-08,255.54,260.23,245.78,250.47,119171.0
2015-07-09,252.57,261.57,251.67,256.83,210708.0
2015-07-10,260.18,262.48,257.31,259.61,89933.0
2015-07-13,262.81,263.1,257.36,260.75,177657.0
2015-07-14,261.19,262.14,250.04,251.91,68762.0
2015-07-15,252.91,262.0,252.91,257.21,169511.0
2015-07-16,253.63,261.86,253.63,257.45,190456.0
2015-07-17,254.58,260.56,254.58,257.65,42652.0
2015-07-20,259.27,262.14,256.4,260.23,97519.0
2015-07-21,261.14,261.14,253.53,255.97,75707.0
2015-07-22,255.11,258.22,253.05,257.12,97744.0
2015-07-23,258.6,258.65,255.49,256.45,89828.0
2015-07-24,256.4,259.99,251.62,253.77,129020.0
2015-07-27,250.66,256.4,250.66,252.77,28306.0
2015-07-28,253.72,258.32,252.1,256.98,34593.0
2015-07-29,256.26,264.06,255.59,259.61,91595.0
2015-07-30,260.85,268.31,259.27,266.69,195943.0
2015-07-31,267.5,268.27,256.45,259.56,63923.0
2015-08-03,260.85,264.44,257.84,261.86,39876.0
2015-08-04,263.43,263.96,256.93,260.75,36761.0
2015-08-05,263.1,275.54,259.94,273.53,221433.0
2015-08-06,275.44,279.17,265.97,267.88,166641.0
2015-08-07,266.93,272.38,259.51,263.58,163604.0
2015-08-10,267.88,269.6,261.95,264.06,176058.0
2015-08-11,267.79,272.0,256.4,257.5,118418.0
2015-08-12,257.36,257.36,244.92,246.4,49421.0
2015-08-13,246.83,253.2,246.83,250.14,42719.0
2015-08-14,250.66,256.93,248.37,255.88,37569.0
2015-08-17,258.27,258.27,249.7,252.34,93269.0
2015-08-18,249.32,257.93,249.32,253.1,30745.0
2015-08-19,255.01,258.22,250.66,256.45,41094.0
2015-08-20,256.45,256.45,247.79,251.24,34747.0
2015-08-21,249.7,250.66,242.1,248.89,36822.0
2015-08-24,232.63,243.96,199.14,220.76,91917.0
2015-08-25,222.92,235.35,209.47,232.34,117278.0
2015-08-26,239.09,241.67,226.79,237.17,36905.0
2015-08-27,241.0,243.96,239.47,241.24,19433.0
2015-08-28,241.57,256.4,236.79,238.03,140822.0
2015-08-31,239.09,245.73,234.49,238.22,75390.0
2015-09-01,238.22,240.71,230.67,237.12,246175.0
2015-09-02,237.6,241.96,231.62,234.35,43379.0
2015-09-03,238.75,241.0,230.71,232.91,44785.0
2015-09-04,231.53,232.29,219.09,224.88,37564.0
2015-09-07,229.52,229.52,218.13,220.09,53229.0
2015-09-08,215.26,227.7,213.35,225.69,55934.0
2015-09-09,229.61,234.4,225.98,233.25,36185.0
2015-09-10,229.61,232.96,223.39,232.01,53184.0
2015-09-11,237.84,237.84,229.66,231.34,13437.0
2015-09-14,230.67,233.2,226.07,228.75,46253.0
2015-09-15,228.9,232.48,225.02,229.04,13788.0
2015-09-16,225.79,237.17,221.53,228.23,268254.0
2015-09-18,224.83,232.48,223.87,230.95,48003.0
2015-09-21,233.41,235.81,229.61,232.4,24882.0
2015-09-22,234.8,236.83,231.15,231.96,19513.0
2015-09-23,230.09,230.57,224.41,228.55,16410.0
2015-09-24,228.16,234.9,227.29,230.81,17752.0
2015-09-28,225.51,233.55,225.51,232.64,16562.0
2015-09-29,231.05,240.97,228.16,238.65,194517.0
2015-09-30,244.48,245.49,240.68,244.67,44780.0
2015-10-01,258.0,259.93,251.31,254.83,201442.0
2015-10-05,257.04,259.74,253.19,256.8,82283.0
2015-10-06,259.74,259.74,247.85,249.48,99918.0
2015-10-07,250.26,250.26,241.64,242.41,37000.0
2015-10-08,242.55,246.36,237.79,243.28,46916.0
2015-10-09,245.39,252.61,244.05,250.4,256234.0
2015-10-12,250.3,253.19,246.55,249.0,143946.0
2015-10-13,248.38,253.19,246.45,251.7,17080.0
2015-10-14,253.19,257.48,249.29,256.03,23788.0
2015-10-15,254.92,261.42,252.23,259.64,127620.0
2015-10-16,261.37,261.37,254.64,254.97,131423.0
2015-10-19,255.16,260.46,253.14,255.41,71993.0
2015-10-20,257.19,260.8,251.31,253.67,233169.0
2015-10-21,256.66,258.97,248.67,249.68,73994.0
2015-10-23,255.02,256.42,249.82,253.87,88023.0
2015-10-26,252.23,259.83,250.45,258.05,195688.0
2015-10-27,252.9,257.43,252.28,253.34,28647.0
2015-10-28,254.2,255.94,250.3,250.78,18701.0
2015-10-29,250.3,255.6,250.3,252.61,29196.0
2015-10-30,253.14,256.08,250.3,250.54,151964.0
2015-11-02,250.54,256.75,247.8,254.73,41664.0
2015-11-03,252.23,261.57,252.18,256.66,35277.0
2015-11-04,258.15,261.37,256.46,260.41,44873.0
2015-11-05,261.81,264.55,255.12,256.37,46105.0
2015-11-06,249.39,255.02,238.27,250.16,274086.0
2015-11-09,245.49,248.86,240.72,242.89,30983.0
2015-11-10,243.47,245.39,236.25,237.98,17904.0
2015-11-11,243.47,245.39,236.25,237.98,17904.0
2015-11-13,239.23,247.9,238.37,240.1,37423.0
2015-11-16,241.64,244.48,232.97,237.21,23316.0
2015-11-17,239.81,240.63,235.43,237.55,14401.0
2015-11-18,238.8,248.38,238.65,244.67,39771.0
2015-11-19,243.66,246.36,240.72,245.97,144164.0
2015-11-20,245.54,248.14,240.77,242.17,16383.0
2015-11-23,245.49,247.42,238.75,246.02,21841.0
2015-11-24,246.02,253.58,244.05,252.23,31545.0
2015-11-26,252.23,255.07,250.3,251.46,10692.0
2015-11-27,253.0,271.48,247.9,267.44,405359.0
2015-11-30,269.46,274.37,264.74,267.44,82803.0
2015-12-01,269.08,270.04,259.93,261.76,24937.0
2015-12-02,267.05,269.22,259.93,265.66,16068.0
2015-12-03,259.98,264.98,257.52,264.5,95999.0
2015-12-04,260.99,264.74,251.55,254.2,37940.0
2015-12-07,254.2,255.16,244.53,247.42,38566.0
2015-12-08,247.51,249.0,240.05,242.26,14629.0
2015-12-09,242.26,242.79,233.94,237.64,20797.0
2015-12-10,254.92,254.92,235.91,237.02,13896.0
2015-12-11,237.07,240.05,230.42,233.17,22387.0
2015-12-14,231.05,234.51,230.09,232.64,16538.0
2015-12-15,237.84,240.68,231.05,239.71,27048.0
2015-12-16,239.23,248.38,237.79,239.62,80559.0
2015-12-17,241.59,245.35,238.75,241.01,12893.0
2015-12-18,242.22,247.08,240.77,242.89,18232.0
2015-12-21,238.27,248.38,238.27,244.86,13879.0
2015-12-22,244.53,249.63,243.08,248.28,12941.0
2015-12-23,250.26,264.55,245.1,256.85,209688.0
2015-12-24,258.63,258.63,252.23,254.06,63958.0
2015-12-28,250.5,258.73,245.97,249.0,889119.0
2015-12-29,250.69,251.27,245.54,245.92,21962.0
2015-12-30,249.44,251.27,247.42,249.44,52871.0
2015-12-31,251.27,251.27,242.55,246.89,16344.0
2016-01-01,248.33,249.53,245.06,246.26,15126.0
