,open,high,low,close,volume
2015-05-15,53.42,53.43,53.01,53.25,2027182.0
2015-05-18,53.26,53.26,52.43,52.86,463343.0
2015-05-19,52.32,52.77,51.98,52.11,477458.0
2015-05-20,52.6,53.08,52.32,52.94,349105.0
2015-05-21,53.04,53.11,52.2,52.29,370293.0
2015-05-22,52.76,52.76,52.09,52.25,238327.0
2015-05-25,52.68,52.68,51.55,51.7,873036.0
2015-05-26,52.02,52.43,51.76,52.06,318242.0
2015-05-27,52.42,53.1,51.8,52.4,1346268.0
2015-05-28,52.43,52.86,52.07,52.39,238617.0
2015-05-29,52.6,52.75,52.12,52.22,466525.0
2015-06-01,52.71,54.34,52.27,54.0,467936.0
2015-06-02,54.35,54.5,53.16,53.35,339075.0
2015-06-03,53.39,53.4,52.04,52.53,448791.0
2015-06-04,53.08,53.1,52.1,52.96,267963.0
2015-06-05,52.96,53.21,52.11,52.37,602245.0
2015-06-08,52.54,52.6,51.76,51.89,316743.0
2015-06-09,52.42,52.42,51.08,51.52,487429.0
2015-06-10,51.92,52.37,51.21,51.48,607127.0
2015-06-11,51.83,51.86,51.02,51.36,383210.0
2015-06-12,51.62,51.62,50.86,51.27,361579.0
2015-06-15,51.3,51.64,50.58,50.7,766443.0
2015-06-16,50.8,51.1,49.96,50.16,886348.0
2015-06-17,50.51,51.85,50.08,51.62,537366.0
2015-06-18,51.81,52.32,50.85,51.76,267526.0
2015-06-19,51.75,52.48,51.02,51.33,626673.0
2015-06-22,51.08,52.98,51.08,52.7,848844.0
2015-06-23,52.99,53.33,52.29,52.45,411003.0
2015-06-24,52.93,53.58,52.54,53.12,420354.0
2015-06-25,52.99,58.19,52.99,56.52,1925023.0
2015-06-26,56.71,57.17,55.26,56.44,1005952.0
2015-06-29,55.88,56.18,54.75,55.05,2417683.0
2015-06-30,55.05,55.91,54.5,54.62,2822087.0
2015-07-01,55.08,55.75,53.63,54.16,1021442.0
2015-07-02,54.35,55.14,54.16,54.81,399438.0
2015-07-03,54.57,55.37,54.57,55.03,438938.0
2015-07-06,55.01,56.04,54.69,55.63,801073.0
2015-07-07,56.19,56.75,55.81,56.02,608898.0
2015-07-08,56.69,56.69,55.14,55.47,564923.0
2015-07-09,56.03,56.26,55.2,55.35,687762.0
2015-07-10,64.79,64.79,62.94,63.34,541038.0
2015-07-13,63.47,64.07,62.15,63.32,2609079.0
2015-07-14,63.34,63.76,62.96,63.48,928133.0
2015-07-15,63.75,63.75,63.09,63.25,205988.0
2015-07-16,63.35,63.95,63.21,63.3,1981962.0
2015-07-17,63.35,64.54,63.35,63.96,471076.0
2015-07-20,64.62,65.05,64.28,64.51,536965.0
2015-07-21,64.66,64.66,63.56,63.79,325468.0
2015-07-22,63.74,64.19,63.12,63.36,311217.0
2015-07-23,64.02,64.02,63.32,63.44,220706.0
2015-07-24,63.58,63.74,63.03,63.15,278547.0
2015-07-27,63.82,63.82,62.85,63.09,309476.0
2015-07-28,63.21,63.58,62.55,62.76,342995.0
2015-07-29,63.07,63.21,62.19,62.48,213208.0
2015-07-30,62.81,64.82,62.15,64.36,670312.0
2015-07-31,64.99,65.49,63.48,64.32,1894048.0
2015-08-03,64.42,64.81,63.66,63.9,567881.0
2015-08-04,64.54,65.45,63.88,64.97,817449.0
2015-08-05,65.49,66.02,64.95,65.41,522454.0
2015-08-06,65.75,66.01,64.81,65.51,308797.0
2015-08-07,65.51,66.18,65.24,65.53,512985.0
2015-08-10,65.49,66.11,64.87,65.23,288223.0
2015-08-11,65.69,65.75,64.68,64.83,217653.0
2015-08-12,64.37,65.09,64.16,64.89,300969.0
2015-08-13,65.08,65.59,64.89,64.98,272910.0
2015-08-14,65.02,65.81,64.96,65.61,264119.0
2015-08-17,65.96,66.95,64.95,66.56,527519.0
2015-08-18,66.69,67.36,65.89,66.25,352482.0
2015-08-19,66.41,66.71,65.89,66.39,249325.0
2015-08-20,66.4,66.69,65.48,65.54,298283.0
2015-08-21,64.15,65.69,64.15,65.33,385872.0
2015-08-24,64.42,64.42,62.66,62.95,683057.0
2015-08-25,63.62,63.91,62.21,62.62,495971.0
2015-08-26,63.08,63.08,61.91,62.01,316052.0
2015-08-27,62.53,63.08,62.27,62.45,240482.0
2015-08-28,63.11,63.78,62.03,62.45,353698.0
2015-08-31,62.28,62.95,62.01,62.21,337068.0
2015-09-01,62.15,62.28,60.54,60.82,459175.0
2015-09-02,60.84,61.49,60.15,60.4,418217.0
2015-09-03,60.41,60.95,60.01,60.7,310066.0
2015-09-04,60.94,60.94,59.39,59.76,468384.0
2015-09-07,59.76,60.12,57.2,57.43,783422.0
2015-09-08,58.1,58.1,56.29,57.7,721530.0
2015-09-09,58.36,59.93,58.27,59.21,476891.0
2015-09-10,58.8,59.46,57.74,58.96,396622.0
2015-09-11,59.09,60.01,58.96,59.37,309015.0
2015-09-14,59.46,59.74,58.94,59.05,1284712.0
2015-09-15,59.47,59.86,59.07,59.65,535064.0
2015-09-16,59.75,60.68,59.47,59.71,227524.0
2015-09-18,60.07,61.74,59.89,61.54,565744.0
2015-09-21,61.44,62.05,60.89,61.34,1110785.0
2015-09-22,61.34,61.87,60.0,60.65,250087.0
2015-09-23,60.77,60.98,59.98,60.74,166146.0
2015-09-24,60.5,61.92,60.5,61.27,416233.0
2015-09-28,60.6,61.88,60.6,61.18,201325.0
2015-09-29,61.18,61.34,59.61,59.85,1852494.0
2015-09-30,60.15,60.8,59.71,59.77,1581301.0
2015-10-01,60.44,60.44,59.64,59.88,190639.0
2015-10-05,60.01,60.39,59.87,60.07,1012209.0
2015-10-06,60.65,60.65,59.4,59.75,861276.0
2015-10-07,59.9,60.11,59.51,59.81,230736.0
2015-10-08,60.47,60.78,59.5,60.46,205085.0
2015-10-09,60.17,60.45,59.74,59.85,353132.0
2015-10-12,59.91,60.33,59.3,59.74,253558.0
2015-10-13,60.09,60.09,59.23,59.44,540147.0
2015-10-14,59.87,59.87,59.35,59.56,220404.0
2015-10-15,60.01,60.01,57.2,57.35,7928540.0
2015-10-16,58.0,58.3,57.21,57.43,1423071.0
2015-10-19,58.1,58.1,57.29,57.44,846972.0
2015-10-20,57.96,57.96,56.8,57.05,1203180.0
2015-10-21,57.42,57.43,56.54,56.6,492612.0
2015-10-23,57.18,57.18,56.41,56.59,598154.0
2015-10-26,57.17,57.17,55.49,55.68,767978.0
2015-10-27,55.93,56.11,55.2,55.39,640245.0
2015-10-28,55.69,57.12,55.21,55.76,1135591.0
2015-10-29,56.11,56.77,55.86,56.43,361355.0
2015-10-30,56.76,56.76,55.88,56.34,496408.0
2015-11-02,56.4,56.93,55.86,56.55,484347.0
2015-11-03,56.65,57.19,56.65,57.05,356331.0
2015-11-04,57.2,57.41,56.8,56.99,277544.0
2015-11-05,57.19,57.47,56.5,56.65,443525.0
2015-11-06,56.65,56.91,56.29,56.58,198745.0
