,open,high,low,close,volume
2015-05-15,235.57,241.95,233.22,234.35,3835.0
2015-05-18,232.74,237.43,232.74,234.22,2089.0
2015-05-19,233.53,236.3,231.83,234.22,7185.0
2015-05-20,232.66,235.22,231.79,234.31,8730.0
2015-05-21,238.69,242.21,231.79,238.0,5338.0
2015-05-22,237.0,238.78,235.26,236.43,787.0
2015-05-25,238.3,239.6,230.49,235.87,1523.0
2015-05-26,236.65,237.56,236.09,236.13,670.0
2015-05-27,230.92,236.56,230.92,234.39,83067.0
2015-05-28,237.04,237.69,234.39,237.0,3213.0
2015-05-29,237.39,240.04,237.0,238.86,6123.0
2015-06-01,240.08,240.08,228.23,234.39,6514.0
2015-06-02,240.77,240.77,234.35,234.78,10656.0
2015-06-03,233.53,238.34,230.05,236.09,10253.0
2015-06-04,233.53,237.87,231.88,234.44,9034.0
2015-06-05,233.53,238.73,233.53,236.56,2541.0
2015-06-08,239.6,241.34,232.92,237.82,7677.0
2015-06-09,237.0,237.04,232.92,233.48,1601.0
2015-06-10,240.9,241.34,234.57,236.69,6538.0
2015-06-11,236.52,238.3,232.66,234.48,11971.0
2015-06-12,234.52,235.26,232.66,233.57,3034.0
2015-06-15,233.53,236.04,213.3,226.84,70749.0
2015-06-16,233.53,236.61,229.71,234.31,10885.0
2015-06-17,232.7,242.21,232.66,238.43,7496.0
2015-06-18,238.73,242.99,235.26,239.04,7549.0
2015-06-19,240.25,240.25,235.35,238.91,6440.0
2015-06-22,236.13,240.04,234.61,239.3,6549.0
2015-06-23,242.73,243.07,236.13,238.08,6692.0
2015-06-24,237.0,243.12,236.13,240.51,3519.0
2015-06-25,237.21,237.69,233.53,235.17,3997.0
2015-06-26,239.6,239.6,235.09,236.61,1300.0
2015-06-29,234.74,242.21,230.75,241.16,12513.0
2015-06-30,238.73,241.16,236.26,239.39,3372.0
2015-07-01,238.99,248.28,238.73,246.24,10749.0
2015-07-02,247.89,249.15,243.07,246.63,11364.0
2015-07-03,250.58,251.76,245.72,250.37,6142.0
2015-07-06,249.15,249.15,243.42,246.89,2090.0
2015-07-07,247.68,249.11,243.12,244.9,5742.0
2015-07-08,249.02,258.7,243.9,250.5,25885.0
2015-07-09,249.15,256.88,244.85,248.89,10048.0
2015-07-10,247.42,250.06,245.25,245.55,2256.0
2015-07-13,245.68,251.76,245.46,248.15,9992.0
2015-07-14,245.68,259.57,245.68,253.06,28127.0
2015-07-15,255.66,255.66,246.68,248.59,16439.0
2015-07-16,251.54,251.76,236.13,247.68,14258.0
2015-07-17,251.54,251.67,242.55,244.77,21584.0
2015-07-20,244.98,247.15,243.29,244.29,10120.0
2015-07-21,249.06,249.06,235.35,238.39,35533.0
2015-07-22,237.04,249.67,237.04,247.46,19410.0
2015-07-23,247.37,250.02,246.11,248.2,5082.0
2015-07-24,246.55,247.85,243.16,245.94,1870.0
2015-07-27,243.94,249.93,243.07,246.16,6974.0
2015-07-28,251.02,252.45,242.55,245.9,4045.0
2015-07-29,244.85,248.07,241.34,246.07,46015.0
2015-07-30,251.73,266.88,251.73,263.43,43335.0
2015-07-31,270.15,293.39,263.3,287.91,73182.0
2015-08-03,287.91,304.93,287.91,291.71,44291.0
2015-08-04,291.63,294.32,284.78,289.02,5864.0
2015-08-05,294.76,294.76,275.72,278.37,15974.0
2015-08-06,279.25,281.02,262.73,269.8,27076.0
2015-08-07,268.65,286.23,259.86,265.07,31020.0
2015-08-10,263.35,265.16,248.32,251.5,32802.0
2015-08-11,253.18,253.54,244.35,249.52,20566.0
2015-08-12,248.37,258.84,245.72,247.62,87049.0
2015-08-13,249.21,251.86,238.87,241.78,13297.0
2015-08-14,245.63,245.67,229.85,232.24,23430.0
2015-08-17,235.95,238.6,229.99,237.76,55439.0
