,open,high,low,close,volume
2015-05-15,97.69,102.16,96.91,99.96,1062820.0
2015-05-18,100.8,104.69,100.8,102.19,286190.0
2015-05-19,101.64,108.02,101.64,105.6,427550.0
2015-05-20,105.86,106.8,102.75,104.71,119730.0
2015-05-21,104.14,105.86,103.14,103.46,45150.0
2015-05-22,104.11,104.5,102.16,102.36,34165.0
2015-05-25,104.89,105.47,102.14,103.87,58805.0
2015-05-26,104.72,108.98,102.55,103.45,93735.0
2015-05-27,103.53,103.53,94.77,96.14,136600.0
2015-05-28,99.01,99.41,96.12,96.73,75030.0
2015-05-29,95.75,105.14,95.45,101.4,162695.0
2015-06-01,101.4,103.12,97.73,101.36,137675.0
2015-06-02,101.42,103.11,96.73,97.47,136450.0
2015-06-03,98.04,99.81,97.97,99.03,127915.0
2015-06-04,99.11,103.52,98.27,99.05,320420.0
2015-06-05,100.07,102.87,100.06,101.31,48085.0
2015-06-08,101.75,102.55,97.59,99.29,101345.0
2015-06-09,98.55,100.76,96.68,99.74,74850.0
2015-06-10,100.07,102.05,100.02,100.68,77120.0
2015-06-11,103.14,103.14,98.27,98.95,37660.0
2015-06-12,98.32,101.3,95.94,100.62,51040.0
2015-06-15,100.75,100.98,97.69,98.72,47505.0
2015-06-16,100.78,100.78,97.69,97.93,49485.0
2015-06-17,99.02,100.23,98.28,98.61,30130.0
2015-06-18,98.6,105.63,98.27,104.29,226690.0
2015-06-19,105.08,107.03,103.43,103.73,148715.0
2015-06-22,103.33,106.37,103.33,104.55,115190.0
2015-06-23,104.04,104.5,101.39,102.47,79470.0
2015-06-24,103.09,103.39,101.29,101.77,35010.0
2015-06-25,101.03,102.92,100.22,102.46,82750.0
2015-06-26,100.61,106.06,100.61,102.23,82870.0
2015-06-29,102.16,102.19,97.69,100.23,68670.0
2015-06-30,102.23,105.67,99.25,102.07,35355.0
2015-07-01,103.53,105.47,101.19,102.52,322855.0
2015-07-02,103.54,108.9,102.25,105.78,206890.0
2015-07-03,106.46,111.7,106.45,108.92,309515.0
2015-07-06,110.73,113.26,108.04,111.48,181195.0
2015-07-07,112.12,115.53,112.09,113.3,198325.0
2015-07-08,113.13,113.25,110.14,112.04,164160.0
2015-07-09,119.08,120.26,113.06,114.71,661310.0
2015-07-10,115.2,115.79,111.57,115.32,127770.0
2015-07-13,114.92,116.76,113.68,115.24,348385.0
2015-07-14,115.78,121.62,114.83,119.88,333570.0
2015-07-15,119.09,121.43,118.71,118.95,89180.0
2015-07-16,120.42,120.42,116.57,117.49,62645.0
