,open,high,low,close,volume
2015-05-15,196.97,203.68,193.31,196.69,42546.0
2015-05-18,196.97,200.68,196.31,199.49,43914.0
2015-05-19,198.07,202.73,198.07,199.49,24310.0
2015-05-20,199.87,203.11,196.26,198.02,30201.0
2015-05-21,198.69,199.78,195.73,196.92,28573.0
2015-05-22,197.02,199.87,193.45,194.69,28393.0
2015-05-25,195.4,198.92,194.74,197.59,30055.0
2015-05-26,199.3,206.35,197.21,204.59,98694.0
2015-05-27,202.25,207.58,199.87,204.49,99931.0
2015-05-28,203.11,206.44,200.54,204.63,56663.0
2015-05-29,204.06,208.25,204.06,205.63,38844.0
2015-06-01,203.87,208.44,203.68,207.11,42364.0
2015-06-02,207.49,214.15,203.21,206.78,54401.0
2015-06-03,205.82,208.2,185.88,194.21,130419.0
2015-06-04,195.07,197.78,186.22,195.78,46318.0
2015-06-05,194.78,199.87,191.5,195.88,18750.0
2015-06-08,191.31,203.68,191.31,199.4,46507.0
2015-06-09,196.35,200.11,194.16,195.4,25612.0
2015-06-10,195.4,199.73,194.31,195.54,32461.0
2015-06-11,196.73,199.87,193.4,194.88,32688.0
2015-06-12,194.16,196.54,192.64,194.88,30384.0
2015-06-15,194.4,201.21,194.4,196.88,18889.0
2015-06-16,195.83,199.64,193.69,196.54,41980.0
2015-06-17,196.54,203.59,196.54,197.78,52056.0
2015-06-18,197.97,201.16,197.26,197.83,34946.0
2015-06-19,198.21,200.83,195.21,196.31,19041.0
2015-06-22,196.07,198.21,194.16,195.4,65464.0
2015-06-23,194.93,199.26,194.74,196.73,29069.0
2015-06-24,195.31,199.87,195.31,196.59,30538.0
2015-06-25,196.07,203.16,196.07,200.97,140113.0
2015-06-26,204.63,210.34,201.16,202.35,157421.0
2015-06-29,193.97,197.5,191.31,195.35,70928.0
2015-06-30,196.31,198.35,191.5,194.26,85316.0
2015-07-01,194.26,196.54,191.31,193.5,53175.0
2015-07-02,196.92,196.92,191.83,192.36,39010.0
2015-07-03,193.21,195.02,190.36,191.59,34886.0
2015-07-06,189.41,191.17,185.88,188.36,40257.0
2015-07-07,188.45,196.83,188.45,190.79,85093.0
2015-07-08,189.88,191.78,185.31,188.26,43832.0
2015-07-09,188.69,192.69,185.6,186.07,28261.0
2015-07-10,185.6,192.26,185.6,189.17,48541.0
2015-07-13,187.69,193.69,187.69,190.31,22867.0
2015-07-14,188.74,193.4,188.74,190.02,36835.0
2015-07-15,192.26,194.4,190.83,192.36,53903.0
2015-07-16,192.83,193.93,190.88,191.36,17655.0
2015-07-17,190.4,193.12,189.5,189.93,13628.0
2015-07-20,189.98,192.12,188.5,188.88,20705.0
2015-07-21,188.45,190.12,176.84,181.6,65646.0
2015-07-22,180.84,187.31,179.89,182.5,24241.0
2015-07-23,183.69,186.03,180.84,181.55,30316.0
2015-07-24,182.36,194.93,174.46,188.98,429896.0
2015-07-27,185.74,186.64,178.94,181.74,93993.0
2015-07-28,181.79,186.17,180.98,183.88,57886.0
2015-07-29,185.12,187.41,182.79,183.6,44059.0
2015-07-30,185.5,186.41,182.84,183.31,23998.0
2015-07-31,184.22,185.6,181.93,183.03,22093.0
2015-08-03,182.79,197.78,181.89,189.74,107703.0
2015-08-04,190.36,190.83,185.26,185.79,36727.0
2015-08-05,185.17,193.21,184.65,186.64,59812.0
2015-08-06,185.65,190.36,182.74,183.74,76039.0
2015-08-07,184.65,188.41,180.98,182.12,35814.0
2015-08-10,183.69,184.65,181.31,181.79,22088.0
2015-08-11,183.5,183.55,178.46,179.03,29278.0
2015-08-12,180.36,181.6,169.51,170.27,47824.0
2015-08-13,174.99,177.89,165.61,166.75,32818.0
2015-08-14,169.23,178.41,162.95,172.51,56208.0
2015-08-17,173.42,176.03,169.51,171.8,24492.0
2015-08-18,173.22,174.08,168.47,169.94,34250.0
2015-08-19,171.8,190.31,171.46,173.56,86164.0
2015-08-20,173.22,173.94,159.9,162.14,137144.0
2015-08-21,163.61,163.61,145.48,155.05,126828.0
2015-08-24,151.86,151.86,131.49,134.44,62571.0
2015-08-25,136.11,144.53,129.54,133.82,90908.0
2015-08-26,137.91,141.63,131.39,137.96,40885.0
2015-08-27,139.06,144.67,138.01,142.34,32107.0
2015-08-28,143.58,165.61,143.58,158.0,410649.0
2015-08-31,158.76,163.61,149.43,156.47,105291.0
2015-09-01,154.24,160.76,148.95,151.05,42230.0
2015-09-02,149.43,155.09,148.48,149.33,37232.0
2015-09-03,150.86,155.62,149.91,151.9,54652.0
2015-09-04,150.38,152.95,142.77,148.38,62728.0
2015-09-07,148.95,159.9,145.15,149.24,262788.0
2015-09-08,149.43,155.46,149.43,152.95,55259.0
2015-09-09,155.22,161.44,152.95,156.52,79389.0
2015-09-10,155.27,157.15,150.4,155.8,26753.0
2015-09-11,156.13,165.24,154.25,163.65,80076.0
2015-09-14,163.89,169.24,163.89,165.68,45560.0
2015-09-15,163.89,167.65,159.17,161.19,24251.0
2015-09-16,163.36,164.86,159.07,160.71,18677.0
2015-09-18,162.69,172.57,157.43,160.09,128628.0
2015-09-21,157.87,161.19,156.23,158.69,42940.0
2015-09-22,159.99,161.58,154.25,154.98,43662.0
2015-09-23,154.25,159.03,152.86,154.49,51897.0
2015-09-24,156.08,157.82,152.9,155.46,26979.0
2015-09-28,156.13,161.97,153.43,157.96,71264.0
2015-09-29,159.94,161.0,154.93,157.58,107724.0
2015-09-30,160.91,163.85,159.17,160.13,63097.0
2015-10-01,161.97,167.75,161.1,161.92,61790.0
2015-10-05,168.96,168.96,163.89,165.48,73639.0
2015-10-06,168.14,169.63,164.04,166.93,34984.0
2015-10-07,168.18,177.39,166.06,174.93,147271.0
2015-10-08,176.09,177.05,170.64,173.2,27984.0
2015-10-09,173.63,176.38,171.41,173.53,60738.0
2015-10-12,173.53,179.7,168.71,173.78,188118.0
