,open,high,low,close,volume
2015-05-15,283.73,291.34,283.25,284.37,22558.0
2015-05-18,285.63,288.96,284.44,287.94,31716.0
2015-05-19,285.63,289.42,285.54,286.15,10500.0
2015-05-20,284.73,291.34,278.92,279.59,114412.0
2015-05-21,278.49,288.49,278.49,284.58,36626.0
2015-05-22,281.13,288.01,280.87,282.18,31840.0
2015-05-25,284.68,294.68,281.82,287.51,64602.0
2015-05-26,288.01,289.44,283.25,284.85,10212.0
2015-05-27,283.73,288.49,283.73,286.32,10056.0
2015-05-28,282.87,292.3,279.92,280.7,26612.0
2015-05-29,280.56,287.06,279.92,284.68,119138.0
2015-06-01,285.61,293.82,285.61,291.77,44580.0
2015-06-02,295.15,298.1,284.68,286.65,45592.0
2015-06-03,288.01,291.82,280.92,284.13,54416.0
2015-06-04,281.61,290.39,281.61,284.11,20084.0
2015-06-05,284.68,288.49,280.87,283.58,21436.0
2015-06-08,281.35,292.2,265.61,277.92,39852.0
2015-06-09,272.54,278.49,269.92,274.37,21878.0
2015-06-10,267.07,285.16,267.07,279.75,18216.0
2015-06-11,277.09,284.2,266.11,270.95,48132.0
2015-06-12,267.07,281.35,259.92,272.47,76312.0
2015-06-15,270.21,278.49,269.92,273.94,9350.0
2015-06-16,271.83,277.59,271.83,276.37,21806.0
2015-06-17,274.21,280.39,269.71,276.68,18916.0
2015-06-18,274.78,279.59,274.21,276.16,24620.0
2015-06-19,276.11,279.92,276.11,276.94,15026.0
2015-06-22,271.35,295.84,271.35,293.87,138802.0
2015-06-23,297.01,299.91,291.34,292.77,60644.0
2015-06-24,298.44,298.44,288.01,291.25,45048.0
2015-06-25,290.39,292.3,287.08,289.61,18048.0
2015-06-26,287.06,292.72,283.54,288.18,16536.0
2015-06-29,284.2,288.01,278.01,285.61,60408.0
2015-06-30,285.58,292.77,285.58,289.32,44888.0
2015-07-01,289.92,322.45,289.44,316.67,284622.0
2015-07-02,318.48,324.64,315.57,318.36,109410.0
2015-07-03,318.95,330.86,317.62,320.5,122096.0
2015-07-06,314.19,322.29,309.91,319.36,105912.0
2015-07-07,319.43,325.14,313.24,314.41,36644.0
2015-07-08,311.81,316.84,301.06,304.39,48604.0
2015-07-09,299.91,316.57,299.91,305.74,28128.0
2015-07-10,305.24,310.58,299.91,302.48,15266.0
2015-07-13,300.65,306.98,300.65,302.98,17708.0
2015-07-14,309.03,314.19,302.29,303.36,36094.0
2015-07-15,305.24,309.43,302.25,303.32,36116.0
2015-07-16,302.77,308.86,302.29,303.2,29218.0
2015-07-17,302.32,307.51,302.29,306.2,37442.0
2015-07-20,308.53,320.86,307.51,317.29,184774.0
2015-07-21,319.67,319.67,302.29,305.03,168968.0
2015-07-22,299.91,307.53,299.91,303.94,63460.0
2015-07-23,306.55,321.29,303.29,316.93,121128.0
2015-07-24,313.72,318.95,309.91,310.65,67162.0
2015-07-27,310.65,313.24,303.25,305.48,46358.0
2015-07-28,312.77,335.52,305.74,326.57,422008.0
2015-07-29,328.79,352.28,327.31,346.97,645016.0
2015-07-30,348.95,416.07,340.02,365.51,2265764.0
2015-07-31,367.04,382.75,363.23,366.23,393786.0
2015-08-03,366.42,385.08,366.42,380.96,340876.0
2015-08-04,385.01,392.27,375.32,379.7,285708.0
2015-08-05,383.2,394.98,382.98,392.22,392428.0
2015-08-06,394.98,394.98,379.06,381.01,116246.0
2015-08-07,380.89,392.74,376.39,388.32,186774.0
2015-08-10,386.13,396.08,383.22,386.86,196434.0
2015-08-11,391.46,392.6,359.23,363.63,215310.0
2015-08-12,364.18,364.18,333.9,352.52,340358.0
2015-08-13,349.95,368.94,347.04,352.94,138486.0
2015-08-14,357.53,373.98,357.09,371.04,179012.0
2015-08-17,373.96,383.73,366.79,379.15,85080.0
2015-08-18,384.21,385.69,359.8,379.27,115686.0
2015-08-19,377.34,381.22,375.41,377.87,66466.0
2015-08-20,377.85,383.73,364.89,371.89,101924.0
2015-08-21,367.23,376.4,360.18,375.75,80966.0
2015-08-24,370.58,370.58,308.84,321.58,241448.0
2015-08-25,332.0,344.55,310.09,337.86,164078.0
2015-08-26,326.69,344.07,322.35,332.19,77008.0
2015-08-27,329.66,349.28,329.66,346.74,71524.0
2015-08-28,352.22,358.06,347.93,352.32,41466.0
2015-08-31,353.89,363.85,353.23,360.79,55786.0
2015-09-01,366.12,366.12,340.49,344.45,71258.0
2015-09-02,350.8,361.92,346.55,353.4,84998.0
2015-09-03,357.07,361.34,354.34,356.37,26576.0
2015-09-04,352.27,359.51,339.72,346.12,105418.0
2015-09-07,354.71,354.71,332.0,337.5,52486.0
