,open,high,low,close,volume
2015-05-15,158.26,163.66,154.14,156.22,241029.0
2015-05-18,155.89,161.11,154.04,160.02,174503.0
2015-05-19,160.16,164.75,156.37,162.81,189553.0
2015-05-20,163.47,172.15,163.47,169.35,476037.0
2015-05-21,170.68,173.33,167.12,167.88,310379.0
2015-05-22,168.12,170.96,167.88,168.83,135661.0
2015-05-25,169.07,171.91,166.22,167.41,133240.0
2015-05-26,167.41,171.25,166.03,169.07,197212.0
2015-05-27,168.21,170.11,167.31,169.44,139117.0
2015-05-28,170.25,171.72,165.94,169.11,121149.0
2015-05-29,172.48,178.16,160.16,172.24,862230.0
2015-06-01,174.14,180.72,168.69,172.1,191233.0
2015-06-02,173.33,178.16,170.58,175.32,203290.0
2015-06-03,173.66,176.65,161.11,171.62,184603.0
2015-06-04,171.43,171.53,165.94,167.17,107916.0
2015-06-05,166.22,171.53,163.62,169.54,98974.0
2015-06-08,169.11,172.48,163.76,165.51,158365.0
2015-06-09,166.27,167.69,163.38,165.09,60294.0
2015-06-10,163.95,170.3,163.0,165.7,126124.0
2015-06-11,166.32,168.59,156.37,157.31,177164.0
2015-06-12,157.31,161.11,152.77,158.55,95873.0
2015-06-15,157.36,160.63,156.18,157.31,49968.0
2015-06-16,157.36,159.97,155.42,158.5,52443.0
2015-06-17,158.74,165.84,158.74,164.61,171620.0
2015-06-18,166.74,168.59,165.37,166.13,117850.0
2015-06-19,167.03,169.54,158.26,159.73,205391.0
2015-06-22,160.68,163.71,156.37,162.1,83284.0
2015-06-23,163.57,164.71,145.85,156.18,107454.0
2015-06-24,157.27,162.95,156.37,159.3,190236.0
2015-06-25,159.21,160.63,157.31,157.65,47139.0
2015-06-26,157.98,158.59,154.23,155.32,71318.0
2015-06-29,148.07,154.95,145.85,153.95,148428.0
2015-06-30,154.85,157.41,153.33,155.28,82673.0
2015-07-01,156.37,164.37,155.18,163.0,175113.0
2015-07-02,164.56,165.75,161.58,163.71,116257.0
2015-07-03,163.43,165.32,159.21,163.76,56288.0
2015-07-06,159.16,162.53,155.42,161.34,75472.0
2015-07-07,161.82,164.14,159.4,160.96,84564.0
2015-07-08,158.69,161.67,155.56,158.74,56700.0
2015-07-09,156.41,160.58,156.41,157.31,72856.0
2015-07-10,158.93,163.95,157.79,160.3,144160.0
2015-07-13,160.82,161.82,156.65,157.08,117435.0
2015-07-14,156.41,166.51,156.37,163.62,362749.0
