,open,high,low,close,volume
2015-05-15,828.99,831.91,817.1,823.12,26355.0
2015-05-18,828.61,830.76,812.42,824.36,27553.0
2015-05-19,818.82,838.59,813.76,819.73,37514.0
2015-05-20,817.58,830.9,816.67,825.65,22417.0
2015-05-21,823.64,827.89,803.49,815.72,19554.0
2015-05-22,819.16,829.04,816.58,820.35,19027.0
2015-05-25,835.73,835.73,807.22,815.62,23517.0
2015-05-26,822.35,822.35,772.5,793.32,103253.0
2015-05-27,792.22,843.37,773.64,812.23,106783.0
2015-05-28,825.08,853.01,814.76,849.29,109519.0
2015-05-29,862.18,892.75,861.51,882.48,250403.0
2015-06-01,878.61,944.47,862.66,893.18,237616.0
2015-06-02,892.08,896.81,845.28,856.12,129173.0
2015-06-03,841.46,845.42,779.76,811.04,121388.0
2015-06-04,817.58,836.2,792.65,817.15,87671.0
2015-06-05,821.21,848.53,817.34,836.97,79267.0
2015-06-08,836.49,840.07,814.9,825.84,108480.0
2015-06-09,820.16,855.69,802.54,842.08,110587.0
2015-06-10,836.68,847.24,793.84,798.29,169710.0
2015-06-11,799.77,815.67,758.08,768.87,138701.0
2015-06-12,769.82,774.41,726.89,747.33,134618.0
2015-06-15,780.33,785.49,762.18,778.04,320897.0
2015-06-16,773.64,790.84,761.75,780.38,169431.0
2015-06-17,781.28,783.19,756.5,765.91,115525.0
2015-06-18,771.49,771.49,749.86,763.47,197413.0
2015-06-19,771.69,771.73,763.23,765.0,112107.0
2015-06-22,767.44,775.98,757.41,760.22,235384.0
2015-06-23,768.68,776.03,755.07,760.7,219755.0
2015-06-24,766.0,766.96,746.57,749.77,93222.0
2015-06-25,748.81,756.45,738.21,745.04,223385.0
2015-06-26,754.54,754.54,714.43,729.37,372237.0
2015-06-29,723.02,750.72,697.23,718.58,334263.0
2015-06-30,717.29,726.8,699.0,703.06,297333.0
2015-07-01,706.79,714.43,686.73,699.96,1118550.0
2015-07-02,699.1,723.98,692.46,703.44,846632.0
2015-07-03,704.83,710.61,692.7,695.28,288262.0
2015-07-06,694.85,710.61,682.0,706.12,530380.0
2015-07-07,711.56,727.32,707.84,710.08,358538.0
2015-07-08,710.08,719.2,692.55,713.33,356456.0
2015-07-09,714.43,724.89,691.31,695.9,482839.0
2015-07-10,699.14,706.59,695.85,699.0,194889.0
2015-07-13,706.79,709.65,686.25,699.0,237994.0
2015-07-14,702.49,703.82,692.27,697.57,132941.0
2015-07-15,704.88,739.16,702.01,724.36,651443.0
2015-07-16,733.62,742.6,725.98,729.33,355107.0
2015-07-17,732.57,739.02,720.16,725.08,157331.0
2015-07-20,730.66,732.29,723.98,726.94,82326.0
2015-07-21,730.66,746.9,712.52,718.06,291751.0
2015-07-22,718.49,731.28,717.48,723.64,154698.0
2015-07-23,725.89,730.47,716.58,718.34,146166.0
2015-07-24,718.34,729.23,712.52,715.33,156103.0
2015-07-27,719.49,719.49,682.1,688.64,125759.0
2015-07-28,687.68,702.01,675.27,685.3,262535.0
2015-07-29,684.82,702.01,682.0,693.13,125418.0
2015-07-30,693.61,707.45,693.61,699.29,251639.0
2015-07-31,701.06,717.29,701.06,711.37,187967.0
2015-08-03,716.86,725.89,708.41,714.9,107868.0
2015-08-04,716.24,722.45,699.67,702.44,104536.0
2015-08-05,704.78,721.11,700.34,711.51,213891.0
2015-08-06,715.29,715.38,702.01,704.06,106924.0
2015-08-07,704.88,731.48,697.33,721.02,371248.0
2015-08-10,727.37,735.44,703.92,707.79,259249.0
2015-08-11,707.74,713.42,684.34,687.87,221099.0
2015-08-12,684.82,689.21,611.61,638.78,532118.0
2015-08-13,644.7,672.12,587.87,601.01,1171274.0
2015-08-14,600.77,618.68,561.13,570.3,1082136.0
2015-08-17,567.15,567.86,462.04,475.12,4208182.0
2015-08-18,490.64,520.35,483.1,500.81,2368002.0
2015-08-19,506.16,507.6,459.41,470.54,1560220.0
2015-08-20,472.78,491.88,408.12,463.42,3499795.0
2015-08-21,449.86,462.18,421.21,447.57,1761956.0
2015-08-24,403.3,432.11,400.42,405.8,1186940.0
2015-08-25,406.28,441.28,385.3,430.76,954852.0
2015-08-26,433.98,471.91,417.22,452.27,1564156.0
2015-08-27,457.07,479.93,457.07,473.88,1239798.0
2015-08-28,486.22,493.47,462.55,469.7,925536.0
2015-08-31,467.64,478.2,450.98,471.43,531833.0
2015-09-01,468.6,473.21,453.47,459.43,403792.0
2015-09-02,461.44,469.7,454.19,455.92,229221.0
2015-09-03,460.91,464.56,415.4,429.08,829874.0
2015-09-04,431.96,446.51,410.69,440.41,1175413.0
2015-09-07,440.51,450.35,428.75,441.23,543346.0
2015-09-08,442.19,446.08,416.79,424.76,421163.0
2015-09-09,427.4,434.27,420.58,426.11,446110.0
2015-09-10,414.87,429.23,414.01,427.31,236330.0
2015-09-11,433.07,443.82,425.39,429.13,293446.0
2015-09-14,427.31,443.63,421.74,441.57,428716.0
2015-09-15,442.77,467.3,442.77,446.46,652919.0
2015-09-16,455.92,460.58,432.16,433.88,378451.0
2015-09-18,437.0,442.62,417.03,426.63,901136.0
2015-09-21,426.3,432.43,421.03,428.03,284953.0
2015-09-22,432.48,433.59,413.36,417.22,286899.0
2015-09-23,412.8,424.45,408.96,411.88,322803.0
2015-09-24,411.93,417.51,406.49,414.84,522592.0
2015-09-28,419.5,425.43,413.82,419.4,296917.0
2015-09-29,415.71,421.06,412.31,414.01,207379.0
2015-09-30,418.63,419.11,409.64,411.78,148331.0
2015-10-01,418.43,422.76,412.9,415.57,170210.0
2015-10-05,419.6,422.32,414.01,417.32,139335.0
2015-10-06,421.35,456.31,415.81,451.7,1031860.0
2015-10-07,455.54,466.95,454.56,458.26,555716.0
2015-10-08,458.45,467.09,443.88,452.09,473491.0
2015-10-09,456.46,464.28,451.75,458.21,305061.0
2015-10-12,459.23,474.96,455.54,463.79,460055.0
2015-10-13,459.42,483.7,459.42,479.04,392037.0
2015-10-14,480.74,488.46,468.26,476.9,503090.0
2015-10-15,474.96,474.96,458.55,461.36,285713.0
2015-10-16,451.75,470.98,446.02,450.0,358554.0
2015-10-19,447.09,480.6,447.09,478.07,612766.0
2015-10-20,480.74,482.39,466.75,471.61,188920.0
2015-10-21,474.72,494.34,474.62,482.68,557975.0
2015-10-23,486.57,490.11,480.16,486.57,243158.0
2015-10-26,490.31,507.79,482.83,502.55,558758.0
2015-10-27,504.1,524.3,500.22,519.69,826643.0
2015-10-28,519.54,527.99,492.49,502.94,630136.0
2015-10-29,503.13,513.86,496.38,510.61,450887.0
2015-10-30,513.62,513.62,486.67,490.84,193428.0
2015-11-02,490.7,495.36,457.87,467.43,563562.0
2015-11-03,466.41,469.13,452.87,460.44,328427.0
2015-11-04,463.31,465.25,447.18,451.31,238959.0
2015-11-05,451.36,455.24,431.35,438.15,417708.0
