,open,high,low,close,volume
2015-05-15,83.17,84.17,82.76,83.3,1146627.0
2015-05-18,83.47,84.44,83.2,84.11,735075.0
2015-05-19,83.84,85.98,83.74,84.57,1366242.0
2015-05-20,85.01,85.78,84.54,84.84,642002.0
2015-05-21,85.11,85.18,83.84,84.88,1007407.0
2015-05-22,85.21,89.81,84.84,88.43,9025889.0
2015-05-25,89.2,91.45,88.2,89.0,4263189.0
2015-05-26,89.47,91.99,88.6,90.04,3263159.0
2015-05-27,89.87,96.48,89.17,94.9,6844328.0
2015-05-28,95.57,96.24,92.15,94.23,4500779.0
2015-05-29,94.33,95.74,93.76,94.84,2869508.0
2015-06-01,95.24,96.31,94.2,94.9,1906991.0
2015-06-02,95.31,95.37,90.07,91.08,3591391.0
2015-06-03,90.44,91.21,87.93,89.47,3355986.0
2015-06-04,89.94,90.48,87.96,89.4,1533199.0
2015-06-05,88.87,90.81,88.53,88.8,1585776.0
2015-06-08,89.4,89.44,87.86,88.77,1860078.0
2015-06-09,88.8,89.77,87.32,88.13,2002642.0
2015-06-10,88.46,89.34,88.23,88.7,1030307.0
2015-06-11,89.5,89.64,85.21,85.75,3013860.0
2015-06-12,85.71,86.18,84.78,85.82,1511248.0
2015-06-15,85.85,87.19,85.51,86.22,1154442.0
2015-06-16,86.25,87.19,85.18,86.42,2029613.0
2015-06-17,87.19,89.07,86.82,88.67,1868898.0
2015-06-18,89.14,90.54,88.56,89.37,1411142.0
2015-06-19,90.01,90.01,88.36,89.54,911784.0
2015-06-22,89.87,98.93,89.47,97.42,8699875.0
2015-06-23,97.92,98.16,94.57,96.75,4452362.0
2015-06-24,96.98,101.21,95.41,97.08,8030977.0
2015-06-25,96.78,99.43,95.91,99.03,4836363.0
2015-06-26,98.39,99.77,96.04,98.26,2685185.0
2015-06-29,95.17,97.22,93.8,96.75,2934451.0
2015-06-30,96.85,98.42,95.78,97.12,1962020.0
2015-07-01,97.12,100.54,96.92,99.36,2644055.0
2015-07-02,100.2,102.42,99.77,101.44,3810436.0
2015-07-03,100.6,102.75,99.16,100.37,3436704.0
2015-07-06,99.03,104.23,97.42,103.82,4160441.0
2015-07-07,104.46,106.07,102.62,103.92,4380639.0
2015-07-08,104.06,105.07,98.12,99.97,5538557.0
2015-07-09,101.47,102.87,99.94,101.65,2885324.0
2015-07-10,102.27,106.01,102.07,104.47,5003995.0
2015-07-13,106.01,107.48,103.04,107.02,3434441.0
2015-07-14,107.55,108.8,106.19,106.92,3132290.0
2015-07-15,107.13,107.83,105.07,105.42,1727769.0
2015-07-16,106.12,108.18,105.38,107.3,3261825.0
2015-07-17,107.27,109.01,105.07,107.41,5584494.0
2015-07-20,102.17,102.17,97.18,97.98,8057018.0
2015-07-21,98.19,99.31,95.74,96.16,3647344.0
2015-07-22,95.68,98.82,95.54,98.64,1765911.0
2015-07-23,99.13,99.62,97.25,97.7,2556124.0
2015-07-24,97.6,98.08,95.85,96.09,1499450.0
2015-07-27,95.68,96.34,93.58,94.1,2285530.0
2015-07-28,94.35,95.85,92.95,95.47,2120718.0
2015-07-29,95.68,97.04,94.03,94.7,1947331.0
2015-07-30,94.98,98.01,94.7,97.63,2646101.0
2015-07-31,98.08,99.31,96.79,98.4,1744139.0
2015-08-03,98.4,100.35,97.8,98.96,1442163.0
2015-08-04,99.45,99.8,97.28,98.26,1452405.0
2015-08-05,99.17,99.45,97.42,97.8,1499541.0
2015-08-06,98.19,100.21,97.88,99.45,2086888.0
2015-08-07,99.17,102.94,98.64,102.48,3482462.0
2015-08-10,102.66,103.71,99.66,100.46,1514846.0
2015-08-11,100.56,101.12,97.49,98.33,1339525.0
2015-08-12,97.7,97.77,93.58,94.31,2288711.0
2015-08-13,95.68,96.23,93.06,93.44,1282111.0
2015-08-14,93.34,98.47,93.3,97.63,1660700.0
2015-08-17,98.01,98.89,96.09,96.79,1503444.0
2015-08-18,97.07,99.03,96.62,98.05,1321004.0
2015-08-19,98.01,98.19,96.27,96.58,1095203.0
2015-08-20,96.09,96.23,93.3,93.68,2009253.0
2015-08-21,91.14,92.88,91.1,92.53,1689350.0
