,open,high,low,close,volume
2015-05-15,59.87,61.36,59.4,60.47,3501363.0
2015-05-18,60.71,61.64,60.15,61.22,3434485.0
2015-05-19,63.37,63.37,61.31,61.78,8665263.0
2015-05-20,61.97,61.97,61.22,61.31,2018504.0
2015-05-21,61.27,61.36,60.29,60.75,2199982.0
2015-05-22,60.85,61.27,60.01,60.19,2333747.0
2015-05-25,60.52,60.52,59.49,59.68,2161088.0
2015-05-26,59.82,59.91,59.31,59.54,1955856.0
2015-05-27,59.21,59.73,59.02,59.49,1305992.0
2015-05-28,59.59,59.96,59.26,59.49,9279986.0
2015-05-29,59.54,60.52,59.49,60.29,5026783.0
2015-06-01,60.05,60.47,59.07,59.4,2564722.0
2015-06-02,59.35,60.89,58.74,58.98,5837434.0
2015-06-03,59.02,59.21,56.69,57.44,3150427.0
2015-06-04,57.86,57.86,56.32,56.92,2252236.0
2015-06-05,56.83,57.67,56.6,56.88,1464851.0
2015-06-08,57.16,57.25,56.32,56.6,1616194.0
2015-06-09,56.6,56.97,56.18,56.32,1387075.0
2015-06-10,57.2,57.72,56.74,57.34,2112213.0
2015-06-11,57.72,57.81,56.13,56.27,1932507.0
2015-06-12,56.22,56.5,55.52,55.99,1839393.0
2015-06-15,56.5,56.78,55.99,56.32,1794559.0
2015-06-16,56.46,58.7,56.04,58.32,3191781.0
2015-06-17,58.84,59.21,57.62,58.0,2867164.0
2015-06-18,58.32,58.84,58.14,58.6,1272062.0
2015-06-19,58.84,59.49,58.56,58.88,1705007.0
2015-06-22,58.98,59.49,58.74,59.31,1643063.0
2015-06-23,59.49,59.54,58.84,59.07,1537481.0
2015-06-24,59.21,59.3,58.28,58.51,1386000.0
2015-06-25,58.37,59.21,58.28,58.98,2618750.0
2015-06-26,58.79,59.12,58.09,58.84,1373005.0
2015-06-29,58.0,60.52,57.34,60.05,2769661.0
2015-06-30,60.24,62.39,59.87,61.64,5250985.0
2015-07-01,61.59,63.04,61.41,62.34,4344695.0
2015-07-02,62.34,64.54,61.41,62.95,7018818.0
2015-07-03,63.13,63.74,62.25,62.62,1943996.0
2015-07-06,61.92,62.76,60.89,62.01,12929373.0
2015-07-07,65.38,68.97,64.3,67.34,36055582.0
2015-07-08,66.12,67.24,64.44,65.7,9981200.0
2015-07-09,65.98,67.24,65.8,66.26,6001984.0
2015-07-10,66.73,67.06,65.56,66.08,2754873.0
2015-07-13,66.36,66.78,65.7,66.22,3410704.0
2015-07-14,66.36,68.6,66.31,67.29,7266865.0
2015-07-15,67.71,67.9,66.5,67.01,4108530.0
2015-07-16,67.15,67.52,66.87,66.96,1900039.0
2015-07-17,67.43,68.5,66.64,67.71,3904887.0
2015-07-20,68.08,68.46,67.43,68.04,2447599.0
2015-07-21,68.13,69.44,66.78,67.1,4880933.0
2015-07-22,66.78,68.64,66.73,68.22,3112381.0
2015-07-23,68.64,70.0,65.94,66.82,12612337.0
2015-07-24,66.22,67.52,65.84,66.08,4471830.0
2015-07-27,65.98,66.5,64.68,64.91,2485025.0
2015-07-28,65.0,65.66,63.32,63.69,2757208.0
2015-07-29,64.88,64.97,64.03,64.64,2454570.0
