,open,high,low,close,volume
2015-05-15,3449.73,3453.38,3382.36,3396.93,9649.0
2015-05-18,3415.62,3453.43,3406.08,3415.62,1446.0
2015-05-19,3412.82,3439.29,3410.83,3418.32,1782.0
2015-05-20,3434.55,3443.23,3407.98,3418.94,3917.0
2015-05-21,3533.31,3538.91,3434.74,3487.96,19579.0
2015-05-22,3510.45,3704.99,3487.44,3663.58,11757.0
2015-05-25,3689.77,3689.77,3538.91,3583.22,4052.0
2015-05-26,3586.35,3628.24,3586.35,3597.36,904.0
2015-05-27,3629.04,3642.33,3568.28,3622.88,1300.0
2015-05-28,3624.25,3644.22,3559.78,3619.41,1046.0
2015-05-29,3605.28,3652.76,3605.28,3627.62,2351.0
2015-06-01,3677.43,3771.36,3606.32,3756.61,4315.0
2015-06-02,3719.18,3747.4,3669.84,3699.35,2823.0
2015-06-03,3658.74,3699.63,3567.37,3679.42,13943.0
2015-06-04,3650.91,3748.92,3592.09,3614.2,2007.0
2015-06-05,3605.23,3648.02,3600.25,3617.75,618.0
2015-06-08,3638.15,3685.4,3589.2,3604.99,783.0
2015-06-09,3618.84,3619.6,3583.46,3599.73,473.0
2015-06-10,3619.51,3700.2,3576.86,3605.66,1405.0
2015-06-11,3607.65,3655.8,3557.89,3578.24,858.0
2015-06-12,3560.69,3610.02,3560.69,3590.14,1304.0
2015-06-15,3558.84,3640.14,3558.84,3574.21,552.0
2015-06-16,3586.78,3624.25,3537.96,3556.7,965.0
2015-06-17,3557.89,3604.38,3525.72,3572.64,1041.0
2015-06-18,3556.13,3594.89,3524.68,3542.33,1467.0
2015-06-19,3553.19,3623.35,3553.19,3605.47,848.0
2015-06-22,3603.1,3605.32,3524.68,3585.97,979.0
2015-06-23,3604.23,3744.75,3595.93,3668.32,4670.0
2015-06-24,3714.43,3743.85,3596.74,3620.27,2584.0
2015-06-25,3605.32,3690.71,3559.02,3576.01,26986.0
2015-06-26,3565.48,3600.68,3541.76,3547.5,10909.0
2015-06-29,3534.17,3557.89,3427.19,3457.55,3592.0
2015-06-30,3500.82,3524.49,3472.5,3490.38,629.0
2015-07-01,3543.65,3581.61,3500.96,3512.53,1955.0
2015-07-02,3529.33,3619.56,3529.33,3599.16,3121.0
2015-07-03,3632.22,3643.28,3572.12,3606.89,2151.0
2015-07-06,3595.74,3681.23,3567.37,3567.75,13676.0
2015-07-07,3563.58,3621.41,3524.68,3548.26,2953.0
2015-07-08,3526.58,3599.44,3477.24,3505.32,9175.0
2015-07-09,3548.35,3576.91,3505.7,3540.38,45898.0
2015-07-10,3557.84,3562.63,3510.45,3539.91,1008.0
2015-07-13,3539.86,3719.18,3539.86,3574.35,33657.0
2015-07-14,3585.4,3620.51,3567.37,3582.27,7799.0
2015-07-15,3604.33,3604.38,3500.96,3512.82,5478.0
2015-07-16,3538.86,3557.79,3500.96,3509.45,4083.0
2015-07-17,3510.54,3552.76,3491.47,3498.54,3877.0
2015-07-20,3553.14,3553.14,3491.47,3499.63,2158.0
2015-07-21,3510.4,3519.94,3450.01,3460.02,2996.0
2015-07-22,3472.5,3496.22,3426.96,3441.85,2644.0
2015-07-23,3458.22,3482.22,3442.14,3450.39,2668.0
2015-07-24,3439.34,3467.33,3388.06,3395.65,15304.0
2015-07-27,3414.62,3415.57,3301.72,3314.48,5838.0
2015-07-28,3346.64,3387.11,3268.99,3280.51,4018.0
2015-07-29,3368.09,3384.26,3289.48,3341.9,2114.0
2015-07-30,3363.39,3387.01,3332.98,3341.61,2115.0
2015-07-31,3375.56,3452.33,3351.64,3423.03,8577.0
2015-08-03,3418.76,3486.85,3415.02,3425.72,6033.0
2015-08-04,3466.71,3481.1,3426.44,3440.63,4300.0
2015-08-05,3454.25,3716.05,3447.53,3611.18,35462.0
2015-08-06,3653.71,4019.28,3628.4,3871.74,50058.0
2015-08-07,3903.05,3917.43,3772.63,3792.62,8269.0
2015-08-10,3745.78,3898.06,3596.18,3619.1,24607.0
2015-08-11,3620.15,3620.15,3452.33,3506.94,7308.0
2015-08-12,3522.67,3586.35,3424.52,3459.86,4354.0
2015-08-13,3500.42,3529.09,3393.83,3405.77,3502.0
2015-08-14,3399.58,3481.05,3383.28,3398.96,4751.0
2015-08-17,3398.63,3441.2,3380.45,3413.68,2664.0
2015-08-18,3375.61,3476.3,3375.61,3425.72,2837.0
2015-08-19,3442.69,3452.33,3377.53,3391.34,2640.0
2015-08-20,3404.43,3442.74,3342.05,3350.53,3465.0
2015-08-21,3332.46,3336.48,3293.62,3305.17,5293.0
2015-08-24,3296.97,3296.97,3196.28,3241.64,11655.0
2015-08-25,3241.64,3356.38,3155.04,3309.78,6621.0
2015-08-26,3270.22,3346.84,3212.58,3215.51,24388.0
2015-08-27,3326.17,3370.77,3234.45,3356.91,2870.0
2015-08-28,3404.33,3404.33,3279.71,3298.22,33314.0
2015-08-31,3309.49,3394.79,3297.45,3380.79,48696.0
2015-09-01,3380.79,3394.79,3265.33,3365.92,6049.0
2015-09-02,3366.02,3369.47,3308.48,3328.91,997.0
2015-09-03,3346.31,3356.43,3308.48,3335.38,2003.0
2015-09-04,3326.17,3353.07,3162.76,3255.88,4538.0
2015-09-07,3199.97,3260.53,3165.59,3174.85,1617.0
2015-09-08,3205.06,3307.91,3174.22,3285.27,1938.0
2015-09-09,3349.62,3349.72,3213.59,3232.05,3281.0
2015-09-10,3212.63,3282.59,3188.94,3245.48,1403.0
2015-09-11,3270.12,3391.91,3248.45,3357.58,5960.0
2015-09-14,3366.07,3392.87,3342.05,3356.67,1032.0
2015-09-15,3332.46,3413.01,3327.71,3360.07,2130.0
2015-09-16,3364.05,3364.05,3289.3,3300.23,1283.0
2015-09-18,3344.73,3428.35,3332.46,3354.75,795.0
2015-09-21,3309.49,3356.43,3292.18,3316.63,1640.0
2015-09-22,3334.76,3356.48,3299.85,3312.51,2715.0
2015-09-23,3298.94,3332.46,3284.51,3307.81,1504.0
2015-09-24,3309.49,3345.88,3289.4,3303.69,831.0
2015-09-28,3308.48,3342.05,3294.05,3327.04,1274.0
2015-09-29,3318.12,3375.61,3297.93,3349.29,2147.0
2015-09-30,3353.55,3543.1,3351.64,3437.51,4610.0
