,open,high,low,close,volume
2015-05-15,375.4,385.1,375.4,382.05,2405190.0
2015-05-18,382.0,388.38,379.68,385.05,1522038.0
2015-05-19,384.51,389.29,381.59,385.14,1321020.0
2015-05-20,386.1,388.29,379.0,381.32,1437312.0
2015-05-21,381.64,383.05,375.77,379.27,1227977.0
2015-05-22,380.09,384.28,377.09,378.59,1251093.0
2015-05-25,378.82,382.14,372.26,375.99,948746.0
2015-05-26,374.76,375.45,366.61,368.39,2056413.0
2015-05-27,367.8,377.68,362.42,376.9,2684059.0
2015-05-28,377.91,378.86,371.53,374.45,2696866.0
2015-05-29,376.08,383.64,374.22,381.55,3136809.0
2015-06-01,382.69,386.47,379.32,384.1,1631536.0
2015-06-02,384.33,385.65,363.06,365.79,1779676.0
2015-06-03,365.93,370.44,355.41,368.16,2907369.0
2015-06-04,370.07,372.71,360.15,367.21,2607682.0
2015-06-05,365.89,374.72,364.29,370.94,2151384.0
2015-06-08,371.62,372.62,363.88,366.57,1748038.0
2015-06-09,361.7,364.25,356.32,358.19,1918724.0
2015-06-10,357.42,367.34,354.46,364.97,1290607.0
2015-06-11,367.89,370.48,358.24,360.38,1666778.0
2015-06-12,358.78,365.38,356.14,364.11,986260.0
2015-06-15,362.47,365.11,358.14,359.69,1431198.0
2015-06-16,360.42,368.34,358.24,366.43,1213770.0
2015-06-17,369.12,382.19,368.43,378.18,2551651.0
2015-06-18,382.28,396.12,381.73,390.29,3415394.0
2015-06-19,392.48,401.58,392.48,400.44,4269073.0
2015-06-22,401.76,421.16,397.21,418.66,3948708.0
2015-06-23,420.2,426.12,410.37,412.28,2074148.0
2015-06-24,411.6,420.7,409.18,415.15,2897466.0
2015-06-25,416.97,421.75,414.33,416.29,3432540.0
2015-06-26,414.47,416.52,405.22,410.46,1572199.0
2015-06-29,404.31,413.42,392.66,411.05,1975108.0
2015-06-30,411.05,415.24,407.96,410.6,2361339.0
2015-07-01,412.51,418.7,410.51,412.14,2317669.0
2015-07-02,415.06,419.79,409.82,411.32,2069404.0
2015-07-03,411.6,414.1,403.77,407.73,1388082.0
2015-07-06,401.58,406.04,397.03,404.86,2903352.0
2015-07-07,405.22,411.28,404.54,407.64,2709720.0
2015-07-08,405.09,405.09,390.61,399.62,2837627.0
2015-07-09,401.63,415.2,399.53,411.78,2614817.0
2015-07-10,413.6,417.61,410.05,414.88,1829601.0
2015-07-13,417.52,424.67,411.64,421.75,1790026.0
2015-07-14,423.62,426.03,418.15,419.88,1123660.0
2015-07-15,420.11,424.26,415.1,416.88,1106952.0
2015-07-16,417.97,423.35,416.15,421.8,1018567.0
2015-07-17,424.16,433.91,417.93,432.59,2289538.0
2015-07-20,437.0,438.87,430.4,434.18,2859429.0
2015-07-21,441.65,443.47,416.83,423.57,4088747.0
2015-07-22,423.57,444.2,421.61,442.83,2683953.0
2015-07-23,444.38,454.21,438.14,452.58,3529408.0
2015-07-24,452.58,456.22,446.88,450.66,2343404.0
2015-07-27,448.02,448.02,434.14,436.46,2273498.0
2015-07-28,436.46,452.48,431.95,448.02,2565555.0
2015-07-29,448.02,451.67,440.42,444.97,1962729.0
2015-07-30,447.84,452.17,444.84,446.98,2166286.0
2015-07-31,448.02,459.45,448.02,454.58,2189999.0
2015-08-03,454.58,468.92,454.58,465.87,2745359.0
2015-08-04,468.97,473.84,461.73,467.33,2572318.0
2015-08-05,469.42,473.2,459.77,460.95,1667529.0
2015-08-06,465.55,481.88,459.85,480.68,2294104.0
2015-08-07,484.72,485.65,472.65,474.04,1414264.0
2015-08-10,472.65,481.42,465.22,470.0,1152963.0
2015-08-11,469.4,474.04,456.86,463.32,1283733.0
2015-08-12,460.58,461.51,440.24,445.58,1804853.0
2015-08-13,444.79,461.51,444.19,457.37,2128266.0
2015-08-14,461.97,470.75,454.63,466.38,1551894.0
2015-08-17,468.66,472.37,462.43,465.13,960753.0
2015-08-18,466.15,475.43,460.76,463.27,989141.0
2015-08-19,460.53,462.39,455.93,458.72,885524.0
2015-08-20,456.86,458.72,434.58,438.43,2121473.0
2015-08-21,432.72,433.28,414.89,428.17,3381934.0
2015-08-24,410.67,416.33,384.43,394.18,3409913.0
2015-08-25,403.93,410.43,379.79,403.19,4081167.0
2015-08-26,401.15,407.09,394.37,397.15,2182471.0
2015-08-27,408.58,419.26,399.48,413.78,5675129.0
2015-08-28,416.93,424.64,401.75,407.88,2828870.0
2015-08-31,404.44,415.08,401.43,411.36,1624814.0
2015-09-01,402.17,406.26,386.8,394.37,4300517.0
2015-09-02,397.43,398.73,372.87,375.19,3065344.0
2015-09-03,378.86,394.65,376.12,393.16,2528769.0
2015-09-04,390.93,391.82,379.28,383.83,2275583.0
2015-09-07,383.5,389.03,370.97,373.01,2117187.0
2015-09-08,377.0,394.23,370.88,386.94,2718217.0
2015-09-09,394.55,406.3,391.77,397.2,2433028.0
