,open,high,low,close,volume
2015-05-15,391.61,397.37,382.61,385.86,2700.0
2015-05-18,388.37,398.35,385.56,386.79,4274.0
2015-05-19,388.61,397.71,378.92,393.78,21842.0
2015-05-20,396.09,397.17,384.87,387.87,3994.0
2015-05-21,392.5,392.55,384.14,386.45,3874.0
2015-05-22,389.99,391.96,384.87,385.81,6965.0
2015-05-25,392.35,392.35,381.63,384.24,1975.0
2015-05-26,383.74,385.86,380.89,382.76,1425.0
2015-05-27,386.15,386.25,377.79,379.86,1347.0
2015-05-28,378.78,383.79,375.73,378.58,2774.0
2015-05-29,382.12,399.24,376.37,382.37,5866.0
2015-06-01,386.06,386.06,377.2,383.1,1113.0
2015-06-02,384.58,389.4,379.81,381.58,4650.0
2015-06-03,384.63,384.63,365.89,372.78,2042.0
2015-06-04,376.71,376.71,365.94,368.74,1624.0
2015-06-05,365.89,383.45,357.04,364.22,4778.0
2015-06-08,367.86,373.27,364.42,366.58,1461.0
2015-06-09,364.07,371.89,359.15,360.53,1404.0
2015-06-10,369.83,377.6,361.96,373.47,3741.0
2015-06-11,378.68,382.42,365.99,367.86,4185.0
2015-06-12,371.94,378.58,360.14,369.09,2487.0
2015-06-15,359.01,375.73,359.01,371.79,1731.0
2015-06-16,373.32,373.32,363.24,365.79,1848.0
2015-06-17,371.4,373.56,361.96,364.47,1441.0
2015-06-18,367.91,371.79,362.94,364.42,5402.0
2015-06-19,367.61,367.86,363.97,365.1,2974.0
2015-06-22,370.81,370.81,364.02,365.89,1332.0
2015-06-23,367.02,388.46,358.12,384.38,13704.0
2015-06-24,388.22,388.22,375.24,378.83,5234.0
2015-06-25,377.55,377.6,368.89,370.12,1174.0
2015-06-26,374.5,385.56,373.76,376.56,3289.0
2015-06-29,373.56,373.56,365.99,370.02,687.0
2015-06-30,366.88,378.53,366.19,370.96,1483.0
2015-07-01,375.73,390.48,368.84,384.58,9243.0
2015-07-02,384.43,388.42,377.84,379.91,1762.0
2015-07-03,380.65,400.96,378.68,393.58,29759.0
2015-07-06,388.51,388.51,378.78,383.1,3840.0
2015-07-07,385.51,395.4,383.6,389.25,7337.0
2015-07-08,388.51,388.51,375.28,377.3,3254.0
2015-07-09,381.53,382.51,374.89,376.96,1593.0
2015-07-10,379.07,381.04,376.86,377.74,1827.0
2015-07-13,380.99,389.5,379.47,383.55,5219.0
2015-07-14,381.63,398.35,381.63,387.33,9617.0
2015-07-15,387.58,395.4,385.56,386.94,8714.0
2015-07-16,391.37,391.37,382.22,384.48,4134.0
2015-07-17,386.55,390.19,381.78,383.65,6198.0
2015-07-20,383.74,388.37,380.74,384.24,3074.0
2015-07-21,381.78,388.02,378.78,379.51,56426.0
2015-07-22,379.71,383.5,374.89,375.97,4779.0
2015-07-23,375.78,378.28,366.97,373.66,4771.0
2015-07-24,371.84,372.73,363.48,366.24,8842.0
2015-07-27,366.24,368.6,362.1,364.91,3078.0
2015-07-28,365.45,370.81,364.91,366.24,1388.0
2015-07-29,367.07,369.68,362.15,363.14,4896.0
2015-07-30,363.97,368.6,358.56,364.12,6143.0
2015-07-31,365.3,368.69,359.15,361.42,4858.0
2015-08-03,359.55,365.65,359.35,360.19,7809.0
2015-08-04,359.2,363.78,357.48,360.24,5662.0
2015-08-05,367.42,378.58,363.92,370.61,29052.0
2015-08-06,374.4,386.4,371.89,373.61,32886.0
2015-08-07,377.69,378.68,366.88,372.73,26728.0
2015-08-10,369.83,373.76,362.01,363.58,14695.0
2015-08-11,359.25,365.4,358.91,360.04,5969.0
2015-08-12,360.04,360.04,360.04,360.04,0.0
2015-08-13,350.65,361.76,329.7,347.94,16537.0
2015-08-14,339.53,349.12,339.53,341.4,5467.0
2015-08-17,341.3,349.96,341.3,348.14,3609.0
2015-08-18,342.29,349.17,339.34,340.96,5637.0
2015-08-19,341.5,344.15,336.53,342.78,4528.0
2015-08-20,344.25,344.25,335.01,336.53,2972.0
2015-08-21,340.27,344.15,330.63,343.76,6239.0
2015-08-24,338.35,342.09,317.79,324.83,6611.0
2015-08-25,317.79,323.65,304.91,313.47,6229.0
2015-08-26,308.79,322.61,308.79,314.16,2285.0
2015-08-27,311.25,327.53,311.25,325.91,2402.0
2015-08-28,328.42,344.15,320.7,323.99,14424.0
2015-08-31,318.04,325.61,314.75,317.84,3680.0
2015-09-01,314.84,322.66,306.39,311.75,5281.0
2015-09-02,309.78,317.5,305.01,309.24,2869.0
2015-09-03,311.7,314.7,307.81,312.98,2302.0
2015-09-04,307.12,312.78,300.04,309.83,9198.0
2015-09-07,305.84,315.68,297.04,297.98,2599.0
2015-09-08,297.09,302.75,294.29,296.65,5119.0
2015-09-09,299.99,304.76,297.63,298.61,6840.0
2015-09-10,299.8,299.99,294.19,299.45,763.0
2015-09-11,301.76,301.76,290.65,298.81,3159.0
2015-09-14,301.66,304.81,297.24,302.3,2121.0
2015-09-15,303.39,304.37,298.52,300.98,1326.0
2015-09-16,303.34,307.66,300.53,305.06,1725.0
2015-09-18,300.98,310.32,291.39,296.7,4139.0
2015-09-21,296.06,306.88,294.39,300.53,2790.0
