,open,high,low,close,volume
2015-05-15,945.18,954.2,938.42,948.22,2762061.0
2015-05-18,951.46,962.72,946.46,960.37,1792155.0
2015-05-19,961.91,973.86,958.38,965.34,2281797.0
2015-05-20,969.66,974.13,957.78,960.48,1442643.0
2015-05-21,964.93,977.43,958.58,975.83,2451279.0
2015-05-22,976.83,989.94,972.55,984.85,2647665.0
2015-05-25,982.68,982.68,967.9,971.03,1397434.0
2015-05-26,974.87,974.87,958.07,963.97,2059530.0
2015-05-27,964.93,980.36,958.52,974.1,1575588.0
2015-05-28,975.11,977.34,955.99,968.95,2633245.0
2015-05-29,971.18,994.56,968.32,985.45,4191568.0
2015-06-01,997.09,1017.93,978.62,1015.88,5386807.0
2015-06-02,1019.13,1023.18,992.92,996.82,4373604.0
2015-06-03,997.69,1005.16,979.22,984.97,3209997.0
2015-06-04,987.56,1000.66,980.14,990.21,1967170.0
2015-06-05,988.75,1014.96,988.0,1002.81,2404830.0
2015-06-08,1002.87,1016.15,995.36,999.92,2129532.0
2015-06-09,998.25,1004.12,986.37,992.86,1416730.0
2015-06-10,995.3,1023.24,994.7,1016.18,2389308.0
2015-06-11,1021.45,1027.14,994.86,998.37,2981295.0
2015-06-12,997.45,1002.57,982.79,987.23,1835109.0
2015-06-15,991.84,1009.24,983.98,993.76,1700772.0
2015-06-16,994.7,1003.64,986.28,999.12,2043630.0
2015-06-17,1004.24,1025.97,998.28,1019.04,3984108.0
2015-06-18,1021.51,1030.15,1017.79,1022.79,2842159.0
2015-06-19,1027.47,1037.65,1016.9,1022.17,2126232.0
2015-06-22,1027.47,1035.8,1022.44,1031.93,1613481.0
2015-06-23,1037.0,1055.46,1034.91,1052.21,2350728.0
2015-06-24,1053.08,1057.07,1039.38,1044.29,1816593.0
2015-06-25,1036.46,1082.26,1036.46,1077.95,4201746.0
2015-06-26,1074.28,1074.52,1057.24,1060.64,1818054.0
2015-06-29,1040.57,1069.16,1023.89,1066.51,3110302.0
2015-06-30,1063.56,1077.44,1053.08,1061.89,3076677.0
2015-07-01,1061.98,1083.46,1061.98,1079.11,2471292.0
2015-07-02,1079.29,1082.86,1067.38,1072.34,1335757.0
2015-07-03,1072.14,1087.03,1067.67,1076.49,1830951.0
2015-07-06,1057.28,1084.94,1057.24,1081.7,2029512.0
2015-07-07,1082.24,1086.43,1069.28,1078.9,1728982.0
2015-07-08,1066.18,1080.89,1054.27,1075.98,2385891.0
2015-07-09,1081.23,1102.52,1081.23,1101.27,2888308.0
2015-07-10,1101.92,1119.79,1101.65,1117.64,2696910.0
2015-07-13,1117.64,1119.79,1098.34,1106.51,2160397.0
2015-07-14,1107.7,1115.0,1102.58,1106.42,1669578.0
2015-07-15,1110.85,1119.79,1109.33,1113.48,1757511.0
2015-07-16,1113.84,1118.0,1106.09,1112.67,2124406.0
2015-07-17,1114.37,1124.56,1110.29,1114.78,2513529.0
2015-07-20,1115.62,1119.73,1101.92,1112.23,1654725.0
2015-07-21,1113.77,1121.57,1094.83,1098.92,1305582.0
2015-07-22,1098.11,1112.64,1090.63,1104.57,1643224.0
2015-07-23,1107.88,1110.58,1085.84,1090.63,2011395.0
2015-07-24,1092.98,1094.14,1070.38,1073.54,1986279.0
2015-07-27,1070.41,1070.95,1035.12,1038.39,3556780.0
2015-07-28,1042.36,1055.46,1038.57,1047.69,1856446.0
2015-07-29,1052.37,1071.22,1042.39,1066.36,1687711.0
2015-07-30,1075.11,1078.1,1053.35,1056.5,2621203.0
2015-07-31,1062.91,1081.58,1051.88,1066.93,2882673.0
2015-08-03,1018.56,1062.61,1014.99,1059.87,4953312.0
2015-08-04,1060.23,1069.04,1047.72,1057.1,2105218.0
2015-08-05,1057.1,1067.31,1053.73,1059.99,1552152.0
2015-08-06,1058.5,1094.06,1057.25,1090.45,2809791.0
2015-08-07,1090.01,1098.34,1081.73,1092.06,2368350.0
2015-08-10,1090.93,1098.47,1075.78,1084.5,2166975.0
2015-08-11,1085.36,1086.97,1061.42,1072.83,1658853.0
2015-08-12,1067.7,1067.79,1043.55,1049.8,2478813.0
2015-08-13,1049.8,1068.54,1041.16,1048.4,3626170.0
2015-08-14,1059.48,1074.97,1042.39,1071.84,1955958.0
2015-08-17,1067.91,1072.14,1051.62,1060.43,1508725.0
2015-08-18,1068.09,1081.05,1062.07,1072.23,2073873.0
2015-08-19,1072.08,1084.05,1063.8,1080.89,1626091.0
2015-08-20,1069.16,1083.46,1050.7,1061.33,2032938.0
