,open,high,low,close,volume
2015-05-15,1599.76,1649.66,1591.49,1638.42,2643591.0
2015-05-18,1653.16,1698.49,1649.86,1685.41,1973158.0
2015-05-19,1691.69,1693.63,1649.95,1676.41,1741536.0
2015-05-20,1686.82,1699.37,1659.68,1674.32,1702941.0
2015-05-21,1680.4,1684.05,1652.77,1662.6,1313406.0
2015-05-22,1671.79,1696.5,1655.16,1687.99,1284351.0
2015-05-25,1702.0,1731.57,1687.89,1705.3,2194758.0
2015-05-26,1721.79,1748.89,1694.7,1704.14,3313608.0
2015-05-27,1701.22,1724.76,1682.93,1704.43,1980405.0
2015-05-28,1711.53,1718.53,1665.42,1697.28,2680677.0
2015-05-29,1702.29,1804.43,1680.3,1783.37,24029112.0
2015-06-01,1729.62,1766.35,1722.91,1743.29,1574696.0
2015-06-02,1750.98,1776.71,1745.19,1751.76,1714073.0
2015-06-03,1751.76,1769.9,1719.02,1746.06,906416.0
2015-06-04,1754.92,1764.4,1680.98,1702.09,1238375.0
2015-06-05,1711.63,1735.9,1702.58,1728.26,886478.0
2015-06-08,1741.3,1744.31,1716.1,1730.79,602880.0
2015-06-09,1721.84,1733.9,1693.63,1721.89,1242611.0
2015-06-10,1725.49,1740.91,1704.14,1708.22,589749.0
2015-06-11,1714.06,1722.81,1652.09,1659.24,1078216.0
2015-06-12,1667.37,1681.47,1646.06,1674.76,676602.0
2015-06-15,1684.88,1687.21,1654.72,1665.27,582427.0
2015-06-16,1668.34,1680.89,1629.43,1645.62,872551.0
2015-06-17,1661.48,1696.55,1648.88,1684.58,1108511.0
2015-06-18,1683.03,1761.73,1680.16,1746.02,1016241.0
2015-06-19,1759.54,1772.91,1728.75,1767.37,898473.0
2015-06-22,1781.13,1800.39,1752.48,1757.06,905124.0
2015-06-23,1761.53,1766.54,1717.08,1723.06,742138.0
2015-06-24,1726.71,1766.59,1723.06,1756.08,1146311.0
2015-06-25,1761.63,1794.8,1755.99,1782.15,1148288.0
2015-06-26,1775.35,1801.61,1770.48,1791.49,585292.0
2015-06-29,1771.84,1794.66,1751.32,1782.4,600991.0
2015-06-30,1787.02,1846.36,1780.31,1834.73,1120131.0
2015-07-01,1841.5,1866.35,1819.12,1823.6,871195.0
2015-07-02,1842.47,1847.33,1810.66,1819.27,872219.0
2015-07-03,1846.36,1864.84,1840.86,1849.23,877924.0
2015-07-06,1751.03,1870.97,1751.03,1866.3,790815.0
2015-07-07,1871.65,1873.6,1835.17,1856.48,807610.0
2015-07-08,1824.03,1856.82,1811.92,1826.56,964138.0
2015-07-09,1828.85,1853.51,1828.85,1834.83,379705.0
2015-07-10,1836.73,1843.39,1802.29,1820.24,803852.0
2015-07-13,1838.58,1843.44,1814.4,1837.9,696911.0
2015-07-14,1841.02,1875.74,1836.19,1871.59,795631.0
2015-07-15,1883.02,1902.55,1875.2,1897.62,639158.0
2015-07-16,1905.48,1914.27,1892.39,1909.19,598434.0
2015-07-17,1921.11,1936.73,1914.27,1926.97,630710.0
2015-07-20,1927.46,1937.22,1918.08,1932.1,467407.0
2015-07-21,1924.04,1924.04,1832.04,1841.31,993409.0
2015-07-22,1841.02,1866.9,1774.61,1781.4,1701329.0
2015-07-23,1792.87,1792.87,1671.23,1687.93,4976913.0
2015-07-24,1694.52,1709.9,1618.34,1633.09,3491061.0
2015-07-27,1645.59,1650.52,1565.36,1579.81,3030464.0
2015-07-28,1597.83,1603.69,1559.94,1571.8,2565568.0
2015-07-29,1575.37,1606.43,1552.95,1601.83,1992583.0
2015-07-30,1611.45,1619.17,1583.18,1588.89,1562925.0
2015-07-31,1598.76,1667.86,1590.8,1657.11,1663420.0
2015-08-03,1660.34,1671.08,1619.95,1625.18,738391.0
2015-08-04,1631.04,1636.26,1595.98,1602.23,1327419.0
2015-08-05,1612.48,1645.69,1606.77,1641.19,1020643.0
2015-08-06,1650.57,1676.84,1644.17,1665.81,1080101.0
2015-08-07,1670.1,1670.1,1643.25,1654.87,630482.0
2015-08-10,1665.17,1684.75,1645.69,1656.38,678486.0
2015-08-11,1660.24,1670.1,1641.24,1658.53,586987.0
2015-08-12,1658.38,1694.47,1643.34,1681.97,1272336.0
2015-08-13,1689.64,1732.42,1676.35,1717.08,1226673.0
2015-08-14,1735.54,1756.05,1727.68,1751.61,1634036.0
2015-08-17,1762.84,1765.62,1719.91,1754.98,797037.0
2015-08-18,1764.35,1768.75,1705.8,1710.2,1178580.0
2015-08-19,1717.47,1764.99,1712.25,1753.51,770194.0
2015-08-20,1770.7,1897.28,1770.7,1846.44,3332613.0
2015-08-21,1844.83,1874.57,1809.43,1833.99,1366891.0
2015-08-24,1767.77,1819.53,1741.5,1761.57,1468467.0
2015-08-25,1760.25,1814.26,1675.09,1785.89,1993449.0
2015-08-26,1795.12,1850.79,1758.0,1768.16,1920778.0
2015-08-27,1816.6,1866.85,1792.19,1855.52,1631204.0
2015-08-28,1880.09,1890.1,1795.12,1817.43,1513446.0
2015-08-31,1831.25,1899.62,1818.56,1890.39,1830506.0
2015-09-01,1865.44,1880.04,1807.81,1817.09,1202890.0
2015-09-02,1840.92,1864.27,1826.37,1836.53,1207023.0
2015-09-03,1848.83,1850.3,1806.84,1818.9,1015991.0
2015-09-04,1832.23,1850.25,1797.36,1816.21,1962214.0
2015-09-07,1832.23,1833.21,1756.59,1762.79,718432.0
2015-09-08,1767.87,1796.49,1714.79,1778.22,905108.0
2015-09-09,1802.0,1831.25,1774.61,1793.26,744403.0
2015-09-10,1774.8,1787.21,1743.45,1775.78,712219.0
2015-09-11,1782.42,1796.92,1758.59,1767.77,514651.0
2015-09-14,1777.54,1802.83,1743.35,1797.32,552865.0
2015-09-15,1797.07,1814.31,1781.74,1793.16,490311.0
2015-09-16,1802.93,1819.92,1790.38,1802.69,465186.0
2015-09-18,1831.25,1865.44,1822.46,1854.55,1522927.0
2015-09-21,1832.72,1858.6,1826.71,1836.53,637352.0
2015-09-22,1846.88,1854.69,1819.39,1827.93,650048.0
2015-09-23,1812.8,1888.19,1784.72,1877.21,1124486.0
2015-09-24,1899.62,1956.07,1895.86,1943.91,2633607.0
2015-09-28,1953.34,2019.51,1940.3,1986.69,1832418.0
2015-09-29,1954.02,1990.74,1917.49,1968.23,1770861.0
2015-09-30,1999.19,2007.05,1972.87,1986.54,1267574.0
2015-10-01,2011.89,2078.35,1986.54,2059.65,2749646.0
2015-10-05,2064.19,2074.25,2028.83,2034.06,897220.0
2015-10-06,2043.19,2079.33,2015.41,2025.03,887118.0
2015-10-07,2029.52,2052.96,2008.81,2017.46,734381.0
2015-10-08,2031.47,2032.11,1979.81,1996.7,891794.0
2015-10-09,2003.05,2021.7,2003.05,2007.64,783715.0
2015-10-12,2016.48,2023.66,1955.0,1962.91,670625.0
2015-10-13,1959.2,1994.36,1958.22,1980.93,974159.0
2015-10-14,1980.93,2029.42,1978.58,2018.63,968369.0
2015-10-15,2021.71,2062.73,2020.39,2050.13,1115230.0
2015-10-16,2046.12,2048.71,1987.72,2005.05,850628.0
2015-10-19,2011.94,2050.03,2008.13,2024.64,669471.0
2015-10-20,2051.01,2054.91,2009.98,2027.17,1709316.0
2015-10-21,2031.42,2035.82,2011.94,2015.26,495424.0
2015-10-23,2037.33,2048.51,2023.27,2030.79,700151.0
2015-10-26,2033.72,2047.93,1984.4,2003.73,1418942.0
2015-10-27,1943.57,1977.75,1886.92,1900.26,3070580.0
2015-10-28,1888.63,1902.55,1841.02,1865.83,2460613.0
2015-10-29,1874.52,1890.59,1861.92,1875.45,1290089.0
2015-10-30,1879.11,1899.08,1866.51,1883.9,692739.0
