,open,high,low,close,volume
2015-05-15,569.78,581.92,568.55,578.6,1670000.0
2015-05-18,576.7,587.61,570.54,585.37,942950.0
2015-05-19,585.37,591.55,576.57,580.83,1390012.0
2015-05-20,580.83,587.08,572.56,579.39,1165122.0
2015-05-21,581.36,584.93,575.13,578.56,1292072.0
2015-05-22,581.36,583.54,576.19,581.66,1502662.0
2015-05-25,581.66,589.91,578.44,583.63,756930.0
2015-05-26,583.63,589.65,579.97,585.09,705404.0
2015-05-27,581.82,582.98,562.34,566.44,1997572.0
2015-05-28,566.98,566.98,548.49,555.02,2378236.0
2015-05-29,553.57,587.27,541.82,582.8,6907312.0
2015-06-01,582.8,588.31,574.41,582.8,1242246.0
2015-06-02,583.17,585.88,564.64,567.28,1425648.0
2015-06-03,568.04,569.08,555.93,558.13,1276568.0
2015-06-04,559.12,564.1,546.64,553.84,1169336.0
2015-06-05,554.14,570.1,551.3,558.59,1311658.0
2015-06-08,559.59,565.61,550.62,558.85,1142562.0
2015-06-09,558.71,566.0,554.72,558.29,962068.0
2015-06-10,556.81,569.78,555.97,565.38,936760.0
2015-06-11,567.93,567.93,548.93,550.14,1028418.0
2015-06-12,551.25,555.42,544.76,552.62,1206728.0
2015-06-15,553.57,568.97,551.71,565.29,1435222.0
2015-06-16,572.07,573.95,564.15,571.15,1340132.0
2015-06-17,572.33,583.19,566.77,580.69,2391462.0
2015-06-18,581.43,587.13,576.75,580.87,1893300.0
2015-06-19,580.9,613.65,580.71,604.78,3766568.0
2015-06-22,606.84,612.67,601.28,607.76,1686240.0
2015-06-23,608.23,620.27,605.45,618.93,1157398.0
2015-06-24,620.71,621.61,599.15,603.29,1481094.0
2015-06-25,593.29,607.16,591.78,602.11,2473112.0
2015-06-26,602.25,610.5,598.96,604.1,1320310.0
2015-06-29,597.57,599.89,591.32,594.86,1287240.0
2015-06-30,596.72,597.36,586.06,594.03,2502056.0
2015-07-01,592.94,603.13,589.72,596.65,1826964.0
2015-07-02,598.5,613.69,597.23,608.44,1513902.0
2015-07-03,611.47,616.06,605.91,608.07,1733252.0
2015-07-06,601.74,613.99,599.89,612.28,1210678.0
2015-07-07,610.54,617.96,607.3,610.45,1246580.0
2015-07-08,607.76,607.81,590.39,592.55,2030192.0
2015-07-09,598.34,598.34,584.14,585.53,958292.0
2015-07-10,582.75,589.17,576.89,578.84,3604156.0
2015-07-13,588.31,589.23,579.53,587.2,1739946.0
2015-07-14,588.31,590.16,579.51,588.29,913798.0
2015-07-15,589.23,599.43,588.33,596.65,1395890.0
2015-07-16,603.26,608.78,598.18,602.71,1644288.0
2015-07-17,606.04,614.44,600.42,612.03,2085314.0
2015-07-20,616.0,621.66,610.29,620.44,1363818.0
2015-07-21,621.62,624.5,608.35,612.98,836144.0
2015-07-22,612.74,637.24,611.28,633.58,1867150.0
2015-07-23,636.3,645.74,635.14,641.44,2399756.0
2015-07-24,643.24,643.24,624.97,627.66,719700.0
2015-07-27,622.61,632.52,618.88,621.17,900076.0
2015-07-28,623.08,632.28,616.73,620.25,1242534.0
2015-07-29,624.92,626.38,613.64,620.98,1372156.0
2015-07-30,625.75,634.17,618.93,622.02,1368146.0
2015-07-31,627.14,652.35,624.5,643.66,2508732.0
2015-08-03,639.13,639.13,628.74,631.53,831716.0
2015-08-04,633.13,646.63,631.03,643.99,1124208.0
2015-08-05,644.79,656.1,637.08,654.64,1282268.0
2015-08-06,654.47,664.36,648.43,659.54,1255418.0
2015-08-07,658.48,680.69,653.76,656.26,4958870.0
2015-08-10,651.4,658.46,638.19,641.82,1431622.0
2015-08-11,643.33,646.19,630.16,632.31,1486050.0
2015-08-12,632.05,632.28,611.28,613.36,1515180.0
2015-08-13,615.1,636.3,614.11,632.33,1535240.0
2015-08-14,636.3,652.25,634.88,650.53,1466162.0
2015-08-17,651.35,651.35,634.98,637.74,790168.0
2015-08-18,639.18,647.51,637.76,644.3,844484.0
2015-08-19,645.27,653.62,636.63,644.63,1065202.0
2015-08-20,646.68,649.14,626.69,630.04,1406780.0
2015-08-21,624.5,627.71,607.98,624.14,1548770.0
2015-08-24,606.51,612.7,578.24,586.85,2079760.0
2015-08-25,590.04,601.34,578.71,590.49,2133382.0
2015-08-26,592.47,595.7,568.84,573.75,2001506.0
2015-08-27,588.48,588.62,573.52,580.69,4865668.0
2015-08-28,583.71,588.65,575.41,582.46,3995432.0
2015-08-31,581.07,586.26,571.96,576.3,3746160.0
2015-09-01,569.98,575.1,551.8,555.67,3174664.0
2015-09-02,559.36,560.73,531.27,535.54,4493220.0
2015-09-03,539.98,546.61,515.53,538.42,2712720.0
2015-09-04,537.17,538.82,519.71,524.24,2989644.0
2015-09-07,524.43,529.81,515.81,524.38,1389426.0
2015-09-08,524.43,548.69,520.65,540.9,2745142.0
2015-09-09,549.96,558.84,543.4,552.56,3132170.0
2015-09-10,550.39,558.67,541.94,552.32,1425516.0
2015-09-11,558.36,564.03,547.58,550.62,1622658.0
2015-09-14,552.56,556.9,544.27,553.57,1439596.0
2015-09-15,550.43,553.1,540.52,543.73,1468462.0
2015-09-16,547.08,552.28,543.33,551.31,1953384.0
2015-09-18,554.66,573.47,552.16,566.08,5269170.0
2015-09-21,557.94,565.47,555.6,559.5,2274848.0
2015-09-22,565.02,567.57,556.41,560.49,4025672.0
2015-09-23,554.64,576.59,553.72,570.33,3068924.0
2015-09-24,568.8,582.01,565.26,576.35,4290468.0
2015-09-28,578.21,585.22,572.5,576.63,1689472.0
2015-09-29,569.27,603.77,567.19,589.9,6506062.0
2015-09-30,590.56,598.94,587.96,596.55,5297210.0
2015-10-01,602.78,603.26,586.8,590.06,2110700.0
2015-10-05,592.63,604.2,592.63,599.81,2226118.0
2015-10-06,602.78,608.92,594.4,596.76,2787718.0
2015-10-07,595.25,613.14,594.76,607.9,1427976.0
