,open,high,low,close,volume
2015-05-15,256.19,259.27,254.93,256.84,930813.0
2015-05-18,256.79,258.47,252.26,252.96,698186.0
2015-05-19,252.96,255.11,250.35,252.96,663738.0
2015-05-20,254.18,254.6,250.77,251.8,935398.0
2015-05-21,251.14,251.98,247.41,249.6,926482.0
2015-05-22,249.46,253.94,246.01,252.73,1144861.0
2015-05-25,251.94,252.5,245.22,246.29,468437.0
2015-05-26,247.36,248.34,243.21,243.49,520228.0
2015-05-27,243.49,246.06,240.92,245.08,1036684.0
2015-05-28,246.15,250.58,242.83,248.81,2114130.0
2015-05-29,249.0,255.44,247.97,252.36,1620773.0
2015-06-01,252.92,256.19,249.7,255.07,377256.0
2015-06-02,254.22,254.65,244.75,246.38,640948.0
2015-06-03,247.08,247.08,231.54,234.67,1976259.0
2015-06-04,236.16,236.16,228.74,234.53,1093018.0
2015-06-05,234.34,234.99,230.32,232.1,1350028.0
2015-06-08,231.54,237.19,229.48,231.26,1064142.0
2015-06-09,230.6,233.13,225.0,225.94,842666.0
2015-06-10,224.86,230.0,224.86,226.64,868750.0
2015-06-11,229.58,229.58,219.68,221.03,629813.0
2015-06-12,220.05,223.98,219.63,222.02,830709.0
2015-06-15,220.47,224.63,219.73,220.57,1224096.0
2015-06-16,220.33,229.48,219.87,226.82,1032128.0
2015-06-17,228.27,235.74,226.12,232.24,2047960.0
2015-06-18,234.25,234.48,227.71,230.65,904126.0
2015-06-19,233.08,247.41,232.94,245.64,3024955.0
2015-06-22,247.41,256.65,245.87,255.44,1370690.0
2015-06-23,255.81,258.99,250.16,257.49,1168348.0
2015-06-24,256.79,266.74,253.24,260.06,1887463.0
2015-06-25,259.55,265.99,256.51,263.61,2135098.0
2015-06-26,262.53,263.23,252.17,258.8,1299971.0
2015-06-29,257.17,257.68,247.55,256.09,689158.0
2015-06-30,254.41,264.03,253.48,261.69,723926.0
2015-07-01,263.35,266.81,260.13,261.36,479294.0
2015-07-02,261.41,276.69,261.41,274.19,1128012.0
2015-07-03,274.87,275.59,267.18,271.65,973937.0
2015-07-06,267.18,275.78,263.91,274.72,1436540.0
2015-07-07,275.83,282.84,272.66,281.64,1152693.0
2015-07-08,279.24,279.67,266.41,268.47,2105852.0
2015-07-09,268.62,269.1,264.29,265.45,919566.0
2015-07-10,266.55,269.0,262.85,266.07,395966.0
2015-07-13,267.95,269.48,262.18,266.98,498348.0
2015-07-14,266.74,269.34,263.91,267.9,1182535.0
2015-07-15,268.91,274.87,266.22,271.84,1008391.0
2015-07-16,272.85,273.09,267.75,269.05,565540.0
2015-07-17,270.35,272.75,264.39,269.87,1774768.0
2015-07-20,269.87,270.97,264.82,266.12,865291.0
2015-07-21,266.22,269.0,253.82,255.36,1047419.0
2015-07-22,253.0,259.49,250.84,256.22,1198297.0
2015-07-23,255.07,257.76,246.99,254.59,1670812.0
2015-07-24,255.6,262.18,246.08,255.88,5505158.0
2015-07-27,250.65,258.91,248.53,254.68,2283659.0
2015-07-28,252.42,256.27,246.8,248.15,1541189.0
2015-07-29,248.72,252.62,248.05,250.79,1268477.0
2015-07-30,250.55,253.72,248.0,250.12,2539091.0
2015-07-31,249.45,249.45,245.7,247.86,1081727.0
2015-08-03,247.86,248.68,243.39,245.99,1160628.0
2015-08-04,246.03,248.92,243.1,246.56,765794.0
2015-08-05,248.0,252.14,245.89,247.23,826968.0
2015-08-06,247.48,250.84,244.69,245.89,885559.0
2015-08-07,247.96,248.1,246.13,247.19,456962.0
2015-08-10,248.92,254.2,246.99,248.96,1944746.0
2015-08-11,250.26,254.2,249.2,252.76,1038246.0
2015-08-12,252.66,252.66,240.51,245.31,1000952.0
2015-08-13,246.61,248.82,240.51,242.0,710536.0
2015-08-14,245.02,253.63,241.32,251.94,647823.0
2015-08-17,251.8,252.95,246.56,250.07,770521.0
2015-08-18,250.84,255.16,245.94,250.93,594019.0
2015-08-19,250.45,254.78,248.96,253.29,501529.0
