,open,high,low,close,volume
2015-05-15,844.63,852.4,843.31,850.76,2318.0
2015-05-18,850.76,880.92,850.72,875.56,4039.0
2015-05-19,871.92,939.04,871.92,919.65,6410.0
2015-05-20,919.15,944.13,906.53,939.27,9076.0
2015-05-21,944.13,948.22,904.89,941.77,8804.0
2015-05-22,921.88,940.95,902.44,928.6,12651.0
2015-05-25,921.88,943.68,917.43,925.15,2645.0
2015-05-26,915.57,939.14,913.8,914.48,651.0
2015-05-27,908.35,930.01,901.17,914.48,2520.0
2015-05-28,904.58,932.78,904.58,915.98,942.0
2015-05-29,924.29,931.87,899.17,904.89,4687.0
2015-06-01,909.12,924.6,893.72,914.29,2902.0
2015-06-02,900.99,919.15,891.0,903.62,2866.0
2015-06-03,908.16,908.21,894.18,904.44,2322.0
2015-06-04,908.26,916.43,894.63,902.67,2041.0
2015-06-05,897.36,910.07,860.12,905.26,6672.0
2015-06-08,904.62,914.61,890.09,904.12,4464.0
2015-06-09,900.99,906.89,890.14,901.81,2727.0
2015-06-10,900.08,911.89,881.96,903.26,3543.0
2015-06-11,912.8,912.8,891.04,896.67,600.0
2015-06-12,899.63,906.35,886.64,893.68,4955.0
2015-06-15,902.81,926.42,881.01,920.52,2942.0
2015-06-16,904.62,939.09,904.62,933.91,5923.0
2015-06-17,940.04,953.67,932.87,951.03,3282.0
2015-06-18,953.67,979.46,935.5,973.47,3927.0
2015-06-19,970.02,987.27,953.21,959.12,3690.0
2015-06-22,985.46,1008.12,966.52,1004.67,5491.0
2015-06-23,1004.53,1019.92,985.91,1018.11,5544.0
2015-06-24,1013.66,1020.38,999.08,1008.12,2296.0
2015-06-25,990.09,1025.24,990.09,1020.2,2167.0
2015-06-26,1024.51,1024.51,1001.81,1015.7,1589.0
2015-06-29,999.08,1017.15,985.91,1009.39,1242.0
2015-06-30,1001.81,1015.43,985.09,1005.76,2425.0
2015-07-01,994.54,1024.51,994.54,1012.25,845.0
2015-07-02,1012.7,1024.06,1012.7,1019.33,1193.0
2015-07-03,1012.7,1045.4,1012.7,1044.36,4327.0
2015-07-06,1039.95,1047.17,1017.25,1040.09,4072.0
2015-07-07,1024.56,1069.92,1024.51,1064.52,3095.0
2015-07-08,1076.28,1089.91,1058.12,1078.37,3385.0
2015-07-09,1093.93,1095.28,1076.23,1090.02,436.0
2015-07-10,1085.59,1108.38,1085.59,1092.53,345.0
2015-07-13,1090.21,1106.05,1056.29,1078.65,1406.0
2015-07-14,1048.27,1095.0,1028.01,1043.8,3683.0
2015-07-15,1061.27,1085.31,1027.73,1075.02,3152.0
2015-07-16,1066.91,1093.89,1050.14,1076.97,633.0
2015-07-17,1094.86,1094.86,1050.65,1083.64,567.0
2015-07-20,1094.86,1094.86,1069.24,1071.62,271.0
2015-07-21,1092.07,1094.86,1053.87,1058.06,4451.0
2015-07-22,1076.23,1079.16,1062.25,1072.87,1230.0
2015-07-23,1060.43,1071.57,1060.43,1062.3,1293.0
2015-07-24,1066.91,1066.91,1045.48,1046.83,234.0
2015-07-27,1052.93,1052.93,1010.02,1021.67,608.0
2015-07-28,1041.61,1052.93,1019.39,1036.35,1451.0
2015-07-29,1052.0,1071.48,1035.46,1056.05,2467.0
2015-07-30,1061.32,1066.82,1035.37,1046.32,859.0
2015-07-31,1039.89,1061.32,1038.54,1043.2,284.0
2015-08-03,1043.2,1057.59,1034.3,1053.17,246.0
2015-08-04,1061.32,1071.57,1044.55,1064.53,848.0
2015-08-05,1078.09,1079.02,1054.84,1066.12,1769.0
2015-08-06,1078.98,1084.61,1048.32,1049.49,1402.0
2015-08-07,1048.27,1080.89,1042.68,1070.64,985.0
2015-08-10,1045.48,1072.5,1045.48,1049.07,305.0
2015-08-11,1066.86,1066.86,1018.08,1022.79,1447.0
2015-08-12,1019.62,1022.18,978.39,992.13,1148.0
2015-08-13,1008.67,1041.75,982.12,987.15,1281.0
2015-08-14,992.37,1005.41,986.78,996.65,1270.0
2015-08-17,1009.14,1009.14,987.71,995.67,135.0
2015-08-18,999.82,1006.3,971.49,997.03,1835.0
2015-08-19,997.96,1032.48,997.03,1012.07,5482.0
2015-08-20,1003.55,1013.8,990.5,990.74,456.0
2015-08-21,990.74,994.23,977.46,982.02,134.0
2015-08-24,970.93,970.93,885.21,888.0,4711.0
2015-08-25,905.76,975.59,903.85,942.0,12797.0
2015-08-26,950.44,991.39,937.86,957.0,2832.0
2015-08-27,943.03,978.39,942.98,974.29,1150.0
2015-08-28,969.07,978.39,942.61,951.04,804.0
2015-08-31,941.68,959.75,936.46,937.67,405.0
2015-09-01,931.8,948.57,929.94,931.99,1014.0
2015-09-02,1001.54,1001.54,920.85,956.12,3450.0
2015-09-03,950.44,950.44,915.26,923.41,2580.0
2015-09-04,923.6,929.94,896.39,900.54,580.0
2015-09-07,885.26,918.75,881.2,883.02,1142.0
2015-09-08,888.94,911.11,873.98,898.21,374.0
2015-09-09,897.28,919.17,897.23,917.17,477.0
2015-09-10,903.85,905.71,903.85,905.71,82.0
2015-09-11,892.66,917.82,886.23,903.99,1156.0
2015-09-14,926.21,939.25,905.71,929.52,1087.0
2015-09-15,922.48,922.48,922.48,922.48,1.0
2015-09-16,913.16,931.8,905.48,907.15,501.0
2015-09-18,925.74,939.21,907.57,914.42,238.0
2015-09-21,921.18,922.48,900.72,902.87,558.0
2015-09-22,917.36,917.36,885.21,890.71,989.0
2015-09-23,897.79,903.85,872.72,887.21,722.0
2015-09-24,903.85,903.85,878.31,900.54,380.0
2015-09-28,912.23,912.23,896.39,896.86,114.0
2015-09-29,896.39,902.73,885.63,887.31,208.0
2015-09-30,886.37,913.07,885.21,897.32,446.0
2015-10-01,913.07,913.16,886.14,896.11,468.0
2015-10-05,898.35,921.55,887.21,911.3,608.0
2015-10-06,918.29,918.29,888.14,889.73,305.0
2015-10-07,900.12,907.39,880.08,885.07,3924.0
2015-10-08,883.35,885.21,877.75,885.21,687.0
2015-10-09,885.21,922.48,879.62,894.81,3477.0
2015-10-12,887.12,913.16,883.39,889.73,1451.0
2015-10-13,915.96,920.52,892.66,915.07,4145.0
2015-10-14,903.85,945.78,902.03,925.6,1080.0
2015-10-15,925.28,936.46,909.48,915.96,781.0
2015-10-16,913.16,913.16,910.69,910.69,145.0
2015-10-19,905.71,930.63,905.71,919.27,2063.0
2015-10-20,921.5,935.34,921.5,930.91,757.0
2015-10-21,938.32,938.32,916.42,921.74,1900.0
2015-10-23,921.74,964.41,921.74,952.53,2758.0
2015-10-26,975.59,1057.31,951.37,1038.02,24480.0
2015-10-27,1006.34,1108.84,1006.34,1080.79,19510.0
2015-10-28,1071.57,1197.27,1071.57,1159.86,34554.0
2015-10-29,1157.76,1213.2,1153.57,1166.24,16570.0
2015-10-30,1169.41,1248.56,1169.41,1222.43,10889.0
2015-11-02,1229.97,1373.47,1229.97,1358.38,38914.0
2015-11-03,1376.27,1420.02,1334.34,1370.54,18801.0
2015-11-04,1338.06,1392.11,1296.69,1334.43,11551.0
2015-11-05,1334.34,1350.13,1272.42,1326.18,6340.0
2015-11-06,1290.77,1324.09,1247.68,1274.89,3946.0
2015-11-09,1225.32,1311.97,1217.86,1280.94,3257.0
2015-11-10,1274.89,1274.89,1227.18,1238.87,1266.0
2015-11-11,1274.89,1274.89,1227.18,1238.87,1266.0
2015-11-13,1244.0,1262.59,1227.18,1232.54,1076.0
2015-11-16,1230.02,1326.88,1217.86,1271.67,9165.0
2015-11-17,1275.63,1281.22,1248.56,1258.21,10894.0
2015-11-18,1256.07,1266.32,1216.93,1229.0,1925.0
2015-11-19,1234.63,1264.45,1222.05,1240.41,1116.0
2015-11-20,1247.68,1257.93,1220.66,1251.22,1730.0
2015-11-23,1255.09,1257.0,1228.16,1236.03,1792.0
2015-11-24,1230.02,1275.63,1230.02,1240.5,1488.0
2015-11-26,1247.68,1438.7,1225.32,1385.73,35399.0
2015-11-27,1406.04,1501.87,1353.16,1384.79,55229.0
2015-11-30,1378.97,1434.46,1369.74,1397.14,15279.0
2015-12-01,1400.49,1422.86,1391.64,1395.14,8199.0
2015-12-02,1397.7,1407.02,1367.83,1378.08,5808.0
2015-12-03,1373.01,1401.52,1356.23,1365.88,4386.0
2015-12-04,1366.02,1395.84,1344.68,1373.98,3475.0
2015-12-07,1361.5,1392.39,1357.63,1359.91,1689.0
2015-12-08,1378.13,1378.13,1338.11,1345.61,2857.0
2015-12-09,1360.99,1360.99,1285.42,1289.75,4903.0
2015-12-10,1304.52,1367.88,1296.13,1345.89,7444.0
2015-12-11,1352.97,1360.43,1291.52,1296.65,1591.0
2015-12-14,1312.9,1341.79,1295.2,1315.23,2663.0
2015-12-15,1304.52,1346.45,1281.32,1321.94,3903.0
2015-12-16,1327.81,1371.61,1327.81,1358.24,5721.0
2015-12-17,1361.36,1508.58,1338.44,1368.67,3335.0
2015-12-18,1369.74,1369.74,1337.13,1350.55,939.0
2015-12-21,1333.4,1380.46,1333.4,1353.86,1984.0
2015-12-22,1359.45,1374.26,1351.11,1362.34,1608.0
2015-12-23,1368.25,1368.25,1336.15,1345.89,975.0
2015-12-24,1350.18,1360.33,1327.81,1342.54,1625.0
2015-12-28,1341.37,1348.27,1323.15,1329.3,790.0
2015-12-29,1332.47,1341.7,1304.52,1328.23,1490.0
2015-12-30,1315.0,1338.06,1304.57,1308.2,2108.0
2015-12-31,1310.16,1323.2,1305.54,1311.32,929.0
2016-01-01,1310.2,1327.81,1310.11,1320.45,959.0
2016-01-04,1322.22,1322.22,1295.25,1303.77,475.0
2016-01-05,1304.52,1313.7,1292.41,1304.71,1282.0
2016-01-06,1299.86,1386.33,1296.13,1318.59,3692.0
2016-01-07,1305.45,1305.45,1260.35,1271.21,2080.0
2016-01-08,1277.5,1338.9,1275.63,1302.14,1881.0
2016-01-11,1304.52,1304.52,1250.47,1268.27,2085.0
2016-01-12,1271.91,1279.83,1244.88,1258.53,2874.0
2016-01-13,1260.96,1281.22,1192.7,1221.91,4761.0
2016-01-14,1222.52,1239.25,1170.57,1211.43,1198.0
2016-01-15,1212.27,1229.0,1161.95,1171.6,1226.0
2016-01-18,1164.75,1164.75,983.98,1031.08,4833.0
2016-01-19,1068.77,1094.86,1011.0,1070.64,4619.0
2016-01-20,1043.62,1080.61,1034.3,1056.1,611.0
2016-01-21,1070.64,1105.11,1062.25,1062.53,882.0
2016-01-22,1066.91,1090.21,1037.09,1084.71,869.0
2016-01-25,1085.55,1108.84,1081.91,1088.06,360.0
2016-01-27,1061.32,1097.99,1061.32,1077.49,842.0
2016-01-28,1073.48,1141.45,1066.91,1118.25,2841.0
2016-01-29,1126.55,1183.39,1122.82,1136.38,2909.0
2016-02-01,1136.79,1165.68,1118.3,1162.56,1701.0
2016-02-02,1158.51,1169.41,1066.91,1151.8,9291.0
2016-02-03,1124.03,1145.97,1111.22,1132.56,4121.0
2016-02-04,1132.14,1160.09,1119.09,1120.77,1068.0
2016-02-05,1126.55,1162.89,1126.55,1151.56,3120.0
2016-02-08,1137.03,1188.04,1137.03,1143.55,1552.0
2016-02-09,1148.91,1168.48,1134.98,1143.46,1278.0
2016-02-10,1129.39,1148.91,1118.16,1129.11,211.0
2016-02-11,1125.66,1125.66,1015.66,1047.72,7160.0
2016-02-12,1043.62,1046.41,1015.66,1033.74,2187.0
2016-02-15,1038.96,1076.23,1038.96,1068.82,320.0
2016-02-16,1065.98,1076.23,1036.16,1040.96,442.0
2016-02-17,1026.05,1074.36,1025.91,1069.61,449.0
2016-02-18,1069.71,1099.52,1057.59,1091.04,732.0
2016-02-19,1071.57,1113.5,1071.57,1098.5,597.0
2016-02-22,1098.5,1130.27,1098.5,1104.09,1201.0
