,open,high,low,close,volume
2015-05-15,192.25,195.71,188.01,190.29,16878.0
2015-05-18,191.11,194.98,188.88,191.79,11458.0
2015-05-19,190.47,194.07,189.6,192.89,8582.0
2015-05-20,192.75,199.63,192.75,195.71,23585.0
2015-05-21,195.03,196.58,190.88,193.98,11846.0
2015-05-22,192.29,196.8,190.61,191.61,14676.0
2015-05-25,191.79,198.49,190.93,197.03,30378.0
2015-05-26,196.03,204.09,191.43,195.03,68071.0
2015-05-27,193.07,193.07,183.68,184.96,45488.0
2015-05-28,185.09,189.65,181.04,185.69,36888.0
2015-05-29,185.91,188.83,182.77,184.09,22674.0
2015-06-01,185.41,187.28,182.18,182.45,13844.0
2015-06-02,182.59,185.32,179.49,180.68,14405.0
2015-06-03,183.86,183.86,170.38,177.99,22705.0
2015-06-04,176.76,183.14,174.48,178.58,13481.0
2015-06-05,177.81,180.36,173.11,177.71,4024.0
2015-06-08,176.8,181.95,173.3,176.12,3768.0
2015-06-09,174.94,175.85,170.97,173.48,6916.0
2015-06-10,175.85,178.03,172.52,175.89,40573.0
2015-06-11,177.53,178.58,171.88,172.52,8147.0
2015-06-12,181.27,181.27,169.83,171.29,9233.0
2015-06-15,171.2,173.11,168.56,171.97,19116.0
2015-06-16,172.02,172.98,169.92,171.84,7366.0
2015-06-17,173.11,174.94,170.47,174.34,5274.0
2015-06-18,173.34,177.94,173.25,176.48,7490.0
2015-06-19,176.76,177.58,172.11,173.25,7806.0
2015-06-22,173.11,179.99,172.2,178.9,19996.0
2015-06-23,181.22,182.86,176.8,178.63,13935.0
2015-06-24,182.18,184.59,179.17,180.58,15888.0
2015-06-25,182.22,182.22,178.4,180.45,11447.0
2015-06-26,180.49,184.87,176.85,180.31,15705.0
2015-06-29,177.21,182.04,174.07,177.99,14093.0
2015-06-30,175.85,181.04,175.85,176.48,8848.0
2015-07-01,175.39,179.17,175.39,177.44,11623.0
2015-07-02,176.89,179.49,176.21,176.53,8805.0
2015-07-03,177.67,177.67,174.02,174.34,18443.0
2015-07-06,172.98,176.58,172.43,175.12,23762.0
2015-07-07,176.21,183.73,174.48,177.67,38163.0
2015-07-08,172.38,180.31,171.34,173.52,48255.0
2015-07-09,175.8,176.53,170.47,172.43,26610.0
2015-07-10,173.75,174.02,167.01,167.56,59366.0
2015-07-13,166.74,169.7,165.1,166.42,48128.0
2015-07-14,167.69,174.02,167.65,169.79,49047.0
2015-07-15,171.29,175.85,169.92,173.34,61205.0
2015-07-16,174.94,174.94,171.38,171.97,25289.0
2015-07-17,173.52,174.12,169.56,170.88,29758.0
2015-07-20,169.56,174.3,168.6,169.51,23679.0
2015-07-21,171.93,172.07,165.14,167.42,51169.0
2015-07-22,167.42,168.56,166.42,167.1,14910.0
2015-07-23,166.87,177.67,165.41,165.87,35333.0
2015-07-24,165.92,168.38,164.18,165.1,22569.0
2015-07-27,164.91,177.49,161.41,173.57,110620.0
2015-07-28,175.39,175.39,166.74,167.28,53903.0
2015-07-29,170.15,173.3,165.05,169.83,33244.0
2015-07-30,169.83,173.11,166.37,171.43,23274.0
2015-07-31,170.65,172.2,167.65,169.29,16994.0
2015-08-03,169.47,184.91,166.6,183.55,155250.0
2015-08-04,185.87,192.98,185.87,189.42,205979.0
2015-08-05,191.29,196.12,159.67,164.14,658283.0
2015-08-06,165.82,167.1,158.35,159.17,144191.0
2015-08-07,159.67,161.27,156.35,158.13,76501.0
2015-08-10,158.72,166.64,157.53,160.59,126526.0
2015-08-11,159.58,161.27,158.22,158.63,30848.0
2015-08-12,159.04,164.91,157.35,158.44,63927.0
2015-08-13,158.54,161.27,154.89,157.03,51158.0
2015-08-14,159.99,164.02,158.72,160.88,22143.0
2015-08-17,162.29,162.29,155.3,156.75,60667.0
2015-08-18,156.75,159.52,151.78,153.98,39092.0
2015-08-19,153.98,157.03,151.78,153.19,22598.0
2015-08-20,152.67,154.64,149.67,150.28,29387.0
2015-08-21,150.14,150.14,145.44,149.34,20130.0
2015-08-24,148.16,148.16,141.22,141.78,74736.0
2015-08-25,143.57,148.21,129.49,136.39,295381.0
2015-08-26,138.83,141.55,136.44,137.51,11922.0
2015-08-27,137.94,148.45,136.15,145.68,37232.0
2015-08-28,147.98,152.67,144.55,145.91,16200.0
2015-08-31,146.85,159.89,138.83,157.74,47026.0
2015-09-01,157.74,157.74,148.82,150.14,10800.0
2015-09-02,150.14,152.01,145.44,150.09,16929.0
2015-09-03,150.09,153.42,146.05,152.29,9086.0
2015-09-04,154.73,154.73,147.23,148.63,9241.0
2015-09-07,148.31,154.55,143.05,145.54,9215.0
2015-09-08,145.16,147.27,142.63,143.94,17154.0
2015-09-09,145.49,148.63,145.02,147.93,12040.0
2015-09-10,146.38,151.59,141.03,146.57,10179.0
2015-09-11,145.58,150.14,145.44,149.48,10044.0
2015-09-14,153.89,153.89,146.71,148.12,5103.0
2015-09-15,149.9,150.79,147.88,148.82,7457.0
2015-09-16,148.87,148.87,144.18,144.51,10942.0
2015-09-18,147.51,148.26,139.91,141.22,26322.0
2015-09-21,140.75,143.61,140.61,141.27,18036.0
2015-09-22,139.81,141.92,137.0,138.08,22178.0
2015-09-23,138.08,142.35,138.08,138.97,6895.0
2015-09-24,138.97,140.42,136.15,137.37,11298.0
2015-09-28,142.39,142.39,133.76,134.28,17738.0
2015-09-29,135.31,135.31,129.63,133.95,64444.0
2015-09-30,132.31,138.36,131.23,135.5,9158.0
2015-10-01,139.91,139.91,132.31,135.83,44882.0
2015-10-05,142.63,142.63,134.98,136.58,16567.0
2015-10-06,139.77,152.95,136.67,137.66,44104.0
2015-10-07,140.24,140.75,137.7,138.5,15559.0
2015-10-08,140.71,141.69,137.0,141.41,18672.0
2015-10-09,142.63,146.1,140.28,142.63,37184.0
2015-10-12,143.57,157.6,139.91,150.46,74499.0
2015-10-13,151.07,151.97,147.6,148.45,14081.0
2015-10-14,147.37,151.92,146.38,147.56,9868.0
2015-10-15,149.06,150.56,145.44,148.35,19535.0
2015-10-16,149.81,154.08,148.12,150.18,15174.0
2015-10-19,147.37,152.62,147.37,149.53,4680.0
2015-10-20,148.77,151.07,148.07,148.77,5593.0
2015-10-21,148.45,152.01,147.37,149.38,12263.0
2015-10-23,152.01,152.01,146.95,148.63,14639.0
2015-10-26,150.09,150.09,144.51,145.49,11573.0
2015-10-27,145.49,149.2,144.04,144.69,9434.0
2015-10-28,147.7,147.7,142.63,146.1,13537.0
2015-10-29,145.44,149.67,144.04,146.1,11466.0
2015-10-30,145.44,147.79,140.75,143.43,31022.0
2015-11-02,142.63,143.0,140.28,141.5,15418.0
2015-11-03,143.61,143.61,140.47,142.16,6613.0
2015-11-04,142.3,145.44,141.69,142.86,164854.0
2015-11-05,138.59,142.63,136.11,139.34,102775.0
2015-11-06,139.49,140.71,135.4,138.64,10846.0
2015-11-09,132.82,142.63,132.82,141.03,9703.0
2015-11-10,139.86,142.58,138.17,140.89,30720.0
2015-11-11,139.86,142.58,138.17,140.89,30720.0
2015-11-13,141.74,143.52,138.92,140.99,10255.0
2015-11-16,140.1,142.07,139.81,140.8,15159.0
2015-11-17,140.8,146.01,140.75,142.53,13102.0
2015-11-18,146.01,146.01,140.28,141.08,5907.0
2015-11-19,143.24,144.27,140.38,142.25,26633.0
2015-11-20,140.75,145.07,140.75,140.8,12814.0
2015-11-23,142.86,143.29,142.07,142.35,5012.0
2015-11-24,142.39,143.47,140.75,141.5,14148.0
2015-11-26,144.18,144.51,140.66,140.85,21514.0
2015-11-27,142.53,142.96,140.75,141.13,12681.0
2015-11-30,142.58,147.32,137.09,145.58,294065.0
2015-12-01,144.51,164.21,142.21,157.55,324483.0
2015-12-02,157.55,158.58,152.95,155.06,49888.0
2015-12-03,157.45,163.32,152.95,158.91,117813.0
2015-12-04,153.89,160.46,152.95,153.7,13326.0
2015-12-07,153.89,159.24,152.48,153.56,10702.0
2015-12-08,156.61,156.61,148.35,150.56,12326.0
2015-12-09,154.69,154.69,145.44,147.98,20069.0
2015-12-10,151.03,151.03,146.1,148.12,9404.0
2015-12-11,152.86,152.95,146.57,149.15,18489.0
2015-12-14,149.01,152.29,144.51,151.03,11420.0
2015-12-15,158.49,158.49,149.29,149.67,9762.0
2015-12-16,148.77,154.73,148.77,150.46,12008.0
2015-12-17,153.75,159.05,150.65,154.55,19611.0
2015-12-18,153.94,156.61,151.07,152.43,13747.0
2015-12-21,150.23,166.65,150.23,164.63,83437.0
2015-12-22,166.51,167.4,162.62,165.29,32410.0
