,open,high,low,close,volume
2015-05-15,31.07,31.62,28.57,28.83,4742235.0
2015-05-18,28.87,29.16,28.44,28.91,596549.0
2015-05-19,28.95,28.99,28.44,28.53,629253.0
2015-05-20,28.61,28.74,28.06,28.11,968413.0
2015-05-21,28.36,28.36,27.94,28.02,582576.0
2015-05-22,27.94,28.11,27.81,27.89,961250.0
2015-05-25,28.07,28.49,27.85,28.37,689036.0
2015-05-26,28.32,28.41,27.38,27.72,781598.0
2015-05-27,27.72,28.11,27.46,27.55,1022698.0
2015-05-28,27.81,27.81,27.46,27.59,456589.0
2015-05-29,27.68,27.68,27.04,27.16,1096847.0
2015-06-01,27.21,27.89,27.16,27.55,563201.0
2015-06-02,27.72,27.72,26.39,26.61,776324.0
2015-06-03,26.61,27.04,25.19,26.39,1014991.0
2015-06-04,26.22,26.43,25.23,25.36,1312644.0
2015-06-05,25.71,25.71,24.55,24.76,1319295.0
2015-06-08,24.89,24.89,23.35,23.43,852088.0
2015-06-09,23.43,24.42,23.43,24.25,535309.0
2015-06-10,24.07,24.29,23.26,23.86,1242999.0
2015-06-11,23.9,24.59,23.17,23.26,1348668.0
2015-06-12,23.3,24.76,22.83,24.07,1345373.0
2015-06-15,24.25,24.98,24.16,24.76,644671.0
2015-06-16,24.5,24.68,23.86,24.03,561995.0
2015-06-17,24.55,24.55,23.9,24.16,317898.0
2015-06-18,24.29,25.4,24.29,25.23,799029.0
2015-06-19,25.49,25.49,24.16,24.37,1304812.0
2015-06-22,24.37,25.45,24.37,25.36,698909.0
2015-06-23,25.45,25.45,24.55,24.76,653826.0
2015-06-24,24.93,25.06,24.37,24.55,913217.0
2015-06-25,24.5,24.5,23.69,23.9,773342.0
2015-06-26,24.03,24.2,23.65,23.86,452189.0
2015-06-29,23.69,24.07,23.26,23.9,512793.0
2015-06-30,24.03,24.37,23.6,24.2,616807.0
2015-07-01,24.37,24.5,23.9,24.07,828970.0
2015-07-02,24.07,24.25,23.69,23.82,545231.0
2015-07-03,23.82,24.25,23.69,23.99,417367.0
2015-07-06,23.6,24.37,23.52,24.25,577689.0
2015-07-07,24.33,25.06,24.12,24.33,739771.0
2015-07-08,24.29,24.55,23.73,23.95,757247.0
2015-07-09,23.77,24.33,23.77,23.9,481207.0
2015-07-10,24.03,24.2,23.56,23.6,704907.0
2015-07-13,23.82,24.16,23.56,24.12,472024.0
2015-07-14,24.12,24.33,23.69,23.82,535988.0
2015-07-15,23.95,25.79,23.86,24.8,2682719.0
2015-07-16,24.89,25.66,24.12,24.46,1809135.0
2015-07-17,24.68,25.06,24.25,24.33,913546.0
2015-07-20,24.25,24.29,23.9,23.99,789969.0
2015-07-21,23.77,24.12,23.22,23.35,980219.0
2015-07-22,23.17,23.6,23.04,23.17,824079.0
2015-07-23,23.35,23.86,22.83,23.17,1213912.0
2015-07-24,23.17,23.43,22.92,23.0,821486.0
2015-07-27,22.87,23.09,22.1,22.36,837588.0
2015-07-28,22.53,22.53,21.5,21.67,1178623.0
2015-07-29,21.93,23.26,21.46,23.13,1393450.0
2015-07-30,23.35,23.56,22.32,22.4,595121.0
2015-07-31,22.44,23.65,22.1,23.3,1779193.0
2015-08-03,23.17,23.17,22.74,23.04,957380.0
2015-08-04,23.17,23.56,22.79,23.09,1410108.0
2015-08-05,23.09,23.52,23.0,23.17,1133211.0
2015-08-06,23.3,23.35,22.92,23.17,995996.0
2015-08-07,23.3,23.52,22.53,22.66,1303980.0
2015-08-10,22.74,22.92,22.06,22.23,1130958.0
2015-08-11,22.06,22.4,21.59,21.67,1192311.0
2015-08-12,21.71,21.76,20.38,20.64,1753899.0
2015-08-13,20.6,21.11,19.83,20.08,3525251.0
2015-08-14,20.51,21.03,19.78,20.9,1444181.0
2015-08-17,21.76,22.53,20.9,21.16,2650987.0
2015-08-18,21.5,22.7,21.29,21.41,3222899.0
2015-08-19,21.63,21.97,21.29,21.46,994627.0
2015-08-20,21.67,21.8,20.98,21.24,2434190.0
2015-08-21,20.98,21.8,20.17,21.46,1431283.0
2015-08-24,21.03,21.03,19.31,19.44,1969370.0
2015-08-25,19.44,20.34,18.11,19.35,1702597.0
2015-08-26,19.53,19.74,18.88,19.05,735093.0
2015-08-27,19.31,19.91,19.31,19.4,1139593.0
2015-08-28,19.57,19.87,19.35,19.65,1523882.0
2015-08-31,19.74,20.21,19.14,19.91,1159669.0
2015-09-01,19.91,20.13,19.4,19.57,1083845.0
2015-09-02,19.4,20.0,19.14,19.27,1320424.0
2015-09-03,19.48,19.74,19.01,19.57,1310268.0
2015-09-04,19.79,19.88,19.17,19.57,1595283.0
2015-09-07,19.31,19.83,19.17,19.61,648855.0
2015-09-08,19.7,19.7,19.09,19.35,1849253.0
2015-09-09,19.61,19.61,17.6,18.69,4724417.0
2015-09-10,18.39,18.47,17.34,18.12,2646388.0
2015-09-11,18.26,19.0,17.6,18.65,21695491.0
2015-09-14,19.17,20.27,18.82,19.88,5961081.0
2015-09-15,20.14,22.85,19.17,21.54,34423927.0
2015-09-16,22.28,22.55,21.36,21.45,7718443.0
2015-09-18,21.67,22.5,21.01,21.93,5138537.0
2015-09-21,21.85,21.85,20.93,21.32,1436859.0
2015-09-22,21.36,21.41,20.01,20.18,3614952.0
2015-09-23,19.92,20.27,19.13,19.88,2197595.0
2015-09-24,19.83,20.05,19.52,19.7,2379492.0
2015-09-28,19.83,20.53,19.79,20.09,1908622.0
2015-09-29,19.79,20.75,19.44,20.18,1659228.0
2015-09-30,20.31,21.23,20.31,21.06,4798323.0
2015-10-01,21.23,21.63,20.23,20.49,2352464.0
2015-10-05,20.97,21.19,20.66,21.1,1391716.0
2015-10-06,21.19,21.85,20.93,21.58,2038996.0
2015-10-07,21.76,22.33,21.32,21.63,2184802.0
2015-10-08,21.8,21.8,21.23,21.32,1244750.0
2015-10-09,21.45,22.02,21.36,21.67,1543953.0
2015-10-12,21.8,21.89,21.32,21.41,1124823.0
2015-10-13,21.71,21.71,21.06,21.41,1374050.0
2015-10-14,21.41,21.45,21.1,21.14,938598.0
2015-10-15,21.32,21.41,21.06,21.1,1015307.0
2015-10-16,21.19,21.41,21.06,21.36,988120.0
2015-10-19,21.06,21.36,20.79,21.14,1132876.0
2015-10-20,21.06,21.67,21.06,21.45,960185.0
2015-10-21,21.32,21.76,20.84,21.01,1343435.0
2015-10-23,21.19,21.36,20.88,20.97,1098455.0
2015-10-26,21.06,21.14,20.88,21.01,632699.0
2015-10-27,21.14,21.45,20.88,21.23,748674.0
2015-10-28,21.23,22.15,20.93,21.63,1258137.0
2015-10-29,21.93,22.33,21.71,21.98,2862303.0
2015-10-30,22.11,22.11,20.93,21.19,1229822.0
2015-11-02,21.1,21.32,20.79,21.1,871634.0
2015-11-03,21.28,21.45,20.97,21.19,851598.0
2015-11-04,21.32,21.45,20.36,20.49,4584565.0
2015-11-05,20.44,20.84,19.79,20.18,1313290.0
2015-11-06,20.05,20.31,19.7,20.09,1141089.0
2015-11-09,21.89,21.89,19.61,19.92,1597451.0
2015-11-10,19.79,20.23,19.7,19.74,1007563.0
2015-11-11,19.79,20.23,19.7,19.74,1007563.0
2015-11-13,20.4,20.44,19.96,20.14,979054.0
2015-11-16,19.96,20.62,19.92,20.27,1061395.0
2015-11-17,20.31,20.44,20.05,20.09,845668.0
2015-11-18,20.05,20.27,19.92,20.01,2307812.0
2015-11-19,20.23,20.27,19.96,20.01,1397510.0
2015-11-20,20.18,20.18,19.57,19.7,4095196.0
2015-11-23,19.7,20.09,19.61,19.88,2904556.0
2015-11-24,20.1,20.41,19.79,19.88,2342142.0
2015-11-26,19.88,22.87,19.88,22.51,26733542.0
2015-11-27,23.05,23.45,22.38,22.87,8427104.0
2015-11-30,22.87,24.25,22.51,23.81,6045603.0
2015-12-01,23.85,24.3,23.36,23.89,5610643.0
2015-12-02,23.81,24.52,23.0,24.3,5748266.0
2015-12-03,24.3,25.1,23.81,24.03,3983822.0
2015-12-04,23.94,24.61,23.0,23.36,3344106.0
2015-12-07,23.67,24.12,23.22,23.63,1600632.0
2015-12-08,23.4,24.07,23.36,23.45,1522443.0
2015-12-09,23.22,23.54,22.29,22.55,3390574.0
