,open,high,low,close,volume
2015-05-15,185.31,189.99,183.95,186.97,3867164.0
2015-05-18,186.53,191.07,185.31,189.0,2023828.0
2015-05-19,188.72,190.84,187.27,189.37,1951934.0
2015-05-20,189.37,194.53,186.23,189.78,4062448.0
2015-05-21,190.82,191.07,185.77,188.33,2381126.0
2015-05-22,188.91,191.07,186.69,189.11,2918736.0
2015-05-25,189.09,193.61,188.4,192.48,4583166.0
2015-05-26,192.92,198.17,191.3,196.21,7227350.0
2015-05-27,193.61,196.79,186.51,189.6,3195882.0
2015-05-28,188.54,191.17,187.39,188.91,2622984.0
2015-05-29,190.04,210.18,189.23,202.64,44809688.0
2015-06-01,195.8,206.98,193.65,205.25,3935578.0
2015-06-02,203.4,204.3,192.76,194.3,1568138.0
2015-06-03,194.07,196.58,189.97,192.02,1162300.0
2015-06-04,192.29,196.7,192.04,195.82,1015418.0
2015-06-05,195.8,206.42,193.7,202.39,1451038.0
2015-06-08,204.65,207.35,196.88,199.12,1518418.0
2015-06-09,198.68,199.6,192.59,195.43,994294.0
2015-06-10,196.37,196.95,191.83,194.46,1131028.0
2015-06-11,194.76,195.22,184.48,186.99,727906.0
2015-06-12,186.69,192.18,186.69,190.73,668806.0
2015-06-15,189.11,193.84,189.11,192.02,292506.0
2015-06-16,192.23,193.61,187.25,187.92,357456.0
2015-06-17,188.86,195.45,188.58,194.0,1408726.0
2015-06-18,194.16,195.68,191.76,194.74,466132.0
2015-06-19,195.18,203.75,193.7,202.44,1734460.0
2015-06-22,203.15,210.39,203.15,207.41,1034138.0
2015-06-23,209.4,213.43,203.89,205.32,870362.0
2015-06-24,205.59,215.27,202.83,211.86,2218774.0
2015-06-25,214.12,214.12,204.88,207.32,1748280.0
2015-06-26,207.81,207.81,204.67,206.88,660256.0
2015-06-29,202.83,204.21,199.03,200.22,435618.0
2015-06-30,200.06,208.59,199.85,207.28,1891738.0
2015-07-01,208.77,209.33,205.2,206.31,614828.0
2015-07-02,208.08,208.73,202.74,204.81,1263066.0
2015-07-03,206.26,206.26,199.23,200.09,468902.0
2015-07-06,200.06,206.47,198.68,203.73,347568.0
2015-07-07,204.07,205.94,201.47,202.55,400592.0
2015-07-08,200.55,206.52,200.11,202.25,668130.0
2015-07-09,201.61,205.5,196.44,197.62,460298.0
2015-07-10,197.62,200.52,197.6,198.26,401424.0
2015-07-13,198.29,202.78,197.43,202.18,424322.0
2015-07-14,203.75,204.46,200.98,202.57,523630.0
2015-07-15,202.83,203.66,201.08,202.07,267040.0
2015-07-16,202.62,205.06,201.45,203.13,447148.0
2015-07-17,204.1,204.1,201.91,202.81,281536.0
2015-07-20,203.29,204.76,200.52,201.28,505016.0
2015-07-21,201.38,202.76,196.51,197.69,1193640.0
2015-07-22,199.35,199.49,196.37,198.4,278944.0
2015-07-23,199.0,200.52,197.87,199.16,405902.0
2015-07-24,199.26,203.29,197.39,200.45,1448052.0
2015-07-27,201.91,202.16,196.56,197.14,407274.0
