,open,high,low,close,volume
2015-05-15,3447.43,3489.1,3434.17,3476.98,208258.0
2015-05-18,3480.58,3510.32,3458.8,3501.98,183483.0
2015-05-19,3499.52,3532.58,3490.05,3510.65,175567.0
2015-05-20,3510.98,3551.56,3510.89,3515.53,218115.0
2015-05-21,3515.53,3532.58,3496.16,3502.46,198709.0
2015-05-22,3507.1,3531.53,3499.14,3506.67,135158.0
2015-05-25,3500.66,3520.36,3486.26,3497.39,81113.0
2015-05-26,3500.47,3532.67,3477.74,3529.31,252919.0
2015-05-27,3504.26,3551.61,3503.31,3525.0,283565.0
2015-05-28,3528.88,3541.15,3500.52,3512.69,317937.0
2015-05-29,3523.2,3588.5,3497.68,3585.42,432656.0
2015-06-01,3585.61,3692.68,3574.72,3677.43,571376.0
2015-06-02,3674.73,3681.65,3613.22,3628.71,329350.0
2015-06-03,3603.7,3617.91,3553.51,3577.37,277700.0
2015-06-04,3598.02,3611.28,3548.77,3572.5,193996.0
2015-06-05,3569.61,3598.87,3552.56,3560.56,253728.0
2015-06-08,3585.71,3603.28,3519.41,3526.51,303682.0
2015-06-09,3513.73,3529.78,3481.34,3496.96,209963.0
2015-06-10,3507.05,3550.57,3498.72,3544.56,239272.0
2015-06-11,3553.55,3579.03,3496.07,3505.58,226654.0
2015-06-12,3505.3,3556.35,3500.0,3539.11,173412.0
2015-06-15,3539.77,3589.4,3533.62,3568.09,175936.0
2015-06-16,3568.09,3608.96,3546.59,3589.12,228783.0
2015-06-17,3603.7,3622.55,3592.34,3607.25,291820.0
2015-06-18,3611.28,3686.05,3610.33,3656.83,232645.0
2015-06-19,3673.79,3740.56,3657.69,3729.05,309290.0
2015-06-22,3745.81,3783.56,3745.81,3770.06,230791.0
2015-06-23,3771.34,3815.38,3746.05,3804.63,330957.0
2015-06-24,3811.12,3822.15,3776.12,3797.19,306048.0
2015-06-25,3773.23,3829.77,3772.85,3818.22,240888.0
2015-06-26,3813.01,3861.69,3794.21,3854.64,291925.0
2015-06-29,3807.33,3812.77,3751.54,3782.04,344044.0
2015-06-30,3774.42,3845.21,3774.42,3810.5,340789.0
2015-07-01,3821.44,3873.48,3813.01,3818.41,380963.0
2015-07-02,3818.22,3834.79,3770.53,3782.14,322025.0
2015-07-03,3782.14,3807.33,3766.7,3787.34,279389.0
2015-07-06,3774.09,3793.12,3764.76,3776.97,332811.0
2015-07-07,3777.97,3791.99,3746.43,3762.01,287981.0
2015-07-08,3741.03,3759.03,3700.31,3740.08,252360.0
2015-07-09,3741.03,3757.98,3720.67,3727.44,128065.0
2015-07-10,3740.75,3752.4,3711.58,3726.26,184572.0
2015-07-13,3749.27,3826.27,3731.56,3821.77,335198.0
2015-07-14,3835.46,3844.22,3807.47,3836.36,251002.0
2015-07-15,3855.63,3958.82,3855.63,3932.49,551469.0
2015-07-16,3945.6,3968.33,3936.13,3957.11,321651.0
2015-07-17,3964.55,4005.22,3943.8,3971.18,241023.0
2015-07-20,3985.38,3995.8,3940.96,3955.12,207897.0
2015-07-21,3955.97,3973.02,3922.35,3933.15,146004.0
2015-07-22,3920.79,3976.86,3915.3,3969.42,305466.0
2015-07-23,3976.76,4020.9,3971.22,4010.05,229845.0
2015-07-24,4013.75,4036.43,3982.92,4010.2,226189.0
2015-07-27,4017.16,4017.16,3946.17,3957.06,220316.0
2015-07-28,3985.29,4017.58,3931.97,3974.92,940179.0
2015-07-29,4001.39,4081.51,3950.53,4047.61,819323.0
2015-07-30,4081.99,4089.56,4054.57,4069.15,294361.0
2015-07-31,4069.67,4128.39,4057.55,4102.3,297226.0
2015-08-03,4148.28,4204.16,4148.28,4192.84,341893.0
2015-08-04,4213.63,4218.32,4178.07,4203.97,313075.0
2015-08-05,4221.21,4246.78,4188.3,4235.08,198485.0
2015-08-06,4225.0,4241.43,4195.69,4216.57,184121.0
2015-08-07,4215.24,4231.82,4195.73,4217.37,144268.0
2015-08-10,4233.52,4269.46,4210.79,4259.24,241899.0
2015-08-11,4271.4,4294.14,4228.83,4266.01,216773.0
2015-08-12,4266.01,4266.01,4266.01,4266.01,0.0
2015-08-13,4240.15,4283.43,4195.78,4255.16,261773.0
2015-08-14,4270.93,4346.23,4252.94,4330.6,181419.0
2015-08-17,4342.39,4344.33,4295.56,4309.1,157066.0
2015-08-18,4314.03,4402.11,4296.03,4388.85,172443.0
2015-08-19,4382.22,4439.04,4362.04,4424.69,255128.0
2015-08-20,4385.06,4444.16,4357.83,4388.99,279387.0
2015-08-21,4367.06,4369.76,4289.4,4325.72,310480.0
2015-08-24,4119.87,4216.99,3984.96,4017.39,930804.0
2015-08-25,4071.57,4137.86,3847.2,3976.86,915511.0
2015-08-26,3998.77,4055.37,3917.21,4008.35,612412.0
2015-08-27,4054.03,4071.09,3988.29,4005.2,795947.0
2015-08-28,4049.27,4089.29,3977.81,4007.2,372560.0
2015-08-31,4000.68,4033.07,3946.7,3970.38,298281.0
2015-09-01,3973.05,4001.11,3855.09,3869.62,605386.0
2015-09-02,3890.16,3896.78,3820.6,3839.66,392078.0
2015-09-03,3867.29,3965.71,3849.24,3947.56,514445.0
2015-09-04,3941.61,3944.18,3859.86,3871.39,316141.0
2015-09-07,3875.77,3933.51,3853.95,3877.39,300049.0
2015-09-08,3912.07,3959.57,3884.44,3943.8,292997.0
2015-09-09,4011.16,4115.01,3989.86,4101.81,589734.0
2015-09-10,4054.03,4114.01,4025.59,4098.29,321362.0
2015-09-11,4124.54,4154.07,4105.1,4113.82,281728.0
2015-09-14,4125.49,4141.69,4082.62,4115.49,207396.0
2015-09-15,4168.84,4210.38,4115.96,4120.73,734807.0
2015-09-16,4170.27,4170.27,4125.59,4149.88,418079.0
2015-09-18,4172.46,4266.79,4149.88,4192.99,621252.0
2015-09-21,4190.23,4296.04,4179.89,4278.17,642858.0
2015-09-22,4295.08,4306.42,4230.77,4261.78,924289.0
2015-09-23,4248.4,4309.37,4204.81,4285.22,880695.0
2015-09-24,4286.98,4386.55,4272.93,4350.96,1098076.0
2015-09-28,4354.15,4397.03,4303.42,4322.0,684352.0
2015-09-29,4296.94,4516.13,4256.02,4461.15,1222175.0
2015-09-30,4487.54,4538.47,4437.57,4464.29,835777.0
2015-10-01,4497.07,4498.88,4354.16,4364.02,1087189.0
2015-10-05,4354.15,4354.15,4181.7,4205.57,1949365.0
2015-10-06,4238.87,4238.87,4133.16,4148.36,1159174.0
2015-10-07,4146.69,4228.29,4139.83,4158.36,801302.0
2015-10-08,4173.13,4198.85,4127.59,4148.12,726218.0
2015-10-09,4182.66,4189.52,4061.42,4074.37,816648.0
2015-10-12,4107.29,4118.49,4017.35,4031.98,837794.0
2015-10-13,4031.17,4085.47,4029.4,4071.99,605082.0
2015-10-14,4069.18,4092.72,4041.65,4049.03,656029.0
2015-10-15,4068.23,4181.85,4059.75,4170.65,982419.0
2015-10-16,4201.71,4250.3,4174.13,4236.96,929525.0
2015-10-19,4254.11,4266.5,4199.9,4248.35,594941.0
2015-10-20,4256.88,4303.37,4231.87,4295.8,675597.0
2015-10-21,4276.98,4310.99,4239.82,4263.36,316565.0
2015-10-23,4288.22,4295.08,4164.65,4173.99,621558.0
2015-10-26,4192.18,4241.73,4169.13,4178.04,535165.0
2015-10-27,4200.76,4304.61,4169.89,4284.6,1290318.0
2015-10-28,4316.04,4343.67,4260.78,4282.89,989227.0
2015-10-29,4288.89,4299.42,4210.53,4229.87,907407.0
2015-10-30,4236.01,4256.88,4192.28,4238.87,738321.0
