,open,high,low,close,volume
2015-05-15,737.0,758.4,732.6,745.31,1428825.0
2015-05-18,747.8,769.4,746.72,757.85,1296100.0
2015-05-19,759.8,773.6,752.44,760.43,1144625.0
2015-05-20,765.8,765.8,743.6,747.06,1010805.0
2015-05-21,752.4,756.0,727.4,739.89,1119465.0
2015-05-22,743.4,745.8,733.1,741.44,978005.0
2015-05-25,738.4,755.6,731.58,746.53,662945.0
2015-05-26,749.78,757.39,716.02,725.88,2075125.0
2015-05-27,707.4,731.97,695.0,700.12,2624795.0
2015-05-28,697.8,705.0,670.21,685.36,2348965.0
2015-05-29,691.8,736.0,688.2,727.32,6875275.0
2015-06-01,710.0,721.4,700.25,715.85,1334475.0
2015-06-02,715.8,716.54,702.2,708.81,640240.0
2015-06-03,708.0,709.79,671.0,686.51,999815.0
2015-06-04,691.2,715.14,685.8,708.96,987615.0
2015-06-05,704.98,721.9,698.2,716.74,891920.0
2015-06-08,724.98,738.99,704.45,707.5,781660.0
2015-06-09,707.99,715.18,692.2,695.72,650160.0
2015-06-10,699.0,711.0,694.0,707.2,654875.0
2015-06-11,712.71,720.2,706.0,709.81,1002240.0
2015-06-12,709.81,719.0,700.0,715.53,546220.0
2015-06-15,716.58,726.0,710.4,719.1,669220.0
2015-06-16,719.8,719.99,697.04,700.84,738635.0
2015-06-17,703.4,704.8,689.01,692.46,1115080.0
2015-06-18,693.52,697.75,680.11,685.07,861545.0
2015-06-19,689.6,689.6,667.32,670.35,1524660.0
2015-06-22,672.8,682.0,668.0,670.42,999530.0
2015-06-23,672.9,673.0,652.21,658.18,2146085.0
2015-06-24,663.58,674.31,660.0,666.34,1669660.0
2015-06-25,665.6,665.6,656.48,660.11,1212145.0
2015-06-26,660.99,669.6,655.0,656.44,1472590.0
2015-06-29,650.0,664.8,639.99,662.98,976990.0
2015-06-30,668.6,678.0,657.6,676.21,1762620.0
2015-07-01,678.2,680.21,669.6,671.92,765565.0
2015-07-02,678.0,679.8,660.02,662.13,692445.0
2015-07-03,663.96,697.16,662.0,673.99,3079300.0
2015-07-06,668.2,690.0,666.0,687.15,1081735.0
2015-07-07,690.0,704.0,690.0,700.17,1433540.0
2015-07-08,697.97,705.76,682.02,684.22,1032145.0
2015-07-09,690.0,704.0,686.83,701.28,1522120.0
2015-07-10,704.2,707.76,690.25,697.65,480555.0
2015-07-13,697.2,700.0,690.6,694.64,362385.0
2015-07-14,698.8,705.53,692.04,694.77,628745.0
2015-07-15,696.6,703.54,694.81,698.46,539940.0
2015-07-16,696.4,713.8,696.4,703.44,880225.0
2015-07-17,704.38,719.54,697.83,717.68,1152270.0
2015-07-20,722.0,732.8,719.98,725.87,695995.0
2015-07-21,726.4,728.48,700.0,705.37,575435.0
2015-07-22,706.0,718.98,700.35,715.5,770460.0
2015-07-23,714.86,725.0,707.0,717.76,683615.0
2015-07-24,724.4,766.8,716.62,757.8,3314875.0
2015-07-27,757.0,758.18,734.0,738.31,689240.0
2015-07-28,739.58,748.4,727.0,740.78,614005.0
2015-07-29,741.0,767.58,724.0,730.82,1458935.0
2015-07-30,733.8,744.66,732.05,734.86,721095.0
2015-07-31,729.8,745.69,729.8,741.13,480280.0
2015-08-03,744.99,748.76,717.3,719.59,690380.0
2015-08-04,725.56,725.56,698.42,707.62,1458015.0
2015-08-05,713.36,742.49,708.4,736.3,1653020.0
2015-08-06,739.8,740.89,717.31,724.5,901905.0
2015-08-07,722.2,726.75,713.2,718.5,456945.0
2015-08-10,719.4,723.99,710.29,714.13,511310.0
2015-08-11,717.58,720.6,706.4,713.76,525380.0
2015-08-12,713.76,713.76,713.76,713.76,0.0
2015-08-13,697.0,709.0,695.43,697.52,617360.0
2015-08-14,704.0,712.29,680.22,699.11,846455.0
2015-08-17,699.36,712.6,694.2,706.46,370150.0
2015-08-18,708.0,708.99,697.04,700.94,403025.0
2015-08-19,700.0,703.58,692.5,695.42,500255.0
2015-08-20,695.76,702.0,682.2,684.35,547985.0
2015-08-21,681.78,683.6,670.0,675.72,562820.0
2015-08-24,660.06,660.06,609.42,624.3,975545.0
2015-08-25,635.6,655.0,594.0,642.17,935265.0
2015-08-26,642.17,642.99,615.03,621.76,750750.0
2015-08-27,630.4,650.0,630.4,646.11,890890.0
2015-08-28,647.99,663.88,644.22,657.24,739130.0
2015-08-31,650.4,671.98,650.4,661.49,1112570.0
