,open,high,low,close,volume
2015-05-15,986.39,1064.55,986.39,1028.68,1039834.0
2015-05-18,1030.03,1042.22,1010.58,1017.23,317537.0
2015-05-19,1014.4,1039.43,1014.4,1025.52,303078.0
2015-05-20,1028.45,1039.01,1024.63,1029.94,194082.0
2015-05-21,1020.82,1064.55,1010.58,1057.34,583113.0
2015-05-22,1058.88,1058.92,1025.47,1031.33,296086.0
2015-05-25,1031.05,1031.05,1009.79,1012.95,126468.0
2015-05-26,1006.95,1031.05,1001.28,1006.49,246886.0
2015-05-27,1002.07,1007.79,991.97,997.46,191465.0
2015-05-28,1002.16,1006.86,979.83,985.92,118660.0
2015-05-29,985.92,1039.43,975.22,1020.35,378154.0
2015-06-01,1030.12,1040.36,1003.14,1011.28,210399.0
2015-06-02,1012.3,1015.05,968.71,973.22,333985.0
2015-06-03,972.43,976.15,924.74,953.26,250482.0
2015-06-04,956.33,963.12,921.25,936.88,255721.0
2015-06-05,931.06,949.07,924.04,930.51,282446.0
2015-06-08,935.11,938.37,907.8,913.38,171666.0
2015-06-09,913.9,933.34,905.33,917.29,353402.0
2015-06-10,917.62,938.0,916.59,920.69,289421.0
2015-06-11,925.9,944.79,891.0,896.03,404956.0
2015-06-12,898.63,905.33,884.03,888.63,185018.0
2015-06-15,896.31,911.01,889.14,897.24,160009.0
2015-06-16,893.33,932.41,874.72,924.74,369351.0
2015-06-17,927.76,961.03,920.18,951.4,593780.0
2015-06-18,956.42,979.87,934.28,973.59,435144.0
2015-06-19,971.12,977.27,951.3,965.77,252676.0
2015-06-22,964.15,981.73,960.56,970.61,142605.0
2015-06-23,982.76,1018.82,979.13,992.81,525608.0
2015-06-24,1004.9,1029.1,996.62,1006.21,797227.0
2015-06-25,1005.65,1005.83,982.06,991.64,173243.0
2015-06-26,991.22,1004.81,975.22,990.9,186055.0
2015-06-29,961.4,967.78,944.51,958.75,196250.0
2015-06-30,959.59,977.08,949.54,971.12,188268.0
2015-07-01,978.94,1005.93,978.94,991.74,227144.0
2015-07-02,995.32,1016.16,982.76,997.51,264510.0
2015-07-03,1000.34,1003.93,986.39,992.39,142514.0
2015-07-06,978.01,1027.24,968.71,1017.09,289495.0
