,open,high,low,close,volume
2015-05-15,148.49,150.08,147.22,147.93,47292.0
2015-05-18,149.49,151.3,148.49,148.81,40402.0
2015-05-19,145.98,147.1,142.58,145.33,89913.0
2015-05-20,145.41,147.16,143.35,146.18,95404.0
2015-05-21,147.25,147.45,145.3,146.42,36621.0
2015-05-22,146.92,148.93,145.95,146.03,33730.0
2015-05-25,146.71,148.46,146.01,146.48,23596.0
2015-05-26,148.16,149.2,145.59,148.28,31719.0
2015-05-27,146.57,148.49,145.98,146.09,27397.0
2015-05-28,147.54,147.54,144.2,144.5,26019.0
2015-05-29,145.27,147.16,141.9,146.39,50461.0
2015-06-01,146.92,147.66,145.15,146.03,14332.0
2015-06-02,146.71,146.71,143.02,143.64,20233.0
2015-06-03,145.21,145.21,138.32,139.27,43602.0
2015-06-04,139.56,141.54,138.88,140.72,23581.0
2015-06-05,141.69,141.84,139.86,141.4,15595.0
2015-06-08,144.62,144.62,139.56,140.66,9714.0
2015-06-09,142.78,147.04,138.53,139.27,202434.0
2015-06-10,141.13,143.32,140.66,141.9,85527.0
2015-06-11,144.74,146.57,141.84,142.4,49386.0
2015-06-12,143.61,143.61,138.91,140.66,37416.0
2015-06-15,141.25,142.4,139.21,140.66,14754.0
2015-06-16,140.07,142.87,139.5,142.05,25638.0
2015-06-17,142.43,143.61,141.84,142.73,12693.0
2015-06-18,144.2,144.79,142.19,142.46,11497.0
2015-06-19,143.97,144.79,142.64,143.11,19672.0
2015-06-22,144.65,145.41,143.11,143.41,40287.0
2015-06-23,144.17,146.09,143.08,143.79,27288.0
2015-06-24,144.17,145.98,143.82,144.5,39462.0
2015-06-25,144.74,144.74,143.14,143.97,16390.0
2015-06-26,144.62,154.78,143.08,150.08,118270.0
2015-06-29,147.75,147.75,142.43,144.5,55753.0
2015-06-30,146.21,146.24,142.52,143.64,57192.0
2015-07-01,143.91,147.39,143.79,145.36,47013.0
2015-07-02,145.38,147.6,144.59,146.01,36696.0
2015-07-03,146.39,146.42,144.82,145.03,11941.0
2015-07-06,144.56,148.28,143.14,146.95,37672.0
2015-07-07,148.34,171.98,147.69,165.71,2580108.0
2015-07-08,168.37,172.75,163.17,164.0,607261.0
2015-07-09,164.03,166.93,158.5,160.25,97714.0
2015-07-10,161.34,170.21,159.04,166.16,189441.0
2015-07-13,166.07,168.2,163.11,164.24,123240.0
2015-07-14,164.24,175.17,164.24,172.33,391777.0
2015-07-15,173.84,182.71,170.58,172.76,244359.0
2015-07-16,175.93,177.69,171.34,171.92,76606.0
2015-07-17,175.04,179.6,171.4,176.12,105963.0
2015-07-20,176.89,176.89,171.8,172.79,49968.0
2015-07-21,172.57,175.04,170.35,171.49,30969.0
2015-07-22,171.34,180.89,171.34,176.24,205263.0
2015-07-23,175.04,177.87,174.76,175.65,194643.0
2015-07-24,174.05,180.58,174.05,174.88,91750.0
2015-07-27,173.8,175.65,171.34,172.69,38874.0
2015-07-28,173.62,184.28,173.62,177.44,519375.0
2015-07-29,177.5,183.54,173.53,176.67,302857.0
2015-07-30,178.55,184.28,175.65,178.8,202545.0
2015-07-31,179.91,180.52,175.81,177.1,53634.0
2015-08-03,179.63,198.33,176.89,194.27,889722.0
2015-08-04,196.42,206.1,190.45,200.34,830436.0
2015-08-05,199.69,208.26,193.59,195.1,465711.0
2015-08-06,195.1,202.77,194.17,198.4,223428.0
2015-08-07,197.59,204.41,196.45,197.26,132411.0
2015-08-10,198.46,204.28,197.22,198.21,100062.0
2015-08-11,199.63,202.16,194.48,198.24,281959.0
