,open,high,low,close,volume
2015-05-15,87.78,91.58,87.78,88.71,11607.0
2015-05-18,89.63,90.61,88.27,88.37,1017.0
2015-05-19,89.58,90.12,86.71,87.34,12929.0
2015-05-20,89.54,89.54,86.95,87.29,7434.0
2015-05-21,87.68,89.1,86.86,87.54,1114.0
2015-05-22,87.0,90.31,86.22,87.34,19904.0
2015-05-25,89.54,90.17,85.74,88.8,27415.0
2015-05-26,87.68,90.95,86.86,88.76,12973.0
2015-05-27,88.66,89.58,87.68,88.56,3715.0
2015-05-28,88.66,91.0,88.03,89.97,17760.0
2015-05-29,88.51,90.51,87.68,89.0,6117.0
2015-06-01,89.15,91.97,87.68,87.78,7455.0
2015-06-02,91.0,91.0,87.25,87.64,2785.0
2015-06-03,88.66,89.63,85.74,86.71,18232.0
2015-06-04,86.13,89.63,86.13,87.98,10917.0
2015-06-05,87.68,89.63,87.68,88.76,11780.0
2015-06-08,87.68,89.63,85.74,87.59,26524.0
2015-06-09,87.68,88.66,86.71,86.81,4767.0
2015-06-10,79.01,88.66,79.01,88.41,1761.0
2015-06-11,86.32,89.97,86.32,87.78,8232.0
2015-06-12,87.73,91.58,87.68,89.73,28219.0
2015-06-15,89.63,89.93,86.32,86.86,28699.0
2015-06-16,88.17,88.17,85.25,85.78,10911.0
2015-06-17,85.83,86.95,84.76,85.78,4918.0
2015-06-18,84.76,87.68,84.76,85.78,1511.0
2015-06-19,85.05,89.88,83.79,87.88,37217.0
2015-06-22,85.88,89.63,85.88,88.95,38308.0
2015-06-23,87.2,89.63,85.35,87.68,42334.0
2015-06-24,87.68,89.63,85.93,87.68,48492.0
2015-06-25,88.61,89.15,86.37,87.78,35993.0
2015-06-26,88.61,89.15,85.78,86.37,45627.0
2015-06-29,85.39,85.39,85.25,85.25,10000.0
2015-06-30,87.68,87.68,83.93,85.3,17706.0
2015-07-01,85.98,86.71,85.49,85.69,4651.0
2015-07-02,85.74,87.68,82.33,83.15,58705.0
2015-07-03,83.79,86.71,82.81,84.03,17940.0
2015-07-06,84.76,85.74,83.74,84.37,17435.0
2015-07-07,84.76,85.74,82.33,83.84,21643.0
2015-07-08,83.59,84.71,79.89,81.25,11214.0
2015-07-09,81.3,85.25,81.25,84.91,26943.0
2015-07-10,85.2,85.2,80.38,80.86,14899.0
2015-07-13,81.4,83.79,81.35,82.08,6786.0
2015-07-14,83.45,83.49,81.11,81.89,13096.0
2015-07-15,82.81,83.64,81.84,82.81,2577.0
2015-07-16,81.89,83.3,79.89,81.01,23926.0
2015-07-17,81.74,81.84,80.52,81.11,5102.0
