,open,high,low,close,volume
2015-05-15,592.57,615.75,592.57,609.98,606448.0
2015-05-18,611.12,613.41,593.8,611.42,388592.0
2015-05-19,614.44,623.14,601.84,604.95,283854.0
2015-05-20,610.07,614.0,606.81,610.09,620076.0
2015-05-21,607.88,620.12,603.97,613.91,269934.0
2015-05-22,611.99,636.92,609.34,634.69,421612.0
2015-05-25,634.99,641.12,616.87,625.68,151850.0
2015-05-26,627.56,629.09,613.15,621.72,185210.0
2015-05-27,619.8,635.82,614.5,633.66,309362.0
2015-05-28,632.7,636.31,616.67,633.64,422222.0
2015-05-29,634.1,645.49,625.81,633.55,228950.0
2015-06-01,629.79,636.28,614.46,619.6,178412.0
2015-06-02,614.88,634.12,607.9,616.36,342900.0
2015-06-03,620.04,620.04,601.32,610.74,833524.0
2015-06-04,610.94,615.18,604.01,606.65,128882.0
2015-06-05,601.47,607.03,596.97,600.77,161566.0
2015-06-08,607.86,607.86,588.37,598.74,159708.0
2015-06-09,598.7,604.73,590.82,592.84,137092.0
2015-06-10,593.49,621.85,589.73,611.95,487960.0
2015-06-11,620.69,622.48,588.08,598.5,243078.0
2015-06-12,590.52,603.38,563.9,575.54,398256.0
2015-06-15,576.36,590.07,562.88,584.11,209858.0
2015-06-16,587.15,589.92,576.99,583.0,85718.0
2015-06-17,587.19,601.12,583.44,586.55,204452.0
2015-06-18,587.17,597.17,582.0,583.55,178206.0
2015-06-19,586.97,594.51,581.64,583.4,209606.0
2015-06-22,581.2,598.95,581.2,596.82,229006.0
2015-06-23,601.17,604.34,593.18,598.06,162850.0
2015-06-24,600.26,616.21,595.66,604.78,430126.0
2015-06-25,607.0,608.71,563.54,574.01,973670.0
2015-06-26,576.76,589.36,571.35,579.14,338986.0
2015-06-29,569.22,572.3,550.72,560.68,393712.0
2015-06-30,559.48,570.73,559.48,565.14,337878.0
2015-07-01,568.33,577.92,562.57,573.37,294066.0
2015-07-02,578.09,579.85,558.35,562.3,239926.0
2015-07-03,563.01,570.11,557.02,567.54,224018.0
2015-07-06,559.9,567.89,557.26,560.86,119366.0
2015-07-07,561.3,567.45,559.44,563.45,167308.0
2015-07-08,559.46,563.45,537.61,546.48,363062.0
2015-07-09,550.14,550.14,532.4,535.61,247032.0
2015-07-10,539.05,545.66,531.18,533.28,350334.0
2015-07-13,539.5,552.36,539.12,547.61,693484.0
2015-07-14,550.37,557.29,544.8,546.77,279554.0
2015-07-15,551.34,551.34,537.32,543.2,409016.0
2015-07-16,544.82,552.36,527.1,543.71,1251982.0
2015-07-17,561.24,570.55,558.11,562.39,1700642.0
2015-07-20,567.89,577.25,563.45,573.17,518558.0
2015-07-21,577.78,588.06,559.62,564.48,597262.0
2015-07-22,568.31,578.83,553.16,574.13,275368.0
2015-07-23,578.99,590.06,575.4,583.89,404838.0
2015-07-24,588.73,588.73,561.63,566.02,368628.0
2015-07-27,562.52,576.47,557.17,564.21,296014.0
2015-07-28,564.34,567.42,550.48,553.56,222792.0
2015-07-29,557.17,566.97,546.07,565.7,271854.0
2015-07-30,565.19,575.0,552.93,555.74,394506.0
2015-07-31,559.75,574.11,557.41,570.38,227670.0
2015-08-03,572.28,578.56,566.33,569.4,160016.0
2015-08-04,569.4,571.43,559.86,567.51,259292.0
2015-08-05,568.58,578.56,567.69,575.38,420374.0
2015-08-06,571.43,588.26,571.43,578.5,611166.0
2015-08-07,578.5,582.55,573.06,578.79,254920.0
2015-08-10,578.79,609.07,578.79,603.64,672102.0
2015-08-11,610.66,617.32,607.09,614.65,536796.0
2015-08-12,617.21,627.01,610.66,623.6,518712.0
2015-08-13,624.92,630.71,610.79,614.09,296132.0
2015-08-14,613.78,619.13,603.35,611.04,376688.0
2015-08-17,612.88,636.95,610.66,625.1,348326.0
2015-08-18,627.15,643.66,627.15,633.79,281828.0
2015-08-19,638.6,645.98,627.15,638.94,280262.0
2015-08-20,641.86,645.8,606.13,613.91,403176.0
2015-08-21,613.55,644.84,602.19,629.44,463988.0
2015-08-24,608.43,619.57,579.45,592.96,672132.0
2015-08-25,590.71,606.2,561.63,569.67,462946.0
2015-08-26,579.45,606.11,562.52,588.28,360196.0
2015-08-27,592.83,622.69,586.14,592.74,268128.0
2015-08-28,597.31,628.49,597.31,622.38,362156.0
2015-08-31,625.79,641.19,607.54,622.18,291188.0
2015-09-01,627.15,634.73,597.86,609.63,310384.0
2015-09-02,610.66,623.6,606.64,611.77,290826.0
2015-09-03,619.57,628.49,604.86,611.21,211028.0
2015-09-04,619.1,619.1,576.87,604.62,338144.0
2015-09-07,603.52,608.43,577.29,579.48,279422.0
2015-09-08,576.33,592.38,566.08,588.12,251898.0
2015-09-09,596.39,608.43,590.95,597.35,228406.0
2015-09-10,590.6,606.2,581.13,601.54,233054.0
2015-09-11,599.74,612.88,599.74,604.53,169576.0
2015-09-14,606.2,614.16,600.89,610.59,151342.0
2015-09-15,614.22,617.19,606.2,613.31,77752.0
2015-09-16,616.23,619.57,611.32,614.89,191550.0
2015-09-18,628.49,632.39,618.75,623.81,217758.0
2015-09-21,623.81,644.04,611.21,634.41,159300.0
2015-09-22,644.09,663.7,637.96,656.21,602064.0
2015-09-23,660.04,675.73,657.9,671.39,626330.0
2015-09-24,673.06,714.25,669.14,695.48,2035696.0
2015-09-28,696.24,697.53,670.05,672.39,296620.0
2015-09-29,668.16,689.55,656.21,675.8,601566.0
2015-09-30,682.87,687.3,666.37,675.04,357460.0
2015-10-01,674.62,675.73,660.15,665.5,327204.0
2015-10-05,666.37,687.32,666.37,681.95,362776.0
2015-10-06,685.54,703.06,676.45,680.06,723274.0
2015-10-07,681.97,687.32,671.3,677.16,281104.0
2015-10-08,680.19,686.45,642.55,651.78,628796.0
2015-10-09,655.05,661.22,633.92,640.81,776174.0
2015-10-12,649.79,649.79,621.38,625.9,484526.0
2015-10-13,625.9,636.49,618.35,628.35,627054.0
2015-10-14,624.03,635.17,622.25,627.93,307960.0
2015-10-15,637.18,637.58,615.56,625.61,1036086.0
2015-10-16,655.23,656.12,630.42,634.12,2643088.0
2015-10-19,637.38,648.5,633.48,646.43,478066.0
2015-10-20,649.88,661.92,645.2,658.17,545860.0
2015-10-21,663.28,669.82,654.32,660.12,395782.0
2015-10-23,665.52,669.96,656.94,667.72,387204.0
2015-10-26,667.76,681.41,667.76,679.21,577280.0
2015-10-27,680.31,694.65,678.16,692.48,549920.0
2015-10-28,695.1,699.13,677.35,686.94,506516.0
2015-10-29,686.88,699.13,686.14,697.79,562364.0
2015-10-30,697.79,704.87,688.85,703.3,500572.0
2015-11-02,705.36,707.65,670.0,672.24,535728.0
2015-11-03,673.99,689.72,673.99,688.44,318828.0
2015-11-04,693.76,693.76,671.97,679.82,266740.0
2015-11-05,681.66,687.93,676.28,680.6,138704.0
2015-11-06,681.34,685.24,666.33,671.55,207398.0
2015-11-09,670.23,683.43,659.45,675.78,180392.0
2015-11-10,683.0,683.0,659.81,670.07,327284.0
2015-11-11,683.0,683.0,659.81,670.07,327284.0
2015-11-13,673.79,681.16,668.21,679.32,337760.0
2015-11-16,677.85,678.97,658.89,661.71,166674.0
2015-11-17,662.16,666.4,648.96,652.44,346742.0
2015-11-18,649.84,658.35,637.49,649.84,282052.0
2015-11-19,654.29,656.54,630.27,636.77,455240.0
2015-11-20,636.97,652.26,636.97,647.82,436306.0
2015-11-23,652.08,655.21,644.44,647.59,179152.0
2015-11-24,651.18,655.21,644.55,646.47,247840.0
2015-11-26,648.94,654.32,638.0,641.03,353252.0
2015-11-27,639.08,653.82,636.44,648.4,196114.0
2015-11-30,647.59,651.58,640.49,644.77,215292.0
2015-12-01,645.35,668.61,644.48,665.57,499466.0
2015-12-02,669.11,671.26,661.29,662.85,274080.0
2015-12-03,663.28,668.59,655.44,658.75,203380.0
2015-12-04,656.54,661.04,649.5,656.29,174562.0
2015-12-07,661.49,663.48,654.88,656.49,128692.0
2015-12-08,654.32,661.51,647.6,651.43,134982.0
2015-12-09,650.28,653.85,632.09,636.82,235860.0
2015-12-10,636.46,666.42,636.46,661.73,515482.0
2015-12-11,663.73,666.82,644.01,652.17,259400.0
2015-12-14,645.35,663.39,644.03,659.65,152792.0
2015-12-15,664.63,667.76,654.77,660.12,228458.0
2015-12-16,660.1,667.76,657.28,661.98,278776.0
2015-12-17,665.48,681.16,663.86,674.84,469484.0
2015-12-18,675.58,680.71,666.24,668.48,294830.0
2015-12-21,665.97,668.64,658.8,662.52,180882.0
2015-12-22,663.24,669.51,652.52,657.01,150666.0
