,open,high,low,close,volume
2015-05-15,30.86,32.22,30.67,31.33,1579569.0
2015-05-18,31.52,31.59,31.21,31.43,389202.0
2015-05-19,31.56,32.03,31.14,31.43,514882.0
2015-05-20,31.59,32.86,31.49,32.57,1155930.0
2015-05-21,34.22,34.29,33.14,33.49,2803260.0
2015-05-22,33.84,34.29,32.32,32.6,1264204.0
2015-05-25,32.57,32.6,31.62,31.87,559033.0
2015-05-26,31.9,31.97,31.17,31.33,394783.0
2015-05-27,31.02,31.71,30.76,30.98,615697.0
2015-05-28,30.79,31.37,30.7,30.79,512584.0
2015-05-29,30.89,31.17,30.57,30.73,393190.0
2015-06-01,30.54,30.79,29.97,30.32,593316.0
2015-06-02,30.35,30.51,29.52,29.62,464224.0
2015-06-03,29.78,29.78,27.21,28.57,606204.0
2015-06-04,29.17,29.17,27.46,28.32,431040.0
2015-06-05,27.87,28.7,27.75,28.13,382732.0
2015-06-08,28.41,28.41,27.49,27.78,491403.0
2015-06-09,27.75,27.87,27.33,27.49,275266.0
2015-06-10,27.43,28.13,27.43,27.71,371788.0
2015-06-11,27.81,27.94,27.11,27.3,320647.0
2015-06-12,27.27,27.27,26.35,26.64,366885.0
2015-06-15,26.86,27.24,26.38,26.79,311343.0
2015-06-16,26.95,26.95,26.32,26.76,255715.0
2015-06-17,26.79,28.19,26.73,27.49,602601.0
2015-06-18,27.56,28.22,27.49,27.78,365028.0
2015-06-19,27.94,28.44,27.75,27.97,363849.0
2015-06-22,27.97,28.73,27.75,28.38,328185.0
2015-06-23,28.35,29.17,28.35,28.57,340573.0
2015-06-24,28.7,29.84,28.35,29.17,896868.0
2015-06-25,29.71,34.98,29.71,34.48,15509398.0
2015-06-26,35.11,36.7,32.48,33.49,11204413.0
2015-06-29,31.78,33.24,30.57,32.67,3538510.0
2015-06-30,32.51,33.52,32.22,32.6,1280922.0
2015-07-01,32.7,34.1,32.7,33.21,1913505.0
2015-07-02,33.05,34.03,32.89,33.17,2347386.0
2015-07-03,32.89,33.71,31.9,32.16,1721466.0
2015-07-06,30.6,32.19,30.6,31.78,1003920.0
2015-07-07,31.9,33.02,31.65,32.06,1211098.0
2015-07-08,31.75,31.75,30.6,30.89,906772.0
2015-07-09,31.14,31.59,29.94,30.54,870339.0
2015-07-10,30.98,32.03,30.64,31.59,1287832.0
2015-07-13,33.02,33.33,32.06,32.16,1562274.0
2015-07-14,32.32,32.57,31.56,31.75,873576.0
2015-07-15,31.84,31.94,30.79,30.92,1404195.0
2015-07-16,31.08,31.3,30.54,30.7,1392967.0
2015-07-17,30.92,31.08,30.48,30.54,742926.0
2015-07-20,30.6,30.67,29.59,29.94,1988259.0
2015-07-21,30.0,30.6,29.52,29.78,1076845.0
2015-07-22,29.52,30.1,29.52,29.78,643023.0
2015-07-23,29.84,30.29,29.68,29.78,580398.0
2015-07-24,29.94,30.1,29.14,29.27,659259.0
2015-07-27,29.14,29.43,28.57,28.67,473401.0
2015-07-28,28.79,28.79,28.38,28.51,446349.0
2015-07-29,28.76,28.76,28.13,28.25,428757.0
2015-07-30,28.44,28.98,28.32,28.67,660916.0
2015-07-31,28.7,31.24,28.7,30.03,2322715.0
2015-08-03,30.16,31.05,29.56,30.79,1893738.0
2015-08-04,30.51,32.35,29.65,31.9,3568453.0
2015-08-05,32.0,33.24,31.52,32.44,3357534.0
2015-08-06,32.64,33.27,32.06,32.22,1105704.0
2015-08-07,32.35,32.79,31.33,31.81,1546116.0
2015-08-10,32.16,32.57,31.14,31.37,997345.0
2015-08-11,31.4,31.59,30.76,30.95,515095.0
2015-08-12,30.73,31.05,29.87,29.97,431259.0
2015-08-13,30.35,30.38,28.95,29.24,512470.0
2015-08-14,28.57,28.57,26.79,28.25,865009.0
2015-08-17,28.41,28.76,27.97,28.38,485971.0
2015-08-18,28.86,30.64,28.51,29.62,1766220.0
2015-08-19,29.75,30.03,28.95,29.05,565014.0
