,open,high,low,close,volume
2015-05-15,101.34,101.57,100.19,100.89,24820.0
2015-05-18,101.26,101.26,100.19,100.46,35706.0
2015-05-19,100.46,100.97,97.46,99.37,42524.0
2015-05-20,99.52,100.23,98.22,98.49,53316.0
2015-05-21,98.92,99.43,98.63,99.08,26044.0
2015-05-22,99.02,99.33,97.65,98.26,35848.0
2015-05-25,99.56,99.56,97.69,98.49,28428.0
2015-05-26,98.92,98.92,97.89,98.32,12898.0
2015-05-27,98.8,98.8,97.26,97.54,29582.0
2015-05-28,97.61,98.0,96.68,96.83,43950.0
2015-05-29,96.87,97.46,93.87,94.91,161110.0
2015-06-01,94.96,98.53,94.91,97.91,104140.0
2015-06-02,97.85,98.14,95.72,96.15,28474.0
2015-06-03,95.94,96.44,93.17,94.18,45862.0
2015-06-04,94.34,95.49,91.61,95.06,41886.0
2015-06-05,94.34,95.51,93.76,94.69,20126.0
2015-06-08,94.38,95.49,93.93,94.53,57230.0
2015-06-09,94.18,95.84,94.11,95.29,77794.0
2015-06-10,94.73,98.24,94.34,97.95,61976.0
2015-06-11,97.46,98.2,95.86,97.36,108316.0
2015-06-12,97.87,97.87,93.99,95.92,514208.0
2015-06-15,95.61,99.17,94.77,96.97,390688.0
2015-06-16,96.83,97.36,95.53,95.84,216346.0
2015-06-17,95.9,96.85,95.9,96.15,72162.0
2015-06-18,96.64,96.64,95.9,96.31,79318.0
2015-06-19,96.52,96.62,94.36,95.86,37400.0
2015-06-22,95.94,97.3,95.94,96.54,21754.0
2015-06-23,98.98,98.98,96.48,97.4,82776.0
2015-06-24,98.24,98.24,96.58,96.93,75376.0
2015-06-25,96.93,100.19,95.96,99.04,113338.0
2015-06-26,99.02,99.41,96.99,97.19,47898.0
2015-06-29,98.2,98.2,95.74,97.42,118786.0
2015-06-30,97.42,98.12,95.68,96.23,59564.0
2015-07-01,96.46,97.81,96.41,97.07,75704.0
2015-07-02,96.68,97.83,96.68,96.87,29402.0
2015-07-03,97.73,97.73,95.53,96.02,43518.0
2015-07-06,95.51,96.07,94.48,95.33,45846.0
2015-07-07,95.33,96.31,94.53,94.89,74096.0
2015-07-08,95.08,95.08,93.68,93.91,39244.0
2015-07-09,93.95,94.48,93.19,93.85,74342.0
2015-07-10,94.36,94.53,93.01,93.44,50310.0
2015-07-13,93.6,93.97,92.41,92.62,118444.0
2015-07-14,93.52,94.92,92.7,93.46,82856.0
2015-07-15,93.85,94.16,92.02,92.37,85414.0
2015-07-16,92.39,93.17,92.02,92.29,66470.0
2015-07-17,93.17,93.17,92.02,92.31,73152.0
2015-07-20,92.39,93.13,91.65,91.71,49562.0
2015-07-21,92.29,92.29,91.22,91.28,47570.0
2015-07-22,91.61,91.63,90.54,91.38,62640.0
2015-07-23,91.42,92.82,89.41,89.64,141274.0
2015-07-24,90.44,90.44,88.88,90.27,55390.0
2015-07-27,90.29,90.29,89.37,89.7,32938.0
2015-07-28,89.74,90.4,89.37,89.92,39052.0
2015-07-29,89.97,90.38,89.29,89.74,38630.0
2015-07-30,89.78,91.61,89.35,90.64,48784.0
2015-07-31,90.64,90.93,89.66,90.64,31562.0
2015-08-03,90.64,92.27,90.46,91.94,72552.0
2015-08-04,92.7,93.15,90.83,91.9,184970.0
2015-08-05,92.0,95.49,92.0,93.56,173180.0
2015-08-06,93.56,96.29,93.21,94.96,166510.0
2015-08-07,94.94,95.88,94.38,95.22,52490.0
2015-08-10,93.56,95.14,93.56,94.11,63222.0
2015-08-11,94.61,94.61,91.59,92.39,111224.0
2015-08-12,92.0,92.78,91.46,92.53,60178.0
2015-08-13,92.02,93.5,91.79,92.45,41782.0
2015-08-14,92.49,94.34,91.63,93.27,68844.0
2015-08-17,95.78,95.82,92.41,92.72,95642.0
2015-08-18,92.78,94.3,92.59,92.92,31842.0
2015-08-19,91.67,92.76,91.22,91.75,88732.0
2015-08-20,94.02,94.42,92.47,93.01,77542.0
2015-08-21,92.61,92.65,90.44,91.67,119508.0
2015-08-24,89.24,90.4,87.21,87.75,134214.0
2015-08-25,87.83,87.83,83.17,83.45,180410.0
2015-08-26,83.89,85.18,83.17,84.19,87710.0
2015-08-27,84.37,85.18,82.81,83.69,103838.0
2015-08-28,83.97,85.98,83.97,84.78,71614.0
2015-08-31,84.78,84.96,83.27,83.69,38558.0
2015-09-01,83.61,85.36,81.58,82.02,49722.0
2015-09-02,83.17,83.35,80.58,80.86,79856.0
2015-09-03,82.12,82.12,79.98,80.26,135510.0
2015-09-04,80.36,80.72,78.57,79.55,94474.0
2015-09-07,79.75,81.04,79.15,79.59,70012.0
2015-09-08,80.36,80.36,78.35,79.05,212802.0
2015-09-09,79.77,87.11,79.77,83.47,592616.0
2015-09-10,82.37,83.15,81.24,81.76,106152.0
2015-09-11,82.71,82.75,81.36,81.66,74716.0
2015-09-14,81.76,85.4,81.76,84.84,333590.0
2015-09-15,85.38,85.38,82.18,82.63,89304.0
2015-09-16,82.33,82.97,81.6,82.1,76536.0
2015-09-18,82.29,85.18,81.66,82.02,90390.0
2015-09-21,81.18,83.73,81.18,82.39,106554.0
2015-09-22,82.77,83.19,80.56,80.74,137484.0
2015-09-23,80.52,81.26,80.36,80.9,72278.0
2015-09-24,80.96,83.19,80.4,81.22,61820.0
2015-09-28,81.22,82.16,80.2,80.46,45886.0
2015-09-29,80.2,80.74,78.41,79.07,89708.0
2015-09-30,79.19,80.52,78.45,79.21,131376.0
2015-10-01,80.36,80.38,79.67,79.81,47166.0
2015-10-05,81.14,81.14,76.3,76.96,513592.0
2015-10-06,77.91,79.51,77.64,78.65,427420.0
2015-10-07,78.77,80.64,78.77,79.21,341632.0
2015-10-08,79.91,82.69,78.83,82.1,729326.0
2015-10-09,83.57,83.57,82.12,82.89,385962.0
2015-10-12,83.97,86.36,82.97,85.06,375098.0
2015-10-13,85.08,87.21,84.13,86.32,184084.0
2015-10-14,85.58,87.99,85.58,87.15,160268.0
2015-10-15,87.17,87.69,86.3,87.59,507958.0
2015-10-16,87.61,87.93,86.28,86.71,82722.0
2015-10-19,87.07,87.29,84.98,85.96,73754.0
2015-10-20,86.5,86.56,83.97,84.86,145360.0
