,open,high,low,close,volume
2015-05-15,132.89,134.99,131.56,132.4,3221856.0
2015-05-18,134.19,135.66,132.72,133.55,4441635.0
2015-05-19,132.7,133.25,128.31,128.95,5960938.0
2015-05-20,129.47,129.51,125.63,126.85,8502968.0
2015-05-21,127.75,127.75,124.28,125.66,7546753.0
2015-05-22,126.44,129.6,125.92,127.97,4188186.0
2015-05-25,128.01,129.43,126.7,127.52,2221671.0
2015-05-26,127.35,127.77,124.65,125.7,4152532.0
2015-05-27,124.86,126.97,124.59,126.64,3107757.0
2015-05-28,126.9,128.11,125.1,126.64,3627983.0
2015-05-29,127.24,130.79,127.11,130.17,6123060.0
2015-06-01,130.02,130.55,126.25,126.8,3127281.0
2015-06-02,127.23,127.57,124.94,125.34,2607369.0
2015-06-03,125.37,127.24,122.48,125.76,3672165.0
2015-06-04,127.02,128.82,124.15,125.25,3115216.0
2015-06-05,125.07,125.98,122.43,124.11,3509426.0
2015-06-08,125.31,125.31,120.82,121.53,3554759.0
2015-06-09,120.57,123.31,120.44,122.73,3256443.0
2015-06-10,123.36,130.95,122.98,130.38,11170038.0
2015-06-11,131.3,131.97,126.44,127.32,6363231.0
2015-06-12,127.19,128.96,125.97,126.28,2460462.0
2015-06-15,126.92,129.98,126.73,128.48,2482423.0
2015-06-16,128.43,130.43,126.44,129.66,2491927.0
2015-06-17,130.91,131.38,129.11,129.48,3292528.0
2015-06-18,130.1,132.29,129.85,130.98,3438048.0
2015-06-19,131.57,133.52,130.63,132.02,4394297.0
2015-06-22,132.34,134.38,131.92,133.4,2902554.0
2015-06-23,133.57,134.23,132.14,133.63,1758800.0
2015-06-24,134.35,137.65,133.44,136.8,8393719.0
2015-06-25,136.67,139.74,136.19,138.0,10502611.0
2015-06-26,137.66,139.75,136.09,137.46,4924850.0
2015-06-29,127.51,137.09,127.51,135.93,8136574.0
2015-06-30,134.75,139.51,134.75,138.65,5083273.0
2015-07-01,138.65,140.76,137.26,140.22,4800883.0
2015-07-02,141.0,142.17,140.07,141.25,3918472.0
2015-07-03,141.67,141.89,139.49,141.0,2159250.0
2015-07-06,134.36,140.58,134.27,139.76,4619936.0
2015-07-07,139.8,141.13,136.53,137.54,2968754.0
2015-07-08,136.33,136.59,134.03,134.82,4497282.0
2015-07-09,134.22,136.75,133.93,134.35,2458738.0
2015-07-10,134.99,135.78,133.67,134.74,2803298.0
2015-07-13,134.06,141.65,134.06,141.27,4658404.0
2015-07-14,141.67,141.7,138.6,139.96,2299768.0
2015-07-15,139.29,139.99,137.72,138.83,3391534.0
2015-07-16,140.07,141.14,139.0,139.82,2728326.0
2015-07-17,140.87,144.24,139.94,141.35,3989594.0
2015-07-20,142.64,144.55,140.7,143.4,3136444.0
2015-07-21,143.54,144.01,140.67,141.49,2124987.0
2015-07-22,141.54,143.25,138.53,139.86,3165223.0
2015-07-23,144.61,146.23,138.11,141.99,2369796.0
2015-07-24,142.98,142.98,137.7,138.29,1699060.0
2015-07-27,138.92,139.69,133.3,133.92,2699642.0
2015-07-28,135.2,137.56,133.74,134.98,2493711.0
2015-07-29,136.26,138.92,135.06,137.74,3587591.0
2015-07-30,138.88,139.92,136.28,136.83,3797529.0
2015-07-31,138.88,141.85,137.3,141.14,3524334.0
2015-08-03,142.07,144.59,139.21,141.95,1917414.0
2015-08-04,143.17,153.1,142.68,151.94,11398821.0
2015-08-05,154.13,160.0,152.94,158.89,8792275.0
2015-08-06,160.37,160.86,147.98,150.6,18840777.0
2015-08-07,150.8,151.13,139.0,141.66,20127210.0
2015-08-10,142.07,143.63,138.15,139.08,6793785.0
2015-08-11,140.42,141.91,136.69,141.32,6647865.0
2015-08-12,140.65,141.58,136.53,137.68,5189784.0
2015-08-13,139.12,140.42,136.08,137.03,4641918.0
2015-08-14,138.41,140.34,137.11,139.43,6049199.0
2015-08-17,140.24,140.4,137.36,138.68,5218672.0
2015-08-18,139.33,140.91,138.27,138.64,2842175.0
2015-08-19,139.17,139.25,136.89,137.22,3010929.0
2015-08-20,137.3,138.29,132.14,133.11,4052227.0
2015-08-21,131.96,131.96,119.81,130.45,10465510.0
2015-08-24,123.89,128.36,118.2,120.07,12215893.0
2015-08-25,121.52,124.03,110.49,120.62,11046892.0
2015-08-26,120.76,125.48,115.28,117.84,7834101.0
2015-08-27,121.86,129.58,120.11,127.91,8614446.0
2015-08-28,129.6,131.0,126.59,128.42,4022784.0
2015-08-31,127.85,127.91,122.47,123.28,6760293.0
2015-09-01,122.59,122.59,115.61,117.84,9302348.0
2015-09-02,119.73,122.27,117.05,119.28,7243512.0
2015-09-03,120.5,124.4,120.5,122.86,5019327.0
2015-09-04,121.29,121.29,116.99,119.22,7094880.0
2015-09-07,119.63,121.05,111.71,112.46,7234224.0
2015-09-08,112.52,116.91,109.86,114.26,7373529.0
2015-09-09,116.86,116.99,114.14,115.83,5007044.0
2015-09-10,114.14,114.35,111.79,112.19,4859970.0
2015-09-11,112.88,114.85,112.32,113.27,4259781.0
2015-09-14,114.1,114.65,112.72,113.59,2969601.0
2015-09-15,113.66,115.69,111.71,114.61,3689806.0
2015-09-16,115.36,115.71,111.54,112.21,3909030.0
2015-09-18,113.23,118.29,112.97,115.38,5792712.0
2015-09-21,113.74,115.34,104.96,106.53,18919476.0
2015-09-22,105.41,105.41,97.06,98.28,45300134.0
2015-09-23,93.43,101.0,92.72,100.09,45073818.0
2015-09-24,101.23,104.88,101.14,101.94,29698726.0
2015-09-28,103.58,103.66,95.46,96.92,17864655.0
2015-09-29,93.41,98.3,92.76,94.83,13487431.0
2015-09-30,96.27,97.2,93.22,93.57,14352968.0
2015-10-01,94.97,95.6,91.29,91.8,9735822.0
2015-10-05,92.66,97.81,88.17,96.72,27594069.0
2015-10-06,97.73,99.11,94.04,94.81,16398099.0
2015-10-07,95.46,98.54,95.21,97.27,9066856.0
2015-10-08,96.19,99.52,95.64,96.8,10026391.0
2015-10-09,97.29,99.11,95.68,97.89,7327512.0
2015-10-12,99.15,104.6,98.83,103.16,19026477.0
2015-10-13,104.15,104.35,101.16,102.34,8517143.0
2015-10-14,102.36,102.36,98.85,99.48,5984820.0
2015-10-15,100.17,103.38,98.83,102.32,8121352.0
2015-10-16,100.98,103.03,100.33,102.32,10103220.0
2015-10-19,102.32,102.4,100.33,101.06,4270680.0
2015-10-20,101.47,106.34,101.1,104.15,18871301.0
2015-10-21,104.7,104.7,101.55,102.32,7158363.0
2015-10-23,103.07,103.95,96.58,98.12,13020909.0
2015-10-26,98.71,100.09,95.86,99.54,9681592.0
2015-10-27,99.46,99.84,98.12,99.07,3600540.0
2015-10-28,98.26,100.13,96.37,98.46,6492602.0
2015-10-29,98.4,102.57,97.94,102.04,12470379.0
2015-10-30,102.16,103.28,99.15,99.91,6301559.0
2015-11-02,100.25,101.57,98.34,99.54,4243554.0
2015-11-03,99.99,102.1,99.03,99.82,7202535.0
2015-11-04,101.14,101.14,97.59,98.73,7500757.0
2015-11-05,98.12,100.29,97.33,98.46,3804489.0
2015-11-06,99.52,110.3,98.0,108.13,27954713.0
2015-11-09,106.49,116.84,104.64,115.44,24499734.0
2015-11-10,114.94,114.94,106.93,107.79,13013340.0
2015-11-11,114.94,114.94,106.93,107.79,13013340.0
2015-11-13,108.48,111.95,106.79,111.02,11819871.0
2015-11-16,110.85,112.92,110.28,111.36,8727826.0
2015-11-17,111.87,115.08,111.75,113.29,15121962.0
2015-11-18,113.7,115.36,113.41,114.59,9486618.0
2015-11-19,115.69,117.17,114.67,116.32,12672652.0
2015-11-20,116.54,116.54,113.74,115.36,8492692.0
2015-11-23,116.58,117.8,115.08,115.93,11752618.0
2015-11-24,115.91,123.49,115.36,119.0,15056559.0
2015-11-26,119.42,121.45,116.74,120.38,9484614.0
2015-11-27,121.05,121.05,117.7,118.79,3838765.0
2015-11-30,119.38,120.03,116.8,117.51,5151771.0
2015-12-01,118.27,119.02,117.09,118.79,3735726.0
2015-12-02,117.8,119.14,114.75,115.18,10342658.0
2015-12-03,115.36,116.58,114.22,114.89,15608913.0
2015-12-04,114.35,115.56,110.28,113.84,20022025.0
2015-12-07,114.75,115.12,111.73,113.88,9636903.0
2015-12-08,113.74,115.69,111.93,112.66,3797482.0
2015-12-09,112.64,115.52,112.03,112.76,7322539.0
2015-12-10,113.74,115.36,112.76,113.98,5097296.0
2015-12-11,114.35,114.73,108.92,110.55,8129596.0
2015-12-14,109.67,114.67,104.84,111.99,8396133.0
2015-12-15,112.92,113.82,110.69,113.41,3081424.0
2015-12-16,113.9,115.77,113.03,113.68,4184154.0
2015-12-17,115.36,117.49,113.88,117.07,4071132.0
2015-12-18,117.05,118.96,115.71,116.4,6214527.0
2015-12-21,116.58,117.7,115.65,116.19,2550231.0
2015-12-22,116.66,118.2,116.19,116.56,1673840.0
2015-12-23,116.99,119.79,116.4,118.81,2743389.0
2015-12-24,119.83,120.42,118.53,118.85,2060451.0
2015-12-28,119.14,119.61,117.11,117.78,2272891.0
2015-12-29,118.81,122.02,118.23,120.52,3852128.0
2015-12-30,121.05,121.13,118.94,119.28,1952709.0
2015-12-31,119.42,119.91,117.51,119.08,5214773.0
