,open,high,low,close,volume
2015-05-15,287.08,298.48,280.47,296.06,67390.0
2015-05-18,298.96,299.43,292.83,296.44,11671.0
2015-05-19,299.39,299.39,285.84,291.07,11560.0
2015-05-20,290.88,296.58,290.88,295.3,18475.0
2015-05-21,296.11,300.38,295.16,295.73,10179.0
2015-05-22,288.17,302.71,288.17,291.83,12599.0
2015-05-25,294.44,294.44,279.28,284.18,36080.0
2015-05-26,288.98,288.98,271.63,275.15,14361.0
2015-05-27,271.06,291.78,271.06,276.0,19348.0
2015-05-28,280.42,280.42,274.29,278.43,5188.0
2015-05-29,277.57,313.6,277.57,306.47,207695.0
2015-06-01,307.94,307.94,290.4,291.26,15322.0
2015-06-02,287.12,297.01,281.37,282.66,6885.0
2015-06-03,287.03,289.83,271.91,277.57,16619.0
2015-06-04,282.32,284.22,276.43,279.47,6996.0
2015-06-05,277.62,282.32,275.67,277.38,4362.0
2015-06-08,278.57,280.42,275.1,278.38,14467.0
2015-06-09,278.0,279.0,273.77,273.91,5419.0
2015-06-10,279.42,280.09,274.77,278.28,12462.0
2015-06-11,279.47,281.85,271.87,273.15,2820.0
2015-06-12,279.66,280.47,268.06,270.73,35061.0
2015-06-15,279.04,279.52,268.35,275.76,4631.0
2015-06-16,277.67,279.99,271.91,275.0,10779.0
2015-06-17,279.42,282.32,273.1,279.9,8451.0
2015-06-18,281.85,281.85,274.81,279.04,2813.0
2015-06-19,280.42,284.22,277.62,279.9,4388.0
2015-06-22,282.99,289.88,277.86,281.75,5118.0
2015-06-23,288.07,288.07,279.04,283.27,7900.0
2015-06-24,285.51,288.03,281.04,286.55,67132.0
2015-06-25,287.12,294.21,282.32,292.49,88766.0
2015-06-26,294.68,299.34,289.93,291.73,12715.0
2015-06-29,280.42,288.03,277.47,281.51,10565.0
2015-06-30,284.89,289.69,277.67,285.32,15570.0
2015-07-01,285.13,294.63,285.13,293.21,11087.0
2015-07-02,288.12,300.38,288.12,298.72,26687.0
2015-07-03,299.91,305.9,298.72,303.9,39496.0
2015-07-06,300.38,308.94,295.87,305.04,14373.0
2015-07-07,303.0,307.51,300.38,302.29,5707.0
2015-07-08,300.38,305.09,294.63,296.34,16128.0
2015-07-09,294.63,299.77,294.3,296.15,5450.0
2015-07-10,294.63,303.71,293.73,302.71,9352.0
2015-07-13,299.43,305.14,294.78,300.81,17286.0
2015-07-14,309.89,320.3,308.99,314.6,37574.0
2015-07-15,316.5,317.49,304.19,312.79,24798.0
2015-07-16,315.64,316.02,305.75,314.17,6708.0
2015-07-17,317.11,321.77,313.69,320.68,15993.0
2015-07-20,329.85,331.75,324.15,327.19,26252.0
2015-07-21,326.05,329.95,313.79,318.54,12850.0
2015-07-22,313.69,327.0,307.56,325.1,13193.0
2015-07-23,327.71,332.51,318.54,327.33,14386.0
2015-07-24,327.9,331.71,323.53,324.53,8806.0
2015-07-27,326.1,326.67,316.69,323.06,14229.0
2015-07-28,326.91,327.57,318.06,321.34,6778.0
2015-07-29,321.34,331.71,317.59,329.71,6066.0
