,open,high,low,close,volume
2015-05-15,330.69,333.14,325.58,327.55,36790.0
2015-05-18,328.24,334.04,328.2,330.43,37863.0
2015-05-19,329.23,338.03,319.26,321.58,144722.0
2015-05-20,322.83,326.52,322.18,324.54,106723.0
2015-05-21,323.04,325.53,320.29,321.45,38117.0
2015-05-22,318.4,322.96,317.03,317.71,73195.0
2015-05-25,328.54,335.93,322.7,323.73,245583.0
2015-05-26,324.59,328.8,322.7,323.51,111357.0
2015-05-27,325.58,326.31,323.08,324.07,120982.0
2015-05-28,325.58,325.66,318.75,321.84,151286.0
2015-05-29,322.22,323.0,316.68,317.67,284260.0
2015-06-01,322.1,322.1,317.03,317.5,67361.0
2015-06-02,319.6,319.6,311.87,314.15,35444.0
2015-06-03,316.98,319.39,310.2,317.89,57266.0
2015-06-04,317.97,321.97,315.7,320.42,74204.0
2015-06-05,320.42,322.44,316.21,318.83,95722.0
2015-06-08,319.56,319.56,316.9,317.67,99028.0
2015-06-09,316.55,321.24,316.55,319.91,79703.0
2015-06-10,317.93,323.9,317.93,322.83,70253.0
2015-06-11,322.83,326.48,322.18,324.07,44725.0
2015-06-12,322.22,325.62,321.75,322.22,24418.0
2015-06-15,325.62,330.69,321.32,325.23,28896.0
2015-06-16,329.87,329.87,324.76,326.91,91600.0
2015-06-17,328.58,328.58,321.32,326.65,309883.0
2015-06-18,330.69,333.18,327.77,330.52,110539.0
2015-06-19,333.27,343.57,331.2,340.91,282515.0
2015-06-22,341.94,345.98,335.07,340.01,83774.0
2015-06-23,342.8,350.53,337.99,347.01,58179.0
2015-06-24,347.01,352.08,344.52,346.8,47917.0
2015-06-25,350.36,350.36,339.37,343.49,37881.0
2015-06-26,345.72,345.72,337.05,340.91,31951.0
2015-06-29,340.22,340.22,330.73,332.88,24059.0
2015-06-30,330.77,367.46,330.77,352.9,318880.0
2015-07-01,357.41,363.42,351.61,353.76,251417.0
2015-07-02,356.46,359.13,351.39,354.36,208271.0
2015-07-03,354.87,357.32,350.06,353.93,71391.0
2015-07-06,353.97,360.33,343.66,351.74,151246.0
2015-07-07,353.11,359.13,350.53,351.99,162442.0
2015-07-08,350.36,350.88,340.74,344.95,92060.0
2015-07-09,347.05,349.63,339.37,340.48,37774.0
2015-07-10,342.8,357.41,341.94,346.75,155094.0
2015-07-13,344.56,349.59,343.75,346.24,40270.0
2015-07-14,345.38,357.66,345.38,352.72,181305.0
2015-07-15,352.25,360.41,348.82,350.62,123987.0
2015-07-16,352.12,354.83,348.0,349.16,40261.0
2015-07-17,353.54,357.75,347.18,353.46,114885.0
2015-07-20,350.62,358.7,350.62,355.77,174607.0
2015-07-21,356.55,365.05,355.26,361.66,304626.0
2015-07-22,362.56,372.23,361.49,369.61,434063.0
2015-07-23,371.11,379.1,359.98,363.03,297636.0
2015-07-24,365.14,365.14,353.15,356.25,73712.0
2015-07-27,356.29,356.68,348.04,349.42,59652.0
2015-07-28,349.89,355.99,336.1,340.52,170734.0
2015-07-29,342.33,356.55,340.57,354.87,133892.0
2015-07-30,352.25,358.27,313.59,355.04,693682.0
2015-07-31,355.9,367.2,354.44,361.02,402332.0
2015-08-03,364.71,369.35,361.66,368.53,343273.0
2015-08-04,368.58,375.62,366.86,373.9,1196393.0
2015-08-05,377.43,380.78,366.0,368.36,522157.0
2015-08-06,368.79,371.02,365.14,366.39,173608.0
2015-08-07,366.69,368.62,364.8,366.51,247655.0
2015-08-10,369.99,372.27,362.56,364.37,236749.0
2015-08-11,369.18,369.18,360.84,363.85,128569.0
2015-08-12,364.5,371.15,360.84,362.95,259754.0
2015-08-13,369.35,369.35,361.06,362.82,82324.0
2015-08-14,366.86,369.01,363.25,364.92,141490.0
2015-08-17,369.26,372.1,363.42,364.71,94997.0
2015-08-18,371.84,371.84,364.41,365.31,86410.0
2015-08-19,368.53,368.53,362.56,363.38,143305.0
2015-08-20,365.14,369.44,363.12,365.57,125091.0
2015-08-21,363.42,367.72,360.84,364.75,103953.0
2015-08-24,364.97,364.97,313.59,353.15,230623.0
2015-08-25,357.58,384.4,349.53,371.97,141779.0
2015-08-26,358.56,369.2,357.58,365.36,80479.0
2015-08-27,364.73,370.99,362.9,370.68,113117.0
2015-08-28,370.99,379.48,365.36,376.89,135879.0
2015-08-31,376.4,381.63,371.17,378.1,114153.0
2015-09-01,375.46,380.73,371.03,375.46,126265.0
2015-09-02,379.84,379.93,366.52,376.93,119330.0
2015-09-03,379.84,381.18,373.89,379.48,131863.0
2015-09-04,379.48,379.84,361.24,364.69,192302.0
2015-09-07,364.69,367.86,354.32,355.39,30877.0
2015-09-08,357.58,366.43,354.23,361.16,32483.0
2015-09-09,362.05,371.88,361.65,363.35,91986.0
2015-09-10,363.39,371.88,354.85,362.59,122986.0
2015-09-11,368.04,368.04,360.31,363.88,43009.0
2015-09-14,367.86,368.31,359.55,362.5,24454.0
2015-09-15,361.16,363.43,359.37,361.07,13657.0
2015-09-16,367.37,367.41,354.41,355.52,73692.0
2015-09-18,362.94,366.07,355.93,363.7,266486.0
2015-09-21,356.73,365.31,356.73,358.65,125124.0
2015-09-22,360.26,374.83,360.26,363.75,234128.0
2015-09-23,358.65,370.05,358.65,363.7,178075.0
2015-09-24,362.05,366.52,359.81,363.17,756467.0
2015-09-28,363.84,370.36,362.94,364.02,1048903.0
2015-09-29,355.97,369.92,355.12,362.32,255349.0
2015-09-30,363.84,370.81,357.4,366.74,80668.0
2015-10-01,370.05,371.97,363.79,366.21,94317.0
2015-10-05,362.36,375.37,362.09,372.02,219717.0
2015-10-06,370.09,373.89,366.56,370.23,40514.0
2015-10-07,366.65,373.36,359.46,365.45,100965.0
2015-10-08,366.47,377.11,363.03,367.28,272322.0
2015-10-09,370.99,374.7,366.56,371.3,28523.0
2015-10-12,371.88,375.91,364.73,366.43,23857.0
2015-10-13,366.43,369.51,361.16,364.73,68614.0
