,open,high,low,close,volume
2015-05-15,58.2,62.17,58.2,61.83,1303002.0
2015-05-18,62.17,62.17,59.84,60.36,154356.0
2015-05-19,60.49,61.22,59.71,59.93,135921.0
2015-05-20,59.97,61.22,59.62,60.1,98086.0
2015-05-21,60.44,60.66,58.63,59.15,129619.0
2015-05-22,59.54,60.32,58.72,58.89,232896.0
2015-05-25,61.74,62.17,58.03,59.54,4936962.0
2015-05-26,59.93,61.14,57.12,57.9,564353.0
2015-05-27,57.64,58.72,56.65,57.85,343354.0
2015-05-28,58.67,59.15,57.51,58.76,330473.0
2015-05-29,58.98,61.57,58.98,60.88,1048943.0
2015-06-01,60.88,63.21,60.66,61.31,577014.0
2015-06-02,60.53,61.39,56.99,57.9,1006060.0
2015-06-03,57.85,58.24,56.65,57.34,355324.0
2015-06-04,59.54,59.54,56.52,57.34,359150.0
2015-06-05,57.81,57.81,56.65,56.86,333239.0
2015-06-08,55.91,56.95,55.61,56.6,719027.0
2015-06-09,56.56,56.95,56.13,56.69,208768.0
2015-06-10,56.34,60.01,56.34,57.6,672514.0
2015-06-11,57.94,59.84,56.95,57.08,558772.0
2015-06-12,56.99,64.76,56.99,61.74,4010982.0
2015-06-15,61.09,62.17,59.28,60.4,1278112.0
2015-06-16,60.44,63.9,60.44,62.3,1801787.0
2015-06-17,62.69,66.4,62.6,64.24,3918232.0
2015-06-18,64.59,67.22,64.33,65.71,3179437.0
2015-06-19,65.88,66.66,63.94,64.37,1006990.0
2015-06-22,64.68,66.14,64.03,64.33,926600.0
2015-06-23,64.68,65.41,62.99,63.99,1922647.0
2015-06-24,63.86,64.76,62.17,62.52,1143332.0
2015-06-25,62.21,62.56,61.05,61.35,602409.0
2015-06-26,61.31,61.96,60.44,60.53,573779.0
2015-06-29,59.54,63.04,57.85,62.43,1245701.0
2015-06-30,62.6,66.83,62.0,64.81,5323774.0
2015-07-01,65.11,66.23,63.9,64.5,1096379.0
2015-07-02,64.93,66.75,64.24,64.76,1519884.0
2015-07-03,64.98,66.01,63.42,63.81,1166967.0
2015-07-06,63.21,65.45,62.73,64.76,1255444.0
2015-07-07,65.06,66.75,64.5,65.88,2360044.0
2015-07-08,65.88,68.99,64.46,65.11,5554342.0
2015-07-09,66.49,66.88,62.39,62.91,2170057.0
2015-07-10,63.9,65.28,63.25,63.68,1406213.0
2015-07-13,64.07,65.11,63.73,64.29,1372981.0
2015-07-14,64.72,69.86,63.21,68.22,11801587.0
2015-07-15,67.14,67.4,64.81,65.24,5041170.0
2015-07-16,65.28,69.73,64.59,68.0,7170135.0
2015-07-17,68.22,68.56,66.27,66.92,1990362.0
2015-07-20,67.05,68.99,66.14,67.53,2400122.0
2015-07-21,67.44,67.74,63.99,64.42,1247729.0
2015-07-22,64.85,66.66,64.72,65.45,1468543.0
2015-07-23,65.93,67.01,64.42,64.81,1335555.0
2015-07-24,65.11,65.97,63.64,63.9,1039916.0
2015-07-27,63.6,64.33,61.48,62.09,913346.0
2015-07-28,62.17,62.99,60.53,60.88,974493.0
2015-07-29,61.22,62.95,60.57,61.14,1960263.0
2015-07-30,61.61,63.99,61.44,62.43,1737431.0
2015-07-31,62.82,64.29,62.43,62.78,928238.0
2015-08-03,63.08,63.42,61.57,61.83,957783.0
2015-08-04,62.17,62.95,61.48,61.91,781101.0
2015-08-05,62.3,63.81,61.74,62.0,1675775.0
2015-08-06,62.3,65.63,62.17,64.63,3394254.0
2015-08-07,64.76,71.84,64.76,70.89,12254582.0
2015-08-10,69.08,69.08,62.69,63.29,10981697.0
2015-08-11,63.77,65.02,62.13,63.38,3288505.0
2015-08-12,63.04,64.24,59.58,59.8,1974573.0
2015-08-13,60.32,60.96,57.47,57.85,1497337.0
2015-08-14,58.2,60.1,57.25,59.11,1206704.0
2015-08-17,59.06,59.37,57.29,57.6,962292.0
2015-08-18,58.03,60.75,57.9,59.75,1701028.0
2015-08-19,59.75,60.44,58.2,58.46,1002491.0
2015-08-20,58.2,59.37,56.47,56.99,1295829.0
2015-08-21,55.87,57.16,54.66,56.6,1078323.0
2015-08-24,53.62,54.23,45.77,47.41,1941930.0
2015-08-25,48.53,49.13,40.97,44.43,2960397.0
2015-08-26,44.43,47.84,43.09,44.56,1850585.0
2015-08-27,45.85,46.54,45.55,46.07,1227812.0
2015-08-28,47.41,49.22,47.06,48.14,1865950.0
2015-08-31,48.36,48.83,47.58,47.84,575395.0
2015-09-01,47.41,47.41,44.3,44.56,1284359.0
2015-09-02,45.03,46.46,44.69,45.81,868022.0
2015-09-03,46.46,47.49,46.2,46.41,519838.0
2015-09-04,46.5,46.5,44.25,45.03,514070.0
2015-09-07,45.59,46.2,43.52,43.91,505014.0
2015-09-08,44.3,44.47,42.1,43.05,1043642.0
2015-09-09,44.56,45.94,44.04,45.12,1427058.0
2015-09-10,44.77,46.89,44.08,45.72,1868689.0
2015-09-11,46.24,46.41,44.25,44.47,912727.0
2015-09-14,44.9,45.59,44.3,44.56,989028.0
2015-09-15,44.6,45.42,44.47,44.6,481412.0
2015-09-16,44.94,45.2,44.3,44.47,353597.0
2015-09-18,44.9,45.42,43.17,43.78,1197236.0
2015-09-21,43.3,44.86,42.96,44.6,798087.0
2015-09-22,44.47,46.89,44.47,44.94,1528560.0
2015-09-23,44.77,45.64,44.47,45.25,584952.0
2015-09-24,45.46,45.72,44.6,44.82,505337.0
2015-09-28,45.16,45.33,44.47,44.73,368506.0
2015-09-29,44.12,46.2,44.04,45.46,644440.0
2015-09-30,46.76,47.58,46.02,46.41,2153495.0
2015-10-01,46.72,47.45,45.42,45.85,796867.0
2015-10-05,46.11,46.97,46.02,46.46,420392.0
2015-10-06,46.59,47.32,46.46,46.93,639234.0
2015-10-07,47.41,48.7,46.97,47.49,1105934.0
2015-10-08,47.71,48.01,47.15,47.28,476249.0
2015-10-09,47.71,48.14,46.93,47.23,549493.0
2015-10-12,47.28,48.1,46.5,46.76,481000.0
2015-10-13,46.93,48.74,46.8,48.27,1026106.0
2015-10-14,48.44,49.22,48.27,48.53,667858.0
2015-10-15,48.79,48.96,47.88,48.14,375865.0
2015-10-16,48.36,48.87,47.75,48.27,425440.0
2015-10-19,49.13,50.51,49.05,49.65,1183218.0
2015-10-20,49.82,50.73,49.56,49.82,704763.0
2015-10-21,50.04,50.3,48.92,49.05,511370.0
2015-10-23,49.82,50.08,48.83,48.92,335796.0
2015-10-26,49.22,49.39,47.66,48.49,453614.0
2015-10-27,48.53,48.74,47.75,48.14,262735.0
2015-10-28,48.18,49.0,47.84,48.49,341978.0
2015-10-29,48.74,49.56,48.61,48.92,533702.0
2015-10-30,45.03,48.05,43.78,47.28,3474764.0
2015-11-02,46.72,47.23,45.81,46.67,512607.0
2015-11-03,46.8,47.28,45.03,45.46,474183.0
2015-11-04,46.15,46.97,45.77,45.89,963305.0
2015-11-05,45.85,46.54,45.46,46.2,740748.0
2015-11-06,46.37,46.59,45.07,45.25,429783.0
2015-11-09,45.25,46.84,44.08,46.59,862613.0
2015-11-10,46.46,47.06,45.77,46.63,1085957.0
2015-11-11,46.46,47.06,45.77,46.63,1085957.0
2015-11-13,45.94,46.24,44.99,45.46,354478.0
2015-11-16,45.42,46.63,45.12,46.24,531032.0
2015-11-17,46.54,47.06,45.85,46.8,395025.0
2015-11-18,46.97,47.49,46.2,46.28,470807.0
2015-11-19,46.54,49.56,46.46,49.18,1113266.0
2015-11-20,49.39,50.69,48.01,48.83,1520720.0
2015-11-23,48.4,49.22,48.1,48.31,253347.0
2015-11-24,48.36,52.03,48.27,51.64,1984798.0
2015-11-26,51.55,55.95,51.55,55.39,3524093.0
