,open,high,low,close,volume
2015-05-15,167.45,169.25,165.74,167.67,160351.0
2015-05-18,168.59,168.59,165.17,167.63,146653.0
2015-05-19,166.84,168.59,165.17,167.94,309139.0
2015-05-20,169.25,170.35,166.88,169.34,1367674.0
2015-05-21,170.26,171.23,167.94,168.51,158809.0
2015-05-22,169.21,169.21,166.75,167.76,351871.0
2015-05-25,168.95,168.95,164.82,165.78,37204.0
2015-05-26,168.16,168.16,162.58,163.11,37512.0
2015-05-27,165.08,166.84,162.01,165.26,42624.0
2015-05-28,165.13,167.06,161.04,164.91,73588.0
2015-05-29,164.69,179.13,161.66,171.27,888118.0
2015-06-01,171.23,173.07,166.0,166.57,94171.0
2015-06-02,166.05,166.14,160.69,163.15,197622.0
2015-06-03,165.7,166.79,159.33,165.08,176984.0
2015-06-04,163.33,166.88,162.75,166.49,376920.0
2015-06-05,165.08,167.28,163.81,165.3,178641.0
2015-06-08,163.68,167.28,162.45,164.55,48973.0
2015-06-09,166.71,166.79,160.38,162.84,244834.0
2015-06-10,166.22,167.72,163.11,165.96,46388.0
2015-06-11,164.73,167.45,162.01,162.62,36256.0
2015-06-12,162.45,164.42,160.56,163.33,77128.0
2015-06-15,165.92,165.92,163.33,164.16,28985.0
2015-06-16,163.37,166.27,162.45,164.2,31161.0
2015-06-17,165.92,168.59,160.91,163.11,460714.0
2015-06-18,163.59,165.87,163.33,164.2,610794.0
2015-06-19,164.73,165.96,163.37,164.16,217853.0
2015-06-22,166.84,166.84,163.37,165.04,479382.0
2015-06-23,166.57,166.84,164.34,165.96,936646.0
2015-06-24,166.79,167.5,161.35,162.62,962178.0
2015-06-25,163.68,163.98,160.82,161.17,535261.0
2015-06-26,161.17,163.06,160.38,161.04,32703.0
2015-06-29,152.35,166.62,152.35,165.96,276904.0
2015-06-30,165.08,180.8,164.29,177.42,398427.0
2015-07-01,178.82,178.82,172.15,175.14,132736.0
2015-07-02,179.04,180.89,174.13,178.69,312330.0
2015-07-03,178.6,183.52,174.3,182.91,233337.0
2015-07-06,183.48,193.71,180.05,191.12,272291.0
2015-07-07,191.42,192.92,182.64,183.13,91672.0
2015-07-08,180.01,183.83,177.73,179.26,43169.0
2015-07-09,180.62,181.77,171.32,174.65,43399.0
2015-07-10,179.75,180.45,176.15,178.56,23614.0
2015-07-13,178.91,180.89,176.15,179.18,30008.0
2015-07-14,179.04,179.04,174.96,176.23,66942.0
2015-07-15,177.38,207.93,177.11,186.73,963217.0
2015-07-16,187.52,187.87,179.61,183.87,340759.0
2015-07-17,186.51,188.79,181.9,187.65,176033.0
2015-07-20,185.72,185.89,182.2,182.95,72775.0
2015-07-21,181.77,184.66,177.42,178.17,67498.0
2015-07-22,179.75,182.6,175.62,177.24,115800.0
2015-07-23,182.56,186.51,171.67,175.0,447227.0
2015-07-24,177.38,180.01,171.23,174.61,198449.0
2015-07-27,174.7,175.62,167.01,170.35,97421.0
2015-07-28,171.23,175.53,166.88,167.76,93356.0
2015-07-29,169.47,170.35,167.67,169.21,407149.0
2015-07-30,170.97,171.89,168.81,170.04,39680.0
2015-07-31,170.26,175.4,169.03,174.08,91779.0
2015-08-03,173.86,173.86,169.91,170.96,70802.0
2015-08-04,170.96,171.4,168.2,168.86,83782.0
2015-08-05,169.03,176.5,167.1,170.04,319769.0
2015-08-06,171.67,171.67,167.15,167.45,101107.0
2015-08-07,167.45,167.89,163.02,164.6,88539.0
2015-08-10,165.04,167.54,158.94,161.0,88681.0
2015-08-11,161.57,163.68,156.3,157.49,76649.0
2015-08-12,158.06,160.25,153.67,155.73,101690.0
2015-08-13,157.44,158.63,149.28,151.52,137369.0
2015-08-14,153.23,156.04,149.28,154.81,324367.0
2015-08-17,155.86,158.06,152.79,156.78,49557.0
2015-08-18,159.64,159.64,156.65,158.94,38944.0
2015-08-19,161.13,161.13,157.0,158.76,42008.0
2015-08-20,158.06,159.9,156.3,157.71,54332.0
2015-08-21,156.3,157.75,151.03,153.75,203364.0
2015-08-24,151.3,153.58,136.1,142.34,153392.0
2015-08-25,145.11,149.28,142.56,145.06,104507.0
2015-08-26,145.06,152.79,138.78,145.68,70519.0
2015-08-27,148.79,151.91,144.89,148.92,44214.0
2015-08-28,151.87,152.66,132.59,142.34,381016.0
2015-08-31,145.5,157.97,142.25,151.47,204754.0
2015-09-01,148.4,153.67,146.69,152.17,69703.0
2015-09-02,152.17,154.11,145.06,148.18,40133.0
2015-09-03,148.44,150.42,146.25,147.74,25758.0
2015-09-04,148.4,148.57,140.67,144.62,39798.0
2015-09-07,147.43,147.43,141.37,145.02,61724.0
2015-09-08,144.58,147.26,141.59,144.97,152079.0
2015-09-09,153.67,153.67,138.87,145.63,617294.0
2015-09-10,142.51,144.4,140.06,142.51,258889.0
2015-09-11,142.08,146.03,141.55,142.73,515910.0
2015-09-14,141.81,144.8,141.37,141.94,79951.0
2015-09-15,141.86,143.92,139.09,139.7,159116.0
2015-09-16,141.77,141.77,138.78,139.49,39127.0
2015-09-18,140.14,140.5,133.95,135.62,842330.0
2015-09-21,135.14,140.5,133.65,139.66,582051.0
2015-09-22,141.31,143.17,136.28,138.42,97070.0
