,open,high,low,close,volume
2015-05-15,410.91,447.0,407.58,441.77,1463455.0
2015-05-18,444.65,482.68,442.77,467.27,1218750.0
2015-05-19,469.03,478.09,456.14,461.2,509875.0
2015-05-20,463.58,467.29,450.41,453.16,539360.0
2015-05-21,454.99,455.91,431.94,438.01,450050.0
2015-05-22,440.24,455.19,432.28,435.47,837855.0
2015-05-25,454.3,455.76,443.02,445.78,998310.0
2015-05-26,445.09,450.24,433.26,436.18,407285.0
2015-05-27,430.39,434.34,420.83,430.96,318220.0
2015-05-28,435.91,438.58,420.47,422.23,244920.0
2015-05-29,426.27,428.85,410.35,422.42,290575.0
2015-06-01,425.6,434.0,420.86,423.73,291185.0
2015-06-02,424.65,428.32,408.43,410.36,257120.0
2015-06-03,417.78,424.54,385.91,395.88,607125.0
2015-06-04,397.93,413.58,390.3,403.01,560595.0
2015-06-05,402.7,410.22,397.47,402.24,203315.0
2015-06-08,407.28,408.43,396.02,398.22,197175.0
2015-06-09,396.78,405.18,394.13,400.13,198055.0
2015-06-10,402.13,410.72,396.4,401.15,352200.0
2015-06-11,404.5,407.46,388.59,391.27,337430.0
2015-06-12,391.27,392.32,372.16,385.71,246210.0
2015-06-15,385.52,390.96,382.66,385.44,117380.0
2015-06-16,385.52,387.43,379.1,382.33,147765.0
2015-06-17,386.67,396.98,382.46,384.96,359160.0
2015-06-18,387.81,400.6,387.81,396.36,399435.0
2015-06-19,399.99,427.51,399.85,417.98,1347935.0
2015-06-22,423.11,429.97,420.26,421.89,430645.0
2015-06-23,421.79,424.5,410.53,413.4,242820.0
2015-06-24,415.87,426.51,411.68,415.44,704295.0
2015-06-25,420.25,425.29,418.16,421.61,409805.0
2015-06-26,421.52,429.41,416.14,421.0,339655.0
2015-06-29,417.59,430.76,406.52,426.62,821255.0
2015-06-30,430.17,437.81,425.99,435.8,634835.0
2015-07-01,439.06,451.03,438.01,449.16,621530.0
2015-07-02,452.99,453.26,443.73,446.17,253540.0
2015-07-03,447.17,447.65,438.96,440.01,197820.0
2015-07-06,435.3,446.18,430.37,439.94,272715.0
2015-07-07,440.89,447.93,434.19,436.51,248965.0
2015-07-08,436.29,437.96,424.82,427.73,283180.0
2015-07-09,428.47,432.86,425.99,427.24,166980.0
2015-07-10,431.14,436.09,424.59,426.75,167780.0
2015-07-13,432.09,435.15,428.4,430.71,258685.0
2015-07-14,433.24,435.91,428.08,433.8,212570.0
2015-07-15,434.17,443.73,432.46,437.94,368625.0
2015-07-16,440.43,456.98,438.2,454.99,617430.0
2015-07-17,457.86,468.35,457.38,464.55,628440.0
2015-07-20,465.68,470.45,454.61,465.52,401405.0
2015-07-21,466.64,468.74,443.93,445.97,321110.0
2015-07-22,446.56,450.41,438.92,446.11,299815.0
2015-07-23,445.07,449.46,439.96,440.77,149680.0
2015-07-24,441.6,444.7,435.15,439.02,104635.0
2015-07-27,438.95,445.83,429.44,433.32,350095.0
2015-07-28,437.05,443.73,434.19,435.85,138810.0
2015-07-29,439.98,440.66,432.53,436.17,99785.0
2015-07-30,441.39,444.88,439.17,441.67,163060.0
2015-07-31,441.64,445.64,439.15,441.43,168115.0
2015-08-03,442.74,449.8,439.15,441.78,157050.0
2015-08-04,442.76,448.26,439.93,442.87,170555.0
2015-08-05,446.37,446.37,442.21,443.11,130470.0
2015-08-06,445.22,480.24,442.97,461.28,1035180.0
2015-08-07,459.96,466.07,445.63,457.06,531275.0
2015-08-10,456.94,478.99,456.9,475.05,1145195.0
2015-08-11,479.04,479.81,467.59,471.63,374230.0
2015-08-12,470.42,480.91,458.05,460.95,671310.0
2015-08-13,447.93,454.23,432.09,435.13,595135.0
2015-08-14,441.64,450.41,438.96,442.48,312295.0
2015-08-17,444.67,444.67,424.08,427.66,955745.0
2015-08-18,430.95,448.12,426.18,427.94,453410.0
2015-08-19,431.71,464.73,430.43,460.1,1360890.0
2015-08-20,457.42,462.63,443.94,445.62,485230.0
2015-08-21,442.36,444.7,428.49,442.87,309755.0
2015-08-24,430.37,433.99,354.99,386.82,501020.0
2015-08-25,397.55,412.34,374.54,409.17,545440.0
2015-08-26,413.14,413.14,393.52,409.71,258795.0
2015-08-27,413.79,440.78,413.79,436.49,272795.0
2015-08-28,444.69,446.6,428.65,433.92,523415.0
2015-08-31,429.42,438.01,424.65,429.67,158425.0
2015-09-01,429.42,441.88,424.3,429.62,260460.0
2015-09-02,430.57,435.81,427.7,429.62,134185.0
2015-09-03,432.28,441.73,429.42,431.41,110835.0
2015-09-04,431.9,432.27,422.93,430.31,199290.0
2015-09-07,438.96,438.96,410.34,414.56,418630.0
2015-09-08,413.2,419.5,394.43,416.13,227525.0
2015-09-09,423.89,427.17,416.51,420.5,153990.0
2015-09-10,406.9,423.02,404.61,416.79,158330.0
2015-09-11,419.87,429.03,418.76,422.44,242480.0
2015-09-14,424.08,429.37,420.07,424.78,102530.0
2015-09-15,429.23,429.23,421.84,424.08,90840.0
2015-09-16,429.84,434.16,425.79,430.91,250995.0
2015-09-18,433.24,438.73,429.66,430.78,108285.0
2015-09-21,422.76,435.91,422.76,430.49,101215.0
2015-09-22,433.24,445.26,425.14,428.16,274465.0
2015-09-23,429.04,434.18,422.07,431.15,111085.0
2015-09-24,435.15,443.16,433.71,436.51,184615.0
2015-09-28,438.94,467.54,437.25,458.85,797480.0
2015-09-29,454.23,457.8,444.92,455.62,291135.0
2015-09-30,458.07,481.33,458.05,471.69,640050.0
2015-10-01,477.13,478.01,456.85,465.91,320150.0
2015-10-05,471.41,478.05,469.5,475.69,211350.0
2015-10-06,476.18,482.48,471.6,476.55,248495.0
2015-10-07,477.13,477.13,471.61,473.3,108930.0
2015-10-08,476.94,476.94,430.7,466.42,248330.0
2015-10-09,468.35,476.94,466.13,473.58,144370.0
2015-10-12,476.75,478.22,470.45,476.94,177245.0
2015-10-13,480.95,480.95,467.61,478.99,480125.0
2015-10-14,479.04,514.3,479.04,494.01,1042945.0
2015-10-15,497.76,498.53,490.88,494.03,234410.0
2015-10-16,496.22,496.42,491.8,494.31,146670.0
2015-10-19,500.8,503.85,489.54,496.85,184135.0
2015-10-20,498.13,505.76,495.21,498.21,168555.0
2015-10-21,503.09,503.09,495.27,498.62,110460.0
2015-10-23,500.99,500.99,482.1,490.05,265025.0
2015-10-26,500.04,500.04,488.42,489.91,80025.0
2015-10-27,490.68,494.27,487.97,489.8,88290.0
2015-10-28,489.92,496.98,488.01,489.89,327510.0
2015-10-29,495.25,495.26,488.62,489.91,119860.0
2015-10-30,489.91,493.54,481.91,488.68,191020.0
2015-11-02,488.68,488.68,479.1,484.6,454395.0
2015-11-03,483.05,489.41,481.92,482.69,85440.0
2015-11-04,483.79,490.26,480.2,484.44,207990.0
2015-11-05,484.4,490.38,479.04,481.85,98915.0
2015-11-06,482.86,486.43,465.68,472.57,226270.0
2015-11-09,468.35,474.07,458.24,469.89,86750.0
2015-11-10,469.5,473.32,464.17,469.39,98070.0
2015-11-11,469.5,473.32,464.17,469.39,98070.0
2015-11-13,477.13,486.24,386.83,469.18,284480.0
2015-11-16,467.59,472.36,454.43,468.7,119625.0
2015-11-17,469.88,482.38,469.68,471.23,95060.0
2015-11-18,473.32,480.69,469.7,476.38,67340.0
2015-11-19,478.85,490.49,476.18,487.75,113615.0
2015-11-20,488.01,496.22,488.01,492.7,88625.0
2015-11-23,496.41,501.53,493.37,494.45,145875.0
2015-11-24,497.94,497.94,489.93,492.14,123355.0
2015-11-26,482.05,569.55,482.05,518.98,1087976.0
2015-11-27,527.71,528.95,515.54,521.89,166619.0
2015-11-30,515.3,533.44,500.99,502.8,164262.0
2015-12-01,507.58,512.25,492.59,502.23,204313.0
2015-12-02,501.94,508.96,484.77,491.83,240001.0
2015-12-03,492.4,502.9,487.34,491.54,169539.0
2015-12-04,490.49,491.45,474.27,476.94,179605.0
2015-12-07,479.57,486.68,472.89,475.99,213334.0
2015-12-08,480.66,494.22,467.59,484.29,342181.0
2015-12-09,486.49,497.51,484.77,488.01,361192.0
2015-12-10,491.45,514.35,486.68,503.61,476747.0
2015-12-11,505.76,518.36,500.8,508.24,432875.0
2015-12-14,513.4,527.57,510.53,521.75,863035.0
2015-12-15,523.75,528.0,517.21,522.18,503558.0
2015-12-16,526.28,528.19,483.48,516.64,305654.0
2015-12-17,520.08,546.32,516.64,531.91,713756.0
2015-12-18,532.48,543.74,515.93,521.03,707510.0
2015-12-21,526.18,542.02,522.94,535.15,273302.0
2015-12-22,538.16,541.74,537.25,538.92,238295.0
2015-12-23,546.8,552.52,541.36,549.56,454935.0
2015-12-24,551.47,553.48,535.34,545.17,214403.0
2015-12-28,546.75,546.8,537.25,540.31,116134.0
2015-12-29,546.8,546.8,536.3,540.12,172202.0
2015-12-30,542.98,542.98,535.44,538.02,116617.0
2015-12-31,538.21,559.58,524.94,552.81,301942.0
2016-01-01,554.43,560.63,546.37,550.04,114217.0
2016-01-04,547.75,553.05,535.34,537.54,92589.0
2016-01-05,542.98,595.18,539.45,568.89,866451.0
2016-01-06,573.42,591.36,568.93,586.64,558034.0
