,open,high,low,close,volume
2015-05-15,35.65,35.94,35.47,35.8,1070405.0
2015-05-18,36.05,36.26,35.72,35.9,645571.0
2015-05-19,36.16,36.16,35.51,35.58,717526.0
2015-05-20,35.76,35.76,35.51,35.58,861909.0
2015-05-21,35.62,35.76,34.39,34.86,1207970.0
2015-05-22,34.9,35.26,34.82,35.11,1166225.0
2015-05-25,35.15,35.54,34.75,34.93,1130148.0
2015-05-26,35.04,35.11,34.61,34.68,272622.0
2015-05-27,35.08,35.15,34.54,34.9,269398.0
2015-05-28,34.86,34.93,34.21,34.61,179443.0
2015-05-29,34.72,35.0,34.68,34.86,305907.0
2015-06-01,35.58,35.58,34.54,34.75,723325.0
2015-06-02,34.93,35.8,34.54,34.64,915763.0
2015-06-03,34.75,34.97,31.73,32.88,850359.0
2015-06-04,33.03,33.03,31.08,31.37,829701.0
2015-06-05,31.44,31.62,31.08,31.26,475770.0
2015-06-08,31.3,31.44,29.72,29.93,648390.0
2015-06-09,29.9,29.97,28.96,29.1,678573.0
2015-06-10,29.14,29.72,28.89,28.96,894981.0
2015-06-11,29.64,31.95,29.43,29.97,3055107.0
2015-06-12,29.5,30.58,29.32,29.43,1148585.0
2015-06-15,29.61,29.93,29.21,29.64,481735.0
2015-06-16,29.86,30.08,29.5,29.75,654582.0
2015-06-17,29.93,30.94,29.57,30.44,1280593.0
2015-06-18,30.51,30.8,30.0,30.18,449159.0
2015-06-19,30.29,31.12,30.26,30.9,879061.0
2015-06-22,30.9,31.19,30.69,30.87,1500161.0
2015-06-23,30.72,31.19,30.15,30.51,1657431.0
2015-06-24,30.72,32.05,29.57,30.08,3348307.0
2015-06-25,30.08,30.08,29.39,29.57,1186325.0
2015-06-26,29.61,29.61,29.21,29.36,566897.0
2015-06-29,29.28,29.28,28.56,28.67,774451.0
2015-06-30,28.92,29.07,28.6,28.78,928696.0
2015-07-01,28.85,29.86,28.67,28.78,2790795.0
2015-07-02,28.96,29.28,28.49,28.56,1176543.0
2015-07-03,28.67,29.21,28.46,28.6,846526.0
2015-07-06,28.28,29.0,27.99,28.78,1155039.0
2015-07-07,28.78,28.92,28.35,28.46,887995.0
2015-07-08,28.06,28.42,27.63,27.95,1481172.0
2015-07-09,27.99,29.1,27.7,28.78,1554719.0
2015-07-10,28.89,29.07,28.06,28.13,612723.0
2015-07-13,28.24,28.28,27.74,27.81,874275.0
2015-07-14,27.81,27.99,27.56,27.59,679529.0
2015-07-15,27.81,28.35,27.7,28.2,617488.0
2015-07-16,28.35,28.42,27.85,28.03,457192.0
2015-07-17,27.99,28.6,27.77,28.13,568387.0
2015-07-20,28.06,28.28,27.81,27.88,371113.0
2015-07-21,27.95,28.24,27.41,27.52,747024.0
2015-07-22,27.38,27.92,27.02,27.38,2768955.0
2015-07-23,27.34,27.63,27.05,27.13,838162.0
2015-07-24,27.2,27.38,26.69,26.77,854686.0
2015-07-27,26.8,26.84,26.15,26.23,456327.0
2015-07-28,26.41,26.44,25.58,25.65,751242.0
2015-07-29,25.72,26.19,25.69,25.97,413750.0
2015-07-30,26.08,26.12,25.4,25.54,617327.0
2015-07-31,25.65,25.94,25.36,25.51,844089.0
