,open,high,low,close,volume
2015-05-15,701.76,708.78,689.14,702.69,155943.0
2015-05-18,701.76,706.54,693.09,696.79,112769.0
2015-05-19,698.35,738.8,698.35,725.54,227768.0
2015-05-20,729.05,753.42,725.55,744.11,142109.0
2015-05-21,749.52,820.82,741.29,797.38,455425.0
2015-05-22,796.31,874.28,779.74,814.39,430254.0
2015-05-25,817.41,820.67,761.61,773.06,103784.0
2015-05-26,779.69,805.08,760.24,769.8,211734.0
2015-05-27,768.77,772.87,749.13,763.41,138045.0
2015-05-28,760.73,793.33,751.57,758.88,237913.0
2015-05-29,762.68,818.72,756.34,796.01,540466.0
2015-06-01,795.28,807.9,781.98,789.43,57824.0
2015-06-02,784.76,794.36,761.32,765.21,33691.0
2015-06-03,766.09,774.81,755.47,766.09,32260.0
2015-06-04,766.09,787.34,761.02,771.99,177179.0
2015-06-05,760.24,791.87,756.54,768.77,81297.0
2015-06-08,766.09,778.76,755.37,763.46,89130.0
2015-06-09,772.52,772.52,755.37,764.82,26557.0
2015-06-10,757.86,786.56,757.86,781.15,57492.0
2015-06-11,783.64,802.79,775.89,793.72,98803.0
2015-06-12,798.16,812.58,782.76,800.2,82147.0
2015-06-15,808.88,808.88,792.65,794.55,25368.0
2015-06-16,794.36,802.64,786.66,789.53,28254.0
2015-06-17,797.67,797.67,787.53,796.01,25264.0
2015-06-18,803.03,843.09,796.01,826.18,83378.0
2015-06-19,826.18,833.15,809.27,819.21,27388.0
2015-06-22,815.9,846.99,801.52,842.12,65408.0
2015-06-23,841.24,847.96,815.8,824.43,45891.0
2015-06-24,846.89,875.25,836.32,846.26,92029.0
2015-06-25,849.91,874.28,842.7,862.58,87476.0
2015-06-26,853.08,875.25,848.3,855.18,79049.0
2015-06-29,844.84,845.04,819.84,825.55,49715.0
2015-06-30,821.79,847.96,821.79,832.42,54743.0
2015-07-01,832.37,856.74,832.37,848.06,37921.0
2015-07-02,846.94,869.75,846.5,852.64,56315.0
2015-07-03,854.3,865.31,815.07,824.91,94714.0
2015-07-06,808.98,842.99,804.1,831.54,28606.0
2015-07-07,830.42,881.1,828.47,864.44,130170.0
2015-07-08,859.46,862.49,833.34,839.39,51259.0
2015-07-09,846.99,853.47,820.09,825.98,32556.0
2015-07-10,834.12,842.51,818.72,821.31,77391.0
2015-07-13,827.74,865.9,823.65,854.35,61253.0
2015-07-14,864.09,870.19,837.19,840.75,20217.0
2015-07-15,847.82,857.71,838.61,848.5,35829.0
2015-07-16,855.52,861.61,847.96,855.18,131934.0
2015-07-17,869.44,889.12,859.67,865.58,57781.0
2015-07-20,877.21,877.21,848.92,853.08,20160.0
2015-07-21,856.2,866.51,845.99,847.85,38159.0
2015-07-22,855.47,874.32,850.88,868.36,29758.0
2015-07-23,872.37,916.33,854.05,880.23,175638.0
2015-07-24,879.16,898.75,867.68,876.42,46557.0
2015-07-27,877.25,886.05,823.04,860.35,323524.0
2015-07-28,842.77,842.77,802.13,808.58,98111.0
2015-07-29,797.15,810.53,775.75,796.61,331647.0
2015-07-30,805.94,807.85,791.78,796.9,56742.0
2015-07-31,800.23,816.69,793.92,813.46,61246.0
2015-08-03,815.07,829.39,811.56,825.09,29712.0
2015-08-04,830.85,830.85,813.76,820.25,31188.0
2015-08-05,829.29,849.9,816.34,845.31,88207.0
2015-08-06,838.23,854.49,835.25,847.65,55106.0
2015-08-07,849.02,856.5,825.48,832.07,29022.0
2015-08-10,821.57,847.65,815.22,820.79,43851.0
2015-08-11,812.0,825.87,812.0,815.9,17801.0
2015-08-12,815.9,815.9,815.9,815.9,0.0
2015-08-13,813.8,835.25,811.07,812.39,15117.0
2015-08-14,815.07,831.34,808.72,820.59,21203.0
2015-08-17,820.59,834.27,810.83,820.89,17181.0
2015-08-18,830.27,831.83,812.49,827.77,57943.0
2015-08-19,825.48,826.46,802.13,811.17,33385.0
2015-08-20,820.59,820.59,796.17,800.37,16697.0
2015-08-21,789.38,799.1,785.43,791.09,36587.0
2015-08-24,776.63,785.43,747.38,754.56,222735.0
2015-08-25,757.1,774.58,716.95,731.75,88420.0
2015-08-26,731.7,740.88,683.83,711.62,601906.0
2015-08-27,722.81,743.42,700.24,733.85,154790.0
2015-08-28,745.28,762.96,731.35,751.72,36386.0
2015-08-31,751.72,751.72,724.52,732.77,47596.0
2015-09-01,733.7,743.42,724.81,732.23,23093.0
2015-09-02,752.7,765.4,718.02,739.22,172539.0
2015-09-03,725.83,740.44,718.36,728.77,32410.0
2015-09-04,731.7,735.21,715.09,723.69,40427.0
2015-09-07,718.46,722.9,712.21,714.31,126128.0
2015-09-08,727.79,749.28,714.31,740.1,120730.0
2015-09-09,751.23,799.1,744.4,791.14,107112.0
2015-09-10,778.59,778.59,752.21,764.72,32320.0
2015-09-11,765.99,783.96,737.07,748.3,84884.0
2015-09-14,752.21,754.9,733.94,735.9,19323.0
2015-09-15,730.23,751.23,719.24,732.72,35884.0
2015-09-16,749.28,750.21,718.02,735.07,37049.0
2015-09-18,742.44,842.23,722.9,775.02,569611.0
2015-09-21,760.03,768.87,752.16,759.68,34859.0
2015-09-22,762.86,793.24,762.86,773.65,56975.0
2015-09-23,766.86,783.86,754.17,773.56,38300.0
2015-09-24,779.52,796.17,764.28,779.81,54667.0
2015-09-28,785.43,791.24,775.71,779.08,33415.0
2015-09-29,762.96,786.4,762.96,781.57,66373.0
2015-09-30,782.45,790.31,773.9,780.0,36528.0
