,open,high,low,close,volume
2015-05-15,131.76,133.35,131.76,132.53,36135.0
2015-05-18,133.35,134.81,132.88,134.19,5985.0
2015-05-19,136.41,137.07,132.86,135.82,9770.0
2015-05-20,137.05,142.13,136.65,140.96,211795.0
2015-05-21,140.58,142.78,139.03,140.72,19410.0
2015-05-22,140.69,143.56,140.67,143.36,16015.0
2015-05-25,141.8,143.39,141.47,142.5,11700.0
2015-05-26,139.57,142.29,139.2,140.55,14660.0
2015-05-27,140.34,142.7,138.71,142.07,21660.0
2015-05-28,142.7,148.79,140.98,146.47,51995.0
2015-05-29,147.98,148.59,146.37,147.74,21220.0
2015-06-01,148.93,150.73,146.68,148.94,116835.0
2015-06-02,148.0,152.49,147.98,150.49,70095.0
2015-06-03,151.1,151.1,140.7,145.76,67990.0
2015-06-04,146.68,148.76,141.97,143.78,9765.0
2015-06-05,143.13,147.17,141.52,145.67,12090.0
2015-06-08,145.29,146.89,143.12,145.36,13350.0
2015-06-09,144.54,145.05,142.31,144.28,6830.0
2015-06-10,146.03,146.85,144.75,145.79,7060.0
2015-06-11,146.76,147.45,140.45,143.55,13200.0
2015-06-12,144.89,146.0,141.47,142.65,15475.0
2015-06-15,141.48,144.54,138.83,142.39,19125.0
2015-06-16,141.48,144.72,139.53,142.66,17235.0
2015-06-17,141.8,154.49,141.8,148.67,77565.0
2015-06-18,146.85,153.5,146.85,148.75,27730.0
2015-06-19,155.86,157.0,155.19,155.94,5615.0
2015-06-22,155.9,157.75,153.4,155.25,13570.0
2015-06-23,155.19,156.84,153.49,156.11,8380.0
2015-06-24,153.62,165.43,153.59,162.07,201545.0
2015-06-25,164.57,166.3,162.53,165.75,85610.0
2015-06-26,166.28,167.47,164.57,166.37,48505.0
2015-06-29,162.19,164.57,158.01,162.54,31260.0
2015-06-30,164.57,166.77,162.87,165.94,26700.0
2015-07-01,166.23,183.32,159.83,178.93,220395.0
2015-07-02,180.95,184.19,175.32,179.32,44030.0
2015-07-03,180.77,197.38,179.41,193.06,228780.0
2015-07-06,194.93,198.66,190.67,194.57,97340.0
2015-07-07,196.12,202.09,196.12,198.92,57675.0
2015-07-08,198.71,202.76,197.82,201.11,52885.0
2015-07-09,200.41,202.05,191.87,193.58,17035.0
2015-07-10,196.12,196.12,184.26,187.15,29790.0
2015-07-13,187.59,189.47,182.5,187.79,15085.0
2015-07-14,186.92,191.51,185.89,188.72,50255.0
2015-07-15,191.85,191.86,182.48,185.1,25750.0
2015-07-16,182.66,191.35,182.66,187.63,12205.0
2015-07-17,187.61,196.46,187.6,193.44,114990.0
2015-07-20,196.12,196.98,188.4,190.49,19915.0
2015-07-21,190.33,192.7,183.33,184.02,22355.0
2015-07-22,184.2,191.52,179.92,189.07,16240.0
