,open,high,low,close,volume
2015-05-15,68.4,69.25,68.4,68.94,12380.0
2015-05-18,74.87,74.87,68.86,69.31,7382.0
2015-05-19,70.55,70.76,67.78,68.03,20980.0
2015-05-20,70.55,70.55,68.38,68.64,22226.0
2015-05-21,68.84,69.14,67.58,68.12,10914.0
2015-05-22,67.97,69.25,67.62,68.27,8288.0
2015-05-25,68.38,68.81,64.46,67.62,19186.0
2015-05-26,67.97,68.38,67.17,67.54,6374.0
2015-05-27,67.54,68.34,65.87,67.02,4562.0
2015-05-28,67.3,67.47,65.96,66.61,53242.0
2015-05-29,66.22,68.79,64.57,65.94,57888.0
2015-06-01,67.34,69.23,66.43,67.56,112982.0
2015-06-02,67.75,68.62,65.57,66.69,644186.0
2015-06-03,65.89,67.65,65.78,66.09,9624.0
2015-06-04,66.69,68.38,64.92,65.29,8272.0
2015-06-05,66.28,67.13,64.51,65.01,16290.0
2015-06-08,65.81,66.0,63.23,63.77,20686.0
2015-06-09,65.35,67.17,63.62,63.73,24634.0
2015-06-10,64.92,65.14,62.78,64.07,18572.0
2015-06-11,64.46,64.9,63.25,63.82,10630.0
2015-06-12,64.1,65.37,62.75,62.97,11202.0
2015-06-15,63.45,64.92,62.32,64.25,19928.0
2015-06-16,69.25,69.25,64.05,64.85,8546.0
2015-06-17,66.09,66.97,64.1,64.68,6898.0
2015-06-18,64.94,64.94,63.6,64.05,18174.0
2015-06-19,64.01,65.14,63.73,64.05,24894.0
2015-06-22,64.16,64.27,63.25,64.03,43534.0
2015-06-23,64.88,64.88,63.84,64.05,34174.0
2015-06-24,64.07,64.79,63.4,63.95,29190.0
2015-06-25,63.86,64.05,62.75,63.14,29070.0
2015-06-26,63.97,63.97,60.81,62.86,48194.0
2015-06-29,62.34,62.75,60.44,62.5,8524.0
2015-06-30,62.75,62.93,60.79,62.08,4758.0
2015-07-01,61.67,63.62,61.67,62.93,15318.0
2015-07-02,62.78,63.62,62.54,62.78,8580.0
2015-07-03,62.54,63.92,62.54,63.32,22912.0
2015-07-06,62.78,63.4,61.09,62.75,12562.0
2015-07-07,61.13,63.62,61.13,62.78,40176.0
2015-07-08,61.09,63.4,61.09,62.71,31654.0
2015-07-09,63.01,63.4,62.32,62.52,16518.0
2015-07-10,63.14,63.14,62.34,62.39,4758.0
2015-07-13,62.75,62.95,62.08,62.21,6010.0
2015-07-14,61.89,62.75,61.89,62.43,12188.0
2015-07-15,63.6,64.7,62.11,63.17,63664.0
2015-07-16,63.56,63.62,62.41,62.56,20136.0
2015-07-17,63.56,63.56,62.34,62.71,33672.0
2015-07-20,62.75,62.75,61.07,62.13,25724.0
2015-07-21,62.67,62.75,60.46,62.3,174922.0
2015-07-22,61.61,62.32,61.56,62.19,4248.0
2015-07-23,61.93,62.32,61.91,62.04,8784.0
2015-07-24,62.06,62.28,60.33,60.79,20554.0
2015-07-27,60.68,62.5,60.68,61.52,15718.0
2015-07-28,61.46,61.89,61.09,61.2,8828.0
2015-07-29,61.89,73.42,61.56,73.42,379944.0
2015-07-30,77.88,79.98,73.57,74.09,394474.0
2015-07-31,73.83,75.91,71.19,73.1,75138.0
2015-08-03,75.7,75.7,72.28,72.75,47686.0
2015-08-04,72.51,73.57,72.36,73.08,20546.0
2015-08-05,73.55,73.6,71.71,73.23,40014.0
2015-08-06,73.57,73.57,72.28,73.34,36968.0
2015-08-07,72.93,73.57,71.89,73.42,35238.0
2015-08-10,73.79,74.79,69.33,72.23,264388.0
2015-08-11,71.41,71.41,66.56,66.93,66000.0
2015-08-12,66.24,68.12,65.78,66.52,22474.0
2015-08-13,68.21,68.21,64.92,66.02,35934.0
2015-08-14,65.35,67.93,65.35,66.35,37158.0
2015-08-17,69.2,70.55,66.69,68.79,36524.0
2015-08-18,69.03,73.53,68.62,72.69,47520.0
2015-08-19,72.71,73.57,70.09,73.4,74184.0
2015-08-20,76.32,76.32,72.67,73.19,25428.0
2015-08-21,71.75,74.97,69.77,73.26,24732.0
2015-08-24,72.67,72.67,63.47,64.16,28974.0
