,open,high,low,close,volume
2015-05-15,293.77,297.43,293.77,296.43,7175.0
2015-05-18,297.44,305.48,293.77,302.11,6195.0
2015-05-19,295.08,307.13,295.07,304.35,2530.0
2015-05-20,306.04,306.04,294.31,301.69,8135.0
2015-05-21,300.0,303.65,296.91,298.84,3710.0
2015-05-22,283.7,305.65,283.7,298.09,4700.0
2015-05-25,298.31,300.33,287.73,293.01,12245.0
2015-05-26,288.56,297.52,286.11,291.74,11910.0
2015-05-27,297.43,297.43,291.02,291.98,2025.0
2015-05-28,298.33,298.33,289.19,292.3,4545.0
2015-05-29,295.72,296.69,287.54,292.61,4925.0
2015-06-01,292.43,294.67,290.11,292.71,47140.0
2015-06-02,289.94,294.31,289.93,291.69,55300.0
2015-06-03,298.13,298.14,289.2,292.66,10990.0
2015-06-04,292.85,292.85,287.0,289.22,7715.0
2015-06-05,289.18,298.88,287.18,295.13,9290.0
2015-06-08,288.47,295.13,288.46,290.57,3965.0
2015-06-09,290.58,290.58,285.46,288.73,1805.0
2015-06-10,291.55,292.85,286.99,289.18,2530.0
2015-06-11,290.21,290.21,282.7,284.17,1970.0
2015-06-12,281.86,284.44,275.2,277.54,4275.0
2015-06-15,278.93,286.99,276.28,278.25,402935.0
2015-06-16,306.58,306.58,275.54,277.19,5140.0
2015-06-17,277.48,279.86,275.3,276.36,10630.0
2015-06-18,279.38,279.82,271.8,274.86,6160.0
2015-06-19,272.35,275.37,270.89,272.99,74560.0
2015-06-22,267.32,274.55,267.32,270.91,7465.0
2015-06-23,269.5,274.37,269.24,271.77,4300.0
2015-06-24,272.22,272.7,269.07,270.37,1810.0
2015-06-25,267.59,271.8,267.59,268.72,5975.0
2015-06-26,269.06,274.49,265.58,267.0,7410.0
2015-06-29,265.4,266.78,256.24,266.48,4090.0
2015-06-30,264.96,275.02,264.96,274.54,37190.0
2015-07-01,275.01,278.21,271.73,273.28,6400.0
2015-07-02,275.73,275.74,269.06,270.67,4600.0
2015-07-03,272.0,274.55,265.41,267.56,6400.0
2015-07-06,268.15,269.05,262.64,267.24,8915.0
2015-07-07,272.41,278.21,267.23,277.71,14790.0
2015-07-08,271.98,277.83,271.73,273.49,100425.0
2015-07-09,272.89,278.21,267.87,270.04,10530.0
2015-07-10,270.83,271.8,260.27,264.82,7805.0
2015-07-13,269.97,269.97,261.83,266.9,7575.0
2015-07-14,272.23,273.63,263.3,264.23,7040.0
2015-07-15,267.59,274.56,265.62,269.95,19775.0
2015-07-16,269.98,273.63,267.23,267.24,11375.0
2015-07-17,268.42,269.99,266.49,267.35,9110.0
2015-07-20,268.56,270.9,267.23,269.88,15180.0
2015-07-21,273.06,273.27,262.94,264.45,7120.0
2015-07-22,264.31,267.22,263.2,264.96,5595.0
2015-07-23,273.74,276.17,272.62,274.34,1760.0
2015-07-24,276.6,279.49,269.24,270.3,5835.0
2015-07-27,273.17,273.36,267.75,270.7,3160.0
2015-07-28,270.57,271.52,267.56,269.45,51835.0
2015-07-29,269.28,272.23,267.76,269.36,6140.0
2015-07-30,270.0,272.79,267.75,268.74,15095.0
2015-07-31,272.84,296.65,270.04,282.55,51720.0
2015-08-03,299.56,299.58,285.65,289.77,64210.0
2015-08-04,291.71,291.71,276.9,278.33,42690.0
2015-08-05,283.13,285.15,275.24,277.5,16845.0
2015-08-06,277.48,288.34,273.24,275.48,39615.0
2015-08-07,275.44,279.54,274.39,277.01,6420.0
2015-08-10,277.4,280.85,275.24,277.03,9970.0
2015-08-11,276.94,280.52,271.7,272.42,4415.0
2015-08-12,277.84,278.35,266.81,269.42,16240.0
2015-08-13,262.5,272.24,262.5,269.33,17135.0
2015-08-14,268.69,271.5,261.94,269.99,18065.0
2015-08-17,268.77,272.43,268.11,271.28,5775.0
2015-08-18,276.9,276.92,263.63,271.56,28410.0
2015-08-19,273.95,278.23,269.62,271.72,40210.0
2015-08-20,274.69,278.04,265.09,271.57,10110.0
2015-08-21,267.78,272.55,253.89,269.59,6110.0
2015-08-24,260.92,264.94,254.64,255.39,44685.0
2015-08-25,255.02,261.75,228.43,252.38,15440.0
2015-08-26,240.97,256.82,240.97,254.84,8630.0
2015-08-27,255.05,265.87,253.7,262.81,6360.0
2015-08-28,260.43,266.66,256.16,263.44,10760.0
2015-08-31,267.64,271.5,260.63,263.64,8800.0
2015-09-01,261.0,264.84,256.51,258.82,6925.0
2015-09-02,259.59,264.0,258.29,258.76,4860.0
2015-09-03,258.38,261.38,258.2,260.84,6700.0
2015-09-04,261.2,261.2,257.16,258.71,22740.0
2015-09-07,256.51,261.72,256.51,256.93,8055.0
2015-09-08,257.08,259.32,245.65,251.88,12520.0
2015-09-09,257.64,257.64,246.21,255.93,3480.0
2015-09-10,250.27,257.45,250.27,253.34,3360.0
2015-09-11,255.77,258.38,247.54,256.48,4855.0
2015-09-14,260.25,260.27,255.58,259.7,8540.0
2015-09-15,259.69,260.26,250.33,259.3,4140.0
2015-09-16,255.59,257.82,252.47,256.84,2390.0
2015-09-18,258.66,260.26,254.64,259.67,4655.0
2015-09-21,257.45,260.26,251.83,254.42,5250.0
2015-09-22,258.39,258.39,254.47,255.67,2745.0
2015-09-23,252.76,260.26,252.76,260.11,11480.0
