,open,high,low,close,volume
2015-05-15,13.8,13.91,13.76,13.8,1627604.0
2015-05-18,13.8,13.94,13.76,13.8,3793043.0
2015-05-19,13.8,13.91,13.72,13.83,2703899.0
2015-05-20,13.83,14.12,13.8,13.94,2379241.0
2015-05-21,13.98,14.09,13.83,14.05,2223926.0
2015-05-22,14.09,14.16,14.01,14.12,1639744.0
2015-05-25,14.05,14.09,13.91,13.94,1037090.0
2015-05-26,13.91,14.09,13.83,13.98,1450085.0
2015-05-27,13.94,14.2,13.91,14.16,2081374.0
2015-05-28,14.2,14.92,14.09,14.67,11072157.0
2015-05-29,14.63,14.85,14.52,14.63,2584271.0
2015-06-01,15.25,15.32,14.38,14.52,7313096.0
2015-06-02,14.52,14.63,14.27,14.3,2346542.0
2015-06-03,14.23,14.3,13.54,13.87,2912107.0
2015-06-04,13.8,13.91,13.65,13.76,2085881.0
2015-06-05,13.8,14.05,13.72,13.91,1754991.0
2015-06-08,13.91,13.94,13.62,13.69,1623893.0
2015-06-09,13.65,13.94,13.65,13.87,1060759.0
2015-06-10,13.87,13.98,13.83,13.87,915269.0
2015-06-11,13.87,13.91,13.69,13.69,1149652.0
2015-06-12,13.69,13.91,13.65,13.8,1184772.0
2015-06-15,13.8,13.87,13.72,13.72,753852.0
2015-06-16,13.72,13.87,13.69,13.8,973559.0
2015-06-17,13.83,13.94,13.8,13.87,1198826.0
2015-06-18,13.87,13.94,13.83,13.91,1287634.0
2015-06-19,13.87,14.52,13.87,14.34,3467119.0
2015-06-22,14.34,14.45,14.16,14.23,1547621.0
2015-06-23,14.2,14.45,14.16,14.27,1941744.0
2015-06-24,14.27,14.52,14.27,14.34,1951213.0
2015-06-25,14.34,14.7,14.3,14.56,5946108.0
2015-06-26,14.6,14.6,14.27,14.41,2468407.0
2015-06-29,14.27,14.3,14.01,14.23,2328476.0
2015-06-30,14.09,14.27,14.05,14.23,1122268.0
2015-07-01,14.23,14.34,14.16,14.27,1603718.0
2015-07-02,14.23,14.3,14.12,14.2,991240.0
2015-07-03,14.16,14.27,14.12,14.23,1434421.0
2015-07-06,14.01,14.12,13.91,14.09,1435805.0
2015-07-07,14.09,14.23,13.98,14.09,1584484.0
2015-07-08,13.98,14.45,13.98,14.23,3947844.0
2015-07-09,14.2,14.27,14.05,14.09,1137383.0
2015-07-10,14.12,14.16,13.72,13.76,6993820.0
2015-07-13,13.76,13.87,13.76,13.83,2807041.0
2015-07-14,13.87,13.91,13.69,13.76,2412103.0
2015-07-15,13.8,13.94,13.76,13.83,1996097.0
2015-07-16,13.87,13.94,13.8,13.83,2039424.0
2015-07-17,13.87,13.94,13.83,13.87,2102578.0
2015-07-20,13.87,13.87,13.8,13.83,1752733.0
2015-07-21,13.83,14.23,13.83,13.94,2710164.0
2015-07-22,13.91,14.09,13.76,13.83,3848511.0
2015-07-23,13.8,13.87,13.72,13.76,2637403.0
2015-07-24,13.8,13.87,13.69,13.72,1469434.0
2015-07-27,13.69,13.8,13.54,13.58,2350782.0
2015-07-28,13.62,13.8,13.54,13.62,2799361.0
2015-07-29,13.65,13.87,13.65,13.72,2586553.0
2015-07-30,13.8,13.98,13.43,13.54,10139271.0
