,open,high,low,close,volume
2015-05-15,331.84,331.84,328.11,329.84,11293.0
2015-05-18,330.11,340.69,329.44,339.14,56159.0
2015-05-19,341.58,349.59,339.45,344.92,69331.0
2015-05-20,344.92,348.48,336.24,343.36,18135.0
2015-05-21,344.25,347.81,341.63,344.65,12412.0
2015-05-22,344.21,346.92,340.91,343.72,15410.0
2015-05-25,338.29,344.65,335.44,336.11,6223.0
2015-05-26,334.47,337.53,331.8,331.93,6995.0
2015-05-27,331.8,342.47,331.75,340.34,23619.0
2015-05-28,337.62,341.54,336.24,337.8,12266.0
2015-05-29,336.29,343.27,335.35,339.67,61194.0
2015-06-01,338.51,345.05,335.84,342.78,9603.0
2015-06-02,341.36,342.47,337.53,340.83,18206.0
2015-06-03,341.58,360.26,338.16,354.75,76148.0
2015-06-04,354.92,364.71,353.15,355.99,78853.0
2015-06-05,354.03,355.37,347.81,352.26,10814.0
2015-06-08,350.48,350.92,341.58,344.96,10117.0
2015-06-09,342.03,343.89,333.58,342.69,6476.0
2015-06-10,339.8,344.25,334.47,339.8,35995.0
2015-06-11,338.96,350.57,338.96,342.43,13992.0
2015-06-12,344.16,344.16,339.27,340.83,4545.0
2015-06-15,338.29,342.47,338.16,340.96,2792.0
2015-06-16,342.87,343.41,338.51,339.62,8744.0
2015-06-17,340.69,342.47,338.25,341.4,4307.0
2015-06-18,340.2,345.98,339.94,343.85,6272.0
2015-06-19,343.36,360.88,343.36,355.19,51462.0
2015-06-22,359.28,361.77,351.37,358.97,29394.0
2015-06-23,358.57,363.82,354.97,358.53,372431.0
2015-06-24,358.53,360.22,355.81,357.15,18240.0
2015-06-25,354.92,356.21,343.85,348.56,10039.0
2015-06-26,347.01,354.03,345.14,349.5,19291.0
2015-06-29,345.18,348.79,343.0,345.32,13644.0
2015-06-30,346.92,349.32,345.67,346.96,41882.0
2015-07-01,344.07,347.81,343.41,345.14,118360.0
2015-07-02,345.18,347.81,344.29,345.76,14184.0
2015-07-03,346.87,350.74,346.87,348.74,27114.0
2015-07-06,341.58,353.23,341.58,350.08,14141.0
2015-07-07,348.74,354.04,345.18,345.81,12250.0
2015-07-08,342.47,346.79,336.91,340.74,23189.0
2015-07-09,340.69,350.48,339.8,342.16,18823.0
2015-07-10,345.14,349.36,342.96,345.98,13848.0
2015-07-13,345.41,377.39,345.41,372.36,122454.0
2015-07-14,372.4,431.42,369.65,412.26,2091835.0
2015-07-15,415.41,426.09,405.23,408.87,580028.0
