,open,high,low,close,volume
2015-05-15,51.73,52.25,50.96,51.17,51137.0
2015-05-18,51.2,51.8,50.99,51.1,27064.0
2015-05-19,51.2,51.76,50.71,50.85,69991.0
2015-05-20,51.06,51.1,50.5,50.78,22649.0
2015-05-21,50.68,50.92,50.08,50.43,55874.0
2015-05-22,50.5,50.78,50.32,50.5,30132.0
2015-05-25,50.61,50.85,49.48,50.54,48298.0
2015-05-26,50.54,51.06,50.5,50.78,29213.0
2015-05-27,51.17,51.17,50.36,50.5,59088.0
2015-05-28,50.61,51.52,50.61,51.27,37136.0
2015-05-29,51.03,51.76,49.8,51.24,55134.0
2015-06-01,53.34,61.48,53.34,58.6,2849493.0
2015-06-02,59.55,59.55,55.76,56.15,574746.0
2015-06-03,56.46,56.88,52.88,53.55,172810.0
2015-06-04,54.25,55.34,52.74,54.18,160306.0
2015-06-05,54.67,54.67,52.81,53.31,150480.0
2015-06-08,53.34,58.57,53.34,55.83,996667.0
2015-06-09,55.23,56.39,54.25,54.46,169312.0
2015-06-10,54.67,56.46,54.43,54.64,130551.0
2015-06-11,55.27,55.94,53.06,53.24,89899.0
2015-06-12,52.81,54.64,52.81,53.73,79105.0
2015-06-15,53.73,57.72,53.31,54.74,391347.0
2015-06-16,54.36,56.01,54.11,54.78,108505.0
2015-06-17,55.3,55.94,54.64,55.02,79931.0
2015-06-18,55.09,55.9,54.29,54.46,90990.0
2015-06-19,55.41,55.83,54.39,54.88,129952.0
2015-06-22,55.34,55.59,54.78,55.13,62588.0
2015-06-23,55.27,56.01,55.02,55.2,73189.0
2015-06-24,55.2,58.0,55.13,56.71,445968.0
2015-06-25,57.44,58.0,56.74,57.13,401652.0
2015-06-26,57.34,57.69,56.25,57.13,140949.0
2015-06-29,56.11,56.22,55.13,56.01,164100.0
2015-06-30,56.46,57.79,56.15,57.27,249115.0
2015-07-01,56.67,59.44,56.67,57.72,262098.0
2015-07-02,57.51,58.53,57.2,57.55,182228.0
2015-07-03,57.55,57.97,57.16,57.41,67133.0
2015-07-06,56.46,58.22,56.46,57.97,184564.0
2015-07-07,57.97,58.92,57.58,57.86,134839.0
2015-07-08,57.58,59.37,57.23,58.0,194035.0
2015-07-09,58.0,58.78,57.69,58.0,65720.0
2015-07-10,58.22,58.85,57.58,58.04,113465.0
2015-07-13,57.55,58.5,57.55,58.04,50814.0
2015-07-14,57.9,58.85,57.58,58.08,96577.0
2015-07-15,58.29,58.57,57.86,57.97,62532.0
2015-07-16,58.18,58.85,56.53,58.04,95650.0
2015-07-17,59.06,62.39,58.22,60.57,969223.0
2015-07-20,60.32,60.95,59.27,59.86,253738.0
2015-07-21,59.41,60.46,58.15,58.53,146336.0
2015-07-22,57.86,59.83,56.46,59.13,135654.0
2015-07-23,59.2,59.9,58.22,58.71,94722.0
2015-07-24,58.53,58.67,57.58,57.97,61518.0
2015-07-27,57.79,57.97,56.46,56.88,79498.0
2015-07-28,57.27,58.18,56.5,57.02,57863.0
2015-07-29,57.02,58.22,56.88,57.41,77190.0
2015-07-30,57.76,58.11,57.48,57.9,73466.0
2015-07-31,57.62,58.99,57.34,57.69,144119.0
2015-08-03,57.34,58.78,57.34,57.97,66145.0
2015-08-04,57.86,59.13,57.58,58.71,116880.0
2015-08-05,59.13,61.3,58.81,59.93,150384.0
2015-08-06,60.25,60.32,59.27,59.69,77066.0
2015-08-07,60.32,66.28,60.32,63.09,3284725.0
