,open,high,low,close,volume
2015-05-15,94.3,94.97,92.32,93.27,1414924.0
2015-05-18,93.27,94.65,93.1,94.41,1869611.0
2015-05-19,94.26,94.8,92.85,93.73,1490268.0
2015-05-20,93.95,94.26,92.89,93.56,1124667.0
2015-05-21,93.56,93.98,92.04,92.46,2291008.0
2015-05-22,92.32,92.85,91.4,91.68,2329957.0
2015-05-25,91.61,92.6,91.08,92.28,1020945.0
2015-05-26,92.43,92.43,91.12,91.61,935734.0
2015-05-27,91.61,93.8,91.33,93.7,2633156.0
2015-05-28,93.7,94.44,92.0,92.92,2565791.0
2015-05-29,91.26,91.93,89.03,91.29,2140761.0
2015-06-01,91.15,91.75,90.69,91.05,504127.0
2015-06-02,90.55,91.26,88.78,89.74,1297619.0
2015-06-03,89.35,89.7,85.95,86.91,1174271.0
2015-06-04,86.66,86.91,81.71,83.02,2212349.0
2015-06-05,82.73,85.88,81.99,84.96,1691450.0
2015-06-08,85.92,86.66,83.41,86.06,2003777.0
2015-06-09,85.99,86.94,84.25,86.2,1526968.0
2015-06-10,86.31,86.66,84.89,85.35,1214871.0
2015-06-11,85.78,86.13,83.12,83.58,1080647.0
2015-06-12,82.84,83.51,80.93,81.42,1428222.0
2015-06-15,81.53,82.34,80.01,81.99,1137714.0
2015-06-16,82.06,84.33,81.35,83.94,1040786.0
2015-06-17,84.15,84.33,82.52,83.44,2300096.0
2015-06-18,83.41,84.01,82.2,83.23,1914960.0
2015-06-19,83.94,85.7,82.77,84.29,1645339.0
2015-06-22,84.57,85.1,83.51,84.61,2064870.0
2015-06-23,84.71,85.6,83.69,83.87,2128818.0
2015-06-24,84.57,85.42,82.84,83.26,2387580.0
2015-06-25,83.41,83.87,82.34,83.34,3146622.0
2015-06-26,83.34,83.87,82.45,83.48,1986789.0
2015-06-29,83.02,83.55,80.93,83.19,1381400.0
2015-06-30,83.19,84.25,82.8,83.97,1333075.0
2015-07-01,83.83,83.94,83.05,83.62,1072978.0
2015-07-02,83.65,84.36,82.91,83.23,1392636.0
2015-07-03,83.12,83.72,82.66,83.3,2451656.0
2015-07-06,82.38,82.38,80.65,81.74,2131199.0
2015-07-07,81.74,82.27,81.42,81.81,834072.0
2015-07-08,81.32,81.32,78.98,79.73,2743694.0
2015-07-09,79.73,81.28,79.16,80.61,1108834.0
2015-07-10,80.93,81.78,79.48,80.79,1602196.0
2015-07-13,80.51,81.78,79.94,81.39,785811.0
2015-07-14,81.92,82.34,80.97,81.28,599041.0
2015-07-15,81.28,82.13,81.0,81.28,454212.0
2015-07-16,82.06,82.06,79.87,80.26,862280.0
2015-07-17,80.29,81.0,80.22,80.43,493630.0
2015-07-20,80.58,81.14,80.01,80.4,638343.0
2015-07-21,80.58,81.07,79.94,80.4,790527.0
2015-07-22,80.08,81.96,79.94,81.0,1062403.0
2015-07-23,81.21,81.71,80.43,81.0,836977.0
2015-07-24,80.43,80.89,79.94,80.26,591352.0
2015-07-27,79.94,79.94,77.85,78.28,1159927.0
2015-07-28,77.82,77.82,74.28,74.46,2372412.0
2015-07-29,74.49,74.88,73.22,73.93,2087408.0
2015-07-30,74.03,74.67,71.49,72.37,4004806.0
2015-07-31,72.48,72.76,71.49,72.09,5338351.0
2015-08-03,72.44,72.9,71.34,71.56,1666601.0
2015-08-04,71.66,72.44,71.17,71.95,2149152.0
2015-08-05,72.44,73.47,71.66,71.98,2471348.0
2015-08-06,71.98,73.43,71.7,72.62,2120428.0
2015-08-07,72.87,73.93,72.51,73.57,2498010.0
2015-08-10,74.1,74.28,73.43,73.86,2156196.0
2015-08-11,73.86,73.89,72.02,72.83,2128474.0
2015-08-12,71.1,72.02,69.43,70.64,4065966.0
2015-08-13,70.67,70.67,67.77,68.66,3881468.0
2015-08-14,68.73,69.61,66.5,68.8,1907693.0
2015-08-17,68.66,70.39,66.71,70.07,1520086.0
2015-08-18,70.39,70.39,67.31,67.49,1913012.0
2015-08-19,67.56,68.2,66.11,67.88,1740100.0
2015-08-20,66.85,67.49,65.93,66.43,2658538.0
2015-08-21,65.83,66.85,65.12,65.83,2037725.0
2015-08-24,64.02,67.21,63.67,66.04,3875975.0
2015-08-25,67.21,67.52,63.74,65.76,2926199.0
2015-08-26,66.14,66.64,64.59,65.33,2220262.0
2015-08-27,66.07,70.53,64.02,68.44,5072573.0
2015-08-28,69.68,71.63,68.02,70.74,2144096.0
2015-08-31,70.5,74.03,69.08,71.45,3838762.0
2015-09-01,70.74,71.2,69.79,70.53,1820632.0
2015-09-02,70.74,71.73,69.36,70.78,1919083.0
2015-09-03,70.92,73.36,70.78,72.76,1036425.0
2015-09-04,72.65,72.65,68.3,69.5,1959356.0
2015-09-07,69.26,69.26,66.0,66.39,1719843.0
2015-09-08,67.17,69.4,66.36,67.63,1366346.0
2015-09-09,69.33,74.28,68.66,73.71,3546816.0
2015-09-10,71.7,72.33,70.21,71.56,2025952.0
2015-09-11,71.63,73.08,70.5,70.88,1493197.0
2015-09-14,71.1,73.36,70.78,72.87,951042.0
2015-09-15,72.65,72.87,71.73,71.87,819365.0
2015-09-16,72.76,73.5,70.78,70.99,1400256.0
2015-09-18,71.73,74.42,71.31,72.94,3161394.0
2015-09-21,73.08,75.16,72.22,74.33,1458808.0
2015-09-22,74.51,75.16,72.54,73.33,1025262.0
2015-09-23,72.29,72.54,70.07,70.39,3412020.0
2015-09-24,70.18,70.39,67.49,67.88,9101601.0
2015-09-28,68.28,68.67,66.85,66.95,1638879.0
2015-09-29,65.91,66.81,63.84,65.41,1791538.0
2015-09-30,65.91,67.31,65.91,66.7,1021165.0
2015-10-01,67.56,67.67,66.7,67.28,744799.0
2015-10-05,67.35,68.46,66.34,68.21,1212081.0
2015-10-06,68.64,68.78,67.17,68.1,1419912.0
2015-10-07,68.42,69.57,67.35,68.64,3093277.0
2015-10-08,69.21,69.5,67.81,68.46,2439969.0
2015-10-09,68.96,69.64,68.64,68.89,1493476.0
2015-10-12,69.43,72.15,69.28,71.0,3260566.0
2015-10-13,70.93,72.22,70.57,71.0,2120109.0
2015-10-14,70.93,72.29,70.25,70.61,1037924.0
2015-10-15,70.97,72.26,70.82,72.04,1983070.0
2015-10-16,72.08,75.59,71.68,75.44,2931178.0
2015-10-19,75.23,75.37,73.87,74.33,1198327.0
2015-10-20,73.94,74.33,72.33,72.83,1032165.0
2015-10-21,72.83,73.69,72.11,72.51,742315.0
2015-10-23,73.4,73.69,71.68,72.0,808705.0
2015-10-26,71.75,72.65,69.68,70.0,1255232.0
2015-10-27,69.57,70.93,69.5,70.43,1338470.0
2015-10-28,70.79,72.47,70.0,72.11,1445189.0
2015-10-29,71.5,73.58,71.4,72.83,2045610.0
2015-10-30,72.76,73.29,71.5,71.83,853125.0
2015-11-02,72.18,72.18,68.28,68.71,1675831.0
2015-11-03,69.1,69.64,67.78,67.96,1379993.0
2015-11-04,68.46,69.03,67.71,67.85,1163145.0
2015-11-05,68.06,68.71,67.03,67.35,922644.0
2015-11-06,67.06,67.92,66.02,66.42,1198970.0
2015-11-09,65.34,66.99,65.2,66.6,1063658.0
2015-11-10,66.56,66.56,64.55,65.02,19661948.0
2015-11-11,66.56,66.56,64.55,65.02,19661948.0
2015-11-13,65.05,66.45,64.77,65.31,1480958.0
2015-11-16,65.74,66.27,64.77,65.41,934642.0
2015-11-17,65.7,67.24,65.66,66.99,858939.0
2015-11-18,67.28,67.35,65.56,65.66,709678.0
